Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
CDK,"CDK Global, Inc.",Technology,United States,123647.7384656,-1.7254445012802402,1661706666.6666667,648880000.0,1515826666.6666667,1673200000.0,1034300000.0,6163000000.0,1034300000.0,6163000000.0,1673200000.0,1661706666.6666667,648880000.0,1673200000.0,1034300000.0,1034300000.0,1673200000.0,3.963,3.963,0.030954408054551,5.184042,14.504983,6.3491596,3.177536,0.029002811310367676,2.1163865,0.00019366181898571025,12.37,12.3528499,0.000123528499,537509566.3702506,539000000.0,565660000.0,539000000.0,0.61816,1.3624087,2.75,1.7164808,2.75,1.4684144,0.010112146976232231,0.91234,0.0053,0.005198779758109605,3.01,8.422,43.71,0.192679,11.806382,0.011806381999999999,121774000,181500000,1.4904659,6500,6630556672,5316653056,27923.0769231,11.31203,0.115,2.3729597,0.0038861,2.3729597,0.0038861,8.6439794,8.3462332,0.031328114502309864,0.0872215,3.203329,0.045277764115512,1.47,1.47,2.2049999999998895e-06,311106666.6666667,230800000.0,21.3128081,28.7285818,28.7285818,5.106516736736726e-06,-6.8032413,2.6985053,2.6985053,1.6437128,9.982336115795512e-06,USD,USD,1.0,1.0,0.15,0.15,0.15,0.15,43.71,39.78,55.51,48.986908,-10.7720781,9.8793363,-21.2574311,0.4996821,0.5006821,0.007881358355954535,1.0413807,1.13563,1.2561288,1.2603344,2.1623535,1.6869677,1.4841772,1.4720318,1.14563,1.2703344,1.6969677,1.4820318,1.3138309,0.00860999237507362,2808240000.0,2918300000.0,2918300000.0,-463077733.3333333,282666666.6666667,282666666.6666667,0.4544187,0.4491368950281584,66.3136711,1.0,219993333.3333333,288800000.0,288800000.0,2817566666.6666665,2621160000.0,2621160000.0,2.3395543,0.2557602524165558,None
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,United States,8589.3499884,-1.6998716955713264,2423375133.333333,2555887533.333333,7020119800.0,2879829000.0,4045454000.0,39101838000.0,4045454000.0,39101838000.0,2879829000.0,2423375133.333333,2555887533.333333,2879829000.0,4045454000.0,4045454000.0,2879829000.0,7.143,7.143,0.055792918681215685,5.31699,57.472553,11.8364354,7.5120373,0.0685657693157037,11.8364354,0.0010831034926138741,28.91,28.5244952,0.000285244952,730990978.1390522,750486000.0,489793333.3333333,750486000.0,1.4047501,243.9093016,190.9720312,3.6208248,2.75,140.6219437,0.9683845124222796,0.80313,0.1429,0.1401708731007288,12.57,135.872,731.44,0.1857596,2.0267415,0.0020267415,24692600,4045454080,163.8326495,7700,20569348096,21633382400,525383.6467532,-0.054,0.334,2.0383212,0.0691597,2.0383212,0.0691597,0.4690803,7.0989437,0.02664633443012966,0.2677899,5.4248424,0.07667796050640693,3.21,3.21,4.814999999999759e-06,473955800.0,688632000.0,43.3992961,29.8698697,29.8698697,5.309381110737433e-06,0.3546853,0.3114657,0.3114657,0.5590911,3.3953834754768834e-06,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,731.44,507.22,832.7,675.603,8.264765,44.2056701,-12.1604419,1.3777805,6.8403799,0.10767607885875778,3.8671913,4.2165968,0.0896251,0.0901054,0.067651,0.0366324,3.3097779,3.6395472,4.2265968,0.1001054,0.0466324,3.6495472,3.938072,0.02580756008439969,10087435200.0,14309283666.666666,14309283666.666666,7535377333.333333,10918686733.333334,10918686733.333334,0.3827153,0.37826691886088787,0.4705074,0.00709517950364235,1452290066.6666667,1615455333.3333333,1615455333.3333333,2552057866.6666665,3390596933.333333,3390596933.333333,2.8564354,0.31226573322772866,None
SCCO,Southern Copper Corporation,Basic Materials,United States,732.2795677,-1.6550855934150728,7591300000.0,1488060000.0,6574240000.0,8797700000.0,2119400000.0,27081700000.0,2119400000.0,27081700000.0,8797700000.0,7591300000.0,1488060000.0,8797700000.0,2119400000.0,2119400000.0,8797700000.0,6.206,6.206,0.04847414998398776,21.379059,17.18475,20.8547704,5.149309,0.04700007719999964,20.8547704,0.0019083342150374462,11.495,11.5064981,0.000115064981,4740483555.284906,4731000000.0,3724120000.0,4731000000.0,0.2409,4.2305431,21.3675,54.0747303,200.8926563,32.1529868,0.22141959943082476,0.08282,0.89025,0.8732478640862408,3.41,2.741,58.31,0.0470074,6.0201354,0.0060201354,773073024,2119399936,2.7415262,13777,54600871936,45302079488,153836.0990056,2.556,0.473,0.1816665,0.0719461,0.1816665,0.0719461,1.9624166,14.2586282,0.05352066329700258,0.3727365,6.3552152,0.08982840499021999,1.91,1.91,2.8649999999998565e-06,2424213333.333333,3091000000.0,22.52313,17.6644684,17.6644684,3.139866219576388e-06,1.3268931,1.3018159,1.3018159,1.1419715,6.9352403580839505e-06,USD,USD,1.0,1.0,0.9,0.7,0.6,0.5,58.31,45.88,83.29,65.99108,-11.6395731,27.092415,-29.9915956,0.6645282,0.6655282,0.010476240792697364,1.7614028,1.7738673,0.1257778,0.127552,2.2178832,1.9726568,3.1397773,3.6672649,1.7838673,0.137552,1.9826568,3.6772649,2.7305661,0.017894352538545495,16237126666.666666,16922013333.333334,16922013333.333334,6952140000.0,7330660000.0,7330660000.0,0.2252451,0.2226270284086175,0.3891145,0.0058677870421805075,2947013333.333333,3488860000.0,3488860000.0,9236073333.333334,9539453333.333334,9539453333.333334,2.6041588,0.28468683630074115,None
WLK,Westlake Chemical Corporation,Basic Materials,United States,21.8434393,-1.4742162609862426,7854333333.333333,508000000.0,5739933333.333333,9079000000.0,934000000.0,24579000000.0,934000000.0,24579000000.0,9079000000.0,7854333333.333333,508000000.0,9079000000.0,934000000.0,934000000.0,9079000000.0,1.541,1.541,0.012036523545814555,29.82132,12.464557,27.6517246,1.40012,0.012779529853280023,27.6517246,0.0025302955221685225,6.624,6.624,6.624e-05,2112000000.0,2112000000.0,1397800000.0,2112000000.0,0.10287,0.1380761,2.75,27.0051489,200.8926563,15.4956597,0.10670992356114095,0.27,0.74159,0.7274269963804721,7.9,3.302,99.01,0.0333502,2.015185,0.0020151849999999996,128133000,930000000,7.2580834,9220,13989888000,12711689216,100867.6789588,33.8,0.673,-0.3222033,-0.0497731,-0.3222033,-0.0497731,25.2694492,50.518727,0.18962523884031093,0.4923067,7.2664573,0.1027084447413426,0.14,0.14,2.0999999999998952e-07,1328400000.0,1670000000.0,10.5313821,8.3771784,8.3771784,1.489046762003037e-06,1.1761038,1.1298999,1.1298999,1.0639675,6.461518825723485e-06,USD,USD,1.0,1.0,0.2975,0.27,0.27,0.27,99.01,64.41,106.47,91.36331,-7.9786584,53.7183667,-21.1233211,1.6452687,2.8312915,0.04456804611482625,1.9323776,1.9631556,0.0,0.0,0.1375203,0.1253133,2.3934316,2.8740321,1.9731556,0.01,0.1353133,2.8840321,2.4285938,0.01591542267741691,13266933333.333334,14354400000.0,14354400000.0,5855866666.666667,6483133333.333333,6483133333.333333,0.1650672,0.16314858890928569,0.2440661,0.003680479393637431,1851866666.6666667,2647666666.6666665,2647666666.6666665,6883133333.333333,7310666666.666667,7310666666.666667,2.1862878,0.2390051470843128,None
MRNA,"Moderna, Inc.",Healthcare,United States,345360860.4373305,-1.4446170170058705,476263800.0,-603865333.3333334,-1771273800.0,7019655000.0,3494879000.0,-3480551000.0,3494879000.0,-3480551000.0,7019655000.0,476263800.0,-603865333.3333334,7019655000.0,3494879000.0,3494879000.0,7019655000.0,22.056,22.056,0.1722761604973951,204.36328,16.446062,180.8736277,17.44166,0.15919793636314034,180.8736277,0.016551001316123564,39.515,39.3592277,0.000393592277,3949200664.1908135,3980337000.0,-562751933.3333334,3980337000.0,0.4979,-2.4558373,1.0,7.7846779,22.4775,4.2498106,0.02926606372720786,0.57873,0.09682,0.09497091626040982,18.54,1.492,309.36,0.0048229,31.857695,0.031857695,401528000,3494936064,8.7040905,1800,154822311936,122429906944,1941631.1466667,-0.2979494,63.985,-0.2979494,6.8459302,-0.2979494,6.8459302,-0.2979494,0.2202051,0.0008265537783910223,49.7002326,70.7483919,1.0,0.79,0.79,1.1849999999999408e-06,892445466.6666666,9191037000.0,173.4809775,16.8449232,16.8449232,2.9941917372978283e-06,1.0705584,1.6612963,1.6612963,1.2899128,7.833694018606483e-06,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,309.36,65.49,497.49,268.92493,15.0358206,372.3774622,-37.8158355,1.1290278,2.0712273,0.03260369122030955,2.6048483,1.6627721,0.0350423,0.0307848,0.0779555,0.3445169,4.0767074,1.3846703,1.6727721,0.0407848,0.3545169,1.3946703,1.5337212,0.010051010246058882,4670698333.333333,13288291533.333334,13288291533.333334,1846623800.0,5124436533.333333,5124436533.333333,0.3630044,0.35878512283398467,0.7820026,0.01179247939419237,1499166133.3333333,2400119466.6666665,2400119466.6666665,2745630466.6666665,8163855000.0,8163855000.0,3.2182283,0.3518169603253505,None
COLM,Columbia Sportswear Company,Consumer Cyclical,United States,43500.9209237,-1.423457447812242,2683540066.6666665,188513000.0,1788732600.0,2558932000.0,163700000.0,7031552000.0,163700000.0,7031552000.0,2558932000.0,2683540066.6666665,188513000.0,2558932000.0,163700000.0,163700000.0,2558932000.0,2.461,2.461,0.019222507752271006,38.69265,18.722986,36.196442,2.4749985,0.02259043311828506,36.196442,0.003312187447108909,19.89,19.8899375,0.000198899375,316679009.8039216,316681000.0,330800600.0,316681000.0,0.06397,0.1594012,2.75,0.0768001,1.0,0.1321679,0.0009101662516657179,0.43775,0.4337,0.42541712850795016,5.09,2.463,97.11,0.025363,3.384233,0.003384233,66457000,163700000,2.4632469,7275,6298705920,6333352448,22501.7182131,261.441,0.101,-0.0966967,-0.057633,-0.0966967,-0.057633,196.0565758,140.2702042,0.5265130883762014,0.0613418,2.7267268,0.03854118414244833,0.7,0.7,1.0499999999999474e-06,284712666.6666667,374222000.0,22.1230267,16.8314688,16.8314688,2.991800212395518e-06,0.525219,0.5211058,0.5211058,0.7228766,4.390059620782576e-06,USD,USD,1.0,1.0,0.26,0.26,0.26,0.24,97.11,73.11,114.98,102.78432,-5.5206086,32.8272466,-15.5418334,1.1464055,2.2700199,0.035732933745880026,2.9582099,2.9250682,0.2512449,0.3423999,1.3303181,1.4162505,3.2369386,3.5616652,2.9350682,0.3523999,1.4262505,3.5716652,3.2533667,0.021320447311993063,2757951733.333333,2774970466.6666665,2774970466.6666665,1801974733.3333333,1825335000.0,1825335000.0,0.1589916,0.15714360689724907,0.1896822,0.0028603785140165466,1265601666.6666667,1281159933.3333333,1281159933.3333333,951762333.3333334,949635466.6666666,949635466.6666666,3.0662353,0.3352010741090958,None
MNST,Monster Beverage Corporation,Consumer Defensive,United States,49864.6894272,-1.3871130845385946,4305052733.333333,1234318533.3333333,5486935200.0,5148395000.0,1538346000.0,26290710000.0,1538346000.0,26290710000.0,5148395000.0,4305052733.333333,1234318533.3333333,5148395000.0,1538346000.0,1538346000.0,5148395000.0,8.685,8.685,0.06783725307942857,32.916668,29.657806,32.5093102,9.164938,0.08365254319234101,32.5093102,0.0029747931898557777,24.07,24.0706266,0.000240706266,1857524712.754466,1857428000.0,1565886000.0,1857428000.0,0.2988,56.4467065,190.9720312,0.7866298,2.75,32.5326979,0.22403445696130583,0.6555001,0.28708,0.28159730055813315,3.01,2.712,90.07,0.0301099,8.640983,0.008640983,528561984,1538345984,2.9104363,3013,44712947712,47184728064,510569.5267176,0.297,0.336,0.2186864,0.1022336,0.2186864,0.1022336,0.2774216,5.5170828,0.020708719434909185,0.2775584,5.5183812,0.07800009373781965,2.48,2.48,3.7199999999998136e-06,1245323000.0,1510291000.0,35.9046992,29.6055182,29.6055182,5.262392527432863e-06,0.2194134,0.2001144,0.2001144,0.4483414,2.722795946728846e-06,USD,USD,1.0,1.0,0.01042,0.0,0.0,0.0,90.07,75.45,99.89,93.83281,-4.0101218,19.3770709,-9.8308139,1.1963993,2.9326282,0.04616321168457572,5.5934966,6.0048074,0.578231,0.3645674,0.7206682,1.1010063,3.8163188,4.336702,6.0148074,0.3745674,1.1110063,4.346702,5.1807547,0.033951293476296544,5604528666.666667,6720861533.333333,6720861533.333333,4605934533.333333,5602184866.666667,5602184866.666667,0.3288912,0.3250684277959623,0.3745975,0.005648872906389284,1978710666.6666667,2794616400.0,2794616400.0,998594133.3333334,1118676666.6666667,1118676666.6666667,5.7411698,0.6276251152684539,None
UI,Ubiquiti Inc.,Technology,United States,8792805527786.738,-1.2948719798171593,1577538600.0,486369200.0,-43328066.6666667,1898094000.0,616584000.0,-502191000.0,616584000.0,-502191000.0,1898094000.0,1577538600.0,486369200.0,1898094000.0,616584000.0,616584000.0,1898094000.0,10.404,10.404,0.08126410835214448,61.725033,48.420723,60.0619943,10.207282,0.09316648932937735,20.0206648,0.0018320086442014164,26.166,26.1661125,0.000261661125,754698492.2418406,754692000.0,610283400.0,754692000.0,0.32484,60.2823953,190.9720312,0.8856265,2.75,34.7565249,0.23934870713054524,0.06563,0.90064,0.8834394342158179,6.37,4.997,315.96,0.0158153,1000.0,1.0,62814100,616584000,9.8160126,1223,19747610624,19374381056,504156.9910057,0.666,0.515,0.4980383,0.3235121,0.4980383,0.3235121,0.6240096,8.1494276,0.030589392227991452,0.467128,7.0846766,0.10013904782477466,1.25,1.25,1.8749999999999062e-06,505858333.3333333,612022000.0,39.037828,32.2661777,32.2661777,5.735325802110124e-06,175.7888868,170.342781,170.342781,13.0525432,7.926863706867837e-05,USD,USD,1.0,1.0,0.6,0.4,0.4,0.4,315.96,182.87,401.81,303.43948,4.1262001,72.7784765,-21.3658197,1.2157669,3.2292513,0.050832427835411025,0.9721676,0.9423831,0.1944116,0.130033,0.4964935,0.5518771,3.0833945,2.5574788,0.9523831,0.140033,0.5618771,2.5674788,1.7599309,0.011533441350524223,856799400.0,867605333.3333334,867605333.3333334,-43062533.3333333,-56313733.3333333,-56313733.3333333,0.8106734,0.8012507710574416,1e-06,1.5079846785921645e-08,444602533.3333333,412505000.0,412505000.0,899861933.3333334,923919066.6666666,923919066.6666666,4.1713724,0.45601474517922247,None
QDEL,Quidel Corporation,Healthcare,United States,55.392648,-1.2038026078841444,1117014466.6666667,460945400.0,547307333.3333334,1837209000.0,899555000.0,3684995000.0,899555000.0,3684995000.0,1837209000.0,1117014466.6666667,460945400.0,1837209000.0,899555000.0,899555000.0,1837209000.0,2.929,2.929,0.02287798667468581,7.4219036,12.013925,7.9959063,3.1964834,0.029175752818197034,7.9959063,0.000731672479718284,4.382,4.3829604,4.3829604e-05,1227300988.8178916,1226763000.0,660508066.6666666,1226763000.0,0.48963,3.1014759,7.77,0.808806,2.75,2.0833065,0.014346564242723276,0.9309101,0.12163,0.11930709093940968,11.49,18.599,136.21,0.1365465,4.380414,0.004380414,42542800,899555008,21.1447062,1370,5380390400,5872607744,656609.4948905,3.0116,1.0216,5.9161949,1.3364244,5.9161949,1.3364244,0.9405487,9.9481891,0.03734115735172975,0.2403561,5.1526126,0.07283010202243198,2.65,2.65,3.974999999999801e-06,391762866.6666667,917019000.0,13.7337937,5.8672616,5.8672616,1.0429080616577009e-06,0.7098814,0.3439434,0.3439434,0.5874669,3.5677108876346466e-06,USD,USD,1.0,1.0,0.0,0.0,0.0,0.0,136.21,103.31,288.7,126.561295,-0.8570858,31.8459007,-52.8195359,0.3549275,0.3559275,0.005602741093078838,2.9156685,4.0229564,0.2002082,0.0569817,0.4073371,0.8400466,2.6123727,3.9029216,4.0329564,0.0669817,0.8500466,3.9129216,3.972939,0.026036055702931493,1410718200.0,1856158533.3333333,1856158533.3333333,931945066.6666666,1384142733.3333333,1384142733.3333333,0.5846326,0.5778372912387613,0.7499005,0.011308384644686035,473271800.0,752960000.0,752960000.0,478773133.3333333,472015800.0,472015800.0,3.7286559,0.4076169440301001,None
ROL,"Rollins, Inc.",Consumer Cyclical,United States,47568241.5671581,-1.1981141602133891,2044583666.6666667,236162000.0,328558333.3333333,2293748000.0,333695000.0,1770642000.0,333695000.0,1770642000.0,2293748000.0,2044583666.6666667,236162000.0,2293748000.0,333695000.0,333695000.0,2293748000.0,8.072,8.072,0.06304920055925703,58.238094,53.173912,57.6050712,7.871845,0.07184989727872831,57.6050712,0.005271203001622506,35.623,35.6231177,0.00035623117700000004,519737434.2699941,519734000.0,423255266.6666667,519734000.0,0.14548,2.5021992,21.3675,0.4218418,2.75,1.5811372,0.010888405722518315,0.40504,0.57375,0.5627924313613936,0.69,0.63,36.74,0.0171475,18.25373,0.01825373,492124000,333695008,0.678071,15616,18514728960,18056028160,21368.7889344,0.312,0.153,0.1684959,0.0843334,0.1684959,0.0843334,0.276124,5.50475,0.020662427489635708,0.1358333,3.9355576,0.05562752020657589,7.0,7.0,1.0499999999999474e-05,373249600.0,420218000.0,49.6041495,44.0598189,44.0598189,7.831650173223626e-06,0.9263374,0.8721055,0.8721055,0.9348659,5.677479445920039e-06,USD,USD,1.0,1.0,0.08,0.08,0.08,0.086667,36.74,31.44,43.0,36.06676,1.8666495,16.8575064,-14.5581395,0.916955,0.917955,0.014449752267237524,2.1524424,2.1503063,0.2070282,0.1752255,0.7049231,0.7192914,0.7437747,0.698312,2.1603063,0.1852255,0.7292914,0.708312,1.4343091,0.00939952806293314,1664441000.0,1891928666.6666667,1891928666.6666667,858108000.0,1011776533.3333334,1011776533.3333334,0.2763782,0.27316579753753834,0.429811,0.006481484026903768,-114710266.6666667,-152473533.3333333,-152473533.3333333,806333000.0,880152133.3333334,880152133.3333334,3.9549057,0.4323505892193548,None
