Symbol,Name,Sector,Value,Close,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,148.397/-1.03078,83.54,2928.5454
DHI,D.R. Horton  Inc.,Consumer Cyclical,751.51306/-0.7444,89.52,2252.4777
LYB,LyondellBasell Industries NV,Basic Materials,13.9802/-0.86788,99.46,1718.5168
CI,Cigna Corporation,Healthcare,8760.98419/-0.50024,214.76,1714.0151
LEN,Lennar Corporation,Consumer Cyclical,520.09347/-0.48131,102.22,1602.0438
UHS,Universal Health Services  Inc.,Healthcare,658.61467/-0.69042,133.79,1420.5751
BEN,Franklin Resources  Inc.,Financial Services,865.27033/-0.87798,30.45,985.3646
MS,Morgan Stanley,Financial Services,4195746905105564.0/1.57883,100.66,850.0419
CNC,Centene Corporation,Healthcare,383543.85685/-0.26554,68.09,789.8627
FOX,Fox Corporation,Communication Services,407621.71656/-0.27382,40.2,787.6309
AFL,AFLAC Incorporated,Financial Services,11390123.66757/0.38207,56.44,714.0948
BRK.B,Berkshire Hathaway Inc. New,Financial Services,327784487521.2692/0.7647,287.49,650.224
JEF,Jefferies Financial Group Inc.,Financial Services,2435140.73368/0.33579,42.05,615.4115
PGR,Progressive Corporation (The),Financial Services,47536362856.62841/-0.28809,94.5,568.3625
FDX,FedEx Corporation,Industrials,1260.38443/-0.56142,231.3,551.333
NUE,Nucor Corporation,Basic Materials,208.20229/-0.75461,105.16,527.4339
MHK,Mohawk Industries  Inc.,Consumer Cyclical,103483.95482/-0.59896,189.57,481.0524
GM,General Motors Company,Consumer Cyclical,1014071.02549/-0.20894,57.67,464.2174
BIDU,Baidu  Inc.,Communication Services,1942986301144.1145/-1.1138,180.96,442.0694
SEB,Seaboard Corporation,Industrials,51.72348/-1.15439,4195.02,415.8482
CINF,Cincinnati Financial Corporatio,Financial Services,501477.67876/0.03398,119.78,409.0301
KMI,Kinder Morgan  Inc.,Energy,136691168684.83025/0.2292,18.65,407.3985
COF,Capital One Financial Corporati,Financial Services,173613800633.15384/1.34348,173.25,393.9571
INTC,Intel Corporation,Technology,577109.17592/-0.4052,55.37,393.5807
DISH,DISH Network Corporation,Communication Services,75724659062.75641/0.41776,44.48,386.9145
FOXA,Fox Corporation,Communication Services,9750087.34033/0.2296,43.21,380.3703
TRV,The Travelers Companies  Inc.,Financial Services,16651122.66377/0.21563,158.69,377.4154
STLD,Steel Dynamics  Inc.,Basic Materials,112.35751/-0.66397,65.06,377.3254
IVZ,Invesco Ltd,Financial Services,25022.16545/-0.33403,25.42,367.8696
TSN,Tyson Foods  Inc.,Consumer Defensive,2066821.51769/0.28458,81.23,365.2176
NTES,NetEase  Inc.,Communication Services,2.5273049638034684e+16/0.04187,101.37,350.2052
CTVA,Corteva  Inc.,Basic Materials,12718548.37436/-0.25418,44.13,347.5201
CPB,Campbell Soup Company,Consumer Defensive,18063.75531/-0.84074,41.28,330.5346
NVR,NVR  Inc.,Consumer Cyclical,28653.09824/-0.57745,5051.09,321.0206
SRE,DBA Sempra,Utilities,12786411.03496/-0.52511,131.28,303.8752
ALL,Allstate Corporation (The),Financial Services,8265684016.3912/-0.11118,128.34,292.0882
BBY,Best Buy Co.  Inc.,Consumer Cyclical,50.44324/-1.10531,114.53,290.4013
FHN,First Horizon Corporation,Financial Services,211174299226578.7/0.75111,17.27,279.4065
KMPR,Kemper Corporation,Financial Services,201860.70866/-0.28608,65.35,274.4647
RJF,Raymond James Financial  Inc.,Financial Services,2084692588.9079/1.57186,101.67,274.0394
ANTM,Anthem  Inc.,Healthcare,302581270.51369/0.47531,424.05,271.7525
BIO,Bio-Rad Laboratories  Inc.,Healthcare,6969.90907/-1.43359,747.06,270.9038
MET,MetLife  Inc.,Financial Services,28183919.07772/0.28363,66.6,261.4669
SC,Santander Consumer USA Holdings,Financial Services,73824439.1913/0.49721,41.81,250.4352
GS,Goldman Sachs Group  Inc. (The),Financial Services,184172236786.9873/1.33748,407.89,245.297
JD,JD.com  Inc.,Consumer Cyclical,2680.91583/-0.65619,85.53,243.328
ADM,Archer-Daniels-Midland Company,Consumer Defensive,6047807.77247/-0.23751,64.84,241.6936
