Symbol,Name,Sector,Value,Close,Grade
AM,Antero Midstream Corporation,Energy,2e-05/-0.60255,10.47,0.0738
THO,Thor Industries  Inc.,Consumer Cyclical,0.00715/0.02829,111.56,0.0736
IP,International Paper Company,Consumer Cyclical,0.01974/0.04101,48.93,0.0732
CI,Cigna Corporation,Healthcare,0.10786/0.02669,216.98,0.0731
PGR,Progressive Corporation (The),Financial Services,0.0303/0.04696,90.73,0.0728
LMT,Lockheed Martin Corporation,Industrials,0.06404/0.05746,341.99,0.0723
EHC,Encompass Health Corporation,Healthcare,0.07876/0.05852,63.59,0.0722
LAD,Lithia Motors  Inc.,Consumer Cyclical,0.38225/0.0306,299.44,0.0722
UHS,Universal Health Services  Inc.,Healthcare,0.28214/0.03655,127.26,0.0721
UNM,Unum Group,Financial Services,0.55784/0.03061,26.38,0.072
SAIC,SCIENCE APPLICATIONS INTERNATIO,Technology,0.32519/0.03958,87.32,0.072
JD,JD.com  Inc.,Consumer Cyclical,1.0592/0.01845,83.15,0.0719
LYB,LyondellBasell Industries NV,Basic Materials,0.8144/0.03654,91.99,0.0717
WU,Western Union Company (The),Financial Services,0.51259/0.05244,17.09,0.0714
ALL,Allstate Corporation (The),Financial Services,1.43802/0.03452,113.23,0.0713
BAH,Booz Allen Hamilton Holding Cor,Industrials,0.14682/0.07816,88.82,0.0712
LDOS,Leidos Holdings  Inc.,Technology,1.18064/0.04381,93.76,0.0712
QRTEA,Liberty Interactive Corporation,Consumer Cyclical,1.78779/0.02039,8.73,0.0712
KMPR,Kemper Corporation,Financial Services,1.79839/0.02745,59.46,0.0711
RGA,Reinsurance Group of America  I,Financial Services,2.78406/0.02364,111.78,0.0708
PHM,PulteGroup  Inc.,Consumer Cyclical,1.72799/0.05463,52.36,0.0705
HII,Huntington Ingalls Industries  ,Industrials,2.5377/0.04242,186.69,0.0704
RS,Reliance Steel & Aluminum Co.,Basic Materials,0.02319/0.11572,158.5725,0.0703
BWXT,BWX Technologies  Inc.,Industrials,0.21354/0.08973,51.51,0.0703
NEU,NewMarket Corp,Basic Materials,1.16068/0.07156,352.17,0.0703
SNX,TD SYNNEX Corporation,Technology,0.19408/0.1053,113.14,0.07
HPE,Hewlett Packard Enterprise Comp,Technology,0.45306/0.08709,14.55,0.07
FDX,FedEx Corporation,Industrials,3.25703/0.04107,247.35,0.07
CHRW,C.H. Robinson Worldwide  Inc.,Industrials,4.07487/0.04046,94.45,0.0699
OLLI,Ollie's Bargain Outlet Holdings,Consumer Defensive,1.68514/0.08203,67.28,0.0694
BIDU,Baidu  Inc.,Communication Services,4.20186/0.05877,161.82,0.0692
UWMC,UWM Holdings Corporation,Financial Services,1.81444/0.08333,5.95,0.0692
CMI,Cummins Inc.,Industrials,4.62002/0.05552,230.44,0.0691
STLD,Steel Dynamics  Inc.,Basic Materials,0.01707/0.17247,62.96,0.0688
SRE,DBA Sempra,Utilities,0.13003/0.15344,124.24,0.0687
GL,Globe Life Inc.,Financial Services,3.81584/0.07789,94.2,0.0687
VSAT,ViaSat  Inc.,Technology,1.12069/0.11514,53.43,0.0686
MDU,MDU Resources Group  Inc.,Basic Materials,6.19903/0.05405,28.76,0.0686
MCY,Mercury General Corporation,Financial Services,9.08947/0.03241,51.78,0.0686
INTC,Intel Corporation,Technology,2.07561/0.09542,50.23,0.0685
VIAC,ViacomCBS Inc.,Communication Services,9.7007/0.03521,35.08,0.0684
CPB,Campbell Soup Company,Consumer Defensive,6.09311/0.05988,41.59,0.0684
MTZ,MasTec  Inc.,Industrials,5.2252/0.07327,94.7,0.0683
ROST,Ross Stores  Inc.,Consumer Cyclical,3.2192/0.08823,116.52,0.0682
ALSN,Allison Transmission Holdings  ,Consumer Cyclical,4.38283/0.08173,36.75,0.0682
IVZ,Invesco Ltd,Financial Services,0.48415/0.14284,24.94,0.0681
DOX,Amdocs Limited,Technology,3.97109/0.08664,73.46,0.0681
VIACA,ViacomCBS Inc.,Communication Services,10.19175/0.0366,38.15,0.0681
X,United States Steel Corporation,Basic Materials,4.60795/0.08268,24.5,0.068
CAG,ConAgra Brands  Inc.,Consumer Defensive,7.69154/0.06208,31.81,0.068
NTES,NetEase  Inc.,Communication Services,3.0319/0.10068,112.49,0.0679
HUM,Humana Inc.,Healthcare,3.45618/0.09535,438.4,0.0679
EMR,Emerson Electric Company,Industrials,0.25458/0.16746,94.31,0.0678
AMED,Amedisys Inc,Healthcare,4.38887/0.08694,177.85,0.0678
SEB,Seaboard Corporation,Industrials,1.60443/0.13837,3943.05,0.0674
MSM,MSC Industrial Direct Company  ,Industrials,9.80394/0.06595,85.38,0.0673
SLM,SLM Corporation,Financial Services,0.02329/0.22306,18.37,0.0671
STX,Seagate Technology Holdings PLC,Technology,0.03366/0.21874,100.89,0.0671
SCCO,Southern Copper Corporation,Basic Materials,0.31039/0.18892,59.43,0.0671
VZ,Verizon Communications Inc.,Communication Services,9.15573/0.07682,51.73,0.0671
NUE,Nucor Corporation,Basic Materials,0.02712/0.22873,109.11,0.067
CC,Chemours Company (The),Basic Materials,8.17099/0.07841,32.41,0.067
PKG,Packaging Corporation of Americ,Consumer Cyclical,10.77231/0.07007,134.59,0.067
WLTW,Willis Towers Watson Public Lim,Financial Services,4.06185/0.12088,229.7,0.0669
GPN,Global Payments Inc.,Industrials,1.37751/0.16766,125.51,0.0669
NOC,Northrop Grumman Corporation,Industrials,7.92754/0.08638,353.96,0.0668
MHK,Mohawk Industries  Inc.,Consumer Cyclical,16.69801/0.05208,175.03,0.0667
SMG,Scotts Miracle-Gro Company (The,Basic Materials,12.79612/0.07043,168.75,0.0666
WMT,Walmart Inc.,Consumer Defensive,15.61495/0.05942,141.94,0.0666
FHN,First Horizon Corporation,Financial Services,1.47985/0.17747,17.16,0.0665
PII,Polaris Inc.,Consumer Cyclical,17.26304/0.05362,121.84,0.0665
COF,Capital One Financial Corporati,Financial Services,0.23412/0.21767,151.95,0.0664
CDK,CDK Global  Inc.,Technology,5.91796/0.11444,40.91,0.0664
AKAM,Akamai Technologies  Inc.,Technology,0.42559/0.20544,109.82,0.0662
K,Kellogg Company,Consumer Defensive,12.41352/0.08102,62.96,0.0662
THG,Hanover Insurance Group Inc,Financial Services,20.73284/0.04634,126.58,0.0662
TTWO,Take-Two Interactive Software  ,Communication Services,1.33663/0.19428,177.04,0.0661
FL,Foot Locker  Inc.,Consumer Cyclical,12.06049/0.0851,55.59,0.066
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.03307/0.28604,132.86,0.0659
TTC,Toro Company (The),Industrials,5.82813/0.13393,105.31,0.0659
DISH,DISH Network Corporation,Communication Services,20.20009/0.05898,35.46,0.0659
CAT,Caterpillar  Inc.,Industrials,7.95439/0.1088,202.98,0.0659
LPX,Louisiana-Pacific Corporation,Industrials,0.02931/0.29368,66.94,0.0658
XEL,Xcel Energy Inc.,Utilities,6.29307/0.13016,64.97,0.0657
SWK,Stanley Black & Decker  Inc.,Industrials,18.15513/0.07798,193.79,0.0656
VIRT,Virtu Financial  Inc.,Financial Services,7.75612/0.1252,29.01,0.0656
PRI,Primerica  Inc.,Financial Services,6.58509/0.13935,159.94,0.0654
KR,Kroger Company (The),Consumer Defensive,26.90562/0.04951,40.65,0.0653
CMS,CMS Energy Corporation,Utilities,5.58504/0.16024,60.94,0.0651
FCX,Freeport-McMoRan  Inc.,Basic Materials,2.00707/0.20476,38.87,0.0651
