"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
AM,Antero Midstream Corporation,Energy,United States,2.15e-05,744634666.6666666,1.0,-151008733.3333333,-3385997333.3333335,0.125,964980000.0,1.0,345629000.0,1.0,-4495256000.0,0.375,345629000.0,-4495256000.0,964980000.0,744634666.6666666,1.0,-151008733.3333333,964980000.0,1.0,345629000.0,1.0,345629000.0,964980000.0,7.751,7.751,14.301369,13.215189,14.1655965,5.164478,14.1655965,10.015,10.0146289,746903645.381927,746959000.0,557265400.0,746959000.0,0.35817,79046176.466247,0.025,0.1684384,0.5,26348725.6652851,0.5278799,0.32878,0.79,0.73,10.47,0.069723,2.112505,477358016,345079008,0.7228935,522,7479685632,4983617536,661070.8965517,-0.093,0.055,4.7488009,0.0819164,4.7488009,0.0819164,1.1174502,10.8209518,0.0617291,2.7345341,-0.8,125000.0,1161566133.3333333,2.0,751610000.0,1.0,6.439311,9.9515515,9.9515515,0.5518281,0.5,1.3582418,1.0,1.3582418,1.1664363,USD,USD,1.0,1.0,0,0,0,0,10.47,6.56,11.71,9.7666,7.2020969,59.6036585,-10.58924,1.5184466,12.2573657,0.9944001,0.5,0.434146,0.25,0.1330501,3.0,0.0302722,1.0,1.5347074,0.0833333,2.9188039,0.25,0.7037274,1.0,0.9739903,1.0,0.444146,0.0402722,2.9288039,0.9839903,0.7140681,4676265133.333333,1.0,3707035733.333333,0.6666667,3707035733.333333,2133151600.0,1.0,1572311777.7777777,0.6666667,1572311777.7777777,0.193236,0.3198222,-38048666.6666667,-7394866.6666667,-7394866.6666667,5086227066.666667,2.0,3202085933.3333335,1.0,3202085933.3333335,0.0397374,None
ZION,Zions Bancorporation N.A.,Financial Services,United States,0.0030272,2577000000.0,1.0,662400000.0,8030266666.666667,2.0,9495000000.0,3.0,2270000000.0,2.0,26727000000.0,1.5,2270000000.0,26727000000.0,9495000000.0,2577000000.0,1.0,662400000.0,9495000000.0,3.0,2270000000.0,2.0,2270000000.0,9495000000.0,0.156,0.156,13.462086,15.258064,13.6865832,3.391027,18.2487777,0,100000,0.0,12000000.0,133666666.6666667,12000000.0,0.3548,2.4110329,10.0,9564.2051771,25000.0,3188.9913367,0.85429,0.01542,4.34,4.919,66.29,0.0742043,1.4723408,163816000,1088999936,6.6477019,9727,497612288,10847895552,111956.4034132,4.364,0.725,-0.1454923,-0.0694743,-0.1454923,-0.0694743,3.2366269,18.2406279,0.5263814,7.5052149,-0.27,370370.3703704,788000000.0,1.0,302000000.0,0.5,0.6314877,1.6477228,1.6477228,9.5033096,1.0,10.3593233,1.0,10.3593233,3.2195903,USD,USD,1.0,1.0,0,0,0,0,66.29,38.44,67.75,56.99745,16.3034487,72.4505723,-2.1549815,1.9003753,47.1016651,0.371374,0.3333333,0.5515187,0.5,0.0,1.0,0.0,1.0,72.2842335,1.0,72.7646976,1.0,0.0836389,1.0,0.3024772,2.0,0.5615187,0.01,72.7746976,0.3124772,0.4369979,150973333333.33334,2.0,127946300000.0,1.5,127946300000.0,7123000000.0,1.0,11195400000.0,1.5,11195400000.0,0.1177418,0.3027618,-59911000000.0,-63662266666.666664,-63662266666.666664,135595333333.33333,2.0,116002700000.0,1.5,116002700000.0,1e-05,None
THO,"Thor Industries, Inc.",Consumer Cyclical,United States,0.0071507,10351279800.0,1.0,457838200.0,4949981866.666667,2.0,36952140000.0,3.0,1319744000.0,2.0,15041731500.0,1.5,1319744000.0,15041731500.0,36952140000.0,10351279800.0,1.0,457838200.0,36952140000.0,3.0,1319744000.0,2.0,1319744000.0,36952140000.0,0.616,0.616,11.31101,10.09692,11.1592487,0.5010539,11.1592487,6.667,6.6670078,1138457649.6925154,1138455000.0,887217666.6666666,1138455000.0,0.05357,0.4688052,10.0,1444.498204,25000.0,481.6745264,0.92436,0.0435,11.04,9.855,111.56,0.0883381,2.2584436,55366200,659872000,11.9183184,31000,7590114816,6171670528,21286.1935484,0.932,0.546,1.2133652,0.2933481,1.2133652,0.2933481,1.0023413,10.2616996,0.482837,7.1986475,0.46,0.46,523877733.3333333,1.0,394861500.0,0.75,14.4883325,19.2222205,19.2222205,2.6545364,2.0,2.7081718,2.0,2.7081718,1.6466524,USD,USD,1.0,1.0,0,0,0,0,111.56,91.58,152.2,120.458,-7.386807,21.8169906,-26.7017083,0.6591884,0.6601884,3.6776405,2.0,1.7488431,1.0,0.084604,1.0,0.2100208,2.0,0.7321068,1.0,0.3066119,0.5,1.5042798,1.0,1.5143704,1.0,1.7588431,0.2200208,0.3166119,1.5243704,1.6416068,12055746800.0,2.0,6579239066.666667,1.0,6579239066.666667,5168061733.333333,2.0,4183875100.0,1.5,4183875100.0,0.3005922,0.4154358,809219733.3333334,929018800.0,929018800.0,3421518666.6666665,1.0,3763873800.0,1.0,3763873800.0,3.2467696,None
CACI,"CACI International, Inc.",Technology,United States,0.012677,22846344000.0,4.0,385189533.3333333,5784852000.0,2.0,18132405000.0,3.0,914886000.0,2.0,17997376500.0,1.5,914886000.0,17997376500.0,18132405000.0,22846344000.0,4.0,385189533.3333333,18132405000.0,3.0,914886000.0,2.0,914886000.0,18132405000.0,1.456,1.456,16.764868,16.091711,16.6807234,1.0665376,5.5602411,13.241,13.2411153,664825581.0739369,664814000.0,595495466.6666666,664814000.0,0.07568,9.9210157,140.0,2033.3125966,25000.0,681.1040974,0.92134,0.01669,17.01,16.327,278.7,0.0585827,2.5587287,23550700,457443008,19.4237542,22000,8803108864,6446297600,20792.864,0.461,0.046,0.2849092,0.0909954,0.2849092,0.0909954,0.4169773,6.7073779,0.0572489,2.6426733,2.87,2.87,549639600.0,1.0,592215000.0,1.0,16.0161474,14.8647178,14.8647178,1.2041973,1.0,1.2807434,1.0,1.2807434,1.1326993,USD,USD,1.0,1.0,0,0,0,0,278.7,215.18,290.71,258.253,7.9174298,29.5194721,-4.1312648,1.6819807,22.6425848,1.8409585,1.0,1.7877352,1.0,0.20246,12.0,0.0240672,1.0,0.3419979,1.0,0.7107976,2.0,1.4928818,1.0,0.7143451,0.5,1.7977352,0.0340672,0.7207976,0.7243451,1.2610401,11434234133.333334,2.0,6060931600.0,1.0,6060931600.0,5175367733.333333,2.0,2662540133.3333335,1.0,2662540133.3333335,0.2509481,0.443614,393980933.3333333,367166533.3333333,367166533.3333333,6258596400.0,2.0,3398256466.6666665,1.0,3398256466.6666665,2.9532517,None
RJF,"Raymond James Financial, Inc.",Financial Services,United States,0.013613,30314133333.333332,4.0,868666666.6666666,11969607200.0,2.0,25383000000.0,3.0,2096000000.0,2.0,39774000000.0,1.5,2096000000.0,39774000000.0,25383000000.0,30314133333.333332,4.0,868666666.6666666,25383000000.0,3.0,2096000000.0,2.0,2096000000.0,25383000000.0,0.573,0.573,13.074663,10.525806,12.7560559,1.589865,17.0080745,0,100000,0.0,71000000.0,64400000.0,71000000.0,0.12386,15.6025677,140.0,3398.8465641,25000.0,1138.1919973,0.73487,0.10833,9.3,7.487,98.54,0.0759793,1.7684678,137418000,1047000000,7.6190892,14800,4850935808,13451847680,70743.2432432,1.101,0.257,-0.0107195,0.0420164,-0.0107195,0.0420164,0.8230701,9.3223212,0.2032541,4.7583711,0.72,0.72,1212766666.6666667,0.5,913500000.0,0.5,3.9998921,5.3102746,5.3102746,5.3228638,1.0,12.3839865,2.0,12.3839865,3.5200889,USD,USD,1.0,1.0,0,0,0,0,98.54,60.386665,103.46,88.75803,11.0209409,63.1817223,-4.755461,1.7715524,30.9117802,1.1907787,1.0,0.5815863,0.5,0.2554175,0.5,0.520549,1.0,0.0078601,0.1666667,0.0266589,0.5,8.1455035,2.0,3.1552395,1.0,0.5915863,0.530549,0.0366589,3.1652395,1.8784129,85984727466.66667,2.0,80280200000.0,1.5,80280200000.0,13540495066.666666,2.0,11138100000.0,1.5,11138100000.0,0.1261086,0.2881829,26091582333.333332,28351733333.333332,28351733333.333332,72307747333.33333,2.0,69058700000.0,1.5,69058700000.0,0.3876151,None
STLD,"Steel Dynamics, Inc.",Basic Materials,United States,0.0170733,10123619666.666666,1.0,694699133.3333334,8872035866.666666,2.0,38825946000.0,3.0,2841568000.0,2.0,30450855000.0,1.5,2841568000.0,30450855000.0,38825946000.0,10123619666.666666,1.0,694699133.3333334,38825946000.0,3.0,2841568000.0,2.0,2841568000.0,38825946000.0,1.094,1.094,17.008022,10.0173235,16.1341847,1.038144,16.1341847,6.092,6.0919191,2324662260.013132,2324724000.0,1347710800.0,2324724000.0,0.10978,0.6127787,10.0,3219.0416756,25000.0,1073.2557448,0.84953,0.05011,6.35,3.74,62.96,0.0594028,2.8412542,211219008,1420784000,6.7265916,9625,14161466368,13435640832,147613.9220779,8.302,1.132,-0.1574265,-0.0457518,-0.1574265,-0.0457518,6.1871434,25.1239691,0.837562,9.4018416,0.17,0.17,1136784933.3333333,1.0,1139162000.0,1.0,12.4574719,12.4314771,12.4314771,1.0789792,1.0,1.1261092,1.0,1.1261092,1.0621829,USD,USD,1.0,1.0,0,0,0,0,62.96,33.77,74.37,58.89295,6.9058351,86.4376666,-15.3422079,1.437931,8.8395131,1.9269357,1.0,1.8896592,1.0,29.6356685,1.0,2.4807136,0.25,0.0285764,0.5,0.0770308,0.5,7.4554725,2.0,2.9717822,1.0,1.8996592,2.4907136,0.0870308,2.9817822,2.4407207,17265388533.333332,2.0,15315891200.0,1.5,15315891200.0,8304848533.333333,2.0,7196759100.0,1.5,7196759100.0,0.2855307,0.4948399,3043296733.3333335,3261624466.6666665,3261624466.6666665,8981922666.666666,2.0,8108005700.0,1.5,8108005700.0,2.6587869,None
IP,International Paper Company,Consumer Cyclical,United States,0.0197392,21499933333.333332,1.0,994933333.3333334,7953466666.666667,1.0,65796000000.0,3.0,3596000000.0,2.0,50743500000.0,1.5,3596000000.0,50743500000.0,65796000000.0,21499933333.333332,1.0,994933333.3333334,65796000000.0,3.0,3596000000.0,2.0,3596000000.0,65796000000.0,1.148,1.148,19.808321,9.044693,18.4628675,0.8675344,18.4628675,7.832,7.8320209,3216017193.054137,3216000000.0,3270733333.3333335,3216000000.0,0.08198,0.0008291,0.025,2794.5131203,25000.0,931.5329764,0.84235,0.00228,5.37,2.452,48.93,0.0501124,2.4522872,391739008,1798000000,4.5897906,38000,25187981312,19026763776,47315.7894737,3.235,0.115,-0.4671423,-0.0469973,-0.4671423,-0.0469973,2.3094644,15.4469222,0.0745007,2.9794813,0.48,0.48,3143533333.3333335,1.0,2712000000.0,1.0,8.0126338,9.2876037,9.2876037,6.5280074,2.0,4.8947421,2.0,4.8947421,2.2134064,USD,USD,1.0,1.0,0,0,0,0,48.93,44.015152,61.808712,54.203682,-9.7293796,11.1662638,-20.8364025,0.55243,0.55343,3.9281454,3.0,1.4207429,1.0,0.6969596,1.0,2.6273204,2.0,0.3288567,0.5,0.4790454,1.0,1.2350271,1.0,1.7847731,1.0,1.4307429,2.6373204,0.4890454,1.7947731,1.612758,16289433333.333334,0.5,20276977777.77778,0.6666667,20276977777.77778,15324000000.0,2.0,8916933333.333334,1.0,8916933333.333334,0.277344,0.5032777,1557800000.0,4430266666.666667,4430266666.666667,12452000000.0,0.5,14329866666.666666,0.6666667,14329866666.666666,2.8862828,None
RS,Reliance Steel & Aluminum Co.,Basic Materials,United States,0.0231906,9812026666.666666,1.0,509306666.6666667,10096466666.666666,2.0,31430700000.0,3.0,1646400000.0,2.0,32151900000.0,1.5,1646400000.0,32151900000.0,31430700000.0,9812026666.666666,1.0,509306666.6666667,31430700000.0,3.0,1646400000.0,2.0,1646400000.0,31430700000.0,0.985,0.985,18.053804,14.687729,17.6330446,0.9752974,17.6330446,7.354,7.3477844,1405923419.6355724,1408300000.0,1040973333.3333334,1408300000.0,0.07857,0.4689879,10.0,2190.7926703,25000.0,730.4477427,0.85299,0.00793,10.92,8.884,158.5725,0.0560248,1.9124784,63707800,823200000,12.9214947,12800,10321683456,10218093568,64312.5,3.103,0.693,-0.2354702,-0.0998127,-0.2354702,-0.0998127,2.2683824,15.3111502,0.4947968,7.2841796,0.53,0.53,1087880000.0,1.0,526600000.0,0.6666667,9.4878879,19.6006142,19.6006142,0.6001592,1.0,0.5882029,1.0,0.5882029,0.7679439,USD,USD,1.0,1.0,0,0,0,0,158.5725,114.26,181.21,153.0224,3.6269853,38.7821635,-12.4924121,1.3237491,5.3806408,2.6803074,1.0,2.7024937,1.0,0.0,1.0,0.0,1.0,0.1814565,1.0,0.0975689,0.5,9.6250657,2.0,4.4982917,1.0,2.7124937,0.01,0.1075689,4.5082917,3.6103927,8081306666.666667,1.0,12984830000.0,1.5,12984830000.0,5050660000.0,1.0,8169540000.0,1.5,8169540000.0,0.2267941,0.3015291,2457160000.0,2852753333.3333335,2852753333.3333335,3021513333.3333335,1.0,4804760000.0,1.5,4804760000.0,2.7899944,None
SLM,SLM Corporation,Financial Services,United States,0.0232875,5894295466.666667,4.0,708167333.3333334,1648612266.6666667,1.0,2331107000.0,1.0,1385136000.0,1.0,11785015500.0,1.5,1385136000.0,11785015500.0,2331107000.0,5894295466.666667,4.0,708167333.3333334,2331107000.0,1.0,1385136000.0,1.0,1385136000.0,2331107000.0,2.663,2.663,6.0032578,7.143411,6.145777,2.4679859,8.1943693,0,100000,0.0,14934000.0,14535533.3333333,14934000.0,0.58856,6932.0544694,14000.0,5.2622309,10.0,2312.6360868,0.9965,0.00558,2.58,3.07,18.37,0.1671203,2.56721,315152000,1378951040,4.375511,1600,6266992640,5808251392,861844.4,0.4502166,20.894,0.4502166,0.2471072,0.4502166,0.2471072,0.4502166,6.9598182,15.7322768,39.9139342,0.29,0.29,-253407600.0,0.5,-600914000.0,0.5,4043.5279656,1042910.0736545,1042910.0736545,11.0447287,1.0,25.5356058,2.0,25.5356058,5.0542767,USD,USD,1.0,1.0,0,0,0,0,18.37,10.53,21.4,18.4985,-0.6946509,74.4539411,-14.1588785,1.4425023,9.0094667,0.3679381,0.3333333,2.1764846,2.0,1.2066481,1.0,0.301662,1.0,0.0123794,0.1666667,0.1115395,1.0,1.2937807,1.0,1.2429007,1.0,2.1864846,0.311662,0.1215395,1.2529007,1.7196926,30131015333.333332,1.0,29739779133.333332,1.0,29739779133.333332,2490735466.6666665,1.0,2151467733.3333335,1.0,2151467733.3333335,0.1465752,0.7438098,6446754066.666667,5346661400.0,5346661400.0,27319709200.0,1.0,18218208488.888885,0.6666667,18218208488.888885,0.2600476,None
NUE,Nucor Corporation,Basic Materials,United States,0.0271162,21457309800.0,1.0,1126436933.3333333,21913285200.0,2.0,63199077000.0,3.0,5696286000.0,2.0,72190188000.0,1.5,5696286000.0,72190188000.0,63199077000.0,21457309800.0,1.0,1126436933.3333333,77982957000.0,3.0,6083116000.0,2.0,6083116000.0,77982957000.0,1.283,1.283,20.73895,16.118326,20.161372,1.2858704,20.161372,6.496,6.4966278,5134189435.96059,5133197000.0,2737342866.6666665,5133197000.0,0.11701,0.4276334,10.0,3679.3496465,25000.0,1226.63243,0.8018801,0.005,6.93,5.386,109.11,0.049363,2.919956,299241984,3037201920,10.1496517,26400,33358141440,33425328128,115045.5272727,12.84,1.031,-0.2660811,-0.0562426,-0.2660811,-0.0562426,9.5634797,31.1748763,0.7591894,8.9631473,0.2,0.2,2577060666.6666665,1.0,3230095000.0,1.0,12.9442593,10.3272942,10.3272942,1.5815159,2.0,0.8314434,1.0,0.8314434,0.9128352,USD,USD,1.0,1.0,0,0,0,0,109.11,47.94,128.81,95.2792,14.5160749,127.5969962,-15.2938436,1.5127983,11.9863291,4.6408012,2.0,2.2482953,1.0,0.2668875,0.5,0.4952461,0.5,1.1510857,6.0,0.6614442,1.0,10.1625829,3.0,1.6624749,0.5,2.2582953,0.5052461,0.6714442,1.6724749,1.9653851,38141900000.0,2.0,32842435300.0,1.5,32842435300.0,20808530133.333332,2.0,17570052800.0,1.5,17570052800.0,0.2852212,0.4462207,6239759066.666667,7698453866.666667,7698453866.666667,8237062266.666667,1.0,14611946400.0,1.5,14611946400.0,2.6779298,None
