"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
BBWI,"Bath & Body Works, Inc.",Consumer Cyclical,United States,7.019978664270121e+18,12369200000.0,1.0,503933333.3333333,-6531733333.333333,0.25,14215000000.0,1.0,1842000000.0,1.0,-25400000000.0,0.25,1842000000.0,-25400000000.0,14215000000.0,12369200000.0,1.0,503933333.3333333,14215000000.0,1.0,1842000000.0,1.0,1842000000.0,14215000000.0,1.693,1.693,13.0630624,13.0630624,13.0630624,1.6927303,13.0630624,6.734,6.7341105,3573117233.145233,3573000000.0,2191666666.6666665,3573000000.0,0.12952,0.0051511,0.1,0.3178068,2.75,0.151826,0.83983,0.05323,0,0,74.45,0.0,1000.0,100000000,1840999936,18.4099994,22400,24062160896,24062160896,82187.4971429,0.2364482,0.431,0.2364482,-0.0473432,0.2364482,-0.0473432,0.2364482,5.1125939,0.3114142,5.8304498,1.6,1.6,1694400000.0,1.0,2326000000.0,1.0,14.200992,10.3448671,10.3448671,-28.1673807,0.5,-13.7315396,1.0,-13.7315396,1374.1539608,USD,USD,1.0,1.0,0,0,0,0,74.45,29.183508,82,58.19082,27.9411426,155.1098381,-9.2073171,1.7141045,25.3643475,0.459183,0.5,0.9170569,1.0,0.2200615,1.0,1.4672348,1.0,0.8395065,3.0,0.3205298,1.0,1.7446582,1.0,3.4757935,2.0,0.9270569,1.4772348,0.3305298,3.4857935,2.2064252,10493133333.333334,1.0,10641533333.333334,1.0,10641533333.333334,-918866666.6666666,1.0,-969333333.3333334,1.0,-969333333.3333334,0.2730954,1e-06,1955066666.6666667,1996200000.0,1996200000.0,22819466666.666668,2.0,11609666666.666666,1.0,11609666666.666666,0.1427213,None
CRUS,"Cirrus Logic, Inc.",Technology,United States,1098490.0308861,1332104666.6666667,1.0,181248066.6666667,-611317600.0,0.25,1522471000.0,1.0,241954000.0,1.0,-1505412000.0,0.25,241954000.0,-1505412000.0,1522471000.0,1332104666.6666667,1.0,181248066.6666667,1522471000.0,1.0,241954000.0,1.0,241954000.0,1522471000.0,2.818,2.818,22.331491,15.666666,21.4983879,3.0544772,7.1661293,13.426,13.4259359,319597946.1492627,319601000.0,268448533.3333333,319601000.0,0.15892,0.7019015,4.75,0.3881509,2.75,0.4173241,0.91441,0.00653,5.16,3.62,80.24,0.0451147,3.3553312,57525400,241954000,4.2060377,1481,4290881024,4650353152,163372.0459149,0.431,0.341,0.3644247,0.0300165,0.3644247,0.0300165,0.4143562,6.6870505,0.2632541,5.3808296,1.69,1.69,313794600.0,1.0,154592000.0,0.5,13.674171,27.7561648,27.7561648,0.2884935,1.0,0.4152364,1.0,0.4152364,0.6453884,USD,USD,1.0,1.0,0,0,0,0,80.24,71.11,103.25,81.4852,-1.5281303,12.8392631,-22.2857143,0.5681394,0.5691394,4.5855307,1.0,3.5928306,1.0,0.9233329,1.0,5.6521001,4.0,0.6129552,1.0,1.5670028,1.0,8.4191232,2.0,3.0273685,1.0,3.6028306,5.6621001,1.5770028,3.0373685,3.3200995,1676734466.6666667,1.0,2036810733.3333333,1.0,2036810733.3333333,1298224266.6666667,1.0,1436667400.0,1.0,1436667400.0,0.2187906,0.2684134,565990600.0,538485266.6666666,538485266.6666666,378510200.0,1.0,600143333.3333334,1.0,600143333.3333334,2.2797006,None
DOW,Dow Inc.,Basic Materials,United States,7167.5626131,41538533333.333336,1.0,940733333.3333334,9642428571.428572,0.5,153930000000.0,3.0,5811000000.0,1.0,106120500000.0,1.5,5811000000.0,106120500000.0,153930000000.0,41538533333.333336,1.0,940733333.3333334,153930000000.0,3.0,5811000000.0,1.0,5811000000.0,153930000000.0,1.102,1.102,7.4419208,8.821539,7.6143731,0.8265342,7.6143731,5.642,5.6487061,9997766678.482807,9974000000.0,6188400000.0,9974000000.0,0.11325,0.0022503,0.1,3.1819723,27.4725,1.1001575,0.67598,0.00141,6.5,7.705,57.98,0.1328907,2.5798614,739614016,5785999872,7.8229992,35700,56541491200,42409467904,162072.8255462,1.5686636,0.528,1.5686636,-0.0777897,1.5686636,-0.0777897,1.5686636,12.7746301,0.3765526,6.3863881,0.11,0.11,5140466666.666667,1.0,2071500000.0,0.5,10.9992915,27.2949511,27.2949511,3.4270324,1.0,5.8572388,2.0,5.8572388,2.4211733,USD,USD,1.0,1.0,0.7,0.7,0.7,0.7,0.0250268,51.33,71.38,62.33035,-6.9795052,12.9553867,-18.7727655,0.6633416,0.6643416,0.4453253,0.3333333,5.4308802,4.0,0.1316377,0.1666667,0.3544642,1.0,0.5222227,3.0,0.1735147,1.0,1.7933795,1.0,0.8153475,0.5,5.4408802,0.3644642,0.1835147,0.8253475,3.1331138,64375285714.28571,1.0,61560533333.333336,1.0,61560533333.333336,7807500000.0,0.5,23424500000.0,1.5,23424500000.0,0.1943949,0.3480736,9714142857.142857,7771333333.333333,7771333333.333333,48114000000.0,1.0,30241822222.22222,0.6666667,30241822222.22222,2.5382421,None
DOX,Amdocs Limited,Technology,United States,1062990.3175602,16835586933.333334,4.0,587442666.6666666,10304893428.571428,2.0,4288640000.0,1.0,688374000.0,1.0,17166249000.0,1.5,688374000.0,17166249000.0,4288640000.0,16835586933.333334,4.0,587442666.6666666,4288640000.0,1.0,688374000.0,1.0,688374000.0,4288640000.0,2.126,2.126,13.674811,14.816701,13.8175472,2.1476536,4.6058491,11.034,11.0350101,826293281.6748233,826142000.0,803999200.0,826142000.0,0.16051,88.1749788,588.2132813,0.359335,2.75,29.5659413,0.91652,0.00067,4.91,5.32,73.45,0.0724302,2.549858,126605000,688374016,5.4371788,28000,9118989312,9210513408,24584.7862857,-0.081,0.033,0.2800671,0.0261712,0.2800671,0.0261712,0.0092668,1.2126406,0.0312928,2.0189769,2.26,2.26,1587867066.6666667,2.0,925807000.0,1.0,5.7429173,9.8497736,9.8497736,0.726601,1.0,1.6022282,2.0,1.6022282,1.2667915,USD,USD,1.0,1.0,0.36,0.36,0.36,0.328,0.1093321,64.65,82.38,77.45455,-5.1701934,13.6117556,-10.8400097,0.9926678,0.9936678,2.4344484,1.0,2.263063,1.0,0.4364852,12.0,0.0029248,0.125,4.9487101,6.0,1.5608104,2.0,1.5741049,1.0,0.415234,0.25,2.273063,0.0129248,1.5708104,0.425234,1.3491485,6226276200.0,1.0,4374902755.555555,0.6666667,4374902755.555555,3578718466.6666665,1.0,3620054000.0,1.0,3620054000.0,0.2573461,0.2901557,726908533.3333334,863762666.6666666,863762666.6666666,2605005133.3333335,1.0,1933194088.8888888,0.6666667,1933194088.8888888,3.1925606,None
EFX,"Equifax, Inc.",Industrials,United States,71211146448.63799,15263146666.666666,4.0,255513333.3333333,4195853333.3333335,1.0,13903500000.0,3.0,728300000.0,1.0,17456200000.0,1.0,728300000.0,17456200000.0,13903500000.0,15263146666.666666,4.0,255513333.3333333,13903500000.0,3.0,728300000.0,1.0,728300000.0,13903500000.0,7.686,7.686,58.64733,34.50955,55.6301075,7.5941935,55.6301075,24.629,24.6123544,1448242405.4569817,1450200000.0,982306666.6666666,1450200000.0,0.15529,0.0626275,0.777,4.4405539,27.4725,1.5538238,0.92987,0.00425,8.38,4.931,290.62,0.0169672,10.607028,121703000,719699968,5.9135762,11000,35620548608,35195289600,65427.2698182,1.147,0.256,0.2183844,0.1111058,0.2183844,0.1111058,0.9148461,9.8147587,0.2197765,4.9380322,2.72,2.72,732346666.6666666,1.0,1215300000.0,1.0,48.6389168,29.3100869,29.3100869,0.9398064,0.5,1.8200464,1.0,1.8200464,1.350091,USD,USD,1.0,1.0,0.39,0.39,0.39,0.39,290.62,161.87,292.11,234.68954,23.8316799,79.5391363,-0.5100818,1.9771192,59.7306272,0.779547,0.5,3.1191504,2.0,0.0707931,1.0,0.0667173,1.0,3.5840005,6.0,0.5023952,1.0,0.9548784,1.0,0.7652628,1.0,3.1291504,0.0767173,0.5123952,0.7752628,1.9522066,8671346666.666666,1.0,9458226666.666666,1.0,9458226666.666666,3003440000.0,1.0,5022180000.0,1.5,5022180000.0,0.1770017,0.2450167,-77420000.0,-477426666.6666667,-477426666.6666667,11246106666.666666,2.0,6071280000.0,1.0,6071280000.0,2.8243185,None
EQIX,"Equinix, Inc.",Real Estate,United States,2068238356624.6638,22450577333.333332,4.0,396781066.6666667,0,1.0,6542705000.0,1.0,427911000.0,1.0,0,1.0,427911000.0,0,6542705000.0,22450577333.333332,4.0,396781066.6666667,6542705000.0,1.0,427911000.0,1.0,427911000.0,6542705000.0,12.943,12.943,166.25133,103.61761,158.422115,10.8518095,158.422115,30.516,30.5160582,2775013580.744528,2775003000.0,2400147133.3333335,2775003000.0,0.0654,2.5138158,36.9075,0.2038958,2.75,0.9287039,0.9723,0.00326,7.61,4.743,792.84,0.0059823,6.7179265,90041200,427911008,4.7523912,10801,84682637312,71000186880,39617.7213221,1.283,0.112,0.0372553,0.0961444,0.0372553,0.0961444,0.9715638,10.1067937,0.1080361,3.5368847,3.87,3.87,4202614000.0,2.0,2341249000.0,1.0,20.1499917,36.1698552,36.1698552,1.6332041,1.0,3.2296783,2.0,3.2296783,1.7981306,USD,USD,1.0,1.0,2.87,2.87,2.87,2.87,0.1083266,586.73,885.26,765.9023,3.5171196,35.1285941,-10.4398708,1.3808327,6.9318071,1.6147251,1.0,0.8097018,0.5,0.2460711,1.0,4.3130013,4.0,0.7034253,1.0,1.8225974,2.0,1.2919164,1.0,1.6595369,1.0,0.8197018,4.3230013,1.8325974,1.6695369,1.2446193,49479722800.0,2.0,27703687800.0,1.0,27703687800.0,18896356800.0,2.0,10594909866.666666,1.0,10594909866.666666,0.115446,0.1403884,561787533.3333334,1160551266.6666667,1160551266.6666667,30583346800.0,2.0,17108891800.0,1.0,17108891800.0,1.7626487,None
HII,"Huntington Ingalls Industries, ",Industrials,United States,346940.6136554,35807200000.0,4.0,661000000.0,6294000000.0,2.0,9580000000.0,1.0,748000000.0,1.0,21324000000.0,1.5,748000000.0,21324000000.0,9580000000.0,35807200000.0,4.0,661000000.0,9580000000.0,1.0,748000000.0,1.0,748000000.0,9580000000.0,0.992,0.992,11.160058,12.727835,11.3560301,0.7777265,11.3560301,8.14,8.1398938,1167969525.307125,1168000000.0,1098133333.3333333,1168000000.0,0.07808,2.7002909,36.9075,0.0457884,0.6875,0.9423864,0.87411,0.02214,14.55,16.594,186.69,0.0888853,3.771153,40232300,748000000,18.5920268,41000,9507023872,7450619904,18243.902439,1.434,0.101,0.1613912,0.0690428,0.1613912,0.0690428,1.1158478,10.8133697,0.0930107,3.2997658,21.69,21.69,998000000.0,1.0,963000000.0,1.0,9.526076,9.8722989,9.8722989,1.636136,0.5,6.1533037,2.0,6.1533037,2.4815854,USD,USD,1.0,1.0,1.14,1.14,1.14,1.14,186.69,156.36,224.13,202.4667,-7.7922444,19.3975441,-16.7045911,0.8950863,0.8960863,1.3067847,1.0,5.3040464,4.0,0.3649784,3.0,0.2879207,2.0,0.1810817,1.0,0.4521791,2.0,0.5349131,0.5,0.5494783,0.5,5.3140464,0.2979207,0.4621791,0.5594783,2.9367624,15002666666.666666,2.0,8178066666.666667,1.0,8178066666.666667,1756666666.6666667,1.0,3013400000.0,1.5,3013400000.0,0.1914642,0.3482246,130666666.6666667,216533333.3333333,216533333.3333333,11489333333.333334,2.0,4112755555.5555553,0.6666667,4112755555.5555553,2.5321722,None
ITT,ITT Inc.,Industrials,United States,406688009908019.4,2618900000.0,1.0,177420000.0,2274713333.3333335,1.0,2689800000.0,1.0,16225000.0,0.25,9343700000.0,1.0,16225000.0,9343700000.0,2689800000.0,2618900000.0,1.0,177420000.0,2689800000.0,1.0,16225000.0,0.25,16225000.0,2689800000.0,2.793,2.793,124.34679,23.061674,111.6861505,3.3514276,111.6861505,19.041,19.0530029,393996729.4784938,393500000.0,396920000.0,393500000.0,0.02413,0.2363941,4.75,0.0055171,0.1,0.0896804,0.98594,0.00487,4.54,0.842,104.42,0.0080636,4.2802825,86100000,63600000,0.738676,9700,7511549952,9014669312,6556.7010309,-0.188,0.344,-0.1742031,-0.0546246,-0.1742031,-0.0546246,-0.1845508,0.2315449,0.2443438,5.1931148,1.34,1.34,393973333.3333333,1.0,950000.0,0.5,19.066138,7906.8946863,7906.8946863,2.0716082,2.0,0.797854,1.0,0.797854,0.8942267,USD,USD,1.0,1.0,0.22,0.22,0.22,0.169,104.42,72.42,105.54,92.29115,13.1419426,44.1866888,-1.061209,1.9323671,52.0640412,3.9437845,2.0,9.3178943,4.0,0.3479239,0.5,0.6012162,1.0,1.1196174,2.0,0.273771,0.5,12.4811976,6.0,2.0085374,1.0,9.3278943,0.6112162,0.283771,2.0185374,5.6732158,8272720000.0,2.0,3809920000.0,1.0,3809920000.0,4073560000.0,2.0,2120246666.6666667,1.0,2120246666.6666667,0.1042586,0.1076524,936273333.3333334,875266666.6666666,875266666.6666666,2097560000.0,1.0,1125088888.8888888,0.6666667,1125088888.8888888,3.0925459,None
L,Loews Corporation,Financial Services,United States,7504176820834.83,13458600000.0,1.0,-85600000.0,14942266666.666666,1.0,14765000000.0,1.0,1551000000.0,1.0,58113000000.0,1.0,1551000000.0,58113000000.0,14765000000.0,13458600000.0,1.0,-85600000.0,14765000000.0,1.0,1551000000.0,1.0,1551000000.0,14765000000.0,1.315,1.315,9.6192441,19.548275,10.8603729,1.0104604,14.4804972,5.81,5.7969884,3355968472.289157,3371000000.0,1545200000.0,3371000000.0,0.10505,-0.4096505,0.1,0.3760677,2.75,0.0248224,0.65758,0.16246,2.9,-0.143,57.17,-0.0025013,0.8658267,263176000,1551000064,5.8933948,12200,19410843648,14919447552,127131.1527869,-0.5032558,0.733,-0.5032558,-0.0698396,-0.5032558,-0.0698396,-0.5032558,0.1996744,0.5322901,7.5458214,-21.5802239,4633.872228,2130533333.3333333,1.0,1848000000.0,1.0,9.1107909,10.5037033,10.5037033,3.2653565,1.0,1.7366136,0.5,1.7366136,1.3188064,USD,USD,1.0,1.0,0.0625,0.063,0.0625,0.063,57.17,41.74,59.39,54.53715,4.8276267,36.9669382,-3.738003,1.7484419,28.5698047,0.224061,0.1666667,0.6545051,0.5,0.1668628,0.1666667,0.061341,0.125,0.2034892,1.0,0.2646196,1.0,0.4736847,1.0,0.4883773,1.0,0.6645051,0.071341,0.2746196,0.4983773,0.5814412,80471866666.66667,1.0,80854666666.66667,1.0,80854666666.66667,18373066666.666668,1.0,17789066666.666668,1.0,17789066666.666668,0.1191826,0.1871884,-14363066666.666666,-15136466666.666666,-15136466666.666666,119809600000.0,2.0,92650600000.0,1.5,92650600000.0,0.299445,None
LH,Laboratory Corporation of Ameri,Healthcare,United States,38435512056.289406,50939200000.0,4.0,1249233333.3333333,16958466666.666666,2.0,15316200000.0,1.0,2642900000.0,1.0,53698200000.0,1.5,2642900000.0,53698200000.0,15316200000.0,50939200000.0,4.0,1249233333.3333333,15316200000.0,1.0,2642900000.0,1.0,2642900000.0,15316200000.0,1.998,1.998,10.689745,18.001877,11.6037615,1.8338603,11.6037615,6.898,6.8265168,4531089671.209046,4625000000.0,2963400000.0,4625000000.0,0.17256,3.7759402,36.9075,0.506024,2.75,1.4858414,0.94357,0.00587,15.97,26.894,289.73,0.0928244,2.8056288,97700000,2642899968,27.0511767,70000,30607663104,28087771136,37755.7138286,0.4486149,0.474,0.4486149,0.1396535,0.4486149,0.1396535,0.4486149,6.947872,0.3904134,6.4983068,-1.33,75187.9699248,1798006666.6666667,1.0,3089100000.0,1.0,17.0231088,9.9082785,9.9082785,2.5003065,2.0,1.1213367,1.0,1.1213367,1.0599318,USD,USD,1.0,1.0,0.2,0.2,0.2,0.2,289.73,195.39,309.6,272.60046,6.2837532,48.2829213,-6.4179587,1.6520445,20.3296741,1.8089474,1.0,7.6088063,4.0,0.1468936,1.0,0.0367234,1.0,0.2619754,1.0,0.3057543,1.0,2.9437635,2.0,6.3702921,4.0,7.6188063,0.0467234,0.3157543,6.3802921,6.9995492,18786853333.333332,1.0,29895190000.0,1.5,29895190000.0,16785666666.666666,2.0,14144170000.0,1.5,14144170000.0,0.1884055,0.2868544,1342526666.6666667,1924866666.6666667,1924866666.6666667,10373686666.666666,1.0,10480060000.0,1.0,10480060000.0,2.2830972,None
