Symbol,Name,Sector,Value,Close,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,-0.59506,90.49,825.5504
CI,Cigna Corporation,Healthcare,-0.47784,216.98,613.7426
FOX,Fox Corporation,Communication Services,-0.68487,37.54,506.766
DHI,D.R. Horton  Inc.,Consumer Cyclical,-0.33797,101.54,458.3122
UHS,Universal Health Services  Inc.,Healthcare,-0.63806,127.26,412.2477
LYB,LyondellBasell Industries NV,Basic Materials,-0.9458,91.99,375.8316
MS,Morgan Stanley,Financial Services,0.14432,97.68,313.095
LEN,Lennar Corporation,Consumer Cyclical,-0.07602,110.38,293.7071
FOXA,Fox Corporation,Communication Services,-0.24284,40.29,247.1561
THO,Thor Industries  Inc.,Consumer Cyclical,-0.89636,111.56,229.6597
DOW,Dow Inc.,Basic Materials,-0.64189,57.98,222.2726
PGR,Progressive Corporation (The),Financial Services,-0.21671,90.73,216.0485
JEF,Jefferies Financial Group Inc.,Financial Services,-0.21115,40.54,211.6957
FDX,FedEx Corporation,Industrials,-0.67141,247.35,208.5518
INTC,Intel Corporation,Technology,-0.46955,50.23,207.816
FHN,First Horizon Corporation,Financial Services,-0.11184,17.16,195.4637
COF,Capital One Financial Corporati,Financial Services,-0.0184,151.95,189.2752
CNC,Centene Corporation,Healthcare,0.22203,76.18,180.2232
BEN,Franklin Resources  Inc.,Financial Services,-0.69286,35.0,158.1642
TRV,The Travelers Companies  Inc.,Financial Services,-0.04971,156.42,156.6695
AFL,AFLAC Incorporated,Financial Services,0.26494,56.92,154.5586
DISH,DISH Network Corporation,Communication Services,-0.01336,35.46,147.7773
SEB,Seaboard Corporation,Industrials,-1.26381,3944.01,139.1952
BIDU,Baidu  Inc.,Communication Services,-0.6456,161.82,137.2458
GL,Globe Life Inc.,Financial Services,-0.28026,94.2,137.1561
SRE,DBA Sempra,Utilities,-0.28062,124.24,135.1542
KMPR,Kemper Corporation,Financial Services,-0.29105,59.46,134.7788
CACI,CACI International  Inc.,Technology,-0.32658,278.7,134.489
NTES,NetEase  Inc.,Communication Services,0.42097,112.49,129.642
JD,JD.com  Inc.,Consumer Cyclical,-0.78885,83.15,125.6529
VMW,Vmware  Inc.,Technology,-0.63502,123.3,125.6326
PHM,PulteGroup  Inc.,Consumer Cyclical,-0.67004,52.36,122.9667
RJF,Raymond James Financial  Inc.,Financial Services,0.30155,98.54,121.9436
HUN,Huntsman Corporation,Basic Materials,-0.24117,33.14,119.008
BRK.B,Berkshire Hathaway Inc. New,Financial Services,0.9828,281.59,118.317
TSN,Tyson Foods  Inc.,Consumer Defensive,-0.1206,82.59,117.5233
CINF,Cincinnati Financial Corporatio,Financial Services,-0.16019,118.75,117.0131
BIO,Bio-Rad Laboratories  Inc.,Healthcare,-0.37478,779.99,115.7087
STLD,Steel Dynamics  Inc.,Basic Materials,-0.78407,62.96,114.8407
ALL,Allstate Corporation (The),Financial Services,-0.29751,113.23,112.54
STNE,StoneCo Ltd.,Technology,-0.48051,20.7,112.1377
SCCO,Southern Copper Corporation,Basic Materials,-1.39226,60.02,111.8681
WLK,Westlake Chemical Corporation,Basic Materials,-1.16889,101.33,111.3118
MET,MetLife  Inc.,Financial Services,-0.25846,63.13,111.1655
LAD,Lithia Motors  Inc.,Consumer Cyclical,-0.61292,299.44,110.8677
NEU,NewMarket Corp,Basic Materials,-0.79368,352.17,101.692
BBY,Best Buy Co.  Inc.,Consumer Cyclical,-0.26273,132.86,98.3327
GRMN,Garmin Ltd.,Technology,-0.89526,144.83,93.5626
DOX,Amdocs Limited,Technology,-0.61621,73.45,91.2505
NUE,Nucor Corporation,Basic Materials,-0.7022,109.11,88.0773
CAG,ConAgra Brands  Inc.,Consumer Defensive,-0.35773,31.81,86.5294
IVZ,Invesco Ltd,Financial Services,-0.4348,24.94,83.6105
BK,The Bank of New York Mellon Cor,Financial Services,0.62481,58.05,82.9259
ADM,Archer-Daniels-Midland Company,Consumer Defensive,-0.34771,65.66,82.737
GS,Goldman Sachs Group  Inc. (The),Financial Services,0.1983,391.55,81.5986
C,Citigroup  Inc.,Financial Services,-0.04832,66.85,78.8969
HUM,Humana Inc.,Healthcare,-0.44699,438.4,78.3986
CPB,Campbell Soup Company,Consumer Defensive,-0.7931,41.59,77.2866
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,-0.31806,35.68,69.8928
HPE,Hewlett Packard Enterprise Comp,Technology,-0.34316,14.55,69.2738
RS,Reliance Steel & Aluminum Co.,Basic Materials,-0.66564,158.5725,68.3912
SF,Stifel Financial Corporation,Financial Services,0.44117,74.96,67.6056
ORI,Old Republic International Corp,Financial Services,0.16808,25.71,67.4511
HCA,HCA Healthcare  Inc.,Healthcare,-0.0647,243.86,65.7097
WMT,Walmart Inc.,Consumer Defensive,-0.85958,141.94,65.5228
SC,Santander Consumer USA Holdings,Financial Services,-0.02654,41.76,65.4598
SSNC,SS&C Technologies Holdings  Inc,Technology,0.23312,79.24,64.5466
TMUS,T-Mobile US  Inc.,Communication Services,-0.77834,117.19,64.3409
IP,International Paper Company,Consumer Cyclical,-0.50723,48.93,63.7907
LNC,Lincoln National Corporation,Financial Services,0.15235,72.08,63.7237
OMF,OneMain Holdings  Inc.,Financial Services,-0.85708,51.02,62.8747
SLM,SLM Corporation,Financial Services,-0.4229,18.37,62.8083
GLW,Corning Incorporated,Technology,-0.58394,38.2,62.7962
STT,State Street Corporation,Financial Services,0.48521,96.19,62.317
MCY,Mercury General Corporation,Financial Services,-0.82991,51.78,61.3951
FCNCA,First Citizens BancShares  Inc.,Financial Services,0.08312,823.25,61.301
SYF,Synchrony Financial,Financial Services,0.02646,48.59,59.7532
HRL,Hormel Foods Corporation,Consumer Defensive,-1.02958,43.3,59.1351
MHK,Mohawk Industries  Inc.,Consumer Cyclical,-0.71638,175.03,58.9064
CB,Chubb Limited,Financial Services,0.30456,191.78,57.8639
VZ,Verizon Communications Inc.,Communication Services,-0.32206,51.73,57.46
GD,General Dynamics Corporation,Industrials,-0.20536,199.46,57.2381
