"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
IPGP,IPG Photonics Corporation,Technology,United States,349.2128645,1279516866.6666667,1.0,210212000.0,4101510800.0,2.0,4299069000.0,3.0,525336000.0,2.0,13758220500.0,1.5,525336000.0,13758220500.0,4299069000.0,1279516866.6666667,1.0,210212000.0,4299069000.0,3.0,525336000.0,2.0,525336000.0,4299069000.0,5.083,5.083,55.40067,24.521608,51.5407873,6.158784,17.1802624,16.515,16.5149754,441025684.0750833,441027000.0,398817066.6666667,441027000.0,0.1833,0.6735379,4.75,17.1609089,89.285625,6.0069156,0.67652,0.29853,6.71,2.97,162.47,0.0182803,3.39048,53638500,262668000,4.8970049,6060,7283517440,8825678848,43344.5544554,1.118,0.191,-0.2005836,-0.0727577,-0.2005836,-0.0727577,0.7883541,9.1289307,0.1250606,3.7863904,0.8,0.8,158958700.0,0.5,390474000.0,1.0,45.8201875,18.6530152,18.6530152,0.1403119,1.0,0.1422274,1.0,0.1422274,0.3781304,USD,USD,1.0,1.0,0,0,0,0,162.47,151.27,262.55,191.7733,-15.2801772,7.4039796,-38.1184536,0.201294,0.202294,49.1596116,6.0,8.0492992,1.0,0.4988751,1.0,0.200444,0.5,1.4724439,2.0,1.9644941,2.0,19.0838364,2.0,8.6563264,1.0,8.0592992,0.210444,1.9744941,8.6663264,8.3628128,5589799866.666667,2.0,4639893000.0,1.5,4639893000.0,4904383200.0,2.0,4060631100.0,1.5,4060631100.0,0.2132216,0.229373,1797421266.6666667,2020396200.0,2020396200.0,341736466.6666667,1.0,577959900.0,1.5,577959900.0,3.8828165,None
QDEL,Quidel Corporation,Healthcare,United States,499.9363495,4468057866.666667,4.0,460945400.0,273653666.6666667,0.5,1837209000.0,1.0,899555000.0,1.0,5527492500.0,1.5,899555000.0,5527492500.0,1837209000.0,4468057866.666667,4.0,460945400.0,1837209000.0,1.0,899555000.0,1.0,899555000.0,1837209000.0,2.929,2.929,7.954728,12.876414,8.5699388,3.4259615,8.5699388,4.382,4.3829604,1227300988.8178916,1226763000.0,660508066.6666666,1226763000.0,0.48963,0.3101476,0.777,0.808806,2.75,0.5371945,0.9309101,0.12163,11.49,18.599,146.5,0.1269556,4.6948876,42542800,899555008,21.1447062,1370,5380390400,6294206976,656609.4948905,-0.718,-0.125,5.9161949,1.3364244,5.9161949,1.3364244,0.9405487,9.9481891,0.2403561,5.1526126,2.65,2.65,391762866.6666667,1.0,458509500.0,0.5,13.7337937,11.7345233,11.7345233,0.7098814,1.0,0.3439434,1.0,0.3439434,0.5874669,USD,USD,1.0,1.0,0,0,0,0,146.5,103.31,265,131.1683,11.6885711,41.8062143,-44.7169811,0.5342322,0.5352322,8.7470056,3.0,4.0229564,1.0,0.2002082,1.0,0.1139633,2.0,4.8880455,12.0,0.8400466,1.0,2.6123727,1.0,7.8058432,2.0,4.0329564,0.1239633,0.8500466,7.8158432,5.9243998,1410718200.0,1.0,1856158533.3333333,1.0,1856158533.3333333,1863890133.3333333,2.0,1384142733.3333333,1.0,1384142733.3333333,0.5846326,0.7499005,473271800.0,752960000.0,752960000.0,478773133.3333333,1.0,472015800.0,1.0,472015800.0,3.9785028,None
JD,"JD.com, Inc.",Consumer Cyclical,China,2573.8480602,400160407795.86285,4.0,4592084088.595273,530857181.4633083,0.25,126004108958.29059,1.0,8154080016.175699,1.0,6113903091.519899,1.0,8154080016.175699,6113903091.519899,126004108958.29059,400160407795.86285,4.0,4592084088.595273,126004108958.29059,1.0,8154080016.175699,1.0,8154080016.175699,126004108958.29059,0.061,0.061,15.341468,32.210743,17.4501274,0.1513794,17.4501274,2.998,2.9951421,16309446035.69046,16340541000.0,12475360000.0,16340541000.0,0.06471,0.0416434,0.777,0.1365416,2.75,0.081965,0.42067,0.07018,2.42,5.081,84.46,0.0601587,0.639123,1558989952,51949686784,33.3226566,310000,48802496512,121523265536,167579.6347871,2.372,0.39,1.8972295,0.277654,1.8972295,0.277654,2.2533074,15.2610205,0.3619135,6.2659248,102.7,102.7,5316785060.56038,1.0,1913775418.3406663,0.3333333,9.1789485,25.5006392,25.5006392,0.7764226,0.5,1.0917662,1.0,1.0917662,1.0458762,CNY,USD,0.1569611,1.0,0,0,0,0,84.46,61.65,108.29,78.031425,8.2384437,36.999189,-22.0057254,0.9781304,0.9791304,5.5848121,3.0,4.2061186,2.0,0.2703681,1.0,0.5141661,1.0,3.3694617,1.0,7.9842637,2.0,0.582532,0.5,2.6959439,2.0,4.2161186,0.5241661,7.9942637,2.7059439,3.4610313,105050545120.28171,2.0,63937817421.71103,1.0,63937817421.71103,41842752822.439995,2.0,42332616047.00531,1.5,42332616047.00531,0.2275314,0.2926193,29823498333.333332,57957144533.333336,57957144533.333336,55210271760.0674,2.0,30436716216.848366,1.0,30436716216.848366,2.5356892,None
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,United States,3172.9304114,9693500533.333334,4.0,2555887533.3333335,14040239600.0,2.0,2979615000.0,1.0,6658663000.0,1.0,68630650500.0,1.5,6658663000.0,68630650500.0,2979615000.0,9693500533.333334,4.0,2555887533.3333335,2979615000.0,1.0,6658663000.0,1.0,6658663000.0,2979615000.0,7.025,7.025,5.4564595,58.980114,12.1469163,7.450911,12.1469163,27.582,27.2616763,776943913.6393299,794990000.0,489793333.3333333,794990000.0,2.23474,751.2654586,588.2132813,9.3360347,2.75,254.2797444,0.79782,0.14216,12.57,135.872,748.22,0.1815936,2.0799048,24692600,6658662912,269.6622839,7800,20931919872,22200846336,853674.7323077,1.987,0.154,2.0383212,0.0691597,2.0383212,0.0691597,1.9998303,14.3915356,0.1327899,3.8940354,3.21,3.21,947911600.0,2.0,783331000.0,1.0,22.0821434,26.7216794,26.7216794,0.1773427,0.5,0.3044026,1.0,0.3044026,0.5527269,USD,USD,1.0,1.0,0,0,0,0,748.22,537.12,832.7,680.16156,10.0062168,39.3022043,-10.1453104,1.4283781,8.4929605,11.6015739,3.0,4.2858363,1.0,0.0896251,1.0,0.0797068,1.0,0.0112752,0.1666667,0.0159955,0.5,3.3097779,1.0,7.5302897,2.0,4.2958363,0.0897068,0.0259955,7.5402897,5.918063,20174870400.0,2.0,26093620200.0,1.5,26093620200.0,15070754666.666666,2.0,20013660200.0,1.5,20013660200.0,0.3551836,0.4327059,1452290066.6666667,1731884866.6666667,1731884866.6666667,5104115733.333333,2.0,6079960000.0,1.5,6079960000.0,2.4829859,None
LOPE,"Grand Canyon Education, Inc.",Consumer Defensive,United States,10774.6286111,835498400.0,1.0,250373933.3333333,2818873866.6666665,2.0,844096000.0,1.0,257196000.0,1.0,8951197500.0,1.5,257196000.0,8951197500.0,844096000.0,835498400.0,1.0,250373933.3333333,844096000.0,1.0,257196000.0,1.0,257196000.0,844096000.0,5.783,5.783,13.027523,10.380116,12.6965971,3.9000895,12.6965971,15.897,15.8968785,307084304.4914135,307089000.0,306846933.3333333,307089000.0,0.3047,1.4595701,4.75,0.8781972,2.75,0.8818224,1.0267199,0.01403,6.84,5.45,71.29,0.0764483,2.084924,46366900,257196000,5.5469742,3650,4881644544,3292049920,70464.6575342,0.132,0.117,0.0513212,0.0065775,0.0513212,0.0065775,0.1118303,3.5941037,0.0893944,3.2398894,0.17,0.17,293268533.3333333,1.0,154411500.0,0.5,16.6456472,31.6145141,31.6145141,0.3415311,2.0,0.3611264,2.0,0.3611264,0.6019379,USD,USD,1.0,1.0,0,0,0,0,71.29,70,115.96,93.2754,-23.5704162,1.8428571,-38.5219041,0.0561358,0.0571358,14.6771117,2.0,13.116033,2.0,1.7275305,1.0,0.7062999,1.0,58.1267272,1.0,49.645599,1.0,2.7001306,1.0,2.4550969,1.0,13.126033,0.7162999,49.655599,2.4650969,7.7955649,3395919333.3333335,2.0,2727105000.0,1.5,2727105000.0,2904201200.0,2.0,2310534600.0,1.5,2310534600.0,0.194311,0.2113145,184484733.3333333,177058266.6666667,177058266.6666667,245859066.6666667,1.0,277713600.0,1.0,277713600.0,3.5308254,None
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,United States,15062.9754291,9717254800.0,1.0,653110000.0,14477836800.0,2.0,11081640000.0,1.0,1092291000.0,1.0,46545097500.0,1.5,1092291000.0,46545097500.0,11081640000.0,9717254800.0,1.0,653110000.0,11081640000.0,1.0,1092291000.0,1.0,1092291000.0,11081640000.0,1.24,1.24,3.4640508,11.797953,4.5057886,1.0872335,4.5057886,6.823,6.7291212,2071548414.920123,2128554000.0,1574556733.3333333,2128554000.0,0.09857,0.0177998,0.296875,0.2743295,2.75,0.1312331,0.78771,0.19558,14.65,49.89534,171.51,0.290918,1.4186982,69708000,1092290944,15.6695206,42000,13745225728,12048330752,26006.9272381,0.321,0.094,-0.2306589,-0.0169437,-0.2306589,-0.0169437,0.1830853,4.5288467,0.0662641,2.824181,3.31,3.31,1559335933.3333333,1.0,1504580000.0,1.0,8.8147944,9.1355898,9.1355898,1.3661592,2.0,0.6666724,1.0,0.6666724,0.8175001,USD,USD,1.0,1.0,0,0,0,0,171.51,130.13,231.8,192.4176,-10.865742,31.7989703,-26.0094909,0.8140061,0.8150061,4.9382565,2.0,2.5020671,1.0,0.7078598,1.0,0.8626755,2.0,1.0595432,2.0,0.5633862,1.0,1.9281583,1.0,1.934484,1.0,2.5120671,0.8726755,0.5733862,1.944484,2.2282756,27528243600.0,2.0,14512097933.333334,1.0,14512097933.333334,16357424266.666666,2.0,8703453200.0,1.0,8703453200.0,0.1752676,0.2255009,2314031333.3333335,2743413333.3333335,2743413333.3333335,5576678733.333333,1.0,5801792466.666667,1.0,5801792466.666667,2.6828689,None
AMED,Amedisys Inc,Healthcare,United States,48262.7761857,7794963200.0,4.0,149679266.6666667,621968533.3333334,2.0,2196085000.0,1.0,247151000.0,1.0,2782053000.0,1.5,247151000.0,2782053000.0,2196085000.0,7794963200.0,4.0,149679266.6666667,2196085000.0,1.0,247151000.0,1.0,247151000.0,2196085000.0,2.418,2.418,22.498764,18.031748,21.940387,2.0218651,21.940387,17.752,17.264359,316507318.6119874,333896000.0,243101333.3333333,333896000.0,0.11254,12.9498723,156.856875,0.3307661,2.75,4.4653928,0.90537,0.01474,7.56,6.059,141.62,0.0427835,5.633058,32571800,247151008,7.587883,21000,5309954048,4440187904,11769.095619,1.312,0.163,0.6935275,0.0985256,0.6935275,0.0985256,1.1573819,11.0081684,0.1468814,4.082511,3.71,3.71,244820866.6666667,1.0,270955000.0,1.0,21.68914,19.5971805,19.5971805,0.8605718,1.0,0.9057349,1.0,0.9057349,0.9527011,USD,USD,1.0,1.0,0,0,0,0,141.62,133.62,325.12,222.3876,-36.3183919,5.9871277,-56.4406988,0.0835509,0.0845509,2.2373126,1.0,2.1168827,1.0,0.2333039,0.5,0.0756031,0.5,1.8137739,0.3333333,3.112482,2.0,0.4698786,0.5,0.8550451,1.0,2.1268827,0.0856031,3.122482,0.8650451,1.4959639,1322418800.0,1.0,1588430400.0,1.0,1588430400.0,700938466.6666666,1.0,834762733.3333334,1.0,834762733.3333334,0.2555945,0.3960734,-37400133.3333333,-65569600.0,-65569600.0,620174000.0,1.0,752122600.0,1.0,752122600.0,2.8257245,None
CACI,"CACI International, Inc.",Technology,United States,92937.5825631,22846344000.0,4.0,385189533.3333333,5784852000.0,2.0,18132405000.0,3.0,914886000.0,2.0,17997376500.0,1.5,914886000.0,17997376500.0,18132405000.0,22846344000.0,4.0,385189533.3333333,18132405000.0,3.0,914886000.0,2.0,914886000.0,18132405000.0,1.456,1.456,16.154837,15.506173,16.073754,1.027729,5.357918,13.241,13.2411153,664825581.0739369,664814000.0,595495466.6666666,664814000.0,0.07568,2.6154278,36.9075,16.3391027,200.8926563,6.3444035,0.92134,0.01669,17.01,16.327,265.66,0.0614583,2.465623,23550700,457443008,19.4237542,22000,8803108864,6211732992,20792.864,0.461,0.046,0.2849092,0.0909954,0.2849092,0.0909954,0.4169773,6.7073779,0.0572489,2.6426733,2.87,2.87,549639600.0,1.0,592215000.0,1.0,16.0161474,14.8647178,14.8647178,1.2041973,1.0,1.2807434,1.0,1.2807434,1.1326993,USD,USD,1.0,1.0,0,0,0,0,265.66,215.18,290.71,259.1863,2.4977015,23.4594293,-8.6168346,1.3366874,5.7039951,1.8409585,1.0,1.7877352,1.0,0.20246,12.0,0.0240672,1.0,0.3419979,1.0,0.7107976,2.0,1.4928818,1.0,0.7143451,0.5,1.7977352,0.0340672,0.7207976,0.7243451,1.2610401,11434234133.333334,2.0,6060931600.0,1.0,6060931600.0,5175367733.333333,2.0,2662540133.3333335,1.0,2662540133.3333335,0.2509481,0.443614,393980933.3333333,367166533.3333333,367166533.3333333,6258596400.0,2.0,3398256466.6666665,1.0,3398256466.6666665,2.9462316,None
SAM,"Boston Beer Company, Inc. (The)",Consumer Defensive,United States,154128.5096062,5798677866.666667,4.0,150681266.6666667,491194800.0,2.0,2170465000.0,1.0,24789000.0,0.25,1685942000.0,1.0,24789000.0,1685942000.0,2170465000.0,5798677866.666667,4.0,150681266.6666667,2170465000.0,1.0,24789000.0,0.25,24789000.0,2170465000.0,2.834,2.834,23.864815,13.755601,22.6011633,2.6062815,22.6011633,25.002,24.9111294,247813626.2299016,249615000.0,261746666.6666667,249615000.0,0.04568,3.8952065,36.9075,-0.0850539,0.1,1.2862776,0.8853,0.08384,33.47,19.292,460.85,0.0418618,5.425087,10108800,98742000,9.767925,2423,6150798336,5656842752,40751.9603797,0.469767,0.14,0.469767,0.3173791,0.469767,0.3173791,0.469767,7.1039554,0.1843448,4.5435391,1.18,1.18,427080000.0,2.0,95452000.0,1.0,14.4019817,64.4386533,64.4386533,0.8510722,2.0,0.4280478,1.0,0.4280478,0.6552536,USD,USD,1.0,1.0,0,0,0,0,460.85,435.12,1349.98,834.3331,-44.7642674,5.9133113,-65.8624572,0.056249,0.057249,1.1203435,0.3333333,3.3370925,1.0,0.1009507,0.5,0.2251998,1.0,0.4816665,1.0,1.0069929,1.0,0.7693377,0.5,1.5655752,1.0,3.3470925,0.2351998,1.0169929,1.5755752,2.4613339,2279487200.0,2.0,1483945400.0,1.0,1483945400.0,1592324933.3333333,2.0,1039065266.6666666,1.0,1039065266.6666666,0.1167048,0.123857,111380000.0,164512133.3333333,164512133.3333333,687162266.6666666,2.0,444880133.3333333,1.0,444880133.3333333,3.3714362,None
CHKP,Check Point Software Technologi,Technology,Israel,176682.8386563,8049626666.666667,4.0,834740000.0,20198164666.666668,2.0,2131500000.0,1.0,826700000.0,1.0,65953350000.0,1.5,826700000.0,65953350000.0,2131500000.0,8049626666.666667,4.0,834740000.0,2131500000.0,1.0,826700000.0,1.0,826700000.0,2131500000.0,6.437,6.437,17.991108,15.153953,17.6364636,6.9349732,5.8788212,14.679,14.6789329,934691454.8674978,934700000.0,920026666.6666666,934700000.0,0.38785,16.1514634,39.2142188,0.2482625,0.6875,5.5968586,0.75409,0.18851,7.21,6.073,111.12,0.0546526,4.410269,135291008,826700032,6.110532,5198,13720210432,14781895680,159041.9453636,-0.068,0.049,0.0192684,0.036514,0.0192684,0.036514,-0.0461829,0.2453817,0.0458785,2.3919264,2.41,2.41,1140133333.3333333,1.0,1190800000.0,1.0,12.0338648,11.5218428,11.5218428,0.6363786,1.0,0.7158897,1.0,0.7158897,0.8471026,USD,USD,1.0,1.0,0,0,0,0,111.12,107.85,139.26,118.413,-6.1589521,3.0319889,-20.2068074,0.2082139,0.2092139,0.4309817,0.1666667,2.3974148,1.0,0.000304,1.0,7.6e-05,1.0,0.0576501,0.3333333,0.0713729,0.5,0.7678033,0.5,1.464392,1.0,2.4074148,0.010076,0.0813729,1.474392,1.9409034,5792835066.666667,1.0,5683173333.333333,1.0,5683173333.333333,3543314866.6666665,1.0,3312480000.0,1.0,3312480000.0,0.2454645,0.3495713,771060400.0,694093333.3333334,694093333.3333334,4499040400.0,2.0,2370693333.3333335,1.0,2370693333.3333335,4.5883046,None
