pb,pi,ev,pe,evr / pm,0.03888,29.45952,55.16146,101.72737,183.17957,369.63052,1198.6785
1000.000000,0.000012,497.000000,52457.020121,64.868000,737.000000,549.000000,459.000000,372.000000,278.000000,185.000000,92.000000
1000.000000,0.000012,497.000000,52457.020121,6.844714,534.000000,372.000000,300.000000,230.000000,165.000000,101.000000,44.000000
1000.000000,0.000012,497.000000,52457.020121,4.724571,430.000000,282.000000,226.000000,168.000000,119.000000,71.000000,30.000000
1000.000000,0.000012,497.000000,52457.020121,3.383857,326.000000,207.000000,167.000000,127.000000,86.000000,55.000000,24.000000
1000.000000,0.000012,497.000000,52457.020121,2.353857,218.000000,133.000000,109.000000,81.000000,57.000000,36.000000,15.000000
1000.000000,0.000012,497.000000,52457.020121,1.372857,110.000000,63.000000,48.000000,34.000000,26.000000,17.000000,0.000000
1000.000000,0.000012,497.000000,35.596177,64.868000,491.000000,386.000000,319.000000,248.000000,185.000000,121.000000,58.000000
1000.000000,0.000012,497.000000,35.596177,6.844714,424.000000,319.000000,258.000000,196.000000,142.000000,89.000000,41.000000
1000.000000,0.000012,497.000000,35.596177,4.724571,354.000000,252.000000,203.000000,151.000000,109.000000,67.000000,29.000000
1000.000000,0.000012,497.000000,35.596177,3.383857,278.000000,190.000000,155.000000,119.000000,81.000000,54.000000,24.000000
1000.000000,0.000012,497.000000,35.596177,2.353857,191.000000,125.000000,103.000000,76.000000,53.000000,35.000000,15.000000
1000.000000,0.000012,497.000000,35.596177,1.372857,100.000000,62.000000,47.000000,33.000000,25.000000,16.000000,0.000000
1000.000000,0.000012,497.000000,24.437323,64.868000,371.000000,295.000000,240.000000,184.000000,137.000000,89.000000,44.000000
1000.000000,0.000012,497.000000,24.437323,6.844714,323.000000,247.000000,196.000000,146.000000,107.000000,68.000000,31.000000
1000.000000,0.000012,497.000000,24.437323,4.724571,277.000000,201.000000,158.000000,116.000000,82.000000,50.000000,22.000000
1000.000000,0.000012,497.000000,24.437323,3.383857,227.000000,159.000000,126.000000,96.000000,65.000000,42.000000,19.000000
1000.000000,0.000012,497.000000,24.437323,2.353857,167.000000,111.000000,90.000000,68.000000,47.000000,31.000000,12.000000
1000.000000,0.000012,497.000000,24.437323,1.372857,95.000000,59.000000,45.000000,31.000000,23.000000,15.000000,0.000000
1000.000000,0.000012,497.000000,18.100434,64.868000,245.000000,193.000000,154.000000,117.000000,87.000000,57.000000,31.000000
1000.000000,0.000012,497.000000,18.100434,6.844714,214.000000,162.000000,126.000000,95.000000,69.000000,43.000000,21.000000
1000.000000,0.000012,497.000000,18.100434,4.724571,183.000000,131.000000,100.000000,75.000000,53.000000,33.000000,16.000000
1000.000000,0.000012,497.000000,18.100434,3.383857,155.000000,108.000000,82.000000,63.000000,44.000000,29.000000,14.000000
1000.000000,0.000012,497.000000,18.100434,2.353857,117.000000,78.000000,60.000000,48.000000,33.000000,22.000000,10.000000
1000.000000,0.000012,497.000000,18.100434,1.372857,68.000000,42.000000,31.000000,24.000000,17.000000,13.000000,0.000000
1000.000000,0.000012,497.000000,12.040071,64.868000,120.000000,95.000000,71.000000,54.000000,44.000000,29.000000,15.000000
1000.000000,0.000012,497.000000,12.040071,6.844714,104.000000,79.000000,56.000000,43.000000,34.000000,21.000000,8.000000
1000.000000,0.000012,497.000000,12.040071,4.724571,90.000000,65.000000,44.000000,33.000000,25.000000,17.000000,0.000000
1000.000000,0.000012,497.000000,12.040071,3.383857,81.000000,58.000000,40.000000,31.000000,24.000000,16.000000,0.000000
1000.000000,0.000012,497.000000,12.040071,2.353857,58.000000,40.000000,28.000000,24.000000,18.000000,13.000000,0.000000
1000.000000,0.000012,497.000000,12.040071,1.372857,41.000000,25.000000,17.000000,14.000000,9.000000,7.000000,0.000000
1000.000000,0.000012,21715.000000,52457.020121,64.868000,365.000000,295.000000,253.000000,207.000000,159.000000,105.000000,55.000000
1000.000000,0.000012,21715.000000,52457.020121,6.844714,242.000000,186.000000,154.000000,119.000000,84.000000,48.000000,22.000000
1000.000000,0.000012,21715.000000,52457.020121,4.724571,171.000000,122.000000,101.000000,75.000000,54.000000,30.000000,14.000000
1000.000000,0.000012,21715.000000,52457.020121,3.383857,117.000000,82.000000,69.000000,54.000000,36.000000,23.000000,11.000000
1000.000000,0.000012,21715.000000,52457.020121,2.353857,76.000000,52.000000,45.000000,37.000000,26.000000,16.000000,7.000000
1000.000000,0.000012,21715.000000,52457.020121,1.372857,39.000000,27.000000,24.000000,18.000000,14.000000,9.000000,0.000000
1000.000000,0.000012,21715.000000,35.596177,64.868000,230.000000,195.000000,165.000000,130.000000,98.000000,58.000000,31.000000
1000.000000,0.000012,21715.000000,35.596177,6.844714,190.000000,155.000000,127.000000,98.000000,70.000000,39.000000,19.000000
1000.000000,0.000012,21715.000000,35.596177,4.724571,143.000000,109.000000,90.000000,68.000000,50.000000,28.000000,13.000000
1000.000000,0.000012,21715.000000,35.596177,3.383857,100.000000,75.000000,63.000000,51.000000,34.000000,22.000000,11.000000
1000.000000,0.000012,21715.000000,35.596177,2.353857,67.000000,50.000000,43.000000,35.000000,24.000000,15.000000,7.000000
1000.000000,0.000012,21715.000000,35.596177,1.372857,35.000000,26.000000,23.000000,17.000000,13.000000,8.000000,0.000000
1000.000000,0.000012,21715.000000,24.437323,64.868000,168.000000,142.000000,119.000000,93.000000,69.000000,40.000000,22.000000
1000.000000,0.000012,21715.000000,24.437323,6.844714,140.000000,114.000000,92.000000,70.000000,49.000000,28.000000,13.000000
1000.000000,0.000012,21715.000000,24.437323,4.724571,111.000000,85.000000,70.000000,53.000000,37.000000,21.000000,10.000000
1000.000000,0.000012,21715.000000,24.437323,3.383857,82.000000,61.000000,51.000000,41.000000,26.000000,16.000000,8.000000
1000.000000,0.000012,21715.000000,24.437323,2.353857,59.000000,44.000000,38.000000,31.000000,21.000000,13.000000,0.000000
1000.000000,0.000012,21715.000000,24.437323,1.372857,33.000000,24.000000,22.000000,16.000000,12.000000,8.000000,0.000000
1000.000000,0.000012,21715.000000,18.100434,64.868000,105.000000,92.000000,79.000000,60.000000,44.000000,27.000000,17.000000
1000.000000,0.000012,21715.000000,18.100434,6.844714,86.000000,73.000000,61.000000,46.000000,32.000000,19.000000,10.000000
