Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
AM,Antero Midstream Corporation,Energy,United States,1.83e-05,-0.6908377213627379,744634666.6666666,1.0,-151008733.3333333,-3385997333.333333,0.125,964980000.0,1.0,345629000.0,1.0,-4495256000.0,0.375,345629000.0,-4495256000.0,964980000.0,744634666.6666666,1.0,-151008733.3333333,964980000.0,1.0,345629000.0,1.0,345629000.0,964980000.0,7.751,7.751,0.1718739605738741,13.191781,12.189874,13.0665426,4.763786,0.1217455995575662,13.0665426,0.00014932127672925415,10.015,10.0146289,3.174806663690965e-05,746903645.3819269,746959000.0,557265400.0,746959000.0,0.35817,79046176.46624699,0.025,0.1684384,0.5,26348725.665285103,1.0,0.5278799,0.32878,0.3650515189198792,0.79,0.73,9.54,0.0765199,1.9486039000000002,0.0019486039000000002,477358016,345079008,0.7228935000000001,522,7479685632,4596957696,661070.8965517,-0.09300000000000001,0.055,4.748800900000001,0.0819164,4.748800900000001,0.0819164,1.1174502,10.820951800000001,0.04986208648073182,0.061729099999999995,2.7345341,0.0410341574150889,11.6931765,11.6931765,0.0017740142039857085,1161566133.3333333,2.0,751610000.0,1.0,6.439311,9.9515515,9.9515515,9.9515515e-13,0.5518281,0.5,1.3582418,1.0,1.3582418,1.1664363000000002,3.127915631104618e-05,USD,USD,1.0,1.0,0.225,0.225,0.225,0.308,9.54,7.57,11.71,9.85215,-3.168344,26.0237781,-18.5311699,0.9516908000000002,0.9526908000000002,0.015393397229092587,0.9944001,0.5,0.434146,0.25,0.1330501,3.0,0.0302722,1.0,1.5347073999999998,0.08333330000000001,2.9188039,0.25,0.7037274,1.0,0.9739903,1.0,0.444146,0.0402722,2.9288039,0.9839903,0.7140681,0.0035082966853445426,4676265133.333333,1.0,3707035733.333333,0.6666667,3707035733.333333,2133151600.0,1.0,1572311777.7777774,0.6666667,1572311777.7777774,0.193236,0.23836479647660822,0.3198222,0.014018269516537616,-38048666.66666671,-7394866.6666667005,-7394866.6666667005,5086227066.666667,2.0,3202085933.333333,1.0,3202085933.333333,0.021624599999999997,0.0021294465303121463,None
CAH,"Cardinal Health, Inc.",Healthcare,United States,5.660349500000001,0.012908355060592267,623813600000.0,4.0,-460933333.3333333,1988866666.6666667,1.0,167370000000.0,1.0,1135000000.0,1.0,5028000000.0,1.0,1135000000.0,5028000000.0,167370000000.0,623813600000.0,4.0,-460933333.3333333,167370000000.0,1.0,1135000000.0,1.0,1135000000.0,167370000000.0,0.105,0.105,0.0023283145220302903,12.96979,8.184168,12.371587199999999,0.0878228,0.0022444415934771687,12.371587199999999,0.0001413794951291322,6.417999999999999,6.4179333,2.0345933545240148e-05,2725943361.7949514,2726000000.0,2761000000.0,2726000000.0,0.00678,-0.0035859999999999998,0.35,0.054270500000000006,10.0,0.0201548,7.649250387298348e-10,0.8925,0.00421,0.004674453721797833,6.19,3.906,50.18,0.0778398,8.236059,0.008236058999999999,290148000,1135000064,3.911797,46354,17494740992,14698897408,24485.482676800002,0.9034598,0.126,0.9034598,0.05928200000000001,0.9034598,0.05928200000000001,0.9034598,9.7550503,0.044950497023976105,0.10932049999999999,3.5563653,0.05336647787488182,13.6935666,13.6935666,0.0020775006390799187,2365600000.0,1.0,756500000.0,0.5,7.3954773000000005,23.125896899999997,23.125896899999997,2.3125896899999997e-12,9.8075784,0.5,53.71586170000001,2.0,53.71586170000001,7.3301106,0.0001965642489304015,USD,USD,1.0,1.0,0.4908,0.4908,0.4908,0.4859,50.18,45.85,62.96,54.2347,-7.476209900000001,9.4438386,-20.298602300000002,0.5061367999999999,0.5071367999999999,0.008194220214880714,0.5355031,0.5,0.518939,0.5,7.3604497,1.0,5.7569892,0.5,0.056572000000000004,0.5,0.0852327,1.0,2.2125084,2.0,1.1359299999999999,1.0,0.528939,5.7669892,0.0952327,1.14593,0.8374345,0.004114409648804034,42704333333.333336,1.0,43614866666.66666,1.0,43614866666.66666,2679933333.333333,1.0,1590600000.0,1.0,1590600000.0,0.1260232,0.15545495880338495,0.8135671999999999,0.03565982686447301,2775200000.0,3599533333.333333,3599533333.333333,80041866666.66667,2.0,42021066666.66666,1.0,42021066666.66666,2.1246207999999998,0.2092185007255171,None
JD,"JD.com, Inc.",Consumer Cyclical,China,0.648967,0.013351520724599915,401333907699.3958,4.0,4605550713.803559,532413959.2931499,0.25,126373625299.3044,1.0,8177992457.101798,1.0,6131832563.1726,1.0,8177992457.101798,6131832563.1726,126373625299.3044,401333907699.3958,4.0,4605550713.803559,126373625299.3044,1.0,8177992457.101798,1.0,8177992457.101798,126373625299.3044,0.061,0.061,0.001352639865179502,13.572132,28.495866999999997,15.4375989,0.13392079999999998,0.0034225441884309896,15.4375989,0.00017641713251538547,2.998,2.9951421000000003,9.495106800993247e-06,16309446035.69046,16340541000.0,12475360000.0,16340541000.0,0.06471,0.0187583,0.35,0.496515,10.0,0.19432779999999997,7.375225749761028e-09,0.42067,0.07017999999999999,0.07792236631728548,2.42,5.081,73.75,0.0688949,0.5654128,0.0005654128,1558989952,51949686784,33.3226566,310000,48802496512,107507949568,167579.63478710002,2.372,0.39,1.8972295,0.277654,1.8972295,0.277654,2.2533074,15.261020499999999,0.07032157041446402,0.3619135,6.2659248,0.09402586882873738,6.851084299999999,6.851084299999999,0.0010394028398445438,5332376924.808121,1.0,1919387705.876,0.3333333,9.152109300000001,25.4260754,25.4260754,2.54260754e-12,0.7764226,0.5,1.0917662000000001,1.0,1.0917662000000001,1.0458762,2.8046216618775487e-05,CNY,USD,0.1574214,1.0,0.0,0.0,0.0,0.0,73.75,61.65,108.29,76.470726,-3.5578661,19.6269262,-31.8958353,0.5188679,0.5198679,0.008399926913699788,5.5848121,3.0,4.206118599999999,2.0,0.27036809999999994,1.0,0.5141661,1.0,3.3694617,1.0,7.9842637000000005,2.0,0.5825319999999999,0.5,2.6959439,2.0,4.2161186,0.5241661,7.9942637,2.7059439,3.4610312999999993,0.017004435063915767,105358613590.23296,2.0,64125319786.0498,1.0,64125319786.0498,41965459780.55999,2.0,42456759565.15367,1.5,42456759565.15367,0.2275314,0.28066962601708656,0.29261929999999997,0.012825927071793563,29823498333.333324,57957144533.333336,57957144533.333336,55372179953.1876,2.0,30525974131.545795,1.0,30525974131.545795,2.4782245,0.2440390371548863,None
MAN,ManpowerGroup,Industrials,United States,55.2586483,0.019925754327737657,19498580000.0,1.0,247466666.6666667,3341013333.333333,1.0,20397000000.0,1.0,347500000.0,1.0,20888250000.0,1.5,347500000.0,20888250000.0,20397000000.0,19498580000.0,1.0,247466666.6666667,20397000000.0,1.0,347500000.0,1.0,347500000.0,20397000000.0,0.256,0.256,0.005676652548950041,65.33313000000001,11.842642,58.646818999999994,0.25516350000000004,0.006521080773298182,58.646818999999994,0.000670201610117544,8.094,8.093894,2.565901229391368e-05,645383097.6031629,645400000.0,633426666.6666666,645400000.0,0.01704,0.0033466999999999998,0.5,0.1845944,10.0,0.0693271,2.6311367343028527e-09,0.98645,0.007559999999999999,0.008394030911351926,8.06,1.4609999999999999,94.49,0.015462,2.20402,0.0022040199999999997,54525700,347500000,6.3731415,25000,5223593984,5204570624,13900.0,8.485,0.121,-0.5859691999999999,-0.0865532,-0.5859691999999999,-0.0865532,6.2172577,25.1844294,0.11604785049598733,0.0691117,2.8789105999999998,0.04320065737866207,9.4329079,9.4329079,0.001431100659387892,1615453333.3333333,2.0,603600000.0,1.0,3.2335159,8.654065600000001,8.654065600000001,8.654065600000001e-13,5.1414919999999995,2.0,2.8667432,1.0,2.8667432,1.694146,4.5430219848039395e-05,USD,USD,1.0,1.0,1.26,1.26,1.17,1.09,94.49,85.97,125.07,111.12875,-14.9724981,9.910433900000001,-24.4503078,0.43580559999999996,0.43680559999999996,0.007057822026508625,0.46590859999999995,0.3333333,1.350443,1.0,0.5090197,3.0,0.2028559,1.0,0.7734584,1.0,1.7282539000000001,2.0,1.4252707,1.0,0.3331301,0.25,1.360443,0.2128559,1.7382539000000001,0.3431301,0.8517866,0.004184923126240897,9162933333.333334,1.0,9419013333.333334,1.0,9419013333.333334,2568313333.333333,1.0,2433946666.6666665,1.0,2433946666.6666665,0.1368935,0.16886393460054322,0.24277220000000002,0.010641056595579587,1935226666.6666667,1688120000.0,1688120000.0,6567640000.0,1.0,6974960000.0,1.0,6974960000.0,2.4817615,0.24438733734900386,None
BBY,"Best Buy Co., Inc.",Consumer Cyclical,United States,0.013807900000000001,0.0239629484962073,181481866666.66666,4.0,1631733333.3333333,3715733333.3333335,1.0,52333000000.0,1.0,2644000000.0,1.0,15887000000.0,1.0,2644000000.0,15887000000.0,52333000000.0,181481866666.66666,4.0,1631733333.3333333,52333000000.0,1.0,2644000000.0,1.0,2644000000.0,52333000000.0,0.45,0.45,0.009978490808701244,11.420867999999999,11.488208,11.429285499999999,0.4662656,0.011916107277923136,11.429285499999999,0.00013061110005971677,5.5920000000000005,5.5919656,1.7727476302202918e-05,4212948206.0085845,4213000000.0,3124133333.333333,4213000000.0,0.050519999999999995,520.4828775000001,14000.0,0.48893580000000003,10.0,173.6751111,6.591404582758244e-06,0.81213,0.1046,0.11613963403801741,8.48,8.53,97.37,0.087604,5.866907599999999,0.0058669075999999995,250472992,2644000000,10.556028300000001,61200,23558516736,24401078272,43202.6143791,0.276,0.005,0.1766129,0.05498009999999999,0.1766129,0.05498009999999999,0.2511532,5.2615191,0.024244662136303226,0.017495,1.5726876,0.023599599852551986,45.507220200000006,45.507220200000006,0.006904065376820864,7551066666.666667,2.0,2081000000.0,1.0,3.1198926,11.320767300000002,11.320767300000002,1.1320767300000001e-12,1.5865699,0.5,6.9876682,2.0,6.9876682,2.6444197999999997,7.091276246823376e-05,USD,USD,1.0,1.0,0.7,0.7,0.7,0.7,97.37,94.54,141.97,114.51025,-14.968310699999998,2.9934418999999997,-31.415087699999997,0.11933379999999999,0.12033379999999999,0.001944330714105963,0.6585018,0.5,0.6436930000000001,0.5,0.26843670000000003,1.0,0.1579619,0.5,0.378724,1.0,2.3160333,4.0,1.1699585,1.0,0.5744497,0.5,0.6536930000000001,0.1679619,2.3260332999999997,0.5844497,0.6190713000000001,0.0030415667494205906,16916733333.333334,1.0,19307266666.666668,1.0,19307266666.666668,4055733333.3333335,1.0,4297800000.0,1.0,4297800000.0,0.2369433,0.2922796035986872,0.7151985,0.0313481844938326,1604400000.0,1639800000.0,1639800000.0,25722000000.0,2.0,15009466666.666666,1.0,15009466666.666666,2.3790646,0.23427443087310076,None
QRTEA,Liberty Interactive Corporation,Consumer Cyclical,United States,1.3916646000000001,0.02601515233151026,13719466666.666666,1.0,805400000.0,2271933333.333333,0.5,14676000000.0,1.0,1432000000.0,1.0,14520000000.0,1.0,1432000000.0,14520000000.0,14676000000.0,13719466666.666666,1.0,805400000.0,14676000000.0,1.0,1432000000.0,1.0,1432000000.0,14676000000.0,0.8079999999999999,0.8079999999999999,0.017916934607623565,2.23238,3.194093,2.3525941,0.21249279999999998,0.005430567900754989,2.3525941,2.688487424651343e-05,5.2139999999999995,5.223247,1.6558576006449765e-05,2267041155.350978,2259000000.0,2051333333.3333333,2259000000.0,0.09757,0.0015848,0.025,0.7685869000000001,10.0,0.29024720000000004,1.1015606738902204e-08,0.8955299999999999,0.0842,0.09348907443595665,2.37,3.391,7.38,0.4594851,0.8569165000000001,0.0008569165000000001,404607008,1432000000,3.5392367999999994,26508,11862279168,3118544896,54021.4274936,0.009000000000000001,0.024,0.1964651,0.068439,0.1964651,0.068439,0.0558663,2.6136049999999997,0.012043284264187654,0.0351097,2.1237593999999995,0.03186893062747864,42.1111594,42.1111594,0.006388836679400699,1920800000.0,1.0,1959000000.0,1.0,6.1756972,6.0552727,6.0552727,6.055272699999999e-13,3.0264679,1.0,7.0248586,2.0,7.0248586,2.6514450000000003,7.110115023438642e-05,USD,USD,1.0,1.0,1.5,1.5,1.5,0.0,7.38,6.74,14.62,11.12725,-33.6763351,9.495549,-49.521203799999995,0.1624365,0.1634365,0.0026407759644919322,0.22812910000000003,0.1666667,1.2953465,1.0,6.209455999999999,2.0,2.4082476,1.0,0.3986275,2.0,0.27696540000000003,1.0,0.5222608,0.5,0.9971344999999999,1.0,1.3053465,2.4182476000000004,0.28696540000000004,1.0071345,1.1562405,0.005680739293088596,8833866666.666666,0.5,16821466666.666666,1.0,16821466666.666666,2312533333.333333,0.5,5548600000.0,1.5,5548600000.0,0.1851293,0.22836483841704933,0.3580831,0.01569530009210521,158800000.0,-13666666.6666667,-13666666.6666667,12912866666.666666,1.0,12986466666.666666,1.0,12986466666.666666,1.3343819,0.13140103895870117,None
AVT,"Avnet, Inc.",Technology,United States,50.1923167,0.026354352763120537,18310851933.33333,1.0,44608666.66666671,1357192900.0,0.5,18467646000.0,1.0,39979750.0,0.25,9608415000.0,1.0,39979750.0,9608415000.0,18467646000.0,18310851933.33333,1.0,44608666.66666671,18467646000.0,1.0,39979750.0,0.25,39979750.0,18467646000.0,0.276,0.276,0.006120141029336763,25.143214999999998,11.154696000000001,23.394650100000003,0.2175638,0.005560164808625413,3.3420928999999995,3.819262631690922e-05,13.011,12.5401109,3.9754271522476194e-05,422058076.3968949,452608000.0,570535866.6666666,452608000.0,0.00866,8.5e-06,0.025,0.00032639999999999996,0.025,0.003998300000000001,1.5174547910936845e-10,0.9938899999999999,0.008879999999999999,0.009859655356191151,3.62,1.6059999999999999,39.62,0.0405351,1.0201864,0.0010201864,99502000,161468000,1.6227614,14600,5093912576,4017890816,11059.4520548,-0.4285714,0.141,-0.4285714,-0.0348532,-0.4285714,-0.0348532,-0.4285714,0.20714290000000002,0.0009544980316490814,0.09703669999999999,3.3650714999999995,0.05049594139053864,-54.587517000000005,1831.9206583,0.2779273252566614,541254333.3333334,1.0,161699333.3333333,0.3333333,9.411310499999999,31.5023722,31.5023722,3.15023722e-12,1.1095414,1.0,2.2748397000000002,2.0,2.2748397000000002,1.5092572,4.0472241709531745e-05,USD,USD,1.0,1.0,0.22,0.21,0.21,0.21,39.62,34.82,45.43,40.368,-1.8529528000000002,13.7851809,-12.788905999999999,0.9048068000000001,0.9058068000000001,0.01463585445058693,0.3178495,0.1666667,1.8799743000000002,1.0,0.1657059,1.0,0.3699028,1.0,0.5824598000000001,1.0,0.6158236999999999,1.0,2.7377238,1.0,1.1663857,0.5,1.8899743000000002,0.3799028,0.6258236999999999,1.1763857,1.53318,0.0075326853447683015,4266435966.6666665,0.5,8323503933.333333,1.0,8323503933.333333,2030843533.3333333,0.5,5842744800.0,1.5,5842744800.0,0.1048032,0.12927918937515404,0.10684260000000001,0.0046830656616320635,4262724866.6666665,3732119733.3333335,3732119733.3333335,4471184866.666667,1.0,4428340733.333333,1.0,4428340733.333333,2.2549134,0.22204884787623194,None
THO,"Thor Industries, Inc.",Consumer Cyclical,United States,0.0054784,0.028089730089742,10351279800.0,1.0,457838200.0,4949981866.666667,2.0,36952140000.0,3.0,1319744000.0,2.0,15041731500.0,1.5,1319744000.0,15041731500.0,36952140000.0,10351279800.0,1.0,457838200.0,36952140000.0,3.0,1319744000.0,2.0,1319744000.0,36952140000.0,0.5870000000000001,0.5870000000000001,0.01301638689935029,10.14206,9.053442,10.005982800000002,0.4492718,0.011481805575503807,10.005982800000002,0.00011434594233266859,6.349,6.3491147,2.0127766949106087e-05,1138496139.4707828,1138455000.0,887217666.6666666,1138455000.0,0.053570000000000007,0.4688052,10.0,1444.498204,25000.0,481.67452639999993,1.8280752265549388e-05,0.92895,0.0435,0.0482989873867472,11.04,9.855,98.66,0.0998885,2.025042,0.002025042,55366200,659872000,11.9183184,31000,7228573184,5533851648,21286.193548400002,0.932,0.546,1.2133652,0.2933481,1.2133652,0.2933481,1.0023413,10.2616996,0.047285096759648364,0.482837,7.198647500000001,0.10802221654165374,9.9826105,9.9826105,0.0015144980339479933,523877733.3333333,1.0,394861500.0,0.75,13.798206599999999,18.3066042,18.3066042,1.8306604199999998e-12,2.6545363999999996,2.0,2.7081717999999997,2.0,2.7081717999999997,1.6466523999999998,4.415663145047812e-05,USD,USD,1.0,1.0,0.43,0.43,0.41,0.41,98.66,92.2,152.2,117.75815,-16.2181131,7.0065076,-35.1773982,0.2153333,0.2163333,0.0034954724248207865,3.6776405,2.0,1.7488431,1.0,0.084604,1.0,0.2100208,2.0,0.7321068000000001,1.0,0.3066119,0.5,1.5042798000000002,1.0,1.5143704,1.0,1.7588431,0.22002080000000002,0.3166119,1.5243704,1.6416068,0.008065398377380338,12055746800.0,2.0,6579239066.666667,1.0,6579239066.666667,5168061733.333333,2.0,4183875100.0,1.5,4183875100.0,0.3005922,0.3707932195628967,0.4154358,0.018209151870065363,809219733.3333334,929018800.0,929018800.0,3421518666.6666665,1.0,3763873800.0,1.0,3763873800.0,3.2310768,0.31817491564847783,None
UNM,Unum Group,Financial Services,United States,0.3809559,0.028719378091072743,50073653333.333336,4.0,852413333.3333334,21645333333.33333,2.0,13334800000.0,1.0,702400000.0,1.0,67969050000.0,1.5,702400000.0,67969050000.0,13334800000.0,50073653333.333336,4.0,852413333.3333334,13334800000.0,1.0,702400000.0,1.0,702400000.0,13334800000.0,0.537,0.537,0.011907665698383484,6.3912705999999995,4.5555553,6.161806200000001,0.37678320000000004,0.009629252150961103,6.161806200000001,7.041562538067523e-05,5.707999999999999,5.6924012,1.804587413335151e-05,1262101850.0350385,1269000000.0,1358286666.6666667,1269000000.0,0.05267,9.2098788,140.0,0.5523923000000001,10.0,3.272647,1.2420513392462728e-07,0.8591799999999999,0.0068,0.007550186534020252,5.4,3.8489999999999998,24.09,0.15977579999999997,0.47521540000000007,0.00047521540000000005,204240992,702400000,3.4390746,10300,7164702720,5024328704,68194.1747573,-0.311,-0.009000000000000001,0.08767660000000001,0.0692041,0.08767660000000001,0.0692041,-0.21133089999999996,0.22886689999999998,0.001054600498301545,0.010551000000000001,1.2771816999999999,0.01916526655325704,-29.1571538,3429.6900372,0.5203307109288117,1065566666.6666666,1.0,144650000.0,0.5,6.7238428,49.5313012,49.5313012,4.95313012e-12,5.6608025,1.0,5.4891267,1.0,5.4891267,2.3438885,6.285371500112226e-05,USD,USD,1.0,1.0,0.3,0.3,0.285,0.285,24.09,21.87,31.98,27.18415,-11.3821841,10.1508916,-24.6716698,0.4391691,0.4401691,0.007112168821481405,1.1769204,1.0,1.1821901000000001,1.0,17.582736800000003,1.0,21.016227899999997,1.0,0.270301,2.0,0.1396213,1.0,21.330021300000002,1.0,53.2668777,2.0,1.1921901000000001,21.0262279,0.14962129999999998,53.2768777,27.2345339,0.13380632044516982,68054953333.333336,1.0,70290480000.0,1.0,70290480000.0,10243100000.0,1.0,10832973333.333334,1.0,10832973333.333334,0.10999280000000002,0.135680780940882,0.16483910000000002,0.007225136124582646,10972220000.0,14248646666.666666,14248646666.666666,57811853333.333336,1.0,59457506666.66665,1.0,59457506666.66665,0.9483405999999999,0.09338626380252764,None
RGA,"Reinsurance Group of America, I",Financial Services,United States,2.0257751,0.03306195216368687,56596266666.66665,4.0,670266666.6666666,15773102000.0,2.0,16442000000.0,1.0,148250000.0,0.25,33372000000.0,1.0,148250000.0,33372000000.0,16442000000.0,56596266666.66665,4.0,670266666.6666666,16442000000.0,1.0,148250000.0,0.25,148250000.0,16442000000.0,0.484,0.484,0.01073242122535867,17.350239000000002,7.8989899999999995,16.168832899999998,0.45268339999999996,0.011568994061185276,16.168832899999998,0.00018477349714912105,6.332999999999999,6.519724500000001,2.0668628857559812e-05,1187526948.6815095,1117500000.0,1160806666.6666667,1117500000.0,0.03607,5.2065278,140.0,0.0006474,0.025,1.7487484,6.636937293343207e-08,0.94152,0.00372,0.004130396162728727,13.86,6.31,107.59,0.0586486,0.5183885,0.0005183885,67985200,593000000,8.7224867,3600,7964088832,7443019776,164722.2222222,-0.32411599999999996,0.11,-0.32411599999999996,0.0475353,-0.32411599999999996,0.0475353,-0.32411599999999996,0.21758840000000002,0.0010026300660542697,0.0943838,3.3221951,0.04985254222905358,-49.885952,2004.5723503,0.3041209394512445,2729866666.6666665,1.0,2182000000.0,0.5,2.9173911,3.6499032,3.6499032,3.6499032e-13,2.6747781,0.5,2.9390153,0.5,2.9390153,1.7153557000000001,4.599897917215371e-05,USD,USD,1.0,1.0,0.73,0.73,0.7,0.7,107.59,94.32,134.93,117.505,-8.437938800000001,14.0691264,-20.262358300000002,0.6535335999999999,0.6545335999999999,0.010575829749366734,1.1889858,1.0,1.1707311000000002,1.0,9.6059179,6.0,5.3111941,2.0,0.08705249999999999,0.3333333,0.2603532,1.0,0.4679133,0.5,0.9590101999999999,1.0,1.1807311000000003,5.3211941,0.2703532,0.9690101999999999,1.0748706000000001,0.005280959845642594,156500909066.66666,2.0,134164400000.0,1.5,134164400000.0,12512635666.666666,1.0,13025866666.666666,1.0,13025866666.666666,0.101105,0.1247173029237175,0.11138119999999999,0.004881999062839851,-445930200.0,-399600000.0,-399600000.0,131475637733.33333,2.0,114625600000.0,1.5,114625600000.0,0.1338454,0.013180203223562118,None
