Symbol,Name,Sector,Value,Close,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,1823.89704,92.16,206.5598
CI,Cigna Corporation,Healthcare,1367571.6723,222.33,92.8937
DHI,D.R. Horton  Inc.,Consumer Cyclical,169979.46291,105.58,78.8625
LEN,Lennar Corporation,Consumer Cyclical,130277.14288,112.35,66.9888
LYB,LyondellBasell Industries NV,Basic Materials,9.14342,88.02,63.3501
BBY,Best Buy Co.  Inc.,Consumer Cyclical,8120.82982,97.37,55.0202
INTC,Intel Corporation,Technology,465761.57816,50.97,45.3003
BRK.B,Berkshire Hathaway Inc. New,Financial Services,14298668853.44869,299.46,44.6421
DISH,DISH Network Corporation,Communication Services,79541.36053,32.27,44.5218
BEN,Franklin Resources  Inc.,Financial Services,26479.18294,32.87,43.9314
UHS,Universal Health Services  Inc.,Healthcare,8335851.461,127.6,40.4108
FOX,Fox Corporation,Communication Services,138698135.11254,34.38,37.2448
JEF,Jefferies Financial Group Inc.,Financial Services,467867.46981,37.84,35.2845
MS,Morgan Stanley,Financial Services,635715101214.5737,98.3,34.6566
FOXA,Fox Corporation,Communication Services,1331352.82274,36.82,34.3755
THO,Thor Industries  Inc.,Consumer Cyclical,261.89654,98.66,30.0936
GM,General Motors Company,Consumer Cyclical,29546666.04985,56.08,27.7452
STLD,Steel Dynamics  Inc.,Basic Materials,640.66005,61.45,27.6872
TRV,The Travelers Companies  Inc.,Financial Services,620587693.3954,154.69,27.0875
SEB,Seaboard Corporation,Industrials,32.52783,3840.89,26.3695
SCCO,Southern Copper Corporation,Basic Materials,1563.03476,59.36,24.4294
KMPR,Kemper Corporation,Financial Services,515916.75336,54.8,24.1018
CINF,Cincinnati Financial Corporatio,Financial Services,234244.75766,112.44,23.3828
JD,JD.com  Inc.,Consumer Cyclical,64.51107,73.75,23.3352
MET,MetLife  Inc.,Financial Services,1646208.67956,60.88,23.0923
IP,International Paper Company,Consumer Cyclical,14075.83702,45.27,22.2842
CACI,CACI International  Inc.,Technology,511046.80408,264.99,22.0833
PGR,Progressive Corporation (The),Financial Services,22521433859.83326,101.16,21.5827
BIDU,Baidu  Inc.,Communication Services,3667074548.93819,143.46,21.244
WLK,Westlake Chemical Corporation,Basic Materials,8.43601,92.42,20.3614
VMW,Vmware  Inc.,Technology,4151562.45743,115.4,20.2671
ALL,Allstate Corporation (The),Financial Services,1386475.26491,113.42,19.4042
NTES,NetEase  Inc.,Communication Services,306.51499,97.62,19.1452
NUE,Nucor Corporation,Basic Materials,26632.07031,113.64,19.0539
CNXC,Concentrix Corporation,Technology,213424.08758,184.91,16.7325
IVZ,Invesco Ltd,Financial Services,1672606.5532,22.8,15.661
DOW,Dow Inc.,Basic Materials,888864.83314,54.23,15.4883
FNF,FNF Group of Fidelity National ,Financial Services,4812391.91033,52.12,15.4148
NEU,NewMarket Corp,Basic Materials,20112.37091,340.01,15.3396
FDX,FedEx Corporation,Industrials,717505.09867,257.49,15.2663
TSN,Tyson Foods  Inc.,Consumer Defensive,132769897.85064,84.93,15.232
GRMN,Garmin Ltd.,Technology,162986.988,136.02,15.2297
HPE,Hewlett Packard Enterprise Comp,Technology,33575128065.66183,15.55,14.4972
FHN,First Horizon Corporation,Financial Services,3294687326480.266,15.82,14.0946
SRE,DBA Sempra,Utilities,160891942.95928,129.16,13.9305
COF,Capital One Financial Corporati,Financial Services,258242357431.70807,145.59,13.8927
RJF,Raymond James Financial  Inc.,Financial Services,6331847814.14591,97.99,13.2628
SC,Santander Consumer USA Holdings,Financial Services,289696119152.17664,42.18,13.1403
IPGP,IPG Photonics Corporation,Technology,12614.67105,172.52,12.5763
FSLR,First Solar  Inc.,Technology,58063.27257,87.92,12.179
HUN,Huntsman Corporation,Basic Materials,5669674.05034,32.4,12.0057
SSNC,SS&C Technologies Holdings  Inc,Technology,433187817.83086,81.4,11.8841
ZION,Zions Bancorporation N.A.,Financial Services,26249342028129.375,61.86,11.7269
LAD,Lithia Motors  Inc.,Consumer Cyclical,18280.64393,285.02,11.6408
AIZ,Assurant  Inc.,Financial Services,105590583.05869,154.69,11.2337
PHM,PulteGroup  Inc.,Consumer Cyclical,143436.39853,54.54,11.036
CB,Chubb Limited,Financial Services,1768126864054.3484,188.38,10.9207
GL,Globe Life Inc.,Financial Services,718984614.12446,91.76,10.3232
