Symbol,Name,Sector,Value,Close,Grade
PGR,Progressive Corporation (The),Financial Services,0.02836,101.16,1.3964
LMT,Lockheed Martin Corporation,Industrials,0.06602,343.14,1.2545
CI,Cigna Corporation,Healthcare,0.1149,222.33,1.163
CTSH,Cognizant Technology Solutions ,Technology,0.27042,85.9,1.0113
BRK.B,Berkshire Hathaway Inc. New,Financial Services,0.28644,299.46,0.9455
TRV,The Travelers Companies  Inc.,Financial Services,0.48129,154.69,0.8471
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.01381,97.37,0.5589
UNH,UnitedHealth Group Incorporated,Healthcare,0.26339,494.13,0.5582
STX,Seagate Technology Holdings PLC,Technology,0.01765,110.31,0.5403
BK,The Bank of New York Mellon Cor,Financial Services,2.50756,57.91,0.518
TEL,TE Connectivity Ltd. New Switze,Technology,0.07574,156.76,0.5131
LEN.B,Lennar Corporation,Consumer Cyclical,0.03162,92.16,0.5125
LEN,Lennar Corporation,Consumer Cyclical,0.04439,112.35,0.4904
MS,Morgan Stanley,Financial Services,0.12409,98.3,0.484
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.04452,105.58,0.4792
SRE,DBA Sempra,Utilities,0.14479,129.16,0.4715
HPE,Hewlett Packard Enterprise Comp,Technology,0.04931,15.55,0.4681
CDW,CDW Corporation,Technology,0.05302,198.87,0.457
LYB,LyondellBasell Industries NV,Basic Materials,0.80178,88.02,0.4513
ACN,Accenture plc,Technology,0.26124,415.42,0.445
ALL,Allstate Corporation (The),Financial Services,1.09479,113.42,0.4168
TGT,Target Corporation,Consumer Defensive,0.98688,217.74,0.3969
LRCX,Lam Research Corporation,Technology,0.63985,691.22,0.3753
FCX,Freeport-McMoRan  Inc.,Basic Materials,0.88603,41.98,0.354
UHS,Universal Health Services  Inc.,Healthcare,0.29694,127.6,0.3482
DG,Dollar General Corporation,Consumer Defensive,1.7018,220.22,0.3467
INTC,Intel Corporation,Technology,0.92557,50.97,0.3416
TFC,Truist Financial Corporation,Financial Services,0.99006,57.34,0.3263
TSN,Tyson Foods  Inc.,Consumer Defensive,3.47845,84.93,0.3233
PFE,Pfizer  Inc.,Healthcare,1.3085,57.58,0.3049
AMP,Ameriprise Financial  Inc.,Financial Services,0.55467,298.69,0.3047
STLD,Steel Dynamics  Inc.,Basic Materials,0.01588,61.45,0.2733
IP,International Paper Company,Consumer Cyclical,0.01753,45.27,0.2695
NUE,Nucor Corporation,Basic Materials,0.02816,113.64,0.2609
NOC,Northrop Grumman Corporation,Industrials,9.3217,379.81,0.25
ACI,Albertsons Companies  Inc.,Consumer Defensive,0.04142,30.05,0.2485
SYF,Synchrony Financial,Financial Services,0.0418,45.95,0.2322
RTX,Raytheon Technologies Corporati,Industrials,3.9967,84.07,0.2297
RF,Regions Financial Corporation,Financial Services,0.04197,21.34,0.2294
EMR,Emerson Electric Company,Industrials,0.23842,89.87,0.229
WLK,Westlake Chemical Corporation,Basic Materials,0.0538,92.42,0.2282
STT,State Street Corporation,Financial Services,2.00127,92.59,0.2254
BEN,Franklin Resources  Inc.,Financial Services,0.06058,32.87,0.2244
COF,Capital One Financial Corporati,Financial Services,13.51634,145.59,0.2218
PKG,Packaging Corporation of Americ,Consumer Cyclical,0.08326,130.99,0.2151
ZION,Zions Bancorporation N.A.,Financial Services,0.00202,61.86,0.2107
