Symbol,Name,Sector,Value,Close,Grade
NUE,Nucor Corporation,Basic Materials,0.00545,114.44,1.4114
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.00733,95.24,1.348
TSN,Tyson Foods  Inc.,Consumer Defensive,0.09989,91.01,1.1059
CI,Cigna Corporation,Healthcare,0.13105,233.18,1.0402
CTSH,Cognizant Technology Solutions ,Technology,0.25077,87.42,0.9233
BRK.B,Berkshire Hathaway Inc. New,Financial Services,0.36141,319.78,0.8241
TRV,The Travelers Companies  Inc.,Financial Services,0.4127,166.24,0.7576
PGR,Progressive Corporation (The),Financial Services,0.05485,109.18,0.5988
LMT,Lockheed Martin Corporation,Industrials,0.08855,360.14,0.5718
STLD,Steel Dynamics  Inc.,Basic Materials,0.00293,62.31,0.5571
MS,Morgan Stanley,Financial Services,0.09716,104.05,0.5259
STX,Seagate Technology Holdings PLC,Technology,0.00944,110.96,0.5257
IP,International Paper Company,Consumer Cyclical,0.01186,48.87,0.5094
LEN.B,Lennar Corporation,Consumer Cyclical,0.01198,85.17,0.4989
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.01282,102.5,0.4885
WLK,Westlake Chemical Corporation,Basic Materials,0.0131,103.33,0.478
ACN,Accenture plc,Technology,0.18535,370.75,0.4703
HPE,Hewlett Packard Enterprise Comp,Technology,0.01406,17.13,0.4646
TROW,T. Rowe Price Group  Inc.,Financial Services,0.22043,191.58,0.4566
LEN,Lennar Corporation,Consumer Cyclical,0.01685,102.95,0.4542
BEN,Franklin Resources  Inc.,Financial Services,0.0216,35.16,0.4437
LYB,LyondellBasell Industries NV,Basic Materials,0.46167,97.61,0.4386
CDW,CDW Corporation,Technology,0.03806,198.38,0.4293
DOW,Dow Inc.,Basic Materials,0.8162,59.1,0.4085
ALL,Allstate Corporation (The),Financial Services,1.07528,125.95,0.3699
TEL,TE Connectivity Ltd. New Switze,Technology,0.75927,158.57,0.3663
VZ,Verizon Communications Inc.,Communication Services,0.80425,54.24,0.3524
TGT,Target Corporation,Consumer Defensive,0.92362,230.78,0.3465
UHS,Universal Health Services  Inc.,Healthcare,0.29521,133.82,0.3281
INTC,Intel Corporation,Technology,1.0269,53.44,0.3173
PFE,Pfizer  Inc.,Healthcare,1.09879,55.72,0.2977
DG,Dollar General Corporation,Consumer Defensive,1.70259,238.27,0.2913
BLDR,Builders FirstSource  Inc.,Industrials,0.61617,78.63,0.2655
BK,The Bank of New York Mellon Cor,Financial Services,2.80732,62.33,0.2563
CB,Chubb Limited,Financial Services,10.59789,201.19,0.2483
EOG,EOG Resources  Inc.,Energy,0.14822,98.16,0.2337
ACI,Albertsons Companies  Inc.,Consumer Defensive,0.04312,31.21,0.2278
PKG,Packaging Corporation of Americ,Consumer Cyclical,0.06328,137.85,0.2195
EMR,Emerson Electric Company,Industrials,0.24208,95.69,0.2192
JBL,Jabil Inc.,Technology,0.00129,69.38,0.2149
SYY,Sysco Corporation,Consumer Defensive,0.27288,80.46,0.2098
GS,Goldman Sachs Group  Inc. (The),Financial Services,14.59789,397.51,0.2088
IVZ,Invesco Ltd,Financial Services,1.67018,24.54,0.2055
UNH,UnitedHealth Group Incorporated,Healthcare,0.27878,490.9,0.2026
KLAC,KLA Corporation,Technology,0.07783,416.91,0.202
AMAT,Applied Materials  Inc.,Technology,8.01215,150.81,0.2007
RS,Reliance Steel & Aluminum Co.,Basic Materials,0.00956,166.53,0.2001
NVR,NVR  Inc.,Consumer Cyclical,0.15118,5438.88,0.1982
TOL,Toll Brothers  Inc.,Consumer Cyclical,0.0118,65.54,0.1972
AKAM,Akamai Technologies  Inc.,Technology,0.16713,110.54,0.1957
BAH,Booz Allen Hamilton Holding Cor,Industrials,0.15852,87.41,0.1944
NXPI,NXP Semiconductors N.V.,Technology,0.14754,221.33,0.1882
DOX,Amdocs Limited,Technology,0.01392,75.23,0.1824
UWMC,UWM Holdings Corporation,Financial Services,0.28756,5.99,0.1803
ANTM,Anthem  Inc.,Healthcare,2.19758,434.99,0.1799
WDC,Western Digital Corporation,Technology,0.36166,65.83,0.1796
COF,Capital One Financial Corporati,Financial Services,17.55738,154.69,0.1786
COST,Costco Wholesale Corporation,Consumer Defensive,0.45816,536.18,0.1746
CHRW,C.H. Robinson Worldwide  Inc.,Industrials,0.30503,108.43,0.1741
FCX,Freeport-McMoRan  Inc.,Basic Materials,1.00466,41.88,0.1739
LDOS,Leidos Holdings  Inc.,Technology,0.43909,91.51,0.1725
DELL,Dell Technologies Inc.,Technology,1.03086,57.99,0.1713
THO,Thor Industries  Inc.,Consumer Cyclical,0.03251,106.42,0.1696
HUM,Humana Inc.,Healthcare,3.13319,393.59,0.1651
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,0.05524,150.86,0.1617
TSCO,Tractor Supply Company,Consumer Cyclical,0.42742,228.38,0.1609
VMW,Vmware  Inc.,Technology,5.14396,120.46,0.1586
KMX,CarMax Inc,Consumer Cyclical,3.82736,121.08,0.1584
LNC,Lincoln National Corporation,Financial Services,0.8317,73.1,0.1581
LRCX,Lam Research Corporation,Technology,0.62565,669.29,0.1578
AIZ,Assurant  Inc.,Financial Services,0.07342,158.74,0.1569
EXPD,Expeditors International of Was,Industrials,0.49353,130.06,0.1522
XLNX,Xilinx  Inc.,Technology,0.90157,193.07,0.1465
LAD,Lithia Motors  Inc.,Consumer Cyclical,0.13633,298.21,0.1434
TXN,Texas Instruments Incorporated,Technology,0.94702,179.44,0.1422
TFC,Truist Financial Corporation,Financial Services,2.84472,65.0,0.1411
CSCO,Cisco Systems  Inc.,Technology,9.54511,61.13,0.1384
PHM,PulteGroup  Inc.,Consumer Cyclical,1.91304,52.28,0.1377
PRU,Prudential Financial  Inc.,Financial Services,7.85519,114.79,0.1363
HD,Home Depot  Inc. (The),Consumer Cyclical,4.46447,393.61,0.1314
ON,ON Semiconductor Corporation,Technology,1.1646,64.56,0.1297
BERY,Berry Global Group  Inc.,Consumer Cyclical,3.00995,73.21,0.1289
