Symbol,Name,Sector,Value,Close,MA,Grade
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.00733/0.13072,95.24, ,2.4945
CI,Cigna Corporation,Healthcare,0.13105/0.04782,233.18, ,2.4413
NUE,Nucor Corporation,Basic Materials,0.00545/0.37229,114.44, ,2.2574
CTSH,Cognizant Technology Solutions ,Technology,0.25077/0.45086,87.42, ,1.623
TSN,Tyson Foods  Inc.,Consumer Defensive,0.09989/0.59244,91.01, ,1.6018
LMT,Lockheed Martin Corporation,Industrials,0.08855/0.10652,360.14, ,1.1774
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.01282/0.03136,102.5, ,1.0482
TRV,The Travelers Companies  Inc.,Financial Services,0.4127/0.74632,166.24, ,1.0421
IP,International Paper Company,Consumer Cyclical,0.01186/0.0632,48.87, ,1.0346
LYB,LyondellBasell Industries NV,Basic Materials,0.46167/0.06385,97.61, ,1.0318
DOW,Dow Inc.,Basic Materials,0.8162/0.06536,59.1, ,0.9847
BRK.B,Berkshire Hathaway Inc. New,Financial Services,0.36141/0.85948,319.78, ,0.9773
STLD,Steel Dynamics  Inc.,Basic Materials,0.00293/0.16801,62.31, ,0.9329
TGT,Target Corporation,Consumer Defensive,0.92362/0.12063,230.78, ,0.9218
ALL,Allstate Corporation (The),Financial Services,1.07528/0.09936,125.95, ,0.9086
LEN.B,Lennar Corporation,Consumer Cyclical,0.01198/0.1577,85.17, ,0.8897
TROW,T. Rowe Price Group  Inc.,Financial Services,0.22043/0.31536,191.58, ,0.8776
VZ,Verizon Communications Inc.,Communication Services,0.80425/0.13404,54.24, ,0.8752
LEN,Lennar Corporation,Consumer Cyclical,0.01685/0.13981,102.95, ,0.8639
ACN,Accenture plc,Technology,0.18535/0.3946,370.75, ,0.8376
UHS,Universal Health Services  Inc.,Healthcare,0.29521/0.06596,133.82, ,0.8372
INTC,Intel Corporation,Technology,1.0269/0.16081,53.44, ,0.8096
PGR,Progressive Corporation (The),Financial Services,0.05485/0.74519,109.18, ,0.7544
BEN,Franklin Resources  Inc.,Financial Services,0.0216/0.32176,35.16, ,0.751
WLK,Westlake Chemical Corporation,Basic Materials,0.0131/0.51364,103.33, ,0.6648
STX,Seagate Technology Holdings PLC,Technology,0.00944/0.61803,110.96, ,0.659
IVZ,Invesco Ltd,Financial Services,1.67018/0.12473,24.54, ,0.6539
CDW,CDW Corporation,Technology,0.03806/0.51101,198.38, ,0.6268
MS,Morgan Stanley,Financial Services,0.09716/0.85652,104.05, ,0.6045
PFE,Pfizer  Inc.,Healthcare,1.09879/0.48447,55.72, ,0.5977
TEL,TE Connectivity Ltd. New Switze,Technology,0.75927/0.55399,158.57, ,0.5969
COF,Capital One Financial Corporati,Financial Services,17.55738/0.24784,154.69, ,0.5834
HPE,Hewlett Packard Enterprise Comp,Technology,0.01406/0.66334,17.13, ,0.5737
BLDR,Builders FirstSource  Inc.,Industrials,0.61617/0.40576,78.63, ,0.5232
GS,Goldman Sachs Group  Inc. (The),Financial Services,14.59789/0.41559,397.51, ,0.5167
HUM,Humana Inc.,Healthcare,3.13319/0.04325,393.59, ,0.4629
PKG,Packaging Corporation of Americ,Consumer Cyclical,0.06328/0.11335,137.85, ,0.4531
AMAT,Applied Materials  Inc.,Technology,8.01215/0.54336,150.81, ,0.45
KMX,CarMax Inc,Consumer Cyclical,3.82736/0.05813,121.08, ,0.4443
ACI,Albertsons Companies  Inc.,Consumer Defensive,0.04312/0.13341,31.21, ,0.4395
BK,The Bank of New York Mellon Cor,Financial Services,2.80732/0.70711,62.33, ,0.439
SYY,Sysco Corporation,Consumer Defensive,0.27288/0.13486,80.46, ,0.4377
BAH,Booz Allen Hamilton Holding Cor,Industrials,0.15852/0.10428,87.41, ,0.4364
EMR,Emerson Electric Company,Industrials,0.24208/0.23832,95.69, ,0.432
UWMC,UWM Holdings Corporation,Financial Services,0.28756/0.13728,5.99, ,0.3969
LDOS,Leidos Holdings  Inc.,Technology,0.43909/0.07007,91.51, ,0.3883
THO,Thor Industries  Inc.,Consumer Cyclical,0.03251/0.03353,106.42, ,0.3817
WDC,Western Digital Corporation,Technology,0.36166/0.10378,65.83, ,0.3788
NVR,NVR  Inc.,Consumer Cyclical,0.15118/0.26119,5438.88, ,0.3672
VMW,Vmware  Inc.,Technology,5.14396/0.22545,120.46, ,0.3636
AKAM,Akamai Technologies  Inc.,Technology,0.16713/0.32748,110.54, ,0.3547
ANTM,Anthem  Inc.,Healthcare,2.19758/0.32903,434.99, ,0.3541
LAD,Lithia Motors  Inc.,Consumer Cyclical,0.13633/0.03478,298.21, ,0.3523
PHM,PulteGroup  Inc.,Consumer Cyclical,1.91304/0.07747,52.28, ,0.3495
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,0.05524/0.08784,150.86, ,0.3481
VIACA,ViacomCBS Inc.,Communication Services,13.85114/0.06365,38.9, ,0.3481
TOL,Toll Brothers  Inc.,Consumer Cyclical,0.0118/0.14868,65.54, ,0.3452
DOX,Amdocs Limited,Technology,0.01392/0.13168,75.23, ,0.3418
DG,Dollar General Corporation,Consumer Defensive,1.70259/0.94566,238.27, ,0.341
EOG,EOG Resources  Inc.,Energy,0.14822/0.59924,98.16, ,0.3324
FCX,Freeport-McMoRan  Inc.,Basic Materials,1.00466/0.44444,41.88, ,0.3321
RS,Reliance Steel & Aluminum Co.,Basic Materials,0.00956/0.27767,166.53, ,0.3162
COST,Costco Wholesale Corporation,Consumer Defensive,0.45816/0.49223,536.18, ,0.3086
FOX,Fox Corporation,Communication Services,5.17579/0.11665,36, ,0.3034
NXPI,NXP Semiconductors N.V.,Technology,0.14754/0.55061,221.33, ,0.2982
UNH,UnitedHealth Group Incorporated,Healthcare,0.27878/0.6399,490.9, ,0.2968
WU,Western Union Company (The),Financial Services,0.42969/0.09708,19.01, ,0.294
C,Citigroup  Inc.,Financial Services,19.19797/0.10673,65.78, ,0.2939
XEL,Xcel Energy Inc.,Utilities,7.39855/0.38662,69.1, ,0.2889
AIZ,Assurant  Inc.,Financial Services,0.07342/0.2037,158.74, ,0.2877
CHRW,C.H. Robinson Worldwide  Inc.,Industrials,0.30503/0.46256,108.43, ,0.2865
LRCX,Lam Research Corporation,Technology,0.62565/0.52504,669.29, ,0.2818
FOXA,Fox Corporation,Communication Services,5.74688/0.15037,39.02, ,0.2785
BX,Blackstone Inc.,Financial Services,15.9091/0.29502,116.65, ,0.2773
EXPD,Expeditors International of Was,Industrials,0.49353/0.43757,130.06, ,0.2761
KLAC,KLA Corporation,Technology,0.07783/0.70761,416.91, ,0.2753
SCCO,Southern Copper Corporation,Basic Materials,20.9466/0.27893,64.35, ,0.2739
CB,Chubb Limited,Financial Services,10.59789/1.12056,201.19, ,0.269
JBL,Jabil Inc.,Technology,0.00129/0.60566,69.38, ,0.2678
DGX,Quest Diagnostics Incorporated,Healthcare,4.26443/0.21519,155.87, ,0.2676
FBHS,Fortune Brands Home & Security ,Consumer Cyclical,6.04677/0.16893,101.32, ,0.2668
FDX,FedEx Corporation,Industrials,54.79761/0.08384,263.99, ,0.2657
