Symbol,Name,Sector,Value,Close,Grade
CI,Cigna Corporation,Healthcare,0.04782,233.18,1.4011
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.13072,95.24,1.1465
NUE,Nucor Corporation,Basic Materials,0.37229,114.44,0.846
CTSH,Cognizant Technology Solutions ,Technology,0.45086,87.42,0.6997
LMT,Lockheed Martin Corporation,Industrials,0.10652,360.14,0.6056
LYB,LyondellBasell Industries NV,Basic Materials,0.06385,97.61,0.5932
DOW,Dow Inc.,Basic Materials,0.06536,59.1,0.5762
TGT,Target Corporation,Consumer Defensive,0.12063,230.78,0.5753
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.03136,102.5,0.5597
ALL,Allstate Corporation (The),Financial Services,0.09936,125.95,0.5387
IP,International Paper Company,Consumer Cyclical,0.0632,48.87,0.5252
VZ,Verizon Communications Inc.,Communication Services,0.13404,54.24,0.5228
UHS,Universal Health Services  Inc.,Healthcare,0.06596,133.82,0.5091
TSN,Tyson Foods  Inc.,Consumer Defensive,0.59244,91.01,0.4959
INTC,Intel Corporation,Technology,0.16081,53.44,0.4923
IVZ,Invesco Ltd,Financial Services,0.12473,24.54,0.4484
TROW,T. Rowe Price Group  Inc.,Financial Services,0.31536,191.58,0.421
LEN,Lennar Corporation,Consumer Cyclical,0.13981,102.95,0.4097
COF,Capital One Financial Corporati,Financial Services,0.24784,154.69,0.4048
LEN.B,Lennar Corporation,Consumer Cyclical,0.1577,85.17,0.3908
STLD,Steel Dynamics  Inc.,Basic Materials,0.16801,62.31,0.3758
ACN,Accenture plc,Technology,0.3946,370.75,0.3673
GS,Goldman Sachs Group  Inc. (The),Financial Services,0.41559,397.51,0.3079
BEN,Franklin Resources  Inc.,Financial Services,0.32176,35.16,0.3073
PFE,Pfizer  Inc.,Healthcare,0.48447,55.72,0.3
HUM,Humana Inc.,Healthcare,0.04325,393.59,0.2978
KMX,CarMax Inc,Consumer Cyclical,0.05813,121.08,0.2859
TRV,The Travelers Companies  Inc.,Financial Services,0.74632,166.24,0.2845
BLDR,Builders FirstSource  Inc.,Industrials,0.40576,78.63,0.2577
AMAT,Applied Materials  Inc.,Technology,0.54336,150.81,0.2493
BAH,Booz Allen Hamilton Holding Cor,Industrials,0.10428,87.41,0.242
PKG,Packaging Corporation of Americ,Consumer Cyclical,0.11335,137.85,0.2336
TEL,TE Connectivity Ltd. New Switze,Technology,0.55399,158.57,0.2306
VIACA,ViacomCBS Inc.,Communication Services,0.06365,38.9,0.2301
SYY,Sysco Corporation,Consumer Defensive,0.13486,80.46,0.2279
UWMC,UWM Holdings Corporation,Financial Services,0.13728,5.99,0.2166
LDOS,Leidos Holdings  Inc.,Technology,0.07007,91.51,0.2158
EMR,Emerson Electric Company,Industrials,0.23832,95.69,0.2128
FDX,FedEx Corporation,Industrials,0.08384,263.99,0.2124
THO,Thor Industries  Inc.,Consumer Cyclical,0.03353,106.42,0.2121
PHM,PulteGroup  Inc.,Consumer Cyclical,0.07747,52.28,0.2118
ACI,Albertsons Companies  Inc.,Consumer Defensive,0.13341,31.21,0.2117
LAD,Lithia Motors  Inc.,Consumer Cyclical,0.03478,298.21,0.2089
VMW,Vmware  Inc.,Technology,0.22545,120.46,0.205
SCCO,Southern Copper Corporation,Basic Materials,0.27893,64.35,0.2031
WDC,Western Digital Corporation,Technology,0.10378,65.83,0.1992
CDW,CDW Corporation,Technology,0.51101,198.38,0.1975
BX,Blackstone Inc.,Financial Services,0.29502,116.65,0.1971
C,Citigroup  Inc.,Financial Services,0.10673,65.78,0.1966
FOX,Fox Corporation,Communication Services,0.11665,36.0,0.1901
FBHS,Fortune Brands Home & Security ,Consumer Cyclical,0.16893,101.32,0.1877
WLK,Westlake Chemical Corporation,Basic Materials,0.51364,103.33,0.1868
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,0.08784,150.86,0.1864
BK,The Bank of New York Mellon Cor,Financial Services,0.70711,62.33,0.1827
WU,Western Union Company (The),Financial Services,0.09708,19.01,0.1819
XEL,Xcel Energy Inc.,Utilities,0.38662,69.1,0.1758
ANTM,Anthem  Inc.,Healthcare,0.32903,434.99,0.1742
REGN,Regeneron Pharmaceuticals  Inc.,Healthcare,0.34126,603.73,0.1712
FOXA,Fox Corporation,Communication Services,0.15037,39.02,0.1697
NVR,NVR  Inc.,Consumer Cyclical,0.26119,5438.88,0.169
TJX,TJX Companies  Inc. (The),Consumer Cyclical,0.40887,74.38,0.1653
IBM,International Business Machines,Technology,0.19341,134.83,0.1646
DOX,Amdocs Limited,Technology,0.13168,75.23,0.1594
AKAM,Akamai Technologies  Inc.,Technology,0.32748,110.54,0.159
FCX,Freeport-McMoRan  Inc.,Basic Materials,0.44444,41.88,0.1582
PGR,Progressive Corporation (The),Financial Services,0.74519,109.18,0.1556
BRK.B,Berkshire Hathaway Inc. New,Financial Services,0.85948,319.78,0.1532
GM,General Motors Company,Consumer Cyclical,0.24329,62.27,0.1524
LH,Laboratory Corporation of Ameri,Healthcare,0.20746,285.27,0.1523
GILD,Gilead Sciences  Inc.,Healthcare,0.4145,71.26,0.1517
ZBRA,Zebra Technologies Corporation,Technology,0.36294,530.86,0.151
AXP,American Express Company,Financial Services,0.46219,174.38,0.1502
DGX,Quest Diagnostics Incorporated,Healthcare,0.21519,155.87,0.1487
TOL,Toll Brothers  Inc.,Consumer Cyclical,0.14868,65.54,0.148
USB,U.S. Bancorp,Financial Services,0.41571,58.77,0.1444
CCK,Crown Holdings  Inc.,Consumer Cyclical,0.39494,109.54,0.1386
COST,Costco Wholesale Corporation,Consumer Defensive,0.49223,536.18,0.134
STX,Seagate Technology Holdings PLC,Technology,0.61803,110.96,0.1333
AIZ,Assurant  Inc.,Financial Services,0.2037,158.74,0.1308
CNA,CNA Financial Corporation,Financial Services,0.2971,46.74,0.1287
HD,Home Depot  Inc. (The),Consumer Cyclical,0.52406,393.61,0.1242
DFS,Discover Financial Services,Financial Services,0.48467,125.69,0.1241
LRCX,Lam Research Corporation,Technology,0.52504,669.29,0.124
EXPD,Expeditors International of Was,Industrials,0.43757,130.06,0.1239
UGI,UGI Corporation,Utilities,0.32827,45.75,0.1206
APH,Amphenol Corporation,Technology,0.48962,81.86,0.1203
SLGN,Silgan Holdings Inc.,Consumer Cyclical,0.26405,42.43,0.1201
TXN,Texas Instruments Incorporated,Technology,0.5383,179.44,0.1196
RS,Reliance Steel & Aluminum Co.,Basic Materials,0.27767,166.53,0.1161
WRK,Westrock Company,Consumer Cyclical,0.05703,46.94,0.1133
CHRW,C.H. Robinson Worldwide  Inc.,Industrials,0.46256,108.43,0.1124
NXPI,NXP Semiconductors N.V.,Technology,0.55061,221.33,0.11
HPE,Hewlett Packard Enterprise Comp,Technology,0.66334,17.13,0.1091
CINF,Cincinnati Financial Corporatio,Financial Services,0.38633,118.64,0.109
