Symbol,Name,Sector,Value,Close,MA,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,219.64113,85.17, ,223.7883
DHI,D.R. Horton  Inc.,Consumer Cyclical,1686.75519,95.24, ,131.5211
LEN,Lennar Corporation,Consumer Cyclical,12694.24871,102.95, ,125.292
STLD,Steel Dynamics  Inc.,Basic Materials,6.16437,62.31, ,101.779
CI,Cigna Corporation,Healthcare,2796521.38363,233.18, ,89.0374
LYB,LyondellBasell Industries NV,Basic Materials,7.77626,97.61, ,80.8585
BEN,Franklin Resources  Inc.,Financial Services,644.31937,35.16, ,64.6593
WLK,Westlake Chemical Corporation,Basic Materials,30.68395,103.33, ,59.2816
NUE,Nucor Corporation,Basic Materials,489.81143,114.44, ,55.0129
TOL,Toll Brothers  Inc.,Consumer Cyclical,28158.93479,65.54, ,52.6161
BBY,Best Buy Co.  Inc.,Consumer Cyclical,21161.87158,102.5, ,46.1872
TSN,Tyson Foods  Inc.,Consumer Defensive,520002.62328,91.01, ,45.1264
FOX,Fox Corporation,Communication Services,63989230.86076,36, ,44.7536
INTC,Intel Corporation,Technology,929568.8626,53.44, ,38.9744
BRK.B,Berkshire Hathaway Inc. New,Financial Services,28742745165.3359,319.78, ,38.5493
MS,Morgan Stanley,Financial Services,774803647031.867,104.05, ,35.6164
UHS,Universal Health Services  Inc.,Healthcare,13969732.75478,133.82, ,35.4523
VMW,Vmware  Inc.,Technology,4643269.57416,120.46, ,31.1208
JEF,Jefferies Financial Group Inc.,Financial Services,5206334152.46854,38.06, ,29.5126
THO,Thor Industries  Inc.,Consumer Cyclical,415.06071,106.42, ,27.1956
IP,International Paper Company,Consumer Cyclical,18651.21076,48.87, ,24.921
VIACA,ViacomCBS Inc.,Communication Services,95131542.58181,38.9, ,22.6059
SEB,Seaboard Corporation,Industrials,242.16933,3949.99, ,22.3265
DOW,Dow Inc.,Basic Materials,484824.56602,59.1, ,21.5098
REGN,Regeneron Pharmaceuticals  Inc.,Healthcare,297921.24474,603.73, ,20.1626
MET,MetLife  Inc.,Financial Services,2899994918.31542,67.26, ,18.5046
HPE,Hewlett Packard Enterprise Comp,Technology,6903387670.39223,17.13, ,17.5725
HUN,Huntsman Corporation,Basic Materials,979786.99274,38.1, ,17.0263
WBA,Walgreens Boots Alliance  Inc.,Healthcare,27789312.28889,53.84, ,16.9488
FOXA,Fox Corporation,Communication Services,4073605394.71175,39.02, ,16.8412
JBL,Jabil Inc.,Technology,87418.24145,69.38, ,16.6034
LAD,Lithia Motors  Inc.,Consumer Cyclical,1666.5689,298.21, ,16.3598
CB,Chubb Limited,Financial Services,42956760196.6979,201.19, ,15.3101
IVZ,Invesco Ltd,Financial Services,964088.4522,24.54, ,15.2619
FNF,FNF Group of Fidelity National ,Financial Services,3230271.03994,53.26, ,15.0082
TRV,The Travelers Companies  Inc.,Financial Services,358244266008.413,166.24, ,14.1739
CNXC,Concentrix Corporation,Technology,433063.48909,164.47, ,13.9717
WDC,Western Digital Corporation,Technology,572510.95975,65.83, ,13.5948
SSNC,SS&C Technologies Holdings  Inc,Technology,670905551.41362,82.96, ,13.2618
FDX,FedEx Corporation,Industrials,28400619.4245,263.99, ,13.1793
DISH,DISH Network Corporation,Communication Services,7954558.97384,34.38, ,13.1169
VIAC,ViacomCBS Inc.,Communication Services,1378003869.37049,35.39, ,12.8458
BIO,Bio-Rad Laboratories  Inc.,Healthcare,119.45912,663.16, ,12.431
LPX,Louisiana-Pacific Corporation,Industrials,47009.13863,73.37, ,12.2325
EBAY,eBay Inc.,Consumer Cyclical,261404015.19845,65.14, ,12.053
IPGP,IPG Photonics Corporation,Technology,5526.33703,162.61, ,11.0505
GRMN,Garmin Ltd.,Technology,26030450.38757,130.95, ,11.0004
EOG,EOG Resources  Inc.,Energy,63056087112.5279,98.16, ,10.9693
MU,Micron Technology  Inc.,Technology,9984000.2719,94.45, ,10.7851
VSAT,ViaSat  Inc.,Technology,795046.49317,46.98, ,10.5078
QDEL,Quidel Corporation,Healthcare,120.2524,124.1, ,10.0806
SYF,Synchrony Financial,Financial Services,2490490244501.54,48.21, ,9.4866
ANTM,Anthem  Inc.,Healthcare,7408248.46547,434.99, ,9.3901
