Symbol,Name,Sector,Value,Close,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,38.97467,81.275,208.5811
DHI,D.R. Horton  Inc.,Consumer Cyclical,231.19205,89.45,131.3899
LEN,Lennar Corporation,Consumer Cyclical,1553.52892,97.575,119.7124
STLD,Steel Dynamics  Inc.,Basic Materials,0.46949,53.12,102.6427
LYB,LyondellBasell Industries NV,Basic Materials,3.52044,93.21,81.672
BEN,Franklin Resources  Inc.,Financial Services,32.45087,31.55,71.912
CI,Cigna Corporation,Healthcare,3050970.50219,234.74,64.7382
WLK,Westlake Chemical Corporation,Basic Materials,3.44084,96.43,60.8276
NUE,Nucor Corporation,Basic Materials,28.22753,93.04,59.1528
TOL,Toll Brothers  Inc.,Consumer Cyclical,1203.71298,56.17,56.8637
JEF,Jefferies Financial Group Inc.,Financial Services,5930148.59648,34.89,48.1734
TSN,Tyson Foods  Inc.,Consumer Defensive,440687.47764,90.58,43.7974
INTC,Intel Corporation,Technology,393244.91349,51.0,38.2488
FOX,Fox Corporation,Communication Services,57610957.29327,35.88,37.3388
BRK.B,Berkshire Hathaway Inc. New,Financial Services,3613709717.46094,307.19,36.2242
MS,Morgan Stanley,Financial Services,467987759861.62915,100.17,29.94
WDC,Western Digital Corporation,Technology,32341.71252,54.58,29.782
VMW,Vmware  Inc.,Technology,5470956.2073,122.36,29.7478
ACI,Albertsons Companies  Inc.,Consumer Defensive,2150.87981,27.08,28.0679
THO,Thor Industries  Inc.,Consumer Cyclical,132.50068,92.08,26.4033
IP,International Paper Company,Consumer Cyclical,12077.94243,47.74,24.2843
SEB,Seaboard Corporation,Industrials,26.28323,3659.98,24.1573
UHS,Universal Health Services  Inc.,Healthcare,9490243.5679,129.17,23.5092
VIACA,ViacomCBS Inc.,Communication Services,28892724.3654,34.7,23.0134
DOW,Dow Inc.,Basic Materials,309778.95414,57.18,22.1292
BBY,Best Buy Co.  Inc.,Consumer Cyclical,11604.34453,98.03,20.31
WBA,Walgreens Boots Alliance  Inc.,Healthcare,1557642.57693,49.76,18.9697
MET,MetLife  Inc.,Financial Services,1194265160.30503,65.43,18.3139
JBL,Jabil Inc.,Technology,4041.36605,60.18,17.6449
HUN,Huntsman Corporation,Basic Materials,172720.57209,35.44,17.4264
HPE,Hewlett Packard Enterprise Comp,Technology,780615976.41927,15.89,17.2528
VIAC,ViacomCBS Inc.,Communication Services,507940562.49037,31.67,16.9571
IVZ,Invesco Ltd,Financial Services,127883.98925,21.34,16.2495
QDEL,Quidel Corporation,Healthcare,1.36368,95.18,16.2285
ALL,Allstate Corporation (The),Financial Services,10204058.99352,121.93,16.0079
AFG,American Financial Group  Inc.,Financial Services,642286.50746,127.39,15.7792
FNF,FNF Group of Fidelity National ,Financial Services,603892.17008,50.07,15.748
LAD,Lithia Motors  Inc.,Consumer Cyclical,828.78881,290.67,15.5571
CB,Chubb Limited,Financial Services,17651011178.54108,193.66,14.6082
UHAL,Amerco,Industrials,68660.89295,601.43,14.4308
FOXA,Fox Corporation,Communication Services,4317843322.09314,39.16,14.3021
SSNC,SS&C Technologies Holdings  Inc,Technology,48034188.06072,76.39,13.7194
DISH,DISH Network Corporation,Communication Services,1849777.54835,31.1,13.402
TRV,The Travelers Companies  Inc.,Financial Services,302136157131.65436,167.86,13.3021
MU,Micron Technology  Inc.,Technology,182268.44645,81.97,13.2533
FDX,FedEx Corporation,Industrials,13447422.70959,244.04,12.9687
REGN,Regeneron Pharmaceuticals  Inc.,Healthcare,313035.59011,605.25,12.443
BIO,Bio-Rad Laboratories  Inc.,Healthcare,19.76882,574.93,12.1626
GM,General Motors Company,Consumer Cyclical,269361199415.26794,51.9,11.0027
EBAY,eBay Inc.,Consumer Cyclical,106517329.47265,58.18,10.9746
IPGP,IPG Photonics Corporation,Technology,1651.59896,147.45,10.0468
GRMN,Garmin Ltd.,Technology,9992510.98657,121.37,9.6956
BLDR,Builders FirstSource  Inc.,Industrials,11990.14594,67.75,9.3934
ANTM,Anthem  Inc.,Healthcare,24469344.37901,439.18,8.9372
RS,Reliance Steel & Aluminum Co.,Basic Materials,817.32724,149.06,8.9241
GL,Globe Life Inc.,Financial Services,15278144967.64484,102.57,8.6671
PGR,Progressive Corporation (The),Financial Services,2612708056963.945,107.63,8.4119
VZ,Verizon Communications Inc.,Communication Services,477043736.64047,51.02,8.2804
COF,Capital One Financial Corporati,Financial Services,30327941194099.15,152.16,8.2772
MHK,Mohawk Industries  Inc.,Consumer Cyclical,31623.05157,157.88,8.1984
NTES,NetEase  Inc.,Communication Services,282.51836,96.76,8.1541
SC,Santander Consumer USA Holdings,Financial Services,58716498557.57089,41.61,8.0189
C,Citigroup  Inc.,Financial Services,6980617941651.827,64.11,7.8678
HUM,Humana Inc.,Healthcare,337717714.09652,375.04,7.4658
CACI,CACI International  Inc.,Technology,332383604.56168,267.32,7.4125
LYLT,Loyalty Ventures Inc.,Technology,498296.85779,31.35,7.3318
CNXC,Concentrix Corporation,Technology,1782964.15393,176.23,7.0586
EOG,EOG Resources  Inc.,Energy,119127462931.00615,106.94,6.5901
AIZ,Assurant  Inc.,Financial Services,30076133.29741,149.11,6.5258
PFE,Pfizer  Inc.,Healthcare,12278185.21548,52.61,6.5174
ZION,Zions Bancorporation N.A.,Financial Services,7.21682022883986e+19,67.2,6.4568
GS,Goldman Sachs Group  Inc. (The),Financial Services,8.385489083106416e+16,341.55,6.289
AFL,AFLAC Incorporated,Financial Services,10644055495344.582,61.9,6.2814
TEL,TE Connectivity Ltd. New Switze,Technology,4261102.93179,140.72,6.2477
CNC,Centene Corporation,Healthcare,2068147338.95346,76.37,6.2097
WRB,W.R. Berkley Corporation,Financial Services,51859713.96991,82.36,5.9874
SCCO,Southern Copper Corporation,Basic Materials,61318.15937,64.61,5.9355
SEIC,SEI Investments Company,Financial Services,21343.3959,57.45,5.8775
ACN,Accenture plc,Technology,8692817.74361,334.95,5.8683
UNM,Unum Group,Financial Services,567822.30434,25.96,5.8472
CTSH,Cognizant Technology Solutions ,Technology,21245108.5564,82.25,5.8329
CINF,Cincinnati Financial Corporatio,Financial Services,237597079600.25427,115.09,5.7537
AM,Antero Midstream Corporation,Energy,4.98109,9.56,5.7079
LH,Laboratory Corporation of Ameri,Healthcare,161726053.51349,268.05,5.495
FCX,Freeport-McMoRan  Inc.,Basic Materials,5083514.81856,39.63,5.4947
CR,Crane Co.,Industrials,1459960.2734,101.48,5.4597
DGX,Quest Diagnostics Incorporated,Healthcare,92940150.38364,137.18,5.4175
TMUS,T-Mobile US  Inc.,Communication Services,11570569807.13928,104.22,5.1491
DOX,Amdocs Limited,Technology,271183232.0429,75.0,5.0235
KIM,Kimco Realty Corporation,Real Estate,483534630.06549,24.23,4.8159
NVR,NVR  Inc.,Consumer Cyclical,22065.71998,5051.56,4.7269
SLGN,Silgan Holdings Inc.,Consumer Cyclical,220514000.69478,42.13,4.6036
RKT,Rocket Companies  Inc.,Financial Services,1331539.97858,12.63,4.5073
TGT,Target Corporation,Consumer Defensive,27559130.16543,211.71,4.4652
FAF,First American Corporation (New,Financial Services,9185970.90254,73.56,4.4158
JD,JD.com  Inc.,Consumer Cyclical,2177105154.28675,72.15,4.4098
LNC,Lincoln National Corporation,Financial Services,42075315426035.65,68.0,4.1106
PNFP,Pinnacle Financial Partners  In,Financial Services,7.713051625904841e+17,98.85,4.0811
RJF,Raymond James Financial  Inc.,Financial Services,7847264524.62306,98.46,4.0707
ACGL,Arch Capital Group Ltd.,Financial Services,5117953075.75188,45.25,4.0083
OMF,OneMain Holdings  Inc.,Financial Services,1243184665.75498,51.93,4.0016
QRTEA,Liberty Interactive Corporation,Consumer Cyclical,1370695559.08796,7.65,3.9312
RE,Everest Re Group  Ltd.,Financial Services,47076489263.49381,281.76,3.8643
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,8250598684.05453,38.08,3.8463
EMR,Emerson Electric Company,Industrials,2142811698.81504,91.21,3.8213
DELL,Dell Technologies Inc.,Technology,26760062603.19492,55.44,3.8102
DISCK,Discovery  Inc. - Series C,Communication Services,4060822298.61077,26.22,3.7709
CMCSA,Comcast Corporation,Communication Services,31317796.19618,49.67,3.7606
AKAM,Akamai Technologies  Inc.,Technology,216068.9975,112.56,3.7205
ZM,Zoom Video Communications  Inc.,Technology,4356.18056,140.33,3.6829
JHG,Janus Henderson Group plc,Financial Services,1028895.87635,35.84,3.651
NEU,NewMarket Corp,Basic Materials,273040908.63424,335.97,3.5983
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,80932.09441,149.8,3.5844
SF,Stifel Financial Corporation,Financial Services,1488597365992.1077,70.97,3.5447
GLW,Corning Incorporated,Technology,597732091.5192,35.3,3.5267
ADI,Analog Devices  Inc.,Technology,1920982074.63856,155.77,3.4948
KHC,The Kraft Heinz Company,Consumer Defensive,394538669367.4576,36.21,3.4706
PKG,Packaging Corporation of Americ,Consumer Cyclical,544109.40103,133.4,3.4411
WRK,Westrock Company,Consumer Cyclical,1872914.76472,43.39,3.3648
PINC,Premier  Inc.,Healthcare,27202639.31309,37.35,3.3592
GPN,Global Payments Inc.,Industrials,800522815.42882,139.5,3.3473
WMT,Walmart Inc.,Consumer Defensive,1196446929.64006,135.75,3.331
ATH,Athene Holding Ltd.,Financial Services,23509215369.6428,83.91,3.3005
AGR,Avangrid  Inc.,Utilities,1100841.61375,45.09,3.2755
NXST,Nexstar Media Group  Inc.,Communication Services,38467754.12672,158.4,3.1837
TROW,T. Rowe Price Group  Inc.,Financial Services,17238.48204,156.62,3.168
CNA,CNA Financial Corporation,Financial Services,2122444404.54767,44.72,3.1637
VICI,VICI Properties Inc.,Real Estate,222646955.33263,27.5,3.1031
SYF,Synchrony Financial,Financial Services,459714610599.71387,45.37,3.0274
AVGO,Broadcom Inc.,Technology,27769386.25631,534.14,2.9667
LRCX,Lam Research Corporation,Technology,5301842.96889,588.23,2.9619
SNDR,Schneider National  Inc.,Industrials,74365.78675,25.29,2.9208
FISV,Fiserv  Inc.,Technology,6225869830.1486,101.04,2.9092
PHM,PulteGroup  Inc.,Consumer Cyclical,710448.38688,51.07,2.8978
LFUS,Littelfuse  Inc.,Technology,7880095.5326,265.56,2.8796
ON,ON Semiconductor Corporation,Technology,18272178.19016,55.76,2.8031
SNX,TD SYNNEX Corporation,Technology,252161324.89303,100.62,2.7717
TDY,Teledyne Technologies Incorpora,Technology,749168453.74381,405.99,2.7647
WAB,Westinghouse Air Brake Technolo,Industrials,7409427141.09721,89.34,2.7015
LBRDA,Liberty Broadband Corporation,Communication Services,307621819.82671,138.5,2.6556
DHR,Danaher Corporation,Healthcare,186073312.41783,271.2,2.6098
CRM,Salesforce.com Inc,Technology,156297916.2454,215.39,2.6076
KKR,KKR & Co. Inc.,Financial Services,2.5363605607739996e+18,64.76,2.5781
LDOS,Leidos Holdings  Inc.,Technology,56272100.86916,93.32,2.5395
XEL,Xcel Energy Inc.,Utilities,16698760221697.914,67.62,2.5318
CHTR,Charter Communications  Inc.,Communication Services,84362351.32475,563.54,2.5028
MTG,MGIC Investment Corporation,Financial Services,340189257.37062,15.25,2.4525
PAG,Penske Automotive Group  Inc.,Consumer Cyclical,1256023.13458,100.04,2.4046
TFC,Truist Financial Corporation,Financial Services,1.4788814193857556e+19,62.87,2.3962
NVDA,NVIDIA Corporation,Technology,466505065.573,227.72,2.3656
BLK,BlackRock  Inc.,Financial Services,29049188544.24844,798.55,2.3568
LBRDK,Liberty Broadband Corporation,Communication Services,380379889.259,139.89,2.3331
AN,AutoNation  Inc.,Consumer Cyclical,328.53727,110.09,2.3154
PB,Prosperity Bancshares  Inc.,Financial Services,1.087076117345352e+18,74.77,2.3135
KMPR,Kemper Corporation,Financial Services,160883207.27481,60.46,2.2429
NOC,Northrop Grumman Corporation,Industrials,1057060076803.1189,403.23,2.2319
MTZ,MasTec  Inc.,Industrials,27330933.75066,86.49,2.2313
GD,General Dynamics Corporation,Industrials,374447373651.7721,205.96,2.2113
MDU,MDU Resources Group  Inc.,Industrials,1946531480.46926,29.02,2.1893
SWK,Stanley Black & Decker  Inc.,Industrials,521445626.22986,175.03,2.1893
SRE,DBA Sempra,Utilities,14611491072.81052,134.64,2.1715
SLVM,Sylvamo Corporation,Basic Materials,15095.54143,27.44,2.1609
IAC,IAC/InterActiveCorp,Communication Services,341183951.65778,127.94,2.1213
RPRX,Royalty Pharma plc,Healthcare,3921700032.44928,38.93,2.0248
AGCO,AGCO Corporation,Industrials,56160.70494,116.62,2.0113
AEP,American Electric Power Company,Utilities,1011396168893.1992,88.96,1.9934
STX,Seagate Technology Holdings PLC,Technology,266721119632.0054,96.31,1.9779
MCY,Mercury General Corporation,Financial Services,12805605163.87956,54.49,1.9736
CLH,Clean Harbors  Inc.,Industrials,18796984.64435,91.31,1.9637
FL,Foot Locker  Inc.,Consumer Cyclical,1898642886.82956,45.67,1.9581
CAG,ConAgra Brands  Inc.,Consumer Defensive,334556478786.4635,35.04,1.9494
KLAC,KLA Corporation,Technology,2242372.86367,370.11,1.8816
KNX,Knight-Swift Transportation Hol,Industrials,7302022.84486,55.37,1.8814
INTU,Intuit Inc.,Technology,1409605791.77179,515.99,1.8757
