Symbol,Name,Sector,Value,Close,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,38.97467/-1.27227,81.275,442.5111
DHI,D.R. Horton  Inc.,Consumer Cyclical,231.19205/-1.03339,89.45,260.6987
LEN,Lennar Corporation,Consumer Cyclical,1553.52892/-0.65838,97.575,223.9514
STLD,Steel Dynamics  Inc.,Basic Materials,0.46949/-1.2318,53.12,189.8556
LYB,LyondellBasell Industries NV,Basic Materials,3.52044/-1.15259,93.21,154.8678
BEN,Franklin Resources  Inc.,Financial Services,32.45087/-1.18855,31.55,138.7533
WLK,Westlake Chemical Corporation,Basic Materials,3.44084/-1.63083,96.43,126.5499
CI,Cigna Corporation,Healthcare,3050970.50219/-0.50587,234.74,123.5119
NUE,Nucor Corporation,Basic Materials,28.22753/-1.16118,93.04,113.9269
TOL,Toll Brothers  Inc.,Consumer Cyclical,1203.71298/-0.70519,56.17,106.6185
FOX,Fox Corporation,Communication Services,57610957.29327/-0.79478,35.88,104.7343
JEF,Jefferies Financial Group Inc.,Financial Services,5930148.59648/-0.45732,34.89,88.4088
INTC,Intel Corporation,Technology,393244.91349/-0.51999,51.0,71.2305
VMW,Vmware  Inc.,Technology,5470956.2073/-0.71122,122.36,63.1012
TSN,Tyson Foods  Inc.,Consumer Defensive,440687.47764/-0.23803,90.58,61.9462
VIACA,ViacomCBS Inc.,Communication Services,28892724.3654/-1.14628,34.7,58.0279
WDC,Western Digital Corporation,Technology,32341.71252/-0.61266,54.58,57.5822
THO,Thor Industries  Inc.,Consumer Cyclical,132.50068/-1.03486,92.08,52.6776
UHS,Universal Health Services  Inc.,Healthcare,9490243.5679/-0.65561,129.17,51.7883
MS,Morgan Stanley,Financial Services,467987759861.62915/0.37694,100.17,51.6371
IP,International Paper Company,Consumer Cyclical,12077.94243/-0.84331,47.74,51.4898
SEB,Seaboard Corporation,Industrials,26.28323/-1.60867,3659.98,50.2322
ACI,Albertsons Companies  Inc.,Consumer Defensive,2150.87981/-0.63068,27.08,46.6289
DOW,Dow Inc.,Basic Materials,309778.95414/-0.71781,57.18,44.6322
BRK.B,Berkshire Hathaway Inc. New,Financial Services,3613709717.46094/1.10495,307.19,42.8351
BBY,Best Buy Co.  Inc.,Consumer Cyclical,11604.34453/-0.7599,98.03,40.6057
HPE,Hewlett Packard Enterprise Comp,Technology,780615976.41927/-0.43536,15.89,38.8955
WBA,Walgreens Boots Alliance  Inc.,Healthcare,1557642.57693/-0.77549,49.76,38.587
FOXA,Fox Corporation,Communication Services,4317843322.09314/-0.38835,39.16,35.7504
VIAC,ViacomCBS Inc.,Communication Services,507940562.49037/-0.32735,31.67,33.7949
EBAY,eBay Inc.,Consumer Cyclical,106517329.47265/-1.01597,58.18,32.6438
QDEL,Quidel Corporation,Healthcare,1.36368/-1.38729,95.18,32.5897
UHAL,Amerco,Industrials,68660.89295/-0.94655,601.43,31.2387
JBL,Jabil Inc.,Technology,4041.36605/-0.64222,60.18,31.0482
HUN,Huntsman Corporation,Basic Materials,172720.57209/-0.55733,35.44,30.7942
IVZ,Invesco Ltd,Financial Services,127883.98925/-0.51,21.34,30.1758
LAD,Lithia Motors  Inc.,Consumer Cyclical,828.78881/-0.73215,290.67,29.5192
MET,MetLife  Inc.,Financial Services,1194265160.30503/-0.00351,65.43,28.779
ALL,Allstate Corporation (The),Financial Services,10204058.99352/-0.25487,121.93,27.6378
AFG,American Financial Group  Inc.,Financial Services,642286.50746/-0.43783,127.39,27.2136
