"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
QDEL,Quidel Corporation,Healthcare,United States,1.3636776,4468057866.666667,4.0,460945400.0,273653666.6666667,0.5,1870887000.0,1.0,883039000.0,1.0,6852051000.0,1.5,883039000.0,6852051000.0,1870887000.0,4468057866.666667,4.0,460945400.0,1870887000.0,1.0,883039000.0,1.0,883039000.0,1870887000.0,2.577,2.577,4.618886,13.065753,5.6747444,2.1251957,5.6747444,4.013,4.0138152,1201121005.3575878,1200633000.0,660508066.6666666,1200633000.0,0.47199,0.3101476,0.777,0.9804636,2.75,0.5885337,0.8776,0.12115,7.3,20.65,95.18,0.2169573,2.4323564,41685900,883038976,21.1831573,1370,4822056960,3976001024,644553.9970803,-0.071,0.071,5.9161949,1.3364244,5.9161949,1.3364244,1.4257987,12.1906814,0.3873561,6.4737939,3.9800459,3.9800459,391762866.6666667,1.0,461811500.0,0.5,12.3086116,10.441613,10.441613,0.7098814,1.0,0.3104232,1.0,0.3104232,0.5581564,USD,USD,1.0,1.0,0,0,0,0,95.18,94.76,265,129.414,-26.4530885,0.443225,-64.0830189,0.0049342,0.0059342,8.7470056,3.0,4.2858992,1.0,0.2002082,1.0,0.0415197,1.0,4.8880455,12.0,1.2000321,1.0,2.6123727,1.0,3.9243231,1.0,4.2958992,0.0515197,1.2100321,3.9343231,4.1151112,1410718200.0,1.0,2009837733.3333333,1.0,2009837733.3333333,1863890133.3333333,2.0,1535265533.3333333,1.0,1535265533.3333333,0.5393584,0.6751702,473271800.0,819099400.0,819099400.0,478773133.3333333,1.0,474572200.0,1.0,474572200.0,3.6320614,None
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,United States,19.7688155,9693500533.333334,4.0,2555887533.3333335,14040239600.0,2.0,2979615000.0,1.0,6658663000.0,1.0,68630650500.0,1.5,6658663000.0,68630650500.0,2979615000.0,9693500533.333334,4.0,2555887533.3333335,2979615000.0,1.0,6658663000.0,1.0,6658663000.0,2979615000.0,6.677,6.677,2.5946136,42.280117,7.5553015,5.74159,7.5553015,26.214,25.9094685,776938407.034409,794990000.0,489793333.3333333,794990000.0,2.23474,751.2654586,588.2132813,9.3360347,2.75,254.2797444,0.79816,0.14217,13.53,220.476,574.93,0.3834832,1.1162473,24836100,6658662912,268.1042077,7800,19893458944,17107727360,853674.7323077,1.987,0.154,2.0383212,0.0691597,2.0383212,0.0691597,1.9998303,14.3915356,0.1327899,3.8940354,3.7779713,3.7779713,947911600.0,2.0,783331000.0,1.0,20.9866183,25.3959807,25.3959807,0.1773427,0.5,0.3044026,1.0,0.3044026,0.5527269,USD,USD,1.0,1.0,0,0,0,0,574.93,547.22,832.7,701.48755,-18.0413109,5.0637769,-30.9559265,0.1941292,0.1951292,11.6015739,3.0,4.2858363,1.0,0.0896251,1.0,0.0797068,1.0,0.0112752,0.1666667,0.0159955,0.5,3.3097779,1.0,7.5302897,2.0,4.2958363,0.0897068,0.0259955,7.5402897,5.918063,20174870400.0,2.0,26093620200.0,1.5,26093620200.0,15070754666.666666,2.0,20013660200.0,1.5,20013660200.0,0.3551836,0.4327059,1452290066.6666667,1731884866.6666667,1731884866.6666667,5104115733.333333,2.0,6079960000.0,1.5,6079960000.0,2.3796228,None
IPGP,IPG Photonics Corporation,Technology,United States,1651.5989578,1279516866.6666667,1.0,210212000.0,4101510800.0,2.0,4299069000.0,3.0,525336000.0,2.0,13758220500.0,1.5,525336000.0,13758220500.0,4299069000.0,1279516866.6666667,1.0,210212000.0,4299069000.0,3.0,525336000.0,2.0,525336000.0,4299069000.0,5.462,5.462,29.576914,24.617094,28.9569365,5.357217,4.1367052,17.749,17.7490073,441027362.414784,441027000.0,398817066.6666667,441027000.0,0.1833,0.6735379,4.75,17.1609089,89.285625,6.0069156,0.67541,0.29853,5.85,4.869,147.45,0.0330214,2.8022962,53308900,262668000,4.9272823,6060,7827801088,7677014528,43344.5544554,1.118,0.191,-0.2005836,-0.0727577,-0.2005836,-0.0727577,0.7883541,9.1289307,0.1250606,3.7863904,36.7308758,36.7308758,158958700.0,0.5,390474000.0,1.0,49.2442445,20.0469201,20.0469201,0.1403119,1.0,0.1422274,1.0,0.1422274,0.3781304,USD,USD,1.0,1.0,0,0,0,0,147.45,142.12,257.9,182.5542,-19.2294672,3.7503518,-42.826677,0.0920712,0.0930712,49.1596116,6.0,8.0492992,1.0,0.4988751,1.0,0.200444,0.5,1.4724439,2.0,1.9644941,2.0,19.0838364,2.0,8.6563264,1.0,8.0592992,0.210444,1.9744941,8.6663264,8.3628128,5589799866.666667,2.0,4639893000.0,1.5,4639893000.0,4904383200.0,2.0,4060631100.0,1.5,4060631100.0,0.2132216,0.229373,1797421266.6666667,2020396200.0,2020396200.0,341736466.6666667,1.0,577959900.0,1.5,577959900.0,3.7260968,None
ZM,"Zoom Video Communications, Inc.",Technology,United States,4356.1805639,6537090133.333333,4.0,366072933.3333333,176576966.6666667,0.5,11732919000.0,3.0,1145608000.0,1.0,6520524000.0,1.5,1145608000.0,6520524000.0,11732919000.0,6537090133.333333,4.0,366072933.3333333,11732919000.0,3.0,1145608000.0,1.0,1145608000.0,11732919000.0,11.715,11.715,37.539196,32.324944,36.8874145,10.763248,5.2696306,38.522,38.6017507,1184424142.4640465,1179520000.0,381928200.0,1179520000.0,0.29292,2.4687453,12.3834375,8.432917,27.4725,3.7325274,0.61362,0.13697,4.37,3.763,140.33,0.0268154,8.230016,242240000,1144920064,4.7263873,3871,45815304192,42094772224,295768.5517954,0.714,0.352,15.4210395,2.283187,15.4210395,2.283187,4.3907599,21.2041401,0.8347967,9.3867212,8.4011459,8.4011459,1666543200.0,2.0,1795266000.0,1.0,27.4912191,25.5200645,25.5200645,-3.4896484,1.0,0.379254,1.0,0.379254,0.616836,USD,USD,1.0,1.0,0,0,0,0,140.33,138.72,451.77,288.864,-51.4200454,1.1606113,-68.9377338,0.0102859,0.0112859,3.1284967,1.0,3.6419402,1.0,0.2847471,1.0,0.0946526,0.5,1.8235666,1.0,5.1891828,2.0,3.3242714,1.0,3.569733,1.0,3.6519402,0.1046526,5.1991828,3.579733,3.6158366,6462329733.333333,2.0,9894135500.0,1.5,9894135500.0,4557381200.0,2.0,7178670500.0,1.5,7178670500.0,0.2157866,0.259585,2111556600.0,4208235400.0,4208235400.0,1841127733.3333333,2.0,2715465000.0,1.5,2715465000.0,3.509279,None
BLDR,"Builders FirstSource, Inc.",Industrials,United States,11990.1459448,8005097800.0,1.0,256313000.0,179752633.3333333,0.5,17789807000.0,1.0,2845748000.0,2.0,5695077000.0,1.5,2845748000.0,5695077000.0,17789807000.0,8005097800.0,1.0,256313000.0,17789807000.0,1.0,2845748000.0,2.0,2845748000.0,17789807000.0,1.017,1.017,8.574408,10.092025,8.7641101,0.7083138,8.7641101,7.427,7.4274891,2434690379.554329,2434369700.0,570972000.0,2434369700.0,0.07998,2.6217665,75.703125,0.8252841,8.9375,1.1766769,1.0817,0.01536,6.52,7.674,67.75,0.1132694,2.3383918,191500992,1422873984,7.4301129,26000,18084827136,12600765440,54725.9224615,6.135,1.4,0.8724535,0.0979327,0.8724535,0.0979327,4.8193634,22.2030485,1.0744832,10.615728,1.8185203,1.8185203,322727200.0,1.0,504069000.0,0.5,56.0375052,35.8776817,35.8776817,3.169673,1.0,1.0528614,1.0,1.0528614,1.0270903,USD,USD,1.0,1.0,0,0,0,0,67.75,37.46,86.48,56.502,19.9072599,80.8595836,-21.6581869,1.2358221,3.5623433,4.0134918,3.0,2.0181715,1.0,0.7721605,1.0,0.4199512,0.5,0.0649506,0.1666667,0.0599483,1.0,1.8947407,1.0,2.0854539,1.0,2.0281715,0.4299512,0.0699483,2.0954539,2.0618127,3683871333.3333335,1.0,15191024300.0,1.5,15191024300.0,1878794800.0,2.0,7723790100.0,1.5,7723790100.0,0.2873309,0.4684393,867692933.3333334,2186769933.3333335,2186769933.3333335,2744473933.3333335,1.0,7467234200.0,1.5,7467234200.0,1.8466328,None
SLVM,Sylvamo Corporation,Basic Materials,United States,15095.5414321,863892857.1428572,0.25,264714285.7142857,0,1.0,3268000000.0,1.0,320000000.0,1.0,0,1.0,320000000.0,0,3268000000.0,863892857.1428572,0.25,264714285.7142857,3268000000.0,1.0,320000000.0,1.0,320000000.0,3268000000.0,0.861,0.861,3.730358,4.448819,3.8201656,0.374614,3.8201656,5.181,5.192802,550508040.9187415,548000000.0,506000000.0,548000000.0,0.10042,0.0039048,0.059375,0.2813114,2.75,0.1295454,0.19536,0.20704,6.35,7.573,27.44,0.275984,4.702064,44105000,334000000,7.5728375,7000,2865176320,1245966208,47714.2857143,0.804,0.23,-0.3994606,-0.1755435,-0.3994606,-0.1755435,0.5031348,7.3431999,0.1286141,3.8362813,7.5927273,7.5927273,219500000.0,0.5,452000000.0,1.0,13.0531951,6.3388857,6.3388857,0.189209,0.5,5.4852618,1.0,5.4852618,2.3430636,USD,USD,1.0,1.0,0,0,0,0,27.44,23.1,36.45,29.392963,-6.6443216,18.7878788,-24.7187929,0.6501873,0.6511873,10.9277415,3.0,2.247751,1.0,0.177304,0.3333333,0.5571011,1.0,14.4536765,12.0,1.3751123,1.0,0.7743412,0.3333333,1.7836409,1.0,2.257751,0.5671011,1.3851123,1.7936409,2.0256959,1548666666.6666667,0.5,2896428571.428571,1.0,2896428571.428571,1123500000.0,0.5,1130285714.2857144,1.0,1130285714.2857144,0.2104809,0.3831143,690333333.3333334,465571428.5714286,465571428.5714286,425166666.6666667,0.5,1766142857.142857,1.0,1766142857.142857,1.1858352,None
RH,RH,Consumer Cyclical,United States,20790.5199755,10888062933.333334,4.0,221658866.6666667,-898452266.6666666,0.25,11005545000.0,3.0,671694000.0,1.0,179927625.0,0.375,671694000.0,179927625.0,11005545000.0,10888062933.333334,4.0,221658866.6666667,11005545000.0,3.0,671694000.0,1.0,671694000.0,11005545000.0,2.745,2.745,17.817022,14.617009,17.4170204,2.2480156,17.4170204,9.962,9.9637154,1010638046.3762298,1010290000.0,570976400.0,1010290000.0,0.1831,1.11514,12.3834375,5.2095363,27.4725,2.1702588,0.9618599,0.10103,26.28,21.56,378.66,0.0569376,8.181615,21468700,671694016,31.2871304,4500,10071443456,8246879232,149265.3368889,2.967,0.192,0.4544161,0.0634258,0.4544161,0.0634258,2.338854,15.5433124,0.1598564,4.2482052,7.446818,7.446818,422441533.3333333,1.0,687189000.0,1.0,23.8410352,14.6560021,14.6560021,13.3279277,1.0,4.1732639,1.0,4.1732639,2.0438568,USD,USD,1.0,1.0,0,0,0,0,378.66,362,744.56,636.43964,-40.5033916,4.6022099,-49.1431181,0.0870974,0.0880974,2.1938667,2.0,1.24478,1.0,0.0468591,0.3333333,0.1006767,1.0,16.3584091,1.0,25.5916343,2.0,0.8031129,1.0,3.8017052,2.0,1.25478,0.1106767,25.6016343,3.8117052,2.5332426,5273090933.333333,2.0,6660175500.0,1.5,6660175500.0,237739733.3333333,1.0,1292375400.0,1.5,1292375400.0,0.2008523,0.619736,-197111133.3333333,986788000.0,986788000.0,2398805733.3333335,1.0,5367800100.0,1.5,5367800100.0,1.8140086,None
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,United States,31623.0515656,9717254800.0,1.0,653110000.0,14477836800.0,2.0,11081640000.0,1.0,1092291000.0,1.0,46545097500.0,1.5,1092291000.0,46545097500.0,11081640000.0,9717254800.0,1.0,653110000.0,11081640000.0,1.0,1092291000.0,1.0,1092291000.0,11081640000.0,1.293,1.293,3.0872622,9.855406,3.9332802,0.9415121,3.9332802,7.11,7.0122886,2071614388.466948,2128554000.0,1574556733.3333333,2128554000.0,0.09857,0.0177998,0.296875,0.2743295,2.75,0.1312331,0.79032,0.19601,15.63,49.89534,157.88,0.3160333,1.1979345,67732400,1092290944,16.1265649,42000,14324337664,10433498112,26006.9272381,0.321,0.094,-0.2306589,-0.0169437,-0.2306589,-0.0169437,0.1830853,4.5288467,0.0662641,2.824181,21.483322,21.483322,1559335933.3333333,1.0,1504580000.0,1.0,9.1861781,9.5204892,9.5204892,1.3661592,2.0,0.6666724,1.0,0.6666724,0.8175001,USD,USD,1.0,1.0,0,0,0,0,157.88,141.64,231.8,189.7044,-16.7757838,11.4656877,-31.88956,0.3602484,0.3612484,4.9382565,2.0,2.5020671,1.0,0.7078598,1.0,0.8626755,2.0,1.0595432,2.0,0.5633862,1.0,1.9281583,1.0,1.934484,1.0,2.5120671,0.8726755,0.5733862,1.944484,2.2282756,27528243600.0,2.0,14512097933.333334,1.0,14512097933.333334,16357424266.666666,2.0,8703453200.0,1.0,8703453200.0,0.1752676,0.2255009,2314031333.3333335,2743413333.3333335,2743413333.3333335,5576678733.333333,1.0,5801792466.666667,1.0,5801792466.666667,2.6515657,None
AKAM,"Akamai Technologies, Inc.",Technology,United States,216068.9974983,12020704800.0,4.0,479205600.0,115998066.6666667,0.5,3402152000.0,1.0,1208956000.0,2.0,5068792500.0,1.5,1208956000.0,5068792500.0,3402152000.0,12020704800.0,4.0,479205600.0,3402152000.0,1.0,1208956000.0,2.0,1208956000.0,3402152000.0,5.648,5.648,30.195002,18.53963,28.7380805,5.2505155,4.1054401,16.947,16.9469815,1133941530.890423,1133944000.0,907918133.3333334,1133944000.0,0.17767,99.0963368,588.2132813,1.7286205,8.9375,33.6685424,0.93499,0.01564,5.93,3.641,112.56,0.0323472,3.8967853,162480000,604478016,3.7203226,8411,19216865280,17863051264,71867.5562953,0.128,0.085,0.3149825,0.0919335,0.3149825,0.0919335,0.1747456,4.4302586,0.0867334,3.1950531,1.5981,1.5981,2236113733.3333335,2.0,1308756000.0,1.0,8.5938676,14.6833063,14.6833063,0.4025784,0.5,1.5586732,2.0,1.5586732,1.2494683,USD,USD,1.0,1.0,0,0,0,0,-0.0019507,92.64,121.11,112.3448,0.1915531,21.5025907,-7.0596978,1.3993678,7.5091568,2.2984628,1.0,4.5676244,2.0,0.2452423,0.3333333,0.4473631,1.0,1.6531365,1.0,4.1543836,2.0,2.6913693,1.0,14.0581726,4.0,4.5776244,0.4573631,4.1643836,14.0681726,9.3228985,14095072000.0,2.0,12000752200.0,1.5,12000752200.0,3892559266.6666665,1.0,6746021000.0,1.5,6746021000.0,0.20074,0.2792102,1270855866.6666667,1782042333.3333333,1782042333.3333333,6309953466.666667,2.0,3503154133.3333335,1.0,3503154133.3333335,2.1034031,None
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,United States,313035.590114,7258466666.666667,1.0,2843740000.0,17349133333.333332,2.0,13356200000.0,1.0,6995500000.0,1.0,82121400000.0,1.5,6995500000.0,82121400000.0,13356200000.0,7258466666.666667,1.0,2843740000.0,13356200000.0,1.0,6995500000.0,1.0,6995500000.0,13356200000.0,4.597,4.597,9.823113,12.846684,10.2010594,4.945487,10.2010594,8.225,8.2248909,7465601980.790274,7465800000.0,3043860000.0,7465800000.0,0.52376,1.9180217,4.75,1.391497,2.75,1.2787596,0.87233,0.02982,47.81,62.526,605.25,0.1033061,3.7560694,105720000,6995500032,66.1700722,9766,61402947584,66052911104,716311.6969076,0.938,0.505,0.4875039,0.2134649,0.4875039,0.2134649,0.825376,9.3350206,0.4321162,6.8235548,12.3592878,12.3592878,4848280000.0,2.0,5939800000.0,1.0,12.664893,10.3375446,10.3375446,0.2300104,0.5,0.4119198,1.0,0.4119198,0.6428098,USD,USD,1.0,1.0,0,0,0,0,605.25,441,686.62,588.1185,2.9129334,37.244898,-11.8508054,1.3374318,5.7230808,3.3024367,1.0,13.8594316,4.0,0.0,1.0,0.0,1.0,2.3113992,2.0,0.6228287,0.5,3.7618679,1.0,7.1779863,2.0,13.8694316,0.01,0.6328287,7.1879863,10.528709,30501400000.0,2.0,32802330000.0,1.5,32802330000.0,10414660000.0,1.0,23355250000.0,1.5,23355250000.0,0.3132623,0.3995258,6148846666.666667,9310793333.333334,9310793333.333334,9672080000.0,2.0,6298053333.333333,1.0,6298053333.333333,3.3610231,None
