"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
A,"Agilent Technologies, Inc.",Healthcare,United States,351633904.178182,23239466666.666668,4.0,1000933333.3333334,91200000.0,0.5,6319000000.0,1.0,1210000000.0,1.0,107500000.0,0.25,1210000000.0,107500000.0,6319000000.0,23239466666.666668,4.0,1000933333.3333334,6319000000.0,1.0,1210000000.0,1.0,1210000000.0,6319000000.0,7.126,7.126,36.72081,30.91453,35.995025,6.914623,35.995025,26.104,26.145759,1719501423.2301564,1714000000.0,1530333333.3333333,1714000000.0,0.19148,6.6450306,36.9075,0.5986331,2.75,2.4793812,0.90573,0.00246,4.68,3.94,145.17,0.0271406,8.113503,302000992,1210000000,4.0066094,17000,45029474304,43693502464,71176.4705882,0.991,0.119,0.6376404,0.121867,0.6376404,0.121867,0.9026601,9.7508425,0.1197167,3.7100108,2.1606,2.1606,1246200000.0,1.0,1485000000.0,1.0,36.1334251,30.3228783,30.3228783,0.976313,1.0,2.0951059,2.0,2.0951059,1.4484481,USD,USD,1.0,1.0,0.21,0.194,0.194,0.194,0.1360817,112.47,179.57,151.34415,-4.0795432,29.0744198,-19.1568748,0.9746647,0.9756647,2.0253384,1.0,3.9181,2.0,0.2563882,1.0,0.0481036,0.125,0.7604948,1.0,0.7516416,1.0,2.2305238,1.0,4.3044215,2.0,3.9281,0.0581036,0.7616416,4.3144215,4.1212608,20212400000.0,2.0,15807400000.0,1.5,15807400000.0,10222266666.666666,2.0,7732000000.0,1.5,7732000000.0,0.1765464,0.2564925,1961000000.0,1977866666.6666667,1977866666.6666667,9989600000.0,2.0,5383600000.0,1.0,5383600000.0,2.4058281,None
AAP,Advance Auto Parts Inc.,Consumer Cyclical,United States,3828875244.986412,39525725866.666664,4.0,480996733.3333333,7764916000.0,2.0,10966145000.0,1.0,646436000.0,1.0,26346661500.0,1.5,646436000.0,26346661500.0,10966145000.0,39525725866.666664,4.0,480996733.3333333,10966145000.0,1.0,646436000.0,1.0,646436000.0,10966145000.0,1.628,1.628,24.40167,18.137775,23.6186831,1.3624028,23.6186831,14.886,14.8860797,1199151836.1547763,1199139000.0,997860933.3333334,1199139000.0,0.05895,1.8029143,36.9075,0.1736295,2.75,0.6794979,1.02297,0.00439,13.21,9.819,241.32,0.0406887,4.6377487,62355200,646435968,10.3669937,40000,17850765312,14940306432,16160.8992,0.151,0.031,0.0341698,0.0303662,0.0341698,0.0303662,0.1217925,3.7398776,0.0308415,2.0061762,1.1349,1.1349,1793066800.0,2.0,1085406000.0,1.0,9.955438,16.4461642,16.4461642,2.1242065,1.0,1.3046967,0.5,1.3046967,1.1432332,USD,USD,1.0,1.0,1.0,1.0,1.0,0.25,0.4439824,143.15,244.55,212.5041,13.5601619,68.5784143,-1.3207933,1.9362919,52.7017444,0.4944554,0.3333333,0.3460687,0.25,2.5329382,3.0,35.2411868,4.0,0.1077623,1.0,0.0477142,0.5,0.6783785,0.5,0.3163693,0.25,0.3560687,35.2511868,0.0577142,0.3263693,0.341219,22169971333.333332,2.0,11856325333.333334,1.0,11856325333.333334,3545949466.6666665,1.0,2192941600.0,0.6666667,2192941600.0,0.1545225,0.3947803,1561323666.6666667,1300069066.6666667,1300069066.6666667,15078072400.0,2.0,12850369400.0,1.5,12850369400.0,2.2801034,None
AAPL,Apple Inc.,Technology,United States,201141782270.72064,320702600000.0,1.0,77141800000.0,8885200000.0,0.5,365817000000.0,1.0,47340000000.0,0.5,44357000000.0,1.0,47340000000.0,44357000000.0,365817000000.0,320702600000.0,1.0,77141800000.0,365817000000.0,1.0,47340000000.0,0.5,47340000000.0,365817000000.0,7.924,7.924,30.850267,28.004856,30.4945906,7.7278934,4.3563701,24.111,24.1109224,120232226216.91344,120233000000.0,100399666666.66667,120233000000.0,0.25882,1.172646,4.75,0.1753539,0.6875,0.5366066,0.59017,0.00071,6.18,5.61,172.19,0.0325803,45.05858,16334399488,94679998464,5.7963562,154000,2898900549632,2826994712576,614805.1848312,0.622,0.288,0.3718335,0.2028866,0.3718335,0.2028866,0.5594584,7.729695,0.2667217,5.4145101,3.8515,3.8515,91414400000.0,1.0,69358666666.66666,0.6666667,31.7116401,41.7957941,41.7957941,4.0154378,1.0,4.3418107,1.0,4.3418107,2.0847012,USD,USD,1.0,1.0,0.22,0.22,0.22,0.205,0.3539076,116.21,182.94,146.6267,17.4342736,48.1714138,-5.8762436,1.6778061,22.307484,0.420176,0.3333333,1.2311751,1.0,0.1309069,0.5,0.261181,1.0,4.7640512,6.0,1.0040863,1.0,1.2176013,1.0,1.0860327,1.0,1.2411751,0.271181,1.0140863,1.0960327,1.1686039,343088333333.3333,1.0,343716400000.0,1.0,343716400000.0,35139966666.666664,0.5,64428000000.0,1.0,64428000000.0,0.2377298,0.8347737,23849066666.666668,10218333333.333334,10218333333.333334,272808400000.0,1.0,279288400000.0,1.0,279288400000.0,2.9168936,None
ABC,AmerisourceBergen Corporation,Healthcare,United States,32034557.0241548,799627820000.0,4.0,136915133.3333333,1841933866.6666667,1.0,213988843000.0,1.0,1539932000.0,1.0,7352823000.0,1.5,1539932000.0,7352823000.0,213988843000.0,799627820000.0,4.0,136915133.3333333,213988843000.0,1.0,1539932000.0,1.0,1539932000.0,213988843000.0,0.159,0.159,18.430311,11.864112,17.6095361,0.1324729,17.6095361,10.681,10.6810388,3180120129.2481976,3180097000.0,2831809733.3333335,3180097000.0,0.0072,0.0018491,0.777,0.0194635,2.75,0.0105042,0.65078,0.28525,11.48,7.39,134.89,0.0547854,126.93383,208132992,1539932032,7.3987887,38000,33967110144,28347713536,40524.5271579,0.2165394,0.196,0.2165394,0.0988102,0.2165394,0.0988102,0.2165394,4.9033793,0.1717026,4.3937008,1.4977,1.4977,2417352133.3333335,1.0,1333293000.0,0.5,14.0513704,25.4761033,25.4761033,63.0866955,0.5,498.8152057,1.0,498.8152057,22.3351713,USD,USD,1.0,1.0,0.46,0.44,0.44,0.44,0.315942,100.71,136.95,121.12175,11.3672813,33.9390329,-1.5041986,1.8863135,45.0487962,1.0174333,1.0,2.0128541,2.0,2.4009481,0.3333333,2.5154689,1.0,0.0584999,0.5,0.1685419,1.0,0.9495007,1.0,1.9213627,2.0,2.0228541,2.5254689,0.1785419,1.9313627,1.9771084,100242074400.0,2.0,82227945200.0,1.5,82227945200.0,426786266.6666667,1.0,67794600.0,1.5,67794600.0,0.1187276,22.8146705,-1900770066.6666667,-1677824533.3333333,-1677824533.3333333,98861658800.0,2.0,81668751200.0,1.5,81668751200.0,1.7432664,None
AON,Aon plc,Financial Services,Ireland,399989158464.1976,43764800000.0,4.0,1691600000.0,661333333.3333334,0.5,12078000000.0,1.0,229000000.0,0.25,1055250000.0,0.25,229000000.0,1055250000.0,12078000000.0,43764800000.0,4.0,1691600000.0,12078000000.0,1.0,229000000.0,0.25,229000000.0,12078000000.0,5.718,5.718,68.141045,20.92196,62.2386594,4.988391,62.2386594,29.796,29.8963737,2302512935.964559,2287000000.0,2985266666.6666665,2287000000.0,0.07584,6.1471402,36.9075,-0.9631037,0.1,1.7542922,0.95448,0.00998,13.07,4.013,280.43,0.0143102,27.40804,220332000,915000000,4.1528239,50000,69067898880,60249788416,18300.0,0.2525559,0.133,0.2525559,0.0202273,0.2525559,0.0202273,0.2525559,5.2754942,0.1048068,3.487388,1.987,1.987,4494666666.666667,2.0,1005500000.0,0.5,15.3666343,68.6901033,68.6901033,7.4296999,1.0,10.3349503,1.0,10.3349503,3.2158017,USD,USD,1.0,1.0,0.51,0.51,0.51,0.46,0.3073723,202.32,326.25,272.04395,3.0826085,38.607157,-14.0444444,1.2605503,4.0120016,0.3807335,0.3333333,1.1113956,1.0,0.9676468,1.0,0.9627702,1.0,4.9241033,6.0,0.8630468,1.0,1.0693804,1.0,1.0918451,1.0,1.1213956,0.9727702,0.8730468,1.1018451,1.1116204,60461866666.666664,2.0,32620800000.0,1.0,32620800000.0,3623000000.0,1.0,3169000000.0,1.0,3169000000.0,0.1070201,0.1722625,1113466666.6666667,1643400000.0,1643400000.0,53055733333.333336,2.0,29356466666.666668,1.0,29356466666.666668,0.9701683,None
AOS,A.O. Smith Corporation,Industrials,United States,1651532605.5630324,2967046666.6666665,1.0,361606666.6666667,4715293333.333333,2.0,3377900000.0,1.0,467500000.0,1.0,15672000000.0,1.5,467500000.0,15672000000.0,3377900000.0,2967046666.6666665,1.0,361606666.6666667,3377900000.0,1.0,467500000.0,1.0,467500000.0,3377900000.0,3.749,3.749,27.878891,23.08596,27.2797746,3.7963474,27.2797746,19.198,19.2221763,658057400.1458485,656400000.0,543093333.3333334,656400000.0,0.1384,0.5732629,4.75,0.3847973,2.75,0.3664867,0.96738,0.00917,3.49,2.89,82.94,0.0348445,6.761497,133187000,467500000,3.5101023,13900,12665204736,12823682048,33633.0935252,0.249,0.203,-0.0153272,-0.0269776,-0.0153272,-0.0269776,0.1829182,4.5268939,0.1455056,4.0645197,2.4382,2.4382,1006106666.6666666,2.0,608500000.0,1.0,12.588332,20.8138122,20.8138122,0.769377,1.0,0.7271036,1.0,0.7271036,0.8537037,USD,USD,1.0,1.0,0.28,0.26,0.26,0.26,0.4085665,52.08,86.74,72.3056,14.7075745,59.2549923,-4.3809085,1.7807271,31.8848335,2.3102577,1.0,2.3764155,1.0,0.979819,1.0,4.8436575,4.0,1.7040912,6.0,1.5208792,4.0,0.6407381,0.3333333,1.7798043,1.0,2.3864155,4.8536575,1.5308792,1.7898043,2.0881099,3123866666.6666665,1.0,3222340000.0,1.0,3222340000.0,1768833333.3333333,1.0,1865566666.6666667,1.0,1865566666.6666667,0.2450809,0.3505941,764580000.0,728980000.0,728980000.0,1355033333.3333333,1.0,1356773333.3333333,1.0,1356773333.3333333,3.8044173,None
APD,"Air Products and Chemicals, Inc",Basic Materials,United States,219630967.4279867,9651813333.333334,1.0,1957160000.0,30215453333.333332,2.0,30969000000.0,3.0,2099100000.0,1.0,92008500000.0,1.5,2099100000.0,92008500000.0,30969000000.0,9651813333.333334,1.0,1957160000.0,30969000000.0,3.0,2099100000.0,1.0,2099100000.0,30969000000.0,6.539,6.539,30.876432,24.75361,30.1110793,6.256673,30.1110793,18.365,18.3651123,3675744938.4154644,3675700000.0,3504220000.0,3675700000.0,0.20334,4.1276327,20.1875,5.7130353,27.4725,3.3490027,0.8414,0.00313,11.77,9.436,294.29,0.0320636,4.764046,221684000,2028800000,9.1517656,20625,67505881088,64587636736,98366.0606061,0.254,0.225,0.1099063,0.0924487,0.1099063,0.0924487,0.2179766,4.9187961,0.1918622,4.6302074,1.5318,1.5318,6435760000.0,2.0,3341900000.0,1.0,10.4891856,20.1998507,20.1998507,1.8484791,2.0,0.9680264,1.0,0.9680264,0.9848833,USD,USD,1.0,1.0,1.5,1.5,1.5,1.5,0.0199188,245.75,316.39,288.3651,2.0546522,19.7517803,-6.9850501,1.3742922,6.7371228,2.1431853,1.0,8.2867494,4.0,0.5438994,2.0,0.1886102,1.0,0.6505647,1.0,2.7576104,4.0,3.0373863,1.0,1.5041521,0.5,8.2967494,0.1986102,2.7676104,1.5141521,4.9054508,24840766666.666668,1.0,39828790000.0,1.5,39828790000.0,25280200000.0,2.0,19878520000.0,1.5,19878520000.0,0.1527031,0.2055964,5201940000.0,5643913333.333333,5643913333.333333,11745480000.0,1.0,12818400000.0,1.0,12818400000.0,2.740345,None
APH,Amphenol Corporation,Technology,United States,372960803.8896965,33362160000.0,4.0,1153846666.6666667,6938093333.333333,2.0,10275500000.0,1.0,1482900000.0,1.0,23264250000.0,1.5,1482900000.0,23264250000.0,10275500000.0,33362160000.0,4.0,1153846666.6666667,10275500000.0,1.0,1482900000.0,1.0,1482900000.0,10275500000.0,5.14,5.14,34.289913,30.565542,33.8243666,4.749654,4.8320524,21.777,21.7770483,2425210765.4865227,2425200000.0,1935713333.3333333,2425200000.0,0.1443,5.1600246,36.9075,0.4019418,2.75,1.9030888,0.98426,0.00561,2.67,2.38,81.86,0.029074,8.20201,598028032,1472499968,2.4622591,80000,52814049280,48805068800,18406.2496,0.231,0.213,0.1338647,0.0510235,0.1338647,0.0510235,0.2067162,4.796605,0.1725059,4.4033826,2.096,2.096,1474320000.0,1.0,1510500000.0,1.0,35.82265,34.9646139,34.9646139,0.6725754,0.5,1.4805194,1.0,1.4805194,1.2177659,USD,USD,1.0,1.0,0.2,0.145,0.145,0.145,0.2332451,58.58,88.45,74.51965,9.8502207,39.7405258,-7.450537,1.5587546,14.3438751,5.2674439,3.0,1.6844378,1.0,0.9269901,1.0,21.2113821,8.0,0.8737095,6.0,0.3493633,1.0,2.2426023,1.0,4.6790078,2.0,1.6944378,21.2213821,0.3593633,4.6890078,3.1917228,22929880000.0,2.0,21623950000.0,1.5,21623950000.0,9763226666.666666,2.0,8673610000.0,1.5,8673610000.0,0.1685767,0.2709669,2741546666.6666665,3781420000.0,3781420000.0,13040306666.666666,2.0,12856140000.0,1.5,12856140000.0,2.1997933,None
APO,"Apollo Global Management, Inc. ",Financial Services,United States,5.2048858414389644e+20,2259098133.3333335,1.0,348935733.3333333,-3536032000.0,0.125,5913569000.0,1.0,2029043000.0,1.0,3820495500.0,1.5,2029043000.0,3820495500.0,5913569000.0,2259098133.3333335,1.0,348935733.3333333,5913569000.0,1.0,2029043000.0,1.0,2029043000.0,5913569000.0,6.161,6.161,8.270849,13.933199,8.9786428,6.9836006,8.9786428,0,100000,0.0,25665000.0,17500066.6666667,25665000.0,0.34312,0.0111364,0.1,0.8939106,2.75,0.4170557,0.3433,0.405,4.94,8.322,69.55,0.1196549,8.067277,600000000,1932285056,3.2204751,2035,36435640320,41298001920,949525.8260442,-0.052,0.062,-0.3224347,0.2853567,-0.3224347,0.2853567,-0.1196087,0.2380391,0.1178392,3.6827711,-75.0668129,1332.146605,-814972533.3333334,0.5,-1988302000.0,0.5,2236.7454673,1832500.310315,1832500.310315,12.5207251,1.0,10.3481058,1.0,10.3481058,3.2178472,USD,USD,1.0,1.0,0.5,0.5,0.5,0.6,0.4283047,45.4,81.07,63.0535,10.3031553,53.1938326,-14.209942,1.3540791,6.1640213,0.4933412,0.3333333,6.1337221,4.0,16118.0833333,1.0,4029.5208333,1.0,1.268564,2.0,0.5258175,1.0,7.3908716,3.0,1.1890928,0.5,6.1437221,4029.5308333,0.5358175,1.1990928,3.6714074,16166367866.666666,1.0,41497988000.0,1.5,41497988000.0,1002356400.0,1.0,2763402200.0,1.5,2763402200.0,0.148895,0.8342554,1462025333.3333333,2499970400.0,2499970400.0,11478254266.666666,1.0,18038453133.333332,1.0,18038453133.333332,0.4293376,None
APTV,Aptiv PLC,Consumer Cyclical,Ireland,77019915601.31575,13580666666.666666,1.0,1458733333.3333333,7346666666.666667,2.0,5232000000.0,0.3333333,429000000.0,0.5,29125500000.0,1.5,429000000.0,29125500000.0,5232000000.0,13580666666.666666,1.0,1458733333.3333333,5232000000.0,0.3333333,429000000.0,0.5,429000000.0,5232000000.0,2.749,2.749,51.887115,33.31878,49.5660731,2.629997,49.5660731,19.811,19.8019236,2180002471.758114,2182000000.0,1833800000.0,2182000000.0,0.05466,0.5778517,4.75,0.002796,0.06875,0.2127692,0.9787,0.0054,4.58,2.941,158.57,0.018547,4.977007,270513984,795000000,2.9388499,151000,43148455936,41280434176,5264.9006623,-0.662,-0.004,0.418859,-0.0357301,0.418859,-0.0357301,-0.3917853,6.0708206,-0.0119325,7.7667262,1.0091,54.8566083,1501600000.0,1.0,1352000000.0,1.0,28.7349866,31.9145384,31.9145384,1.8098391,1.0,0.5582004,0.5,0.5582004,0.7481281,USD,USD,1.0,1.0,0.22,0.22,0.22,0.22,0.0703514,127.21,180.81,156.91525,1.0545501,24.65215,-12.3002046,1.1701493,2.5671282,9.9261191,6.0,3.8363348,2.0,0.5570512,1.0,0.8273921,2.0,0.5252927,1.0,0.5311524,1.0,1.6125511,1.0,16.503284,8.0,3.8463348,0.8373921,0.5411524,16.513284,10.1798094,30818800000.0,2.0,17653466666.666668,1.0,17653466666.666668,11831066666.666666,2.0,8246600000.0,1.0,8246600000.0,0.1243012,0.1520214,2445266666.6666665,4123800000.0,4123800000.0,9296000000.0,1.0,9203866666.666666,1.0,9203866666.666666,2.4464376,None
