pb,pi,ev,pe,evr / pm,0.08906,127.35608,1271.62288
1803.750000,0.000012,718.000000,10664.392562,41.102000,753.000000,503.000000,253.000000
1803.750000,0.000012,718.000000,10664.392562,5.953667,511.000000,300.000000,128.000000
1803.750000,0.000012,718.000000,10664.392562,2.718971,262.000000,142.000000,63.000000
1803.750000,0.000012,718.000000,26.762661,41.102000,504.000000,332.000000,159.000000
1803.750000,0.000012,718.000000,26.762661,5.953667,400.000000,239.000000,103.000000
1803.750000,0.000012,718.000000,26.762661,2.718971,228.000000,124.000000,55.000000
1803.750000,0.000012,718.000000,13.126584,41.102000,249.000000,166.000000,78.000000
1803.750000,0.000012,718.000000,13.126584,5.953667,195.000000,117.000000,48.000000
1803.750000,0.000012,718.000000,13.126584,2.718971,127.000000,66.000000,31.000000
1803.750000,0.000012,13372.000000,10664.392562,41.102000,498.000000,347.000000,187.000000
1803.750000,0.000012,13372.000000,10664.392562,5.953667,302.000000,180.000000,79.000000
1803.750000,0.000012,13372.000000,10664.392562,2.718971,142.000000,79.000000,40.000000
1803.750000,0.000012,13372.000000,26.762661,41.102000,314.000000,215.000000,108.000000
1803.750000,0.000012,13372.000000,26.762661,5.953667,232.000000,141.000000,61.000000
1803.750000,0.000012,13372.000000,26.762661,2.718971,123.000000,68.000000,34.000000
1803.750000,0.000012,13372.000000,13.126584,41.102000,158.000000,117.000000,60.000000
1803.750000,0.000012,13372.000000,13.126584,5.953667,112.000000,75.000000,33.000000
1803.750000,0.000012,13372.000000,13.126584,2.718971,67.000000,38.000000,20.000000
1803.750000,0.000012,36657.000000,10664.392562,41.102000,248.000000,172.000000,99.000000
1803.750000,0.000012,36657.000000,10664.392562,5.953667,147.000000,89.000000,43.000000
1803.750000,0.000012,36657.000000,10664.392562,2.718971,56.000000,31.000000,17.000000
1803.750000,0.000012,36657.000000,26.762661,41.102000,147.000000,104.000000,59.000000
1803.750000,0.000012,36657.000000,26.762661,5.953667,103.000000,64.000000,31.000000
1803.750000,0.000012,36657.000000,26.762661,2.718971,45.000000,25.000000,12.000000
1803.750000,0.000012,36657.000000,13.126584,41.102000,67.000000,52.000000,30.000000
1803.750000,0.000012,36657.000000,13.126584,5.953667,42.000000,29.000000,14.000000
1803.750000,0.000012,36657.000000,13.126584,2.718971,23.000000,13.000000,7.000000
