"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
ADS,Alliance Data Systems Corporati,Financial Services,United States,45485490.7095829, ,5020286666.66667,1,369100000,4900126666.66667,1,4306500000,1,795400000,1,15441400000,1,795400000,15441400000,4306500000,5020286666.66667,1,369100000,4306500000,1,795400000,1,795400000,4306500000,4.143,4.143,4.2144637,5.356577,4.3572279,0.7815049,4.3572279,12.276,12.2186835,1467100251.54774,1480800000,984153333.333333,1480800000,0.1847,0.2596158,4.75,0.5952767,2.75,0.3475308,0.94707,0.00441,12.62,16.04,66.05,0.2428463,1.4991573,49785100,876700032,17.6096871,8000,17841944576,3365472768,109587.504,0.678,0.046,-0.303822,-0.1078089,-0.303822,-0.1078089,0.4325445,6.8268115,0.0075478,1.1187798,10.0734789,10.0734789,1869420000,1,1602100000,1,9.544107,11.1365986,11.1365986,28.3824615,2,9.7136473,1,9.7136473,3.1176725,USD,USD,1,1,0.21,0.21,0.21,0.21,66.05,53.335995,102.282524,79.12067,-16.5199182,23.8375697,-35.4239635,0.5195059,0.5205059,1.0709759,1,2.2088592,2,0.9552969,1,2.2830063,2,2.0685549,1,1.6695465,1,0.6652086,0.3333333,1.6291685,1,2.2188592,2.2930063,1.6795465,1.6391685,1.9290138,12593873333.3333,0.5,22012060000,1,22012060000,1669700000,1,3120660000,1.5,3120660000,0.1361347,0.354882,10911806666.6667,7286660000,7286660000,11759023333.3333,0.5,19931620000,1,19931620000,0.9481152,None
AFG,"American Financial Group, Inc.",Financial Services,United States,521927.2897497, ,7647333333.33333,1,731933333.333333,7953600000,2,7266000000,1,2332000000,1,16206000000,1,2332000000,16206000000,7266000000,7647333333.33333,1,731933333.333333,7266000000,1,2332000000,1,2332000000,7266000000,1.268,1.268,4.768907,13.078014,5.8075454,1.2866719,5.8075454,4.909,4.89175,2212451099.61296,2228000000,1486800000,2228000000,0.27409,0.4584529,4.75,0.8343645,2.75,0.5233025,0.65151,0.21385,9.87,27.067,125.46,0.2157421,2.0888083,84807904,1398000000,16.4843126,7300,10784592896,10947004416,191506.8493151,0.335,0.128,0.1092727,0.0315187,0.1092727,0.0315187,0.2785682,5.5279559,0.1038797,3.473037,20.8478415,20.8478415,2217200000,1,1912000000,1,4.8640596,5.6404775,5.6404775,5.1116727,0.5,2.8100188,0.5,2.8100188,1.6773111,USD,USD,1,1,0.56,2,4,0.56,125.46,90.26,146.63,131.8487,-4.8454782,38.9984489,-14.4377003,1.2488913,3.7944405,1.0981628,1,1.1975533,1,1.2013444,1,1.092174,1,0.1613811,1,0.3542983,1,0.71851,0.5,2.0872739,1,1.2075533,1.102174,0.3642983,2.0972739,1.6524136,140882400000,2,38441066666.6667,1,38441066666.6667,6310533333.33333,1,3754800000,0.6666667,3754800000,0.1606643,0.7210717,4276666666.66667,5791266666.66667,5791266666.66667,128260266666.667,2,32808866666.6667,1,32808866666.6667,0.3375346,None
AIZ,"Assurant, Inc.",Financial Services,United States,31428690.6273382, ,38116426666.6667,4,405760000,4631460000,1,10167800000,1,2776000000,2,22565700000,1.5,2776000000,22565700000,10167800000,38116426666.6667,4,405760000,10167800000,1,2776000000,2,2776000000,10167800000,0.84,0.84,6.672704,12.493796,7.4003405,0.8177658,7.4003405,7.509,7.6008244,1149411339.19297,1121300000,852500000,1121300000,0.13189,1.5740249,36.9075,4.269471,20.109375,1.9927953,0.96638,0.00874,12.09,22.637,148.7,0.1522327,1.5133907,56976700,519000000,9.1089867,15000,8842017792,8606330880,34600,0.1643704,0.11,0.1643704,0.1122597,0.1643704,0.1122597,0.1643704,4.3042617,0.1105649,3.5751305,45.0223495,45.0223495,1215560000,1,483700000,0.5,7.2740283,18.2799624,18.2799624,6.6602216,1,5.7150651,1,5.7150651,2.3916202,USD,USD,1,1,0.68,0.66,0.66,0.66,148.7,121.55,172.22,158.8735,-6.4035223,22.336487,-13.6569504,1.07164,1.5145847,1.1507144,1,1.1795811,1,0.1060478,0.1666667,0.5156504,1,1.6087359,6,0.4559421,1,0.6110649,1,0.5615057,1,1.1895811,0.5256504,0.4659421,0.5715057,0.8805434,86451413333.3333,2,39096580000,1,39096580000,11290186666.6667,2,5812113333.33333,1,5812113333.33333,0.1710037,0.5776232,-9036426666.66667,-12006486666.6667,-12006486666.6667,75129266666.6667,2,33283593333.3333,1,33283593333.3333,0.237941,None
AJG,Arthur J. Gallagher & Co.,Financial Services,United States,54323194229.0329, ,6754406666.66667,1,731593333.333333,4122373333.33333,2,7721700000,1,939600000,1,15980250000,1.5,939600000,15980250000,7721700000,6754406666.66667,1,731593333.333333,7721700000,1,939600000,1,939600000,7721700000,4.897,4.897,33.435738,25.886097,32.4920329,4.1484056,32.4920329,20.028,20.0281186,1887922365.08888,1887900000,1391906666.66667,1887900000,0.12168,8.6708101,75.703125,0.3150922,2.75,3.0368608,0.84936,0.00879,5.97,4.622,149.33,0.0309516,3.8042486,207278000,939600000,4.5330426,32401,37811757056,32032741376,28999.1049659,0.275,0.165,0.1892572,0.0139508,0.1892572,0.0139508,0.2535643,5.2855169,0.1272377,3.8170393,128.1411963,128.1411963,1392080000,1,1506100000,1,27.1620575,25.1057414,25.1057414,2.6494118,1,4.6310571,2,4.6310571,2.1529891,USD,USD,1,1,0.48,0.48,0.48,0.48,149.33,114.13,171.21,151.06795,-1.1504426,30.8420223,-12.7796274,1.2333567,3.5199149,1.3817454,1,1.4364289,1,5.5860188,1,6.1768913,1,1.3137937,1,2.7673487,2,1.0706366,1,1.2658622,1,1.4464289,6.1868913,2.7773487,1.2758622,1.3611455,40635746666.6667,2,26517040000,1,26517040000,11112666666.6667,2,12026080000,1.5,12026080000,0.1354338,0.1781302,672600000,3119480000,3119480000,29414053333.3333,2,18452473333.3333,1,18452473333.3333,1.2762938,None
ALGM,"Allegro MicroSystems, Inc.",Technology,United States,9247806.2025275, ,606625000,1,32135400,79308400,1,2163927000,3,32202000,0.5,35281125,0.375,32202000,35281125,2163927000,606625000,1,32135400,2163927000,3,32202000,0.5,32202000,2163927000,7.819,7.819,109.25311,27.427084,99.0248568,6.9247437,14.1464081,31.123,31.1159911,181285348.922019,181367000,132650666.666667,181367000,0.08929,0.1892732,4.75,0.9872984,7.3051875,0.4229538,0.46534,0.55014,0.96,0.241,25.61,0.0094104,7.6208396,189703008,64404000,0.3394991,3874,5639602688,4994880000,16624.6773361,2.463,0.417,-0.0235363,0.0987138,-0.0235363,0.0987138,1.8413659,13.8196939,0.3374284,6.0588591,53.7779351,53.7779351,105417133.333333,1,161806000,1,53.4979705,34.8541011,34.8541011,0.2913751,1,0.4963329,2,0.4963329,0.705509,USD,USD,1,1,0,0,0,0,25.61,22.05,38.281,29.5645,-13.3758393,16.1451247,-33.0999713,0.4386667,0.4396667,4.4955286,1,10.1779617,2,0.8468088,1,0.8149501,1,1.7152318,1,10.0562562,4,3.3736834,1,4.4787853,1,10.1879617,0.8249501,10.0662562,4.4887853,7.3383735,731303733.333333,1,1182081000,1.5,1182081000,569446800,1,946372700,1.5,946372700,0.1272418,0.1340268,286068133.333333,340743400,340743400,160879066.666667,1,156014000,1,156014000,4.6833478,None
ALGN,"Align Technology, Inc.",Healthcare,United States,16380854.6081788, ,9282429066.66667,4,1134006400,2734614400,2,11268015000,3,740047000,1,14426454000,1.5,740047000,14426454000,11268015000,9282429066.66667,4,1134006400,11268015000,3,740047000,1,740047000,11268015000,10.713,10.713,50.006466,34.57228,48.0771928,9.740318,48.0771928,37.516,37.5158783,1072595042.43523,1072602000,510646400,1072602000,0.19703,92.0721389,156.856875,5.2267263,27.4725,32.4996317,0.87517,0.06697,13.42,9.278,455.62,0.0203635,10.402691,78853104,740046976,9.3851344,21590,40239214592,36584685568,34277.3031959,0.298,0.384,1.8550411,0.1272466,1.8550411,0.1272466,0.6872603,8.5401163,0.3198116,5.9051891,69.9548543,69.9548543,655624866.666667,1,1281113000,1,61.3753636,31.4095748,31.4095748,0.6133497,1,0.5807526,1,0.5807526,0.7630712,USD,USD,1,1,0,0,0,0,455.62,432.09,737.45,630.9709,-27.7906477,5.4456248,-38.2168283,0.1541132,0.1551132,2.7228387,1,1.3664872,0.5,0.0168647,0.5,0.0014015,0.25,4.4512412,1,0.7837149,0.125,0.5326993,0.3333333,1.3776175,1,1.3764872,0.0114015,0.7937149,1.3876175,1.3820524,7270559600,2,8175239100,1.5,8175239100,4655422133.33333,2,3446183533.33333,1,3446183533.33333,0.190523,0.3147439,581361333.333333,628551666.666667,628551666.666667,2615137466.66667,2,3005963800,1.5,3005963800,3.4170846,None
APTV,Aptiv PLC,Consumer Cyclical,Ireland,4199000204274.59, ,13580666666.6667,1,1458733333.33333,7346666666.66667,2,5232000000,0.3333333,429000000,0.5,29125500000,1.5,429000000,29125500000,5232000000,13580666666.6667,1,1458733333.33333,5232000000,0.3333333,429000000,0.5,429000000,5232000000,3.087,3.087,44.53587,28.412146,42.5204045,2.2573853,42.5204045,22.247,22.2367115,2179983655.86371,2182000000,1833800000,2182000000,0.05466,0.5778517,4.75,0.002796,0.06875,0.2127692,0.97853,0.0054,4.61,2.941,132.01,0.0222786,4.2718763,270513984,795000000,2.9388499,151000,48453238784,35431919616,5264.9006623,-0.662,-0.004,0.418859,-0.0357301,0.418859,-0.0357301,-0.3917853,5.4848207,-0.0119325,7.0149342,-108.5298744,141.5114761,1501600000,1,1352000000,1,32.2677403,35.8381944,35.8381944,1.8098391,1,0.5582004,0.5,0.5582004,0.7481281,USD,USD,1,1,0.22,0.22,0.22,0.22,132.01,127.63,180.81,156.8377,-15.8301862,3.431795,-26.9896577,0.1647236,2.3269877,9.9261191,6,3.8363348,2,0.5570512,1,0.8273921,2,0.5252927,1,0.5311524,1,1.6125511,1,16.503284,8,3.8463348,0.8373921,0.5411524,16.513284,10.1798094,30818800000,2,17653466666.6667,1,17653466666.6667,11831066666.6667,2,8246600000,1,8246600000,0.1243012,0.1520214,2445266666.66667,4123800000,4123800000,9296000000,1,9203866666.66667,1,9203866666.66667,2.3672323,None
ARE,Alexandria Real Estate Equities,Real Estate,United States,115641535693.491, ,6713754400,4,569869933.333333,0,1,6041331000,3,937836000,1,0,1,937836000,0,6041331000,6713754400,4,569869933.333333,6041331000,3,937836000,1,937836000,6041331000,22.732,22.732,29.100399,61.947712,33.2063131,14.586686,33.2063131,37.092,37.0922954,1234137655.01995,1234118000,1044466400,1234118000,0.4657,13.4627694,36.9075,10.0429638,27.4725,7.9914777,0.9874099,0.00981,3.06,6.514,185.54,0.0351083,1.9735143,154964000,927222016,5.9834672,470,45777362944,29374976000,1972812.8,0.273,0.004,0.8070904,0.2036393,0.8070904,0.2036393,0.4065226,6.6259126,0.0539098,2.5718487,81.6838037,81.6838037,1518275733.33333,2,1401309000,1.5,30.1508889,32.6675722,32.6675722,0.858342,1,0.7839895,1,0.7839895,0.8864318,USD,USD,1,1,1.15,1.12,1.12,1.09,185.54,154.37,224.95,197.0975,-5.8638491,20.1917471,-17.5194488,0.883253,0.884253,6.992454,3,2.4634858,1,0.7026285,1,0.6368209,0.5,0.8529496,1,1.2048318,1,17.814738,6,1.2189423,0.5,2.4734858,0.6468209,1.2148318,1.2289423,1.851214,39629186800,2,40984171400,1.5,40984171400,19959938400,2,21225651600,1.5,21225651600,0.1228829,0.1441841,800346666.666667,832116733.333333,832116733.333333,16897355733.3333,2,16632977600,1.5,16632977600,0.3326957,None
BDX,"Becton, Dickinson and Company",Healthcare,United States,5071065432.60233, ,18734333333.3333,1,1533933333.33333,13346266666.6667,1,20247000000,1,2092000000,1,82089000000,1.5,2092000000,82089000000,20247000000,18734333333.3333,1,1533933333.33333,20247000000,1,2092000000,1,2092000000,20247000000,4.479,4.479,37.332848,18.693712,35.002956,3.6000614,35.002956,16.073,16.0219275,5677916448.70279,5714000000,5265066666.66667,5714000000,0.10332,0.4321987,4.75,0.2113611,2.75,0.2499599,0.8792,0.00773,13.68,6.85,251.19,0.0272702,3.0728283,285043008,2002000000,7.0235015,75000,90681180160,72894046208,26693.3333333,1.07,0.073,1.1366688,0.1133476,1.1366688,0.1133476,1.0866672,10.674333,0.0830869,3.1324798,32.2112936,32.2112936,8114266666.66667,2,3098000000,0.6666667,11.1755238,29.270878,29.270878,2.6362212,2,1.2567343,1,1.2567343,1.1220416,USD,USD,1,1,0.87,0.83,0.83,0.83,251.19,235.13,268.55,248.59605,1.0434397,6.8302641,-6.4643456,0.9611011,0.9621011,3.523883,2,1.7960572,1,0.5963705,1,0.1699519,0.5,0.4244457,2,0.2539707,1,1.3467952,1,1.3781838,1,1.8060572,0.1799519,0.2639707,1.3881838,1.5971205,53627333333.3333,1,54190000000,1,54190000000,23173466666.6667,1,24016066666.6667,1,24016066666.6667,0.1386049,0.1871084,2162733333.33333,2441066666.66667,2441066666.66667,15225933333.3333,0.5,30171933333.3333,1,30171933333.3333,2.0841779,None
BEN,"Franklin Resources, Inc.",Financial Services,United States,29.4395388, ,7147553333.33333,1,1400066666.66667,22012146666.6667,2,25276500000,3,3662400000,2,66342600000,1.5,3662400000,66342600000,25276500000,7147553333.33333,1,1400066666.66667,25276500000,3,3662400000,2,3662400000,25276500000,2.209,2.209,8.747899,8.218421,8.6817142,1.8599558,8.6817142,7.808,7.791593,2393242131.14754,2403300000,2051460000,2403300000,0.21734,0.959662,4.75,50.7542701,200.8926563,17.311424,0.45804,0.43066,3.8,3.57,31.33,0.1139483,1.3963158,501795008,1753500032,3.4944549,10300,18607902720,15671057408,170242.7215534,7.437,0.279,0.7241612,0.2759841,0.7241612,0.2759841,5.7587903,24.2474797,0.278246,5.5249031,1.5075587,1.5075587,1137540000,1,1245400000,1,16.3580206,14.9413062,14.9413062,1.7548072,2,1.9623457,2,1.9623457,1.4018375,USD,USD,1,1,0.29,0.28,0.28,0.28,31.33,24.91,38.27,32.3823,-3.2496148,25.772782,-18.1343089,0.9610778,0.9620778,2.6101732,1,2.172661,1,23.6720884,6,9.3357287,2,0.0289269,0.1666667,0.0462947,0.5,3.6131716,1,3.581863,1,2.182661,9.3457287,0.0562947,3.591863,2.887262,43137746666.6667,2,35083280000,1.5,35083280000,21327653333.3333,2,16481570000,1.5,16481570000,0.2043916,0.3222118,7690420000,7972960000,7972960000,18926266666.6667,2,16191980000,1.5,16191980000,2.1086478,None
