"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
ALK,"Alaska Air Group, Inc.",Industrials,United States,34679918585.85267, ,5966533333.333333,1.0,33533333.3333333,4252800000.0,1.0,6176000000.0,1.0,119500000.0,0.25,24193500000.0,1.5,119500000.0,24193500000.0,6176000000.0,5966533333.333333,1.0,33533333.3333333,6176000000.0,1.0,119500000.0,0.25,119500000.0,6176000000.0,1.352,1.352,15.076923,8.771605,14.2887583,1.1587592,14.2887583,79.53,80.9010921,101499696.5170376,98000000.0,-140714285.7142857,98000000.0,0.0774,-0.0687059,0.1,0.0055252,0.1,0.0057398,0.76437,0.00393,6.48,3.77,58.62,0.0643125,1.8828051,125906000,478000000,3.7964831,21043,8350601728,7156496896,22715.392292,0.3942465,1.35,0.3942465,0.2574884,0.3942465,0.2574884,0.3942465,6.528905,1.0768721,10.6272448,36.2432102,36.2432102,398100000.0,0.5,515000000.0,0.5,20.976141,16.2147606,16.2147606,2.8050069,1.0,5.849019,2.0,5.849019,2.4194745,USD,USD,1.0,1.0,0.375,0.35,0.35,0.35,-0.022022,46.26,74.25,58.01705,1.0392635,26.7185473,-21.0505051,0.8831726,0.8841726,1.3733679,1.0,5.386535,4.0,0.0148682,3.0,0.0188125,2.0,0.2930643,1.0,0.5421137,2.0,2.694081,3.0,0.9802324,1.0,5.396535,0.0288125,0.5521137,0.9902324,3.1933837,13646000000.0,1.0,14047333333.333334,1.0,14047333333.333334,3651533333.3333335,1.0,5405500000.0,1.5,5405500000.0,0.108507,0.1221071,-346600000.0,-85866666.6666667,-85866666.6666667,9994466666.666666,1.0,6962444444.444444,0.6666667,6962444444.444444,1.8665707,None
BURL,"Burlington Stores, Inc.",Consumer Cyclical,United States,3149977605688.481, ,6304382600.0,1.0,89520933.3333333,-125848000.0,0.25,8986667000.0,1.0,443197000.0,1.0,276177750.0,0.375,443197000.0,276177750.0,8986667000.0,6304382600.0,1.0,89520933.3333333,8986667000.0,1.0,443197000.0,1.0,443197000.0,8986667000.0,2.48,2.48,35.12441,23.746132,33.7021252,1.7094936,33.7021252,21.88,21.8927272,1017297488.4826326,1016114000.0,333867866.6666667,1016114000.0,0.04932,-0.1262256,0.1,0.0838008,2.75,0.0032984,1.03216,0.00274,9.69,6.551,234.7,0.0279122,21.313452,66765100,443196992,6.6381536,14533,22284363776,15362650112,30495.9053189,0.699,0.382,-0.5256321,-0.0799573,-0.5256321,-0.0799573,0.392842,6.5177106,0.2665107,5.4124673,85.790542,85.790542,480460266.6666667,1.0,629656666.6666666,0.6666667,46.3812834,35.3912933,35.3912933,6.5196751,0.5,9.8886861,1.0,9.8886861,3.1456281,USD,USD,1.0,1.0,0,0,0,0,234.7,206.7,357.34,295.6409,-20.6131493,13.5462022,-34.3202552,0.3717472,0.3727472,1.084777,1.0,2.2055075,2.0,0.0366624,1.0,0.0210596,1.0,0.2863656,1.0,0.125013,0.5,1.255112,1.0,0.7077144,0.5,2.2155075,0.0310596,0.135013,0.7177144,1.4666109,11412712666.666666,2.0,7138386666.666667,1.0,7138386666.666667,437521466.6666667,1.0,998177400.0,1.5,998177400.0,0.1620864,0.5440062,430930533.3333333,788513200.0,788513200.0,10537669733.333334,2.0,6472935066.666667,1.0,6472935066.666667,1.8275517,None
DD,"DuPont de Nemours, Inc.",Basic Materials,United States,7.410008521745732e+18, ,20405600000.0,1.0,-851133333.3333334,-9750133333.333334,0.25,17634000000.0,1.0,6485000000.0,1.0,-479274000000.0,0.1666667,6485000000.0,-479274000000.0,17634000000.0,20405600000.0,1.0,-851133333.3333334,17634000000.0,1.0,6485000000.0,1.0,6485000000.0,17634000000.0,2.378,2.378,7.3264947,16.048582,8.4167556,1.8509885,8.4167556,9.432,10.0181398,4975377082.273113,4357000000.0,4874200000.0,4357000000.0,0.29224,-0.9539993,0.1,0.7242262,2.75,0.0218223,0.73316,0.00079,4.94,10.821,80.33,0.1347068,1.5422624,518104000,1483000064,2.8623598,34000,52760289280,41075286016,43617.6489412,-0.4890639,0.177,-0.4890639,0.0903771,-0.4890639,0.0903771,-0.4890639,0.2010936,0.1553443,4.1913739,-17.2099308,5810.598605,1569766666.6666667,0.5,2961000000.0,1.0,33.610275,17.8184023,17.8184023,0.4058792,0.5,0.3559964,0.5,0.3559964,0.5976543,USD,USD,1.0,1.0,0.3,0.3,0.3,0.3,80.33,66.37,86.28,76.9977,4.3277916,21.0335995,-6.8961521,1.4023104,7.6043995,2.267638,1.0,2.4379064,1.0,1.2984656,1.0,1.5820791,1.0,1.6232912,2.0,0.2981121,1.0,1.9116674,1.0,2.2330925,1.0,2.4479064,1.5920791,0.3081121,2.2430925,2.3454994,94166800000.0,1.0,47865866666.666664,1.0,47865866666.666664,25363133333.333332,0.5,18375644444.444443,0.6666667,18375644444.444443,0.2354828,0.4529128,12432466666.666666,5356000000.0,5356000000.0,42666066666.666664,1.0,19716000000.0,1.0,19716000000.0,1e-05,None
MAR,Marriott International,Consumer Cyclical,United States,1.155378977162021e+16,r+,3591400000.0,1.0,548600000.0,9162000000.0,1.0,8553000000.0,3.0,116750000.0,0.25,37857000000.0,1.0,116750000.0,37857000000.0,8553000000.0,3591400000.0,1.0,548600000.0,8553000000.0,3.0,116750000.0,0.25,116750000.0,8553000000.0,22.67,22.67,118.96359,31.932331,108.0846826,19.406183,108.0846826,39.099,39.2120589,1643504737.6147728,1634000000.0,1721733333.3333333,1634000000.0,0.1638,-0.2963172,0.1,0.2320724,0.999,0.034185,0.6121,0.16378,5.32,1.428,174.68,0.0081749,60.262505,325683008,467000000,1.4339096,121000,64631017472,55327031296,3859.5041322,1.2,1.142,-0.6225513,-0.3311803,-0.6225513,-0.3311803,0.7443622,8.8776426,0.7737049,9.0460498,145.2044263,145.2044263,1786200000.0,1.0,1141500000.0,1.5,36.1835279,56.6193758,56.6193758,41.0032089,1.0,78.3229105,2.0,78.3229105,8.8510232,USD,USD,1.0,1.0,0.48,0.48,0.48,0.48,174.68,127.23,177.23,149.0954,17.1598855,37.2946632,-1.4388083,1.898,46.7495299,0.3475833,0.3333333,2.0643671,2.0,0.0373934,1.0,0.0041494,1.0,0.1245348,1.0,0.4898059,1.0,0.4743315,1.0,0.4798631,1.0,2.0743671,0.0141494,0.4998059,0.4898631,1.2821151,24603333333.333332,1.0,24500200000.0,1.0,24500200000.0,476133333.3333333,0.5,761733333.3333334,1.0,761733333.3333334,0.1047653,0.2532689,-3209666666.6666665,-3128733333.3333335,-3128733333.3333335,23651066666.666668,1.0,15825644444.444445,0.6666667,15825644444.444445,2.1628883,None
PPL,PPL Corporation,Utilities,United States,7.763373264039305e+24, ,7663266666.666667,1.0,1567866666.6666667,10144666666.666666,2.0,6227000000.0,1.0,-5296000000.0,0.25,9378000000.0,0.6666667,-5296000000.0,9378000000.0,6227000000.0,7663266666.666667,1.0,1567866666.6666667,6227000000.0,1.0,-5296000000.0,0.25,-5296000000.0,6227000000.0,3.713,3.713,24614.787353,17.801243,21540.1640892,2.7576933,21540.1640892,6.522,7.0869375,3785865550.4446487,3130000000.0,4407666666.666667,3130000000.0,-0.1697,0.9525243,4.75,-0.7680184,0.1,0.0059353,0.67013,0.0011,1.61,-1.724,28.8,-0.0598611,1.4945765,750716032,870000000,1.1588936,12318,28968970240,21515522048,70628.3487579,-0.263,0.08,-0.0147975,-0.0060188,-0.0147975,-0.0060188,-0.2009494,0.2299051,0.0584953,2.6685802,-107191.9942921,0.9329055,2651933333.3333335,1.0,2477000000.0,1.0,10.9237174,11.6951838,11.6951838,2.6099427,1.0,1.6971621,1.0,1.6971621,1.3037517,USD,USD,1.0,1.0,0.415,0.415,0.415,0.415,28.8,26.15,30.72,28.98155,-0.626433,10.1338432,-6.25,1.1597374,2.4330891,1.3835876,1.0,0.8238763,0.5,0.1568303,1.0,0.2829807,1.0,0.3423482,1.0,0.2716736,1.0,0.5066554,1.0,4.3554457,2.0,0.8338763,0.2929807,0.2816736,4.3654457,2.599661,92789200000.0,2.0,25070311111.111107,0.6666667,25070311111.111107,25736400000.0,2.0,14193133333.333334,1.0,14193133333.333334,1e-06,1e-06,-2679666666.6666665,3729000000.0,3729000000.0,67052800000.0,2.0,23412333333.333332,1.0,23412333333.333332,1.0001444,None
R,"Ryder System, Inc.",Industrials,United States,3710296.4416793, ,8478126533.333333,1.0,14215333.3333333,1038658966.6666666,0.5,27827508000.0,3.0,363612000.0,1.0,11947168500.0,1.5,363612000.0,11947168500.0,27827508000.0,8478126533.333333,1.0,14215333.3333333,27827508000.0,3.0,363612000.0,1.0,363612000.0,27827508000.0,1.092,1.092,10.809341,8.362499,10.5034857,0.4259767,10.5034857,3.989,4.0014241,2524149356.9817,2508426000.0,2186774066.6666665,2508426000.0,0.0392,-1.3906934,0.00625,1.3861285,27.4725,0.0125451,0.9141001,0.00733,8.8,6.808,73.95,0.0920622,1.5719321,53693300,363827008,6.7760225,39000,10131552256,3951289856,9328.897641,2.853,0.143,-0.8294025,0.0072557,-0.8294025,0.0072557,1.9323994,14.1510769,0.1090639,3.5524828,5.4354632,5.4354632,4143540133.3333335,2.0,2169817000.0,1.0,2.445144,4.6693119,4.6693119,2.2935885,0.5,4.2826341,1.0,4.2826341,2.0704526,USD,USD,1.0,1.0,0.58,0.58,0.56,0.56,73.95,62.83,93.05,79.74205,-7.2634827,17.6985516,-20.5265986,0.7359365,0.7369365,1.2209632,1.0,2.4679044,2.0,0.2218507,0.3333333,0.0554627,1.0,4.2661844,1.0,2.0181172,0.5,0.6999473,1.0,0.1520532,0.25,2.4779044,0.0654627,2.0281172,0.1620532,1.3199788,13301105533.333334,1.0,12870814666.666666,1.0,12870814666.666666,1195483433.3333333,0.5,3659699500.0,1.5,3659699500.0,0.1282509,0.1993557,-700287600.0,-1170450866.6666667,-1170450866.6666667,10910138666.666666,1.0,10431015000.0,1.0,10431015000.0,2.0559491,None
RL,Ralph Lauren Corporation,Consumer Cyclical,United States,7916075397453.343, ,5243593333.333333,1.0,106200000.0,5911306666.666667,1.0,5600200000.0,1.0,100925000.0,0.25,23936800000.0,1.0,100925000.0,23936800000.0,5600200000.0,5243593333.333333,1.0,106200000.0,5600200000.0,1.0,100925000.0,0.25,100925000.0,5600200000.0,1.708,1.708,22.515257,14.97417,21.5726211,1.6003237,21.5726211,10.101,10.1010715,947113403.2274032,947100000.0,663673333.3333334,947100000.0,0.07209,-0.0545368,0.1,0.0098351,0.1,0.0101294,1.00399,0.01135,8.13,5.407,125.59,0.0430528,3.1340744,48735800,403700000,8.2834385,12100,9566927872,8962132992,33363.6363636,-0.3670694,0.26,-0.3670694,-0.1670912,-0.3670694,-0.1670912,-0.3670694,0.2132931,0.1532272,4.1644245,-58.7698755,1701.552015,286943333.3333333,0.5,857800000.0,1.0,33.3408264,11.1528653,11.1528653,1.695565,1.0,0.9553632,0.5,0.9553632,0.9784268,USD,USD,1.0,1.0,0.6875,0.6875,0.688,0.688,125.59,102.96,142.06,119.2037,5.3574679,21.9794095,-11.5936928,1.1575448,2.4056185,0.5567828,0.3333333,3.0479976,2.0,0.3339959,2.0,0.0466664,0.5,0.8384496,1.0,0.9931243,1.0,2.3947869,1.0,2.1694876,1.0,3.0579976,0.0566664,1.0031243,2.1794876,2.6187426,7349900000.0,1.0,8080560000.0,1.0,8080560000.0,1387980000.0,0.5,2778266666.6666665,1.0,2778266666.6666665,0.1124899,0.1363266,2191266666.6666665,2392160000.0,2392160000.0,4573940000.0,1.0,5302293333.333333,1.0,5302293333.333333,2.5683462,None
SON,Sonoco Products Company,Consumer Cyclical,United States,1.0501506756644185e+26, ,5280993200.0,1.0,241953933.3333333,4573345600.0,2.0,5527599000.0,1.0,-649100000.0,0.25,8728721000.0,1.0,-649100000.0,8728721000.0,5527599000.0,5280993200.0,1.0,241953933.3333333,5527599000.0,1.0,-649100000.0,0.25,-649100000.0,5527599000.0,1.314,1.314,11775.7561981,14.156566,10305.5562441,0.9972092,10305.5562441,35.751,35.9284075,201132160.1074096,199136000.0,738729400.0,199136000.0,-0.02936,0.2051611,4.75,-0.159824,0.1,0.0063257,0.79049,0.00569,3.96,-1.627,55.73,-0.0291943,2.9795375,98326304,-162276000,-1.6503824,19000,7262040576,5512172544,-8540.8421053,0.332,0.078,-0.07237,-0.0053797,-0.07237,-0.0053797,0.2309075,5.0552836,0.0571551,2.6407127,44630.6683217,44630.6683217,591761200.0,1.0,218099000.0,0.5,12.2719107,33.2969916,33.2969916,3.5169601,2.0,0.8522721,0.5,0.8522721,0.9241858,USD,USD,1.0,1.0,0.45,0.45,0.45,0.45,55.73,54.82,69.83,62.40495,-10.6961868,1.6599781,-20.1918946,0.1212525,0.1222525,3.147508,2.0,3.1812578,2.0,0.0,1.0,0.0,1.0,0.2755545,1.0,4.2661677,8.0,0.6129912,0.5,1.1959583,1.0,3.1912578,0.01,4.2761677,1.2059583,2.1986081,10193050533.333334,2.0,5014408466.666667,1.0,5014408466.666667,3684374133.3333335,2.0,1850007666.6666667,1.0,1850007666.6666667,1e-06,1e-06,296968400.0,275874000.0,275874000.0,3241747933.3333335,1.0,3153627666.6666665,1.0,3153627666.6666665,2.187802,None
VNO,Vornado Realty Trust,Real Estate,United States,4.028067965307895e+23, ,1823567066.6666667,1.0,756202133.3333334,0,1.0,1652940000.0,1.0,-185580000.0,0.25,0,1.0,-185580000.0,0,1652940000.0,1823567066.6666667,1.0,756202133.3333334,1652940000.0,1.0,-185580000.0,0.25,-185580000.0,1652940000.0,10.956,10.956,2343.672408,58.1831,2057.9862445,4.7904596,2057.9862445,24.899,24.8989554,727337396.120326,727340000.0,794080200.0,727340000.0,-0.02807,0.016806,0.1,0.0094304,0.1,0.0003888,0.79092,0.08513,0.71,-0.627,41.35,-0.0151632,1.5490476,191680992,-119351000,-0.6226543,2899,18109908992,7918342144,-41169.7136944,-0.033,0.116,1.2815445,-0.1286462,1.2815445,-0.1286462,0.2956361,5.6872432,0.0548384,2.591761,6961.2134904,6961.2134904,283650000.0,0.5,710983000.0,1.0,63.8459686,25.4716484,25.4716484,1.9662787,1.0,3.7099778,2.0,3.7099778,1.9271303,USD,USD,1.0,1.0,0.53,0.53,0.53,0.53,41.35,35.89,50.91,43.99575,-6.013649,15.2131513,-18.7782361,0.7270306,0.7280306,3.572466,2.0,0.8947391,0.5,3.3033045,0.3333333,0.8258261,1.0,1.9915713,1.0,1.1851576,0.5,5.0457357,1.0,7.1124719,1.0,0.9047391,0.8358261,1.1951576,7.1224719,4.0136055,16978810000.0,1.0,17003311200.0,1.0,17003311200.0,5117578266.666667,1.0,5130453000.0,1.0,5130453000.0,8.91e-05,6.38e-05,2047969466.6666667,2642469733.3333335,2642469733.3333335,4789055800.0,0.5,9512233866.666666,1.0,9512233866.666666,0.231082,None
VOYA,"Voya Financial, Inc.",Financial Services,United States,1.144961085311207e+16,r+,7510333333.333333,1.0,-303733333.3333333,-25256266666.666668,0.25,4510000000.0,1.0,1983000000.0,1.0,-41189333333.333336,0.375,1983000000.0,-41189333333.333336,4510000000.0,7510333333.333333,1.0,-303733333.3333333,4510000000.0,1.0,1983000000.0,1.0,1983000000.0,4510000000.0,2.814,2.814,4.776413,10.50597,5.4926076,1.7346665,5.4926076,4.154,5.5219313,1839533950.8907077,628000000.0,811133333.3333334,628000000.0,0.43961,-0.2920157,0.1,0.0332291,0.275,0.0612745,1.1620201,0.00887,6.7,14.737,72.41,0.2035216,0.9433254,110995000,1992999936,17.9557632,5940,12674136064,7812937728,335521.8747475,0.2843273,-0.03,0.2843273,0.024371,0.2843273,0.024371,0.2843273,5.5822352,-0.0164073,0.2483593,19.3179029,19.3179029,1348666666.6666667,1.0,176500000.0,0.5,9.3975304,71.8081363,71.8081363,8.6271153,0.5,18.8270848,1.0,18.8270848,4.3400189,USD,USD,1.0,1.0,0.2,0.165,0.165,0.165,72.41,54.97,74.97,65.685,10.2382584,31.7263962,-3.4146992,1.744,28.1370708,3.1918331,3.0,1.0623017,1.0,0.6846614,0.5,1.3613364,1.0,2.1078018,3.0,1.4630583,2.0,0.706541,0.5,13.560882,1.0,1.0723017,1.3713364,1.4730583,13.570882,7.3215919,176899733333.33334,1.0,168423466666.66666,1.0,168423466666.66666,9644733333.333334,1.0,8435466666.666667,1.0,8435466666.666667,0.1117739,0.3350789,8459266666.666667,15530666666.666666,15530666666.666666,166291933333.33334,1.0,158541066666.66666,1.0,158541066666.66666,1e-05,None
