"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
A,"Agilent Technologies, Inc.",Healthcare,United States,158441011.4526023, ,23239466666.666668,4.0,1000933333.3333334,91200000.0,0.5,6319000000.0,1.0,1210000000.0,1.0,107500000.0,0.25,1210000000.0,107500000.0,6319000000.0,23239466666.666668,4.0,1000933333.3333334,6319000000.0,1.0,1210000000.0,1.0,1210000000.0,6319000000.0,6.522,6.522,33.11929,27.763832,32.4498577,6.2026844,32.4498577,23.893,23.9311803,1719495404.0095425,1714000000.0,1530333333.3333333,1714000000.0,0.19148,6.6450306,36.9075,0.5986331,2.75,2.4793812,0.91221,0.00234,4.7,3.94,132.05,0.0298372,7.3177433,300366016,1210000000,4.0284184,17000,41215205376,39194763264,71176.4705882,0.991,0.119,0.6376404,0.121867,0.6376404,0.121867,0.9026601,9.7508425,0.1197167,3.7100108,2.6411,2.6411,1246200000.0,1.0,1485000000.0,1.0,33.0727053,27.7543471,27.7543471,0.976313,1.0,2.0951059,2.0,2.0951059,1.4484481,USD,USD,1.0,1.0,0.21,0.194,0.194,0.194,0.043753,112.47,179.57,151.92445,-13.0817982,17.4090869,-26.4632177,0.5836066,0.5846066,2.0253384,1.0,3.9181,2.0,0.2563882,1.0,0.0481036,0.125,0.7604948,1.0,0.7516416,1.0,2.2305238,1.0,4.3044215,2.0,3.9281,0.0581036,0.7616416,4.3144215,4.1212608,20212400000.0,2.0,15807400000.0,1.5,15807400000.0,10222266666.666666,2.0,7732000000.0,1.5,7732000000.0,0.1765464,0.2564925,1961000000.0,1977866666.6666667,1977866666.6666667,9989600000.0,2.0,5383600000.0,1.0,5383600000.0,2.2992662,None
AA,Alcoa Corporation,Basic Materials,United States,1e+50, ,11241933333.333334,1.0,50133333.3333333,-1589333333.3333333,0.25,12152000000.0,1.0,107250000.0,0.25,-4040000000.0,0.25,107250000.0,-4040000000.0,12152000000.0,11241933333.333334,1.0,50133333.3333333,12152000000.0,1.0,107250000.0,0.25,107250000.0,12152000000.0,1.31,1.31,32.783184,10.02571,29.9384997,1.1224464,29.9384997,5.808,5.8027918,2746075074.380165,2751000000.0,2117066666.6666667,2751000000.0,0.0353,0.001828,0.1,-0.1508155,0.1,-0.0368958,0.83986,0.0103,7.39,2.26,78.2,0.0289003,2.940896,184100000,429000000,2.3302553,10000000,15920600064,13639968768,42.9,2.0336134,0.396,2.0336134,0.1132965,2.0336134,0.1132965,2.0336134,14.5104819,0.3253241,5.9537191,14.7218243,14.7218243,717066666.6666666,1.0,460000000.0,0.5,22.2023988,34.6100001,34.6100001,2.1844215,1.0,2.1329022,1.0,2.1329022,1.4614459,USD,USD,1.0,1.0,0.1,0.09,0.07209,0.07209,1.723897,23.64,80.08,47.68345,63.9982006,230.7952623,-2.3476523,1.9333806,52.2280863,1.6655471,1.0,3.3196052,2.0,0.2440301,1.0,0.0091946,0.5,0.4917367,1.0,1.0829142,2.0,1.5507313,1.0,1.5327514,1.0,3.3296052,0.0191946,1.0929142,1.5427514,2.4361783,14990533333.333334,1.0,14707933333.333334,1.0,14707933333.333334,4279333333.3333335,1.0,6340200000.0,1.5,6340200000.0,0.107292,0.1169159,1653533333.3333333,1638533333.3333333,1638533333.3333333,9029466666.666666,1.0,8871600000.0,1.0,8871600000.0,1.0569888,effective_profit_margin          <= 0   |
AAL,"American Airlines Group, Inc.",Industrials,United States,1e+50, ,29632066666.666668,1.0,-3113333333.3333335,-24126400000.0,0.25,89646000000.0,3.0,-7972000000.0,0.25,-128464000000.0,0.25,-7972000000.0,-128464000000.0,89646000000.0,29632066666.666668,1.0,-3113333333.3333335,89646000000.0,3.0,-7972000000.0,0.25,-7972000000.0,89646000000.0,1.506,1.506,70456.0259599,8.069445,61650.0313955,0.3786513,61650.0313955,-14.159,6919.8729205,-3052979862.7021685,-2927000000.0,-2805733333.3333335,-2927000000.0,-0.0667,-1.4457969,0.1,-0.0681678,0.999,-0.5258883,0.5468,0.00961,2.16,-3.095,17.87,-0.1731953,1000.0,647728000,-1992999936,-3.0769087,123400,45010890752,11314859008,-16150.7288169,1.7180663,1.34,1.7180663,0.2399341,1.7180663,0.2399341,1.7180663,13.357503,1.0649835,10.5698039,35883.3821838,35883.3821838,-1250266666.6666667,0.5,352000000.0,0.5,2777.698121,127.8718487,127.8718487,-99.9241137,1.0,-5.0589545,2.0,-5.0589545,506.8954535,USD,USD,1.0,1.0,0.1,0.1,0.1,0.1,-0.2011915,14.91,26.09,19.9669,-10.5018806,19.852448,-31.5063243,0.529517,0.530517,0.9199083,1.0,0.901132,1.0,0.1733561,2.0,0.1044988,1.0,0.4207532,1.0,0.9142136,2.0,0.7566349,1.0,0.9666659,1.0,0.911132,0.1144988,0.9242136,0.9766659,0.943899,64009200000.0,1.0,67924066666.666664,1.0,67924066666.666664,-5772866666.666667,1.0,-4966533333.333333,1.5,-4966533333.333333,1e-06,1e-06,-4327800000.0,-621066666.6666666,-621066666.6666666,69782066666.66667,1.0,75373866666.66667,1.0,75373866666.66667,1e-05,effective_profit_margin          <= 0   |
AAP,Advance Auto Parts Inc.,Consumer Cyclical,United States,2404184604.258338, ,41975401600.0,4.0,553239133.3333334,8600628666.666666,2.0,3665996333.333333,0.3333333,308054000.0,0.5,26960397000.0,1.5,308054000.0,26960397000.0,3665996333.333333,41975401600.0,4.0,553239133.3333334,3665996333.333333,0.3333333,308054000.0,0.5,308054000.0,3665996333.333333,1.499,1.499,21.65026,13.452179,20.6254999,1.1486226,20.6254999,14.194,14.1939753,1161456959.0672116,1161461000.0,1078881666.6666667,1161461000.0,0.05602,8.5083869,156.856875,0.0033111,0.06875,2.856906,1.02297,0.00444,15.37,9.55,218.8,0.0436472,4.0627213,61097600,616108032,10.0839973,41000,16485662720,12632539136,15027.0251707,-0.271,0.013,0.1675069,0.0640239,0.1675069,0.0640239,-0.1613733,3.3892761,0.025756,1.854867,1.1085,1.1085,2042892533.3333333,2.0,1112262000.0,1.0,8.069765,14.8217441,14.8217441,2.5582691,1.0,1.3863896,0.5,1.3863896,1.1784504,USD,USD,1.0,1.0,1.0,1.0,1.0,0.25,0.2444177,160.03,244.55,216.62695,1.00313,36.7243642,-10.5295441,1.3906768,7.2336449,0.4677496,0.3333333,0.34046,0.25,3.9170265,3.0,5.2462959,1.0,0.1260991,1.0,0.12062,1.0,0.6362418,0.5,0.3086919,0.25,0.35046,5.2562959,0.13062,0.3186919,0.334576,23526655200.0,2.0,12037086266.666666,1.0,12037086266.666666,3327556733.3333335,1.0,2129651777.7777777,0.6666667,2129651777.7777777,0.1255921,0.2446499,1299858800.0,1183255133.3333333,1183255133.3333333,16871541733.333334,2.0,13263912900.0,1.5,13263912900.0,2.1090434,None
AAPL,Apple Inc.,Technology,United States,21945623678.207706, ,320702600000.0,1.0,77141800000.0,8885200000.0,0.5,378323000000.0,1.0,100555000000.0,1.0,44491000000.0,1.0,100555000000.0,44491000000.0,378323000000.0,320702600000.0,1.0,77141800000.0,378323000000.0,1.0,100555000000.0,1.0,100555000000.0,378323000000.0,7.244,7.244,27.318373,25.048782,27.0346741,7.0881333,3.8620963,21.374,21.3739299,128217159005.89502,128218000000.0,100399666666.66667,128218000000.0,0.26579,1.172646,4.75,0.7368386,2.75,0.7260915,0.59508,0.0007,6.56,6.015,167.3,0.0359534,37.328487,16319399936,100554997760,6.1616848,100000,2740495581184,2681603883008,1005549.9776,0.204,0.112,0.3718335,0.2028866,0.3718335,0.2028866,0.2459584,5.2094191,0.1347217,3.9204448,3.2493,3.2493,91414400000.0,1.0,112241000000.0,1.0,29.9788171,24.4161722,24.4161722,4.0154378,1.0,4.3190014,1.0,4.3190014,2.0792207,USD,USD,1.0,1.0,0.22,0.22,0.22,0.22,0.3108895,116.21,182.94,151.27095,10.5962513,43.9635143,-8.5492511,1.5312453,12.8904667,0.420176,0.3333333,1.2319687,1.0,0.1309069,0.5,0.58354,2.0,4.7640512,6.0,0.9539445,1.0,1.2176013,1.0,0.5288745,0.5,1.2419687,0.59354,0.9639445,0.5388745,0.8904216,343088333333.3333,1.0,363358266666.6667,1.0,363358266666.6667,35139966666.666664,0.5,68370266666.666664,1.0,68370266666.666664,0.3767379,1.5707417,23849066666.666668,7365200000.0,7365200000.0,272808400000.0,1.0,294988000000.0,1.0,294988000000.0,2.8028062,None
ABBV,AbbVie Inc.,Healthcare,United States,93529491.6601428,r+,195220533333.33334,4.0,8816733333.333334,2802533333.3333335,1.0,168591000000.0,3.0,11542000000.0,1.0,7759000000.0,1.0,11542000000.0,7759000000.0,168591000000.0,195220533333.33334,4.0,8816733333.333334,168591000000.0,3.0,11542000000.0,1.0,11542000000.0,168591000000.0,5.788,5.788,22.567442,11.834146,21.22578,4.58137,21.22578,11.596,11.5958842,28049439787.512936,28050000000.0,23953066666.666668,28050000000.0,0.20538,6.8945117,36.9075,6.3054726,27.4725,4.4694548,0.68991,0.00107,12.3,6.45,144.03,0.0447823,16.70607,1768749952,11468000256,6.4836752,50000,325254807552,257459240960,229360.00512,111.333,0.074,0.7941396,0.2395817,0.7941396,0.2395817,83.6982849,91.7367668,0.1153954,3.6469901,0.2535987,0.2535987,19509533333.333332,1.0,22777000000.0,1.0,16.6715832,14.279967,14.279967,10.4373113,2.0,18.6023475,2.0,18.6023475,4.3140439,USD,USD,1.0,1.0,1.41,1.3,1.3,1.3,0.3392216,102.05,147.22,119.7602,20.2653302,41.1366977,-2.1668252,1.8587558,41.2414604,3.2061013,3.0,2.2173202,2.0,0.0173993,1.0,0.2515757,2.0,0.3685216,3.0,0.0690861,0.5,1.1373096,1.0,0.8701425,1.0,2.2273202,0.2615757,0.0790861,0.8801425,1.5537313,134138266666.66667,1.0,147607266666.66666,1.0,147607266666.66666,20103733333.333332,2.0,14420800000.0,1.0,14420800000.0,0.178194,0.9003717,-567066666.6666666,-4478933333.333333,-4478933333.333333,124065866666.66667,1.0,88772977777.77777,0.6666667,88772977777.77777,1.883228,None
ABC,AmerisourceBergen Corporation,Healthcare,United States,1847183165.3458657,r+,799627820000.0,4.0,136915133.3333333,1841933866.6666667,1.0,213988843000.0,1.0,1539932000.0,1.0,7352823000.0,1.5,1539932000.0,7352823000.0,213988843000.0,799627820000.0,4.0,136915133.3333333,213988843000.0,1.0,1539932000.0,1.0,1539932000.0,213988843000.0,0.157,0.157,19.020298,12.254577,18.1745829,0.1367135,18.1745829,10.595,10.5951044,3180159675.4601226,3180097000.0,2831809733.3333335,3180097000.0,0.0072,0.0018491,0.777,0.0194635,2.75,0.0105042,0.65253,0.28525,11.47,7.39,141.5,0.0522261,130.99721,208132992,1539932032,7.3987887,38000,33694455808,29255172096,40524.5271579,0.2165394,0.196,0.2165394,0.0988102,0.2165394,0.0988102,0.2165394,4.9033793,0.1717026,4.3937008,83.9319961,9.8247396,2417352133.3333335,1.0,1333293000.0,0.5,13.9385799,25.2716063,25.2716063,63.0866955,0.5,498.8152057,1.0,498.8152057,22.3351713,USD,USD,1.0,1.0,0.46,0.46,0.44,0.44,141.5,100.71,144.22,123.37625,14.6898208,40.5024327,-1.8860075,1.8749713,43.4477915,1.0174333,1.0,2.0128541,2.0,2.4009481,0.3333333,2.5154689,1.0,0.0584999,0.5,0.1685419,1.0,0.9495007,1.0,1.9213627,2.0,2.0228541,2.5254689,0.1785419,1.9313627,1.9771084,100242074400.0,2.0,82227945200.0,1.5,82227945200.0,426786266.6666667,1.0,67794600.0,1.5,67794600.0,0.1187276,22.8146705,-1900770066.6666667,-1677824533.3333333,-1677824533.3333333,98861658800.0,2.0,81668751200.0,1.5,81668751200.0,1.745178,None
ABMD,"ABIOMED, Inc.",Healthcare,United States,8433725403.319266, ,3273685600.0,4.0,216429200.0,1329784933.3333333,2.0,973635000.0,1.0,37288000.0,0.25,3259075000.0,1.0,37288000.0,3259075000.0,973635000.0,3273685600.0,4.0,216429200.0,973635000.0,1.0,37288000.0,0.25,37288000.0,973635000.0,16.237,16.237,91.07768,59.20958,87.0941675,13.861847,87.0941675,54.858,54.8644982,288107255.2954901,288039000.0,251432733.3333333,288039000.0,0.15319,9.7386219,36.9075,0.0143633,0.1,3.3030584,0.92371,0.02061,5.01,3.257,298.38,0.0109156,9.747635,45497500,149152000,3.2782461,1725,15808732160,13496379392,86464.9275362,-0.085,0.183,0.1886176,0.0733133,0.1886176,0.0733133,-0.0165956,0.2483404,0.1555783,4.1943417,-5248.0310333,19.0547654,276882933.3333333,1.0,281541000.0,1.0,57.0953651,56.1507282,56.1507282,0.1299262,1.0,0.1121447,1.0,0.1121447,0.3358801,USD,USD,1.0,1.0,0,0,0,0,298.38,261.27,379.3,324.50586,-8.0509671,14.2036973,-21.3340364,0.6288232,0.6298232,8.7260185,1.0,39.8693696,4.0,0.0,1.0,0.0,1.0,3.4910642,1.0,0.3692686,0.5,5.7851668,1.0,13.9912405,2.0,39.8793696,0.01,0.3792686,14.0012405,26.940305,2628771600.0,2.0,1499400000.0,1.0,1499400000.0,2328342400.0,2.0,1348492200.0,1.0,1348492200.0,0.1248686,0.1276516,589324466.6666666,694533533.3333334,694533533.3333334,300429200.0,2.0,100605200.0,0.6666667,100605200.0,9.2397756,None
ABT,Abbott Laboratories,Healthcare,United States,13695379.1425954, ,131473600000.0,4.0,3728066666.6666665,53000266666.666664,2.0,42308000000.0,1.0,7244000000.0,1.0,173587500000.0,1.5,7244000000.0,173587500000.0,42308000000.0,131473600000.0,4.0,3728066666.6666665,42308000000.0,1.0,7244000000.0,1.0,7244000000.0,42308000000.0,5.885,5.885,29.158808,24.686974,28.5998288,4.911406,28.5998288,20.136,19.9572549,12589488891.537544,12813000000.0,8171800000.0,12813000000.0,0.17122,72.5838328,588.2132813,0.4670525,2.75,24.4083684,0.75314,0.00728,4.76,4.03,116.79,0.0345064,6.0366797,1768290048,7208000000,4.0762543,109000,249001328640,207791767552,66128.440367,0.705,0.234,0.8507106,0.0774484,0.8507106,0.0774484,0.7414277,8.8606193,0.1948621,4.6643188,38.5739979,38.5739979,7061466666.666667,1.0,11264000000.0,1.0,35.2619846,22.1059418,22.1059418,1.2137975,1.0,1.1516235,1.0,1.1516235,1.0741372,USD,USD,1.0,1.0,0.47,0.45,0.45,0.45,116.79,105.36,142.6,123.60035,-5.5099763,10.8485194,-18.0995792,0.6138561,0.6148561,1.831542,1.0,7.4967918,4.0,0.0506028,0.5,0.1490387,1.0,0.3138016,1.0,1.8440953,4.0,0.8336865,0.5,3.5999112,2.0,7.5067918,0.1590387,1.8540953,3.6099112,5.5583515,70835200000.0,1.0,110155400000.0,1.5,110155400000.0,31904600000.0,1.0,51048400000.0,1.5,51048400000.0,0.1657616,0.2419045,7330866666.666667,10153066666.666666,10153066666.666666,38717200000.0,1.0,39183666666.666664,1.0,39183666666.666664,2.5019638,None
ACC,American Campus Communities Inc,Real Estate,United States,1e+50, ,886327133.3333334,1.0,81701866.6666667,0,1.0,903078000.0,1.0,2448000.0,0.125,0,1.0,2448000.0,0,903078000.0,886327133.3333334,1.0,81701866.6666667,903078000.0,1.0,2448000.0,0.125,2448000.0,903078000.0,12.509,12.509,403.84,77.66154,363.0676925,7.7785583,363.0676925,27.813,27.8263328,405774033.3836695,405385000.0,427605400.0,405385000.0,0.02168,0.414205,4.75,-3.6211112,0.00625,-1.0607421,0.96184,0.00945,0.65,0.125,50.83,0.0024592,2.353051,139156992,17268000,0.1240901,2988,11296613376,7024645120,5779.1164659,-0.0607641,0.129,-0.0607641,-0.0085867,-0.0607641,-0.0085867,-0.0607641,0.2439236,0.0946033,3.3257654,-5975.0393068,16.7362916,357491400.0,1.0,327367000.0,1.0,31.5996787,34.5074897,34.5074897,0.6336867,0.5,0.739168,0.5,0.739168,0.8607488,USD,USD,1.0,1.0,0.47,0.47,0.47,0.47,50.83,40.01,57.83,50.9777,-0.2897345,27.0432392,-12.1044441,1.2143659,3.206988,0.9187854,0.5,0.4228588,0.25,0.0,1.0,0.0,1.0,0.9421449,1.0,1.349705,1.0,0.4264477,0.3333333,0.9675726,1.0,0.4328588,0.01,1.359705,0.9775726,0.7052157,7430890533.333333,1.0,7540806133.333333,1.0,7540806133.333333,1617960500.0,0.5,2011382577.7777777,0.6666667,2011382577.7777777,0.1003246,0.1012171,21145733.3333333,-4903666.6666667,-4903666.6666667,8153158000.0,2.0,6688131800.0,1.5,6688131800.0,0.2316855,effective_profit_margin          <= 0   |
