Symbol,Name,Sector,Value,Close,MA,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,8.98859/-1.3083,75.0, ,496.491
DHI,D.R. Horton  Inc.,Consumer Cyclical,74.58905/-1.07168,80.4, ,319.0129
LEN,Lennar Corporation,Consumer Cyclical,719.34003/-0.68675,89.89, ,250.8783
LYB,LyondellBasell Industries NV,Basic Materials,6.69125/-1.16103,98.69, ,209.2781
CI,Cigna Corporation,Healthcare,1584402.76095/-0.53178,227.73, ,155.5855
STLD,Steel Dynamics  Inc.,Basic Materials,110.50548/-1.11977,77.09, ,114.3184
BBY,Best Buy Co.  Inc.,Consumer Cyclical,3954.92765/-0.7761,90.55, ,113.6606
WLK,Westlake Corporation,Basic Materials,78.73703/-0.71731,112.59, ,111.5143
JEF,Jefferies Financial Group Inc.,Financial Services,1776236.75422/-0.48999,34.37, ,111.1368
BEN,Franklin Resources  Inc.,Financial Services,7511.24242/-0.96414,29.51, ,103.8142
TSN,Tyson Foods  Inc.,Consumer Defensive,300285.41819/-0.53367,95.34, ,102.0901
FOX,Fox Corporation,Communication Services,2340018.94244/-0.68993,39.53, ,98.7398
VIACA,ViacomCBS Inc.,Communication Services,70638978.51335/-1.15788,39.23, ,95.7329
GLW,Corning Incorporated,Technology,212284.894/-0.62747,39.64, ,77.973
FNF,FNF Group of Fidelity National ,Financial Services,6738252.24082/-0.37445,47.75, ,76.6353
VMW,Vmware  Inc.,Technology,3736876.27812/-0.73647,120.1, ,69.2492
IVZ,Invesco Ltd,Financial Services,26996.66123/-0.57079,20.06, ,61.9295
UHS,Universal Health Services  Inc.,Healthcare,164235639.09885/-0.56953,149.85, ,54.0003
LAD,Lithia Motors  Inc.,Consumer Cyclical,6529.22198/-0.7358,341.01, ,53.2042
UHAL,Amerco,Industrials,28172.35259/-0.9681,579.65, ,53.1311
JBL,Jabil Inc.,Technology,824.39141/-0.70171,57.03, ,50.8602
EBAY,eBay Inc.,Consumer Cyclical,52264637.39499/-1.093,55.15, ,47.3213
GM,General Motors Company,Consumer Cyclical,26403875.70541/-0.32687,44.9, ,47.1827
FDX,FedEx Corporation,Industrials,71842.29829/-0.63061,220.56, ,46.3517
NUE,Nucor Corporation,Basic Materials,3079.1484/-0.36552,137.53, ,41.3597
BLDR,Builders FirstSource  Inc.,Industrials,15179.31105/-0.90744,69.36, ,38.2793
VIAC,ViacomCBS Inc.,Communication Services,1120380488.7693/-0.3521,35.99, ,36.3405
REGN,Regeneron Pharmaceuticals  Inc.,Healthcare,355755.85509/-0.74305,611.15, ,35.9778
BIO,Bio-Rad Laboratories  Inc.,Healthcare,25.47477/-0.83191,582.88, ,32.9531
DISH,DISH Network Corporation,Communication Services,480602.04901/-0.46115,28.54, ,30.9656
GRMN,Garmin Ltd.,Technology,5425964.39541/-0.79547,112.05, ,30.2976
AFG,American Financial Group  Inc.,Financial Services,1026838.61473/-0.455,133.76,r+,29.787
MHK,Mohawk Industries  Inc.,Consumer Cyclical,8988.85724/-0.79649,139.86, ,28.9994
MS,Morgan Stanley,Financial Services,9096671977.20329/0.07147,87.78, ,27.8494
MET,MetLife  Inc.,Financial Services,260565677.30759/-0.32273,66.56, ,27.5845
SSNC,SS&C Technologies Holdings  Inc,Technology,28305923.49346/-0.36197,76.38, ,25.2552
WRB,W.R. Berkley Corporation,Financial Services,123047410.41215/-0.16671,90.37, ,22.9213
FTV,Fortive Corporation,Technology,22632150.3917/-0.23842,62.88, ,22.5111
FOXA,Fox Corporation,Communication Services,149053859.71454/-0.07366,43.16, ,21.8763
LH,Laboratory Corporation of Ameri,Healthcare,121547376.72021/-0.60218,270.45, ,21.6324
FISV,Fiserv  Inc.,Technology,9819399.35934/-0.22155,98.63, ,21.3869
DGX,Quest Diagnostics Incorporated,Healthcare,54941087.21989/-0.62828,130.55, ,20.7749
SCCO,Southern Copper Corporation,Basic Materials,1782143.0795/-1.28483,75.23, ,20.1528
ALL,Allstate Corporation (The),Financial Services,153783089466.25485/-0.36173,125.09, ,20.106
SC,Santander Consumer USA Holdings,Financial Services,55003879290.65237/-0.12749,41.59, ,19.755
CB,Chubb Limited,Financial Services,20603664486.89964/0.187,203.09,r+,19.6375
AFL,AFLAC Incorporated,Financial Services,4918680345119.981/-0.10374,62.77, ,17.6372
ACI,Albertsons Companies  Inc.,Consumer Defensive,33714.26193/-0.62267,28.29, ,17.4929
RS,Reliance Steel & Aluminum Co.,Basic Materials,55838.13843/-0.30818,190.03, ,17.3074
NVR,NVR  Inc.,Consumer Cyclical,15895.24782/-1.02333,4929.38, ,17.1342
COF,Capital One Financial Corporati,Financial Services,17991536638430.312/0.17137,152.93, ,16.9394
SYF,Synchrony Financial,Financial Services,244823468376.57465/0.09002,38.89, ,16.6124
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,53764.74648/-0.83433,151.66, ,15.9957
LNC,Lincoln National Corporation,Financial Services,3213930806772.5757/-0.15669,64.78, ,15.9614
AN,AutoNation  Inc.,Consumer Cyclical,88.30952/-1.04984,105.34, ,15.7267
CMCSA,Comcast Corporation,Communication Services,13706954.63138/-0.45597,46.94, ,15.3184
PHM,PulteGroup  Inc.,Consumer Cyclical,453380.12763/-0.68779,49.25, ,13.1798
CRM,Salesforce.com Inc,Technology,21180096.60996/-0.32919,195.13, ,11.56
OMF,OneMain Holdings  Inc.,Financial Services,1323079340244.5505/-0.59509,47.26, ,10.6635
GL,Globe Life Inc.,Financial Services,27436120822.24065/-0.18699,99.63, ,9.6711
TROW,T. Rowe Price Group  Inc.,Financial Services,14341.8231/-0.71634,142.92, ,9.6641
ZM,Zoom Video Communications  Inc.,Technology,2442.2468/-0.6937,113.11, ,9.6519
GD,General Dynamics Corporation,Industrials,6016623240.90298/-0.04814,238.13, ,9.4753
RE,Everest Re Group  Ltd.,Financial Services,19703011956.81616/0.10765,289.11, ,9.4188
KKR,KKR & Co. Inc.,Financial Services,3.452923653386422e+17/0.07994,57.78, ,9.2084
ACGL,Arch Capital Group Ltd.,Financial Services,7026893641.47972/0.02901,47.1, ,9.111
AGR,Avangrid  Inc.,Utilities,12408711.22243/-1.03207,43.51, ,8.958
WAB,Westinghouse Air Brake Technolo,Industrials,463324198.94309/-0.2719,93.05, ,8.9159
UGI,UGI Corporation,Utilities,970861.5993/-0.40699,37.2, ,8.9047
APH,Amphenol Corporation,Technology,85522102.6591/-0.66586,74.94, ,7.9718
ALLY,Ally Financial Inc.,Financial Services,1.3322028675543906e+17/0.1507,49.28, ,7.5099
KNX,Knight-Swift Transportation Hol,Industrials,2902564.43036/-0.53376,54.76, ,7.4191
FCX,Freeport-McMoRan  Inc.,Basic Materials,898213723.18076/-0.20283,49.09, ,7.161
AKAM,Akamai Technologies  Inc.,Technology,1285202.18044/-0.2556,100.44, ,6.9786
