Symbol,Name,Sector,Value,Close,MA,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,1.77876/-1.34285,69.65, ,473.16
DHI,D.R. Horton  Inc.,Consumer Cyclical,52.58023/-1.10887,80.09, ,264.2458
LEN,Lennar Corporation,Consumer Cyclical,204.18042/-0.72201,83.26, ,229.3943
LYB,LyondellBasell Industries NV,Basic Materials,623.30603/-1.04924,94.78, ,160.7519
STLD,Steel Dynamics  Inc.,Basic Materials,8.8936/-1.0144,72.38, ,143.3624
WLK,Westlake Corporation,Basic Materials,45.43391/-1.11532,110.43,r+,138.5589
TSN,Tyson Foods  Inc.,Consumer Defensive,142662.79228/-0.73389,92.56, ,118.6437
CI,Cigna Corporation,Healthcare,3572086.11625/-0.53559,236.73, ,113.0241
VIACA,ViacomCBS Inc.,Communication Services,70638978.51335/-1.17475,39.23, ,104.3495
BEN,Franklin Resources  Inc.,Financial Services,806.09354/-1.00483,27.21, ,98.1347
FOX,Fox Corporation,Communication Services,130199340.58228/-0.83962,38.03, ,95.6248
VMW,Vmware  Inc.,Technology,1075546.24903/-0.77585,112.38, ,73.3608
REGN,Regeneron Pharmaceuticals  Inc.,Healthcare,26455.33653/-0.80678,618.59, ,55.5437
AFL,AFLAC Incorporated,Financial Services,184146818.02378/-0.36316,59.03, ,54.5409
IVZ,Invesco Ltd,Financial Services,4821.70261/-0.60402,18.64, ,54.4858
NUE,Nucor Corporation,Basic Materials,1288.97037/-0.7237,131.9,r+,54.1473
EBAY,eBay Inc.,Consumer Cyclical,68299204.40748/-1.13438,54.85, ,53.5896
LAD,Lithia Motors  Inc.,Consumer Cyclical,3566.48069/-0.77007,318.08, ,51.7013
JBL,Jabil Inc.,Technology,455.39166/-0.73275,52.6, ,50.9625
BBY,Best Buy Co.  Inc.,Consumer Cyclical,44563.28515/-0.79307,104.71, ,49.8879
UHAL,Amerco,Industrials,15342.31002/-0.99579,556.91, ,49.5388
UHS,Universal Health Services  Inc.,Healthcare,181344306.6259/-0.58212,150.42, ,49.1119
FDX,FedEx Corporation,Industrials,440439.38897/-0.66106,201.09, ,45.4827
FNF,FNF Group of Fidelity National ,Financial Services,44792.74373/-0.39024,44.9, ,41.7078
MET,MetLife  Inc.,Financial Services,35662778.20954/-0.40212,61.97, ,41.5345
CNXC,Concentrix Corporation,Technology,139663.90146/-0.67787,188.14, ,40.5806
VIAC,ViacomCBS Inc.,Communication Services,1120380488.7693/-0.36861,35.99, ,37.355
LNC,Lincoln National Corporation,Financial Services,1755192.81676/-0.37074,58.17, ,36.9945
DISCK,Discovery  Inc. - Series C,Communication Services,2393180875.81829/-0.41618,25.48, ,35.512
SSNC,SS&C Technologies Holdings  Inc,Technology,7741796.03206/-0.41776,71.89, ,34.8144
TROW,T. Rowe Price Group  Inc.,Financial Services,21958.34732/-0.73463,134.46, ,32.3679
DISH,DISH Network Corporation,Communication Services,2370177.7929/-0.47102,29.47, ,31.8497
GM,General Motors Company,Consumer Cyclical,2021709860.29569/-0.29749,39.83, ,31.3964
AFG,American Financial Group  Inc.,Financial Services,1068646879.97561/-0.38643,134.65, ,30.7576
BIO,Bio-Rad Laboratories  Inc.,Healthcare,12.28519/-0.88405,550.16, ,30.1164
ACGL,Arch Capital Group Ltd.,Financial Services,5754418.32894/-0.38917,44.27, ,28.7723
MHK,Mohawk Industries  Inc.,Consumer Cyclical,2140.16644/-0.83043,123.76, ,28.4101
GRMN,Garmin Ltd.,Technology,241486.78826/-0.75933,108.64, ,26.9829
RS,Reliance Steel & Aluminum Co.,Basic Materials,8250.40856/-0.70022,184.69,r+,24.9494
BLDR,Builders FirstSource  Inc.,Industrials,11232.03384/-0.94906,67.92, ,24.3347
CB,Chubb Limited,Financial Services,11116152038.62788/0.01609,198.92, ,24.0169
MS,Morgan Stanley,Financial Services,4654633955.62595/0.02579,83.45, ,23.6125
ON,ON Semiconductor Corporation,Technology,50899.08703/-0.86708,53.52, ,23.1166
SCCO,Southern Copper Corporation,Basic Materials,1223692.52414/-1.35323,74.28,r+,21.5633
FOXA,Fox Corporation,Communication Services,8483412476.09011/-0.34217,41.6, ,21.1026
AGR,Avangrid  Inc.,Utilities,5469841.89106/-1.00864,45.67, ,20.6124
DGX,Quest Diagnostics Incorporated,Healthcare,77709582.88836/-0.65868,136.1, ,19.3407
DISCA,Discovery  Inc. - Series A,Communication Services,2564821353.70112/-0.3992,25.55, ,19.1581
KNX,Knight-Swift Transportation Hol,Industrials,643467.83607/-0.59252,51.91, ,18.4578
NVR,NVR  Inc.,Consumer Cyclical,7734.38531/-1.08082,4706.88, ,17.5537
COF,Capital One Financial Corporati,Financial Services,446713525205.1987/0.11065,124.8, ,16.6256
WRB,W.R. Berkley Corporation,Financial Services,71270905.13586/-0.33732,88.77, ,16.4434
CMCSA,Comcast Corporation,Communication Services,13765576.88602/-0.48268,46.3, ,15.6542
SYF,Synchrony Financial,Financial Services,74849148607.44876/0.07345,34.76, ,15.2343
SC,Santander Consumer USA Holdings,Financial Services,55003879290.65237/-0.15602,41.59, ,14.9047
FTV,Fortive Corporation,Technology,8494209966.72504/-0.22378,57.78, ,13.7206
ALL,Allstate Corporation (The),Financial Services,106479622.4833/-0.40883,125.17, ,13.3089
LH,Laboratory Corporation of Ameri,Healthcare,102851069.61975/-0.63714,266.75, ,13.264
PHM,PulteGroup  Inc.,Consumer Cyclical,178962.58822/-0.72209,46.27, ,13.1255
KKR,KKR & Co. Inc.,Financial Services,1.0111273264593184e+17/0.05213,51.16, ,12.0839
