"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,United States,12.2851949, ,9693500533.333334,4.0,2555887533.3333335,14040239600.0,2.0,2979615000.0,1.0,6658663000.0,1.0,68630650500.0,1.5,6658663000.0,68630650500.0,2979615000.0,9693500533.333334,4.0,2555887533.3333335,2979615000.0,1.0,6658663000.0,1.0,6658663000.0,2979615000.0,6.677,6.677,2.3792613,38.77088,6.9282136,5.2650394,6.9282136,26.214,25.9094685,776938407.034409,794990000.0,489793333.3333333,794990000.0,2.23474,751.2654586,588.2132813,9.3360347,2.75,254.2797444,0.79816,0.14217,13.53,220.476,550.16,0.4007489,1.0235991,24836100,6658662912,268.1042077,7800,19893458944,15687790592,853674.7323077,1.987,0.154,2.0383212,0.0691597,2.0383212,0.0691597,1.9998303,14.3915356,0.1327899,3.8940354,3.4644008,3.4644008,947911600.0,2.0,783331000.0,1.0,20.9866183,25.3959807,25.3959807,0.1773427,0.5,0.3044026,1.0,0.3044026,0.5527269,USD,USD,1.0,1.0,0,0,0,0,550.16,524.19,832.7,700.3498,-21.4449694,4.9543105,-33.9305872,0.1683576,0.1693576,11.6015739,3.0,4.2858363,1.0,0.0896251,1.0,0.0797068,1.0,0.0112752,0.1666667,0.0159955,0.5,3.3097779,1.0,7.5302897,2.0,4.2958363,0.0897068,0.0259955,7.5402897,5.918063,20174870400.0,2.0,26093620200.0,1.5,26093620200.0,15070754666.666666,2.0,20013660200.0,1.5,20013660200.0,0.3551836,0.4327059,1452290066.6666667,1731884866.6666667,1731884866.6666667,5104115733.333333,2.0,6079960000.0,1.5,6079960000.0,2.3499954,None
IPGP,IPG Photonics Corporation,Technology,United States,309.7728549, ,1279516866.6666667,1.0,210212000.0,4101510800.0,2.0,4299069000.0,3.0,525336000.0,2.0,13758220500.0,1.5,525336000.0,13758220500.0,4299069000.0,1279516866.6666667,1.0,210212000.0,4299069000.0,3.0,525336000.0,2.0,525336000.0,4299069000.0,5.462,5.462,23.031424,19.169231,22.5486499,4.171643,3.2212357,17.749,17.7490073,441027362.414784,441027000.0,398817066.6666667,441027000.0,0.1833,0.6735379,4.75,17.1609089,89.285625,6.0069156,0.67541,0.29853,5.85,4.869,106.05,0.0459123,2.1821365,53308900,262668000,4.9272823,6060,7827801088,5978059776,43344.5544554,1.118,0.191,-0.2005836,-0.0727577,-0.2005836,-0.0727577,0.7883541,9.1289307,0.1250606,3.7863904,28.6021851,28.6021851,158958700.0,0.5,390474000.0,1.0,49.2442445,20.0469201,20.0469201,0.1403119,1.0,0.1422274,1.0,0.1422274,0.3781304,USD,USD,1.0,1.0,0,0,0,0,106.05,103.05,241.43,172.9714,-38.6892862,2.9112082,-56.0742244,0.0433589,0.0443589,49.1596116,6.0,8.0492992,1.0,0.4988751,1.0,0.200444,0.5,1.4724439,2.0,1.9644941,2.0,19.0838364,2.0,8.6563264,1.0,8.0592992,0.210444,1.9744941,8.6663264,8.3628128,5589799866.666667,2.0,4639893000.0,1.5,4639893000.0,4904383200.0,2.0,4060631100.0,1.5,4060631100.0,0.2132216,0.229373,1797421266.6666667,2020396200.0,2020396200.0,341736466.6666667,1.0,577959900.0,1.5,577959900.0,3.4813868,None
QDEL,Quidel Corporation,Healthcare,United States,1024.8120426, ,5820572000.0,4.0,606332066.6666666,2307278800.0,2.0,1698551000.0,1.0,704226000.0,1.0,7908390000.0,1.5,704226000.0,7908390000.0,1698551000.0,5820572000.0,4.0,606332066.6666666,1698551000.0,1.0,704226000.0,1.0,704226000.0,1698551000.0,2.043,2.043,4.753027,13.445206,5.8395494,2.4088008,5.8395494,3.581,3.5810497,969148911.7564926,969122000.0,844943333.3333334,969122000.0,0.4146,15.2076969,36.9075,1.107861,2.75,5.5777193,0.90016,0.12184,7.3,20.65,99.01,0.2085648,2.5029964,41685900,704225984,16.8936255,1600,3470618624,4091471104,440141.24,-0.38,-0.213,2.8118728,0.6180058,2.8118728,0.6180058,0.4179682,6.715046,-0.0052486,0.2494751,13.9712767,13.9712767,624754600.0,1.0,402934500.0,0.5,5.555171,8.6133568,8.6133568,0.3894967,1.0,0.2802384,1.0,0.2802384,0.5303755,USD,USD,1.0,1.0,0,0,0,0,99.01,88.37,180.06,127.00885,-22.0448024,12.0402852,-45.0127735,0.2320864,0.2330864,24.0058403,6.0,4.614278,1.0,0.0317268,1.0,0.0372529,1.0,3.7973535,6.0,1.0159485,1.0,21.5673659,6.0,4.2235495,1.0,4.624278,0.0472529,1.0259485,4.2335495,4.4289138,3940767066.6666665,2.0,2238746200.0,1.0,2238746200.0,2974790933.3333335,2.0,1752202400.0,1.0,1752202400.0,0.4145627,0.501909,825494533.3333334,978323000.0,978323000.0,482988066.6666667,1.0,486543800.0,1.0,486543800.0,3.564089,None
ZM,"Zoom Video Communications, Inc.",Technology,United States,1490.5917691, ,6537090133.333333,4.0,366072933.3333333,176576966.6666667,0.5,11732919000.0,3.0,1145608000.0,1.0,6520524000.0,1.5,1145608000.0,6520524000.0,11732919000.0,6537090133.333333,4.0,366072933.3333333,11732919000.0,3.0,1145608000.0,1.0,1145608000.0,11732919000.0,8.743,8.743,28.830719,24.826088,28.3301401,8.266352,4.0471629,28.75,28.8095896,1184429888.556522,1179520000.0,381928200.0,1179520000.0,0.29292,2.4687453,12.3834375,8.432917,27.4725,3.7325274,0.63949,0.11318,4.37,3.763,107.88,0.0348813,6.320788,242240000,1144920064,4.7263873,3871,34193518592,32329478144,295768.5517954,0.714,0.352,15.4210395,2.283187,15.4210395,2.283187,4.3907599,21.2041401,0.8347967,9.3867212,6.4522181,6.4522181,1666543200.0,2.0,1795266000.0,1.0,20.5176311,19.0464915,19.0464915,-3.4896484,1.0,0.379254,1.0,0.379254,0.616836,USD,USD,1.0,1.0,0,0,0,0,107.88,105.0104,406.48,264.49225,-59.2124155,2.7326817,-73.4599488,0.0190374,0.0200374,3.1284967,1.0,3.6419402,1.0,0.2847471,1.0,0.0946526,0.5,1.8235666,1.0,5.1891828,2.0,3.3242714,1.0,3.569733,1.0,3.6519402,0.1046526,5.1991828,3.579733,3.6158366,6462329733.333333,2.0,9894135500.0,1.5,9894135500.0,4557381200.0,2.0,7178670500.0,1.5,7178670500.0,0.2157866,0.259585,2111556600.0,4208235400.0,4208235400.0,1841127733.3333333,2.0,2715465000.0,1.5,2715465000.0,3.1870574,None
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,United States,2140.1664417, ,9717254800.0,1.0,653110000.0,14477836800.0,2.0,11081640000.0,1.0,1092291000.0,1.0,46545097500.0,1.5,1092291000.0,46545097500.0,11081640000.0,9717254800.0,1.0,653110000.0,11081640000.0,1.0,1092291000.0,1.0,1092291000.0,11081640000.0,1.293,1.293,2.5717833,8.209853,3.276542,0.7843083,3.276542,7.11,7.0122886,2071614388.466948,2128554000.0,1574556733.3333333,2128554000.0,0.09857,0.0177998,0.296875,0.2743295,2.75,0.1312331,0.79032,0.19601,15.63,49.89534,123.76,0.4031621,0.9979159,67732400,1092290944,16.1265649,42000,14324337664,8691422208,26006.9272381,0.321,0.094,-0.2306589,-0.0169437,-0.2306589,-0.0169437,0.1830853,4.5288467,0.0662641,2.824181,17.8962606,17.8962606,1559335933.3333333,1.0,1504580000.0,1.0,9.1861781,9.5204892,9.5204892,1.3661592,2.0,0.6666724,1.0,0.6666724,0.8175001,USD,USD,1.0,1.0,0,0,0,0,123.76,121.04,231.8,180.93825,-31.6009744,2.247191,-46.6091458,0.0491152,0.0501152,4.9382565,2.0,2.5020671,1.0,0.7078598,1.0,0.8626755,2.0,1.0595432,2.0,0.5633862,1.0,1.9281583,1.0,1.934484,1.0,2.5120671,0.8726755,0.5733862,1.944484,2.2282756,27528243600.0,2.0,14512097933.333334,1.0,14512097933.333334,16357424266.666666,2.0,8703453200.0,1.0,8703453200.0,0.1752676,0.2255009,2314031333.3333335,2743413333.3333335,2743413333.3333335,5576678733.333333,1.0,5801792466.666667,1.0,5801792466.666667,2.617373,None
RH,RH,Consumer Cyclical,United States,6041.1902792, ,10888062933.333334,4.0,221658866.6666667,-898452266.6666666,0.25,11005545000.0,3.0,671694000.0,1.0,179927625.0,0.375,671694000.0,179927625.0,11005545000.0,10888062933.333334,4.0,221658866.6666667,11005545000.0,3.0,671694000.0,1.0,671694000.0,11005545000.0,2.745,2.745,15.432747,12.660959,15.0862735,1.9471859,15.0862735,9.962,9.9637154,1010638046.3762298,1010290000.0,570976400.0,1010290000.0,0.1831,1.11514,12.3834375,5.2095363,27.4725,2.1702588,0.9618599,0.10103,26.28,21.56,331,0.065136,7.08675,21468700,671694016,31.2871304,4500,10071443456,7143280640,149265.3368889,2.967,0.192,0.4544161,0.0634258,0.4544161,0.0634258,2.338854,15.5433124,0.1598564,4.2482052,6.4502843,6.4502843,422441533.3333333,1.0,687189000.0,1.0,23.8410352,14.6560021,14.6560021,13.3279277,1.0,4.1732639,1.0,4.1732639,2.0438568,USD,USD,1.0,1.0,0,0,0,0,331,321.78,744.56,600.9504,-44.9205791,2.8653117,-55.544214,0.0436161,0.0446161,2.1938667,2.0,1.24478,1.0,0.0468591,0.3333333,0.1006767,1.0,16.3584091,1.0,25.5916343,2.0,0.8031129,1.0,3.8017052,2.0,1.25478,0.1106767,25.6016343,3.8117052,2.5332426,5273090933.333333,2.0,6660175500.0,1.5,6660175500.0,237739733.3333333,1.0,1292375400.0,1.5,1292375400.0,0.2008523,0.619736,-197111133.3333333,986788000.0,986788000.0,2398805733.3333335,1.0,5367800100.0,1.5,5367800100.0,1.7796825,None
BLDR,"Builders FirstSource, Inc.",Industrials,United States,11232.0338376, ,8005097800.0,1.0,256313000.0,179752633.3333333,0.5,17789807000.0,1.0,2845748000.0,2.0,5695077000.0,1.5,2845748000.0,5695077000.0,17789807000.0,8005097800.0,1.0,256313000.0,17789807000.0,1.0,2845748000.0,2.0,2845748000.0,17789807000.0,0.95,0.95,9.195987,10.82362,9.3994411,0.7596611,9.3994411,6.942,6.9425942,2434786491.025641,2434369700.0,570972000.0,2434369700.0,0.07998,2.6217665,75.703125,0.8252841,8.9375,1.1766769,0.93706,0.01576,6.52,7.674,67.92,0.1129859,2.5079072,191500992,1422873984,7.4301129,26000,16905181184,13514224640,54725.9224615,6.135,1.4,0.8724535,0.0979327,0.8724535,0.0979327,4.8193634,22.2030485,1.0744832,10.615728,1.9503491,1.9503491,322727200.0,1.0,504069000.0,0.5,52.3822634,33.5374347,33.5374347,3.169673,1.0,1.0528614,1.0,1.0528614,1.0270903,USD,USD,1.0,1.0,0,0,0,0,67.92,39.24,86.48,59.39875,14.3458406,73.088685,-21.4616096,1.2142252,3.2047601,4.0134918,3.0,2.0181715,1.0,0.7721605,1.0,0.4199512,0.5,0.0649506,0.1666667,0.0599483,1.0,1.8947407,1.0,2.0854539,1.0,2.0281715,0.4299512,0.0699483,2.0954539,2.0618127,3683871333.3333335,1.0,15191024300.0,1.5,15191024300.0,1878794800.0,2.0,7723790100.0,1.5,7723790100.0,0.2873309,0.4684393,867692933.3333334,2186769933.3333335,2186769933.3333335,2744473933.3333335,1.0,7467234200.0,1.5,7467234200.0,1.8664059,None
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,United States,26455.3365267, ,48219413333.333336,4.0,5688746666.666667,28710973333.333332,2.0,16071700000.0,1.0,8075300000.0,1.0,94234350000.0,1.5,8075300000.0,94234350000.0,16071700000.0,48219413333.333336,4.0,5688746666.666667,16071700000.0,1.0,8075300000.0,1.0,8075300000.0,16071700000.0,3.922,3.922,9.83175,12.857979,10.2100286,4.113503,10.2100286,6.828,6.8279478,9232858767.428236,9233000000.0,6442453333.333333,9233000000.0,0.50245,17.6018711,36.9075,1.308858,2.75,6.4720597,0.86867,0.02961,47.81,62.526,618.59,0.1010783,3.7593718,105720000,8075299840,76.3838426,10368,63040995328,66110984192,778867.654321,0.94,1.044,0.9115326,0.6330958,0.9115326,0.6330958,0.9328831,9.9085876,0.941274,9.9519274,10.9445955,10.9445955,9890386666.666666,2.0,7081300000.0,1.0,6.3739667,8.9024608,8.9024608,0.2026079,0.5,0.1884117,0.5,0.1884117,0.4350641,USD,USD,1.0,1.0,0,0,0,0,618.59,451.6,686.62,604.2349,2.3757482,36.9774136,-9.9079549,1.4210705,8.2355732,3.5747093,1.0,7.3484171,2.0,0.0,1.0,0.0,1.0,2.6091732,2.0,0.6647925,0.5,1.2181351,0.3333333,7.1487574,2.0,7.3584171,0.01,0.6747925,7.1587574,7.2585873,41796866666.666664,2.0,35890840000.0,1.5,35890840000.0,15012553333.333334,1.0,26141400000.0,1.5,26141400000.0,0.3249961,0.4089085,8345053333.333333,9796620000.0,9796620000.0,11771760000.0,2.0,9749440000.0,1.5,9749440000.0,3.0608296,None
SLVM,Sylvamo Corporation,Basic Materials,United States,30853.6278535, ,863892857.1428572,0.25,264714285.7142857,0,1.0,3268000000.0,1.0,320000000.0,1.0,0,1.0,320000000.0,0,3268000000.0,863892857.1428572,0.25,264714285.7142857,3268000000.0,1.0,320000000.0,1.0,320000000.0,3268000000.0,0.859,0.859,4.1938467,5.001575,4.2948127,0.421159,4.2948127,5.164,5.1756268,550478810.224632,548000000.0,506000000.0,548000000.0,0.10042,0.0039048,0.059375,0.2813114,2.75,0.1295454,0.24099,0.20704,6.35,7.573,30.37,0.2493579,5.286285,44105000,334000000,7.5728375,7000,2855473152,1400774784,47714.2857143,0.804,0.23,-0.3994606,-0.1755435,-0.3994606,-0.1755435,0.5031348,7.3431999,0.1286141,3.8362813,8.5361068,8.5361068,219500000.0,0.5,452000000.0,1.0,13.0089893,6.3174185,6.3174185,0.189209,0.5,5.4852618,1.0,5.4852618,2.3430636,USD,USD,1.0,1.0,0,0,0,0,30.37,23.1,40.04,30.508797,-0.4549409,31.4718615,-24.1508492,0.8583235,0.8593235,10.9277415,3.0,2.247751,1.0,0.177304,0.3333333,0.5571011,1.0,14.4536765,12.0,1.3751123,1.0,0.7743412,0.3333333,1.7836409,1.0,2.257751,0.5671011,1.3851123,1.7936409,2.0256959,1548666666.6666667,0.5,2896428571.428571,1.0,2896428571.428571,1123500000.0,0.5,1130285714.2857144,1.0,1130285714.2857144,0.2104809,0.3831143,690333333.3333334,465571428.5714286,465571428.5714286,425166666.6666667,0.5,1766142857.142857,1.0,1766142857.142857,1.2121145,None
ON,ON Semiconductor Corporation,Technology,United States,50899.0870312, ,6123500000.0,1.0,670960000.0,3806000000.0,2.0,14993100000.0,3.0,1399800000.0,2.0,11488800000.0,1.5,1399800000.0,11488800000.0,14993100000.0,6123500000.0,1.0,670960000.0,20219400000.0,3.0,2019200000.0,2.0,2019200000.0,20219400000.0,3.722,3.722,36.41645,17.113497,34.0035809,3.5663118,4.8576544,12.658,12.6580579,1981818117.8701217,1981800000.0,1587733333.3333333,1981800000.0,0.1498,0.5901322,4.75,34.5528494,200.8926563,11.7652605,0.97732,0.01133,3.26,1.532,53.52,0.0286248,5.8284583,430833984,1009600000,2.343362,30000,25086083072,24036229120,33653.3333333,3.785,0.276,1.8276244,0.1390857,1.8276244,0.1390857,3.2956561,18.403942,0.2417714,5.1670257,10.3176969,10.3176969,1363786666.6666667,1.0,1782000000.0,1.0,18.3944334,14.0774877,14.0774877,2.5350398,2.0,1.1544777,1.0,1.1544777,1.0754662,USD,USD,1.0,1.0,0,0,0,0,53.52,34.01,71.26,50.57515,5.8227212,57.3654807,-24.8947516,1.0475168,1.321192,3.6201104,2.0,3.7483856,2.0,1.6340692,2.0,0.94714,1.0,0.8469029,0.5,1.8521191,1.0,2.1790057,1.0,4.7961004,2.0,3.7583856,0.95714,1.8621191,4.8061004,4.282243,18149146666.666668,2.0,9239333333.333334,1.0,9239333333.333334,8081626666.666667,2.0,6437640000.0,1.5,6437640000.0,0.3185439,0.4136553,1869713333.3333333,2113573333.3333333,2113573333.3333333,5013913333.333333,1.0,4927920000.0,1.0,4927920000.0,2.6967553,None
QRVO,"Qorvo, Inc.",Technology,United States,59935.7879217, ,14462188266.666666,4.0,495476666.6666667,22790785.7142857,0.5,4533163000.0,1.0,1104587000.0,1.0,2248620000.0,1.5,1104587000.0,2248620000.0,4533163000.0,14462188266.666666,4.0,495476666.6666667,4533163000.0,1.0,1104587000.0,1.0,1104587000.0,4533163000.0,4.032,4.032,13.374067,9.820533,12.9298753,3.1400146,1.847125,10.907,10.9104952,1674753372.3296967,1673680000.0,1182961533.3333333,1673680000.0,0.24367,1.9672501,12.3834375,0.6973659,2.75,0.9704287,0.86252,0.00478,13.15,9.656,123.68,0.0780724,3.0172899,110223000,1104587008,10.021384,8400,18278242304,14234198016,131498.4533333,1.331,0.184,1.2571347,0.1562958,1.2571347,0.1562958,1.3125337,11.7065862,0.177074,4.4580156,9.8510808,9.8510808,1111377066.6666667,1.0,928668000.0,0.6666667,16.4464814,19.682214,19.682214,0.5062236,1.0,0.5840794,1.0,0.5840794,0.7652509,USD,USD,1.0,1.0,0,0,0,0,123.68,122.88,201.68,166.3781,-25.6632934,0.6510417,-38.6751289,0.0203046,0.0213046,3.0568509,1.0,2.7140737,1.0,0.5238197,1.0,0.962042,2.0,5.6916615,6.0,2.8747076,2.0,3.5741759,1.0,0.7848746,0.25,2.7240737,0.972042,2.8847076,0.7948746,1.7594741,6800803666.666667,1.0,11118340200.0,1.5,11118340200.0,4513398800.0,1.0,7017815900.0,1.5,7017815900.0,0.1993482,0.2573975,1528317333.3333333,1673632600.0,1673632600.0,2287404866.6666665,1.0,4100524300.0,1.5,4100524300.0,1.857784,None
