Symbol,Name,Sector,Value,Close,MA,Grade
LEN.B,Lennar Corporation,Consumer Cyclical,-1.35059,76.74, ,224.7399
DHI,D.R. Horton  Inc.,Consumer Cyclical,-1.10722,85.03, ,130.0647
LEN,Lennar Corporation,Consumer Cyclical,-0.72379,91.98, ,104.7592
CI,Cigna Corporation,Healthcare,-0.55725,230.27, ,83.0412
STLD,Steel Dynamics  Inc.,Basic Materials,-1.24195,61.34, ,82.1231
LYB,LyondellBasell Industries NV,Basic Materials,-1.18751,102.09, ,73.4805
WLK,Westlake Chemical Corporation,Basic Materials,-1.4498,103.21,r+,60.1542
TOL,Toll Brothers  Inc.,Consumer Cyclical,-0.75947,54.81, ,49.837
FOX,Fox Corporation,Communication Services,-0.85067,40.05, ,48.0399
JEF,Jefferies Financial Group Inc.,Financial Services,-0.46181,38.05, ,41.69
VIACA,ViacomCBS Inc.,Communication Services,-1.17847,39.04, ,36.6963
BEN,Franklin Resources  Inc.,Financial Services,-1.0041,31.39, ,34.9149
INTC,Intel Corporation,Technology,-0.59116,48.86, ,34.8649
VMW,Vmware  Inc.,Technology,-0.78246,133.77, ,34.5722
IP,International Paper Company,Consumer Cyclical,-0.91115,46.61, ,29.7849
NUE,Nucor Corporation,Basic Materials,-1.155,121.59, ,29.3102
UHS,Universal Health Services  Inc.,Healthcare,-0.70714,133.57, ,28.7322
WDC,Western Digital Corporation,Technology,-0.67101,54.09, ,28.0597
THO,Thor Industries  Inc.,Consumer Cyclical,-1.09949,95.7, ,26.7362
SEB,Seaboard Corporation,Industrials,-1.56514,3985.01, ,26.4244
EBAY,eBay Inc.,Consumer Cyclical,-1.10624,58.81, ,22.5113
GM,General Motors Company,Consumer Cyclical,-0.29882,50.34, ,22.1231
DOW,Dow Inc.,Basic Materials,-0.77087,60.95, ,21.9772
TSN,Tyson Foods  Inc.,Consumer Defensive,-0.24373,97.88,r+,21.3212
FDX,FedEx Corporation,Industrials,-0.6643,240.41, ,21.2721
AFL,AFLAC Incorporated,Financial Services,0.36693,65.55,r+,21.2184
WBA,Walgreens Boots Alliance  Inc.,Healthcare,-0.83937,49.22, ,20.6043
BBY,Best Buy Co.  Inc.,Consumer Cyclical,-0.80863,100.47, ,20.5994
GS,Goldman Sachs Group  Inc. (The),Financial Services,0.0956,370.57, ,18.4201
UHAL,Amerco,Industrials,-1.00718,596.2, ,17.4725
MS,Morgan Stanley,Financial Services,0.66558,107.57,r+,17.3805
QDEL,Quidel Corporation,Healthcare,-1.47866,95.34, ,16.752
FOXA,Fox Corporation,Communication Services,-0.36148,44.0, ,15.6239
GRMN,Garmin Ltd.,Technology,-0.87016,124.21, ,15.1446
HPE,Hewlett Packard Enterprise Comp,Technology,0.07042,17.35,r+,14.5658
IVZ,Invesco Ltd,Financial Services,-0.56185,23.4, ,14.3381
LAD,Lithia Motors  Inc.,Consumer Cyclical,-0.78367,311.28, ,14.2488
AFG,American Financial Group  Inc.,Financial Services,-0.31743,136.72, ,13.7336
VIAC,ViacomCBS Inc.,Communication Services,-0.35978,35.88, ,12.9954
JBL,Jabil Inc.,Technology,-0.65919,61.93, ,12.9349
REGN,Regeneron Pharmaceuticals  Inc.,Healthcare,-0.75883,618.22, ,11.6481
MU,Micron Technology  Inc.,Technology,-0.62204,91.02, ,11.6304
PGR,Progressive Corporation (The),Financial Services,0.15626,106.51, ,11.4538
TRV,The Travelers Companies  Inc.,Financial Services,0.44433,172.43,r+,11.4055
IPGP,IPG Photonics Corporation,Technology,-1.02625,155.56, ,11.1792
HUN,Huntsman Corporation,Basic Materials,-0.38373,36.84,r+,10.943
BLDR,Builders FirstSource  Inc.,Industrials,-0.93019,69.03, ,10.836
KKR,KKR & Co. Inc.,Financial Services,0.08685,66.0, ,10.7247
SC,Santander Consumer USA Holdings,Financial Services,-0.16995,41.59, ,10.7063
CACI,CACI International  Inc.,Technology,-0.48718,254.2, ,10.5736
MET,MetLife  Inc.,Financial Services,0.12462,70.5,r+,10.5384
COF,Capital One Financial Corporati,Financial Services,0.21397,156.91, ,10.5175
DISH,DISH Network Corporation,Communication Services,-0.47495,31.93, ,10.2308
TMUS,T-Mobile US  Inc.,Communication Services,-0.69098,125.13, ,10.2299
SEIC,SEI Investments Company,Financial Services,-1.47569,59.83, ,9.8524
C,Citigroup  Inc.,Financial Services,0.14278,67.5, ,9.4528
CTSH,Cognizant Technology Solutions ,Technology,-0.82376,90.25,r+,9.0554
BIO,Bio-Rad Laboratories  Inc.,Healthcare,-0.87318,625.17, ,8.9622
FNF,FNF Group of Fidelity National ,Financial Services,-0.31231,49.3, ,8.7996
RS,Reliance Steel & Aluminum Co.,Basic Materials,-0.90793,160.87, ,8.7921
MHK,Mohawk Industries  Inc.,Consumer Cyclical,-0.84258,152.1, ,8.5258
NEU,NewMarket Corp,Basic Materials,-0.83584,304.73, ,8.5144
SSNC,SS&C Technologies Holdings  Inc,Technology,-0.1843,80.49, ,8.1222
ACI,Albertsons Companies  Inc.,Consumer Defensive,-0.64135,28.56, ,8.1066
VZ,Verizon Communications Inc.,Communication Services,-0.36803,53.04, ,8.0445
SLGN,Silgan Holdings Inc.,Consumer Cyclical,-0.75941,43.1, ,8.0303
PFE,Pfizer  Inc.,Healthcare,-0.72173,50.6, ,7.9296
ACGL,Arch Capital Group Ltd.,Financial Services,0.04987,47.39, ,7.7242
CB,Chubb Limited,Financial Services,0.55905,208.6,r+,7.5915
NTES,NetEase  Inc.,Communication Services,-0.79883,103.3, ,7.5879
DGX,Quest Diagnostics Incorporated,Healthcare,-0.66466,133.71, ,7.3314
SCCO,Southern Copper Corporation,Basic Materials,-1.54824,67.2,r+,7.2517
OMF,OneMain Holdings  Inc.,Financial Services,-0.70212,52.61, ,7.1316
BK,The Bank of New York Mellon Cor,Financial Services,1.02854,63.47,r+,7.0326
JD,JD.com  Inc.,Consumer Cyclical,-0.58136,76.4, ,6.4752
BRK.B,Berkshire Hathaway Inc. New,Financial Services,1.43337,319.85, ,6.2856
NVR,NVR  Inc.,Consumer Cyclical,-1.09438,5166.47, ,6.0379
AM,Antero Midstream Corporation,Energy,-1.41562,9.97, ,6.0302
PHM,PulteGroup  Inc.,Consumer Cyclical,-0.72343,48.54, ,5.995
DOX,Amdocs Limited,Technology,-0.48986,79.63, ,5.9712
TEL,TE Connectivity Ltd. New Switze,Technology,-0.65925,147.38, ,5.8971
WMT,Walmart Inc.,Consumer Defensive,-1.00935,136.08, ,5.7034
