Symbol,Name,Sector,Value,Close,MA,Grade
NUE,Nucor Corporation,Basic Materials,0.00641,149.52,r+,1.3403
CTSH,Cognizant Technology Solutions ,Technology,0.18634,90.02, ,0.9519
BRK.B,Berkshire Hathaway Inc. New,Financial Services,0.20575,345.43, ,0.8853
XOM,Exxon Mobil Corporation,Energy,0.03441,83.16,r+,0.6476
TGT,Target Corporation,Consumer Defensive,0.05148,214.41, ,0.6106
MRNA,Moderna  Inc.,Healthcare,0.0144,172.54, ,0.5813
QCOM,QUALCOMM Incorporated,Technology,0.02072,153.81, ,0.5586
NXPI,NXP Semiconductors N.V.,Technology,0.04947,182.61, ,0.5247
STLD,Steel Dynamics  Inc.,Basic Materials,0.00326,83.6,r+,0.5099
APH,Amphenol Corporation,Technology,0.05824,74.39, ,0.5021
STX,Seagate Technology Holdings PLC,Technology,0.00392,90.97, ,0.5012
TSN,Tyson Foods  Inc.,Consumer Defensive,0.48168,89.85, ,0.4895
LEN.B,Lennar Corporation,Consumer Cyclical,0.00558,69.83, ,0.4859
RS,Reliance Steel & Aluminum Co.,Basic Materials,0.00702,182.2, ,0.4685
ACN,Accenture plc,Technology,0.12987,344.47, ,0.4628
LYB,LyondellBasell Industries NV,Basic Materials,0.51611,102.52, ,0.4628
LEN,Lennar Corporation,Consumer Cyclical,0.00726,82.31, ,0.4598
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.00727,94.34, ,0.4511
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.00839,76.66, ,0.4424
TROW,T. Rowe Price Group  Inc.,Financial Services,0.13427,155.76, ,0.4411
TRV,The Travelers Companies  Inc.,Financial Services,0.38198,181.82,r+,0.4392
JLL,Jones Lang LaSalle Incorporated,Real Estate,0.01978,238.48, ,0.426
CDW,CDW Corporation,Technology,0.02718,178.83, ,0.4037
DGX,Quest Diagnostics Incorporated,Healthcare,0.03218,133.88, ,0.3945
LAD,Lithia Motors  Inc.,Consumer Cyclical,0.07515,301.12, ,0.3649
WLK,Westlake Corporation,Basic Materials,0.11566,121.46,r+,0.3457
NTES,NetEase  Inc.,Communication Services,1.05088,98.07, ,0.3438
BLDR,Builders FirstSource  Inc.,Industrials,0.12143,64.92, ,0.337
LDOS,Leidos Holdings  Inc.,Technology,0.14498,107.23,r+,0.3202
HD,Home Depot  Inc. (The),Consumer Cyclical,1.9246,305.58, ,0.2873
UHS,Universal Health Services  Inc.,Healthcare,0.30567,140.1, ,0.2764
AMAT,Applied Materials  Inc.,Technology,2.82827,129.44, ,0.2574
GD,General Dynamics Corporation,Industrials,2.43262,239.23,r+,0.2499
LKQ,LKQ Corporation,Consumer Cyclical,0.577,45.38, ,0.2366
EOG,EOG Resources  Inc.,Energy,0.07813,120.83, ,0.2305
URI,United Rentals  Inc.,Industrials,0.12146,349.9, ,0.2225
CHTR,Charter Communications  Inc.,Communication Services,0.13393,562.0, ,0.2147
UNH,UnitedHealth Group Incorporated,Healthcare,0.29835,510.02,r+,0.2146
KR,Kroger Company (The),Consumer Defensive,0.57395,57.44,r+,0.2141
IVZ,Invesco Ltd,Financial Services,0.86663,23.2, ,0.2134
ACI,Albertsons Companies  Inc.,Consumer Defensive,0.04137,33.87, ,0.2042
CI,Cigna Corporation,Healthcare,1.00194,242.26,r+,0.2029
BEN,Franklin Resources  Inc.,Financial Services,1.05079,28.02, ,0.1995
NVR,NVR  Inc.,Consumer Cyclical,0.05552,4548.42, ,0.1976
ON,ON Semiconductor Corporation,Technology,0.03374,59.59, ,0.1965
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,0.21865,38.36, ,0.1951
ARW,Arrow Electronics  Inc.,Technology,0.00025,118.23, ,0.1913
