Symbol,Name,Sector,Value,Close,MA,Grade
JBL,Jabil Inc.,Technology,0.00089,58.09, ,0.2016
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.00388,70.76, ,0.1991
STLD,Steel Dynamics  Inc.,Basic Materials,0.00413,83.63, ,0.1966
STX,Seagate Technology Holdings PLC,Technology,0.00463,82.45, ,0.1942
TOL,Toll Brothers  Inc.,Consumer Cyclical,0.00507,46.98, ,0.1917
LEN.B,Lennar Corporation,Consumer Cyclical,0.00674,66.37, ,0.1892
LEN,Lennar Corporation,Consumer Cyclical,0.00903,77.88, ,0.1868
NUE,Nucor Corporation,Basic Materials,0.01027,149.99, ,0.1843
IP,International Paper Company,Consumer Cyclical,0.01061,46.55, ,0.1818
HPE,Hewlett Packard Enterprise Comp,Technology,0.01064,15.38, ,0.1794
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.01147,93.81, ,0.1769
RS,Reliance Steel & Aluminum Co.,Basic Materials,0.01189,197.82,r+,0.1745
DOX,Amdocs Limited,Technology,0.01585,79.15, ,0.172
WLK,Westlake Corporation,Basic Materials,0.02032,127.22,r+,0.1687
XOM,Exxon Mobil Corporation,Energy,0.02064,86.41,r+,0.1662
THO,Thor Industries  Inc.,Consumer Cyclical,0.02453,80.41, ,0.1629
CDW,CDW Corporation,Technology,0.02914,164.13, ,0.1604
CNXC,Concentrix Corporation,Technology,0.02987,155.4, ,0.158
TPX,Tempur Sealy International  Inc,Consumer Cyclical,0.0328,28.03, ,0.1555
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,0.04261,137.78, ,0.1519
TSN,Tyson Foods  Inc.,Consumer Defensive,0.09224,92.9, ,0.1425
AIZ,Assurant  Inc.,Financial Services,0.10062,180.84, ,0.1378
SNDR,Schneider National  Inc.,Industrials,0.11628,24.32, ,0.1354
LAD,Lithia Motors  Inc.,Consumer Cyclical,0.13153,291.16, ,0.1312
CI,Cigna Corporation,Healthcare,0.13513,246.11, ,0.1287
CTSH,Cognizant Technology Solutions ,Technology,0.1815,80.67, ,0.1231
UHS,Universal Health Services  Inc.,Healthcare,0.25861,122.24, ,0.1196
WRB,W.R. Berkley Corporation,Financial Services,0.26881,66.19, ,0.1163
BRK.B,Berkshire Hathaway Inc. New,Financial Services,0.34449,318.19, ,0.1113
SF,Stifel Financial Corporation,Financial Services,0.37522,63.47, ,0.1056
WU,Western Union Company (The),Financial Services,0.38337,17.43, ,0.1031
TRV,The Travelers Companies  Inc.,Financial Services,0.45707,170.09, ,0.0982
OMC,Omnicom Group Inc.,Communication Services,0.54536,76.79, ,0.0936
IVZ,Invesco Ltd,Financial Services,0.69269,18.8, ,0.0887
SLM,SLM Corporation,Financial Services,0.01602,16.93, ,0.0876
QCOM,QUALCOMM Incorporated,Technology,0.02188,145.27, ,0.0851
ACI,Albertsons Companies  Inc.,Consumer Defensive,0.04253,31.0, ,0.0838
FBHS,Fortune Brands Home & Security ,Consumer Cyclical,0.0715,71.19, ,0.0809
FTDR,frontdoor  inc.,Consumer Cyclical,0.08263,31.9, ,0.0797
BEN,Franklin Resources  Inc.,Financial Services,0.99593,25.33, ,0.0797
ON,ON Semiconductor Corporation,Technology,0.04614,55.62, ,0.0792
