Symbol,Name,Sector,Value,Close,MA,Grade
THO,Thor Industries  Inc.,Consumer Cyclical,0.0297,80.41, ,0.2011
JBL,Jabil Inc.,Technology,0.03089,58.09, ,0.1985
BBY,Best Buy Co.  Inc.,Consumer Cyclical,0.03291,93.81, ,0.1961
LAD,Lithia Motors  Inc.,Consumer Cyclical,0.03679,291.16, ,0.1927
TOL,Toll Brothers  Inc.,Consumer Cyclical,0.05041,46.98, ,0.1885
UHS,Universal Health Services  Inc.,Healthcare,0.06223,122.24, ,0.1829
LEN.B,Lennar Corporation,Consumer Cyclical,0.0631,66.37, ,0.1804
IP,International Paper Company,Consumer Cyclical,0.06751,46.55, ,0.1757
LEN,Lennar Corporation,Consumer Cyclical,0.06751,77.88, ,0.1732
DHI,D.R. Horton  Inc.,Consumer Cyclical,0.06825,70.76, ,0.1708
HPE,Hewlett Packard Enterprise Comp,Technology,0.06974,15.38, ,0.1682
SNDR,Schneider National  Inc.,Industrials,0.07514,24.32, ,0.1648
CDW,CDW Corporation,Technology,0.08067,164.13, ,0.1602
WSM,Williams-Sonoma  Inc.,Consumer Cyclical,0.08217,137.78, ,0.156
TPX,Tempur Sealy International  Inc,Consumer Cyclical,0.08474,28.03, ,0.1528
OMC,Omnicom Group Inc.,Communication Services,0.08843,76.79, ,0.1493
SF,Stifel Financial Corporation,Financial Services,0.09504,63.47, ,0.1416
WU,Western Union Company (The),Financial Services,0.09954,17.43, ,0.137
BEN,Franklin Resources  Inc.,Financial Services,0.10081,25.33, ,0.1343
IVZ,Invesco Ltd,Financial Services,0.10173,18.8, ,0.1317
CNXC,Concentrix Corporation,Technology,0.10533,155.4, ,0.1278
STX,Seagate Technology Holdings PLC,Technology,0.1133,82.45, ,0.1195
TRV,The Travelers Companies  Inc.,Financial Services,0.11578,170.09, ,0.1153
CI,Cigna Corporation,Healthcare,0.12425,246.11, ,0.1102
BRK.B,Berkshire Hathaway Inc. New,Financial Services,0.13548,318.19, ,0.1009
NUE,Nucor Corporation,Basic Materials,0.13686,149.99, ,0.0964
CE,Celanese Corporation Celanese C,Basic Materials,0.1386,145.95, ,0.0932
LSTR,Landstar System  Inc.,Industrials,0.06345,152.3, ,0.0923
STLD,Steel Dynamics  Inc.,Basic Materials,0.14158,83.63, ,0.0892
QDEL,Quidel Corporation,Healthcare,0.14229,101.2, ,0.0858
EXPD,Expeditors International of Was,Industrials,0.08163,100.01, ,0.0836
RGA,Reinsurance Group of America  I,Financial Services,0.0367,106.17, ,0.0833
LNC,Lincoln National Corporation,Financial Services,0.04214,61.12, ,0.0822
TGT,Target Corporation,Consumer Defensive,0.08822,229.78, ,0.0801
PII,Polaris Inc.,Consumer Cyclical,0.05426,97.11, ,0.0791
SAIC,SCIENCE APPLICATIONS INTERNATIO,Technology,0.05578,83.05, ,0.0785
BERY,Berry Global Group  Inc.,Consumer Cyclical,0.0573,56.94, ,0.078
CTSH,Cognizant Technology Solutions ,Technology,0.16339,80.67, ,0.0777
CCK,Crown Holdings  Inc.,Consumer Cyclical,0.09233,110.29, ,0.0776
ACI,Albertsons Companies  Inc.,Consumer Defensive,0.0924,31.0, ,0.0767
PHM,PulteGroup  Inc.,Consumer Cyclical,0.0644,42.44, ,0.0756
FBHS,Fortune Brands Home & Security ,Consumer Cyclical,0.09475,71.19, ,0.0753
BLDR,Builders FirstSource  Inc.,Industrials,0.06604,63.28, ,0.075
CNA,CNA Financial Corporation,Financial Services,0.07762,44.88, ,0.0701
ALL,Allstate Corporation (The),Financial Services,0.07842,127.73, ,0.0695
RJF,Raymond James Financial  Inc.,Financial Services,0.10595,98.43, ,0.0681
CACI,CACI International  Inc.,Technology,0.08172,266.18, ,0.0674
JBHT,J.B. Hunt Transport Services  I,Industrials,0.10692,170.13, ,0.0672
VZ,Verizon Communications Inc.,Communication Services,0.12554,46.23, ,0.0671
SEB,Seaboard Corporation,Industrials,0.08355,4080.02, ,0.0661
OLLI,Ollie's Bargain Outlet Holdings,Consumer Defensive,0.11025,50.42, ,0.0655
HUN,Huntsman Corporation,Basic Materials,0.08909,33.55, ,0.0638
AIZ,Assurant  Inc.,Financial Services,0.21249,180.84, ,0.0631
TPR,Tapestry  Inc.,Consumer Cyclical,0.09126,33.6, ,0.063
WSO,Watsco  Inc.,Industrials,0.11438,266.39, ,0.0629
DVA,DaVita Inc.,Healthcare,0.09368,107.21, ,0.0617
NVR,NVR  Inc.,Consumer Cyclical,0.1172,4432.65, ,0.0607
HIG,Hartford Financial Services Gro,Financial Services,0.09518,70.1, ,0.0603
SWK,Stanley Black & Decker  Inc.,Industrials,0.09675,122.81, ,0.0597
FTDR,frontdoor  inc.,Consumer Cyclical,0.12107,31.9, ,0.0593
RE,Everest Re Group  Ltd.,Financial Services,0.09711,277.43, ,0.0591
TSN,Tyson Foods  Inc.,Consumer Defensive,0.21945,92.9, ,0.0586
RHI,Robert Half International Inc.,Industrials,0.12534,97.96, ,0.0573
LH,Laboratory Corporation of Ameri,Healthcare,0.10227,243.01, ,0.0561
AMED,Amedisys Inc,Healthcare,0.12653,126.88, ,0.0556
FOX,Fox Corporation,Communication Services,0.10455,33.86, ,0.0555
TSCO,Tractor Supply Company,Consumer Cyclical,0.1316,206.32, ,0.0541
FOXA,Fox Corporation,Communication Services,0.10748,36.57, ,0.0535
DOX,Amdocs Limited,Technology,0.23018,79.15, ,0.0533
DGX,Quest Diagnostics Incorporated,Healthcare,0.10818,132.42, ,0.053
VNT,Vontier Corporation,Technology,0.10835,25.62, ,0.0524
SLM,SLM Corporation,Financial Services,0.17666,16.93, ,0.0518
BAH,Booz Allen Hamilton Holding Cor,Industrials,0.13612,82.45, ,0.0514
LPX,Louisiana-Pacific Corporation,Industrials,0.11135,66.06, ,0.0514
JHG,Janus Henderson Group plc,Financial Services,0.1145,30.79, ,0.0495
STT,State Street Corporation,Financial Services,0.12925,68.58, ,0.0448
WTW,Willis Towers Watson Public Lim,Financial Services,0.21507,211.48, ,0.0441
AFG,American Financial Group  Inc.,Financial Services,0.13167,138.66, ,0.0438
NTES,NetEase  Inc.,Communication Services,0.04873,94.29, ,0.0436
GL,Globe Life Inc.,Financial Services,0.15501,98.1, ,0.0433
BK,The Bank of New York Mellon Cor,Financial Services,0.13385,42.7, ,0.0433
MKSI,MKS Instruments  Inc.,Technology,0.13554,118.5, ,0.0421
TFC,Truist Financial Corporation,Financial Services,0.22166,48.94, ,0.0418
KMX,CarMax Inc,Consumer Cyclical,0.05232,91.14, ,0.0408
MTZ,MasTec  Inc.,Industrials,0.05406,72.75, ,0.0405
AN,AutoNation  Inc.,Consumer Cyclical,0.13699,119.74, ,0.0402
ACN,Accenture plc,Technology,0.23556,304.6, ,0.0388
PACW,PacWest Bancorp,Financial Services,0.14044,33.4, ,0.0387
CINF,Cincinnati Financial Corporatio,Financial Services,0.14135,120.75, ,0.0381
TROW,T. Rowe Price Group  Inc.,Financial Services,0.23825,125.28, ,0.0377
SEE,Sealed Air Corporation,Consumer Cyclical,0.17932,64.35, ,0.0375
CASY,Caseys General Stores  Inc.,Consumer Defensive,0.07379,201.8, ,0.0373
MDU,MDU Resources Group  Inc.,Industrials,0.07463,25.72, ,0.0371
HSIC,Henry Schein  Inc.,Healthcare,0.07538,80.45, ,0.0367
FCNCA,First Citizens BancShares  Inc.,Financial Services,0.23958,649.46, ,0.0366
CFG,Citizens Financial Group  Inc.,Financial Services,0.14415,39.4, ,0.0357
DG,Dollar General Corporation,Consumer Defensive,0.19045,236.17, ,0.0356
GRMN,Garmin Ltd.,Technology,0.2487,111.81, ,0.0348
AAP,Advance Auto Parts Inc.,Consumer Cyclical,0.0887,200.49, ,0.0335
BAC,Bank of America Corporation,Financial Services,0.1574,36.14, ,0.0333
SSNC,SS&C Technologies Holdings  Inc,Technology,0.2546,64.74, ,0.033
QRTEA,Liberty Interactive Corporation,Consumer Cyclical,0.02408,4.37, ,0.0327
SNX,TD SYNNEX Corporation,Technology,0.02555,100.4, ,0.0325
TXT,Textron Inc.,Industrials,0.09306,70.07, ,0.0322
ARW,Arrow Electronics  Inc.,Technology,0.02998,119.99, ,0.0322
ON,ON Semiconductor Corporation,Technology,0.25679,55.62, ,0.0321
FL,Foot Locker  Inc.,Consumer Cyclical,0.0331,29.77, ,0.0317
DELL,Dell Technologies Inc.,Technology,0.03375,47.5, ,0.0316
FTV,Fortive Corporation,Technology,0.25896,58.77, ,0.031
WHR,Whirlpool Corporation,Consumer Cyclical,0.04277,185.27, ,0.0309
TTC,Toro Company (The),Industrials,0.14172,80.84, ,0.0308
MCY,Mercury General Corporation,Financial Services,0.04511,50.93, ,0.0307
NRG,NRG Energy  Inc.,Utilities,0.04693,36.84, ,0.0306
VVV,Valvoline Inc.,Energy,0.14196,30.02, ,0.0305
WRB,W.R. Berkley Corporation,Financial Services,0.31413,66.19, ,0.0305
GM,General Motors Company,Consumer Cyclical,0.04918,38.45, ,0.0304
WTFC,Wintrust Financial Corporation,Financial Services,0.17131,88.16, ,0.0302
BWA,BorgWarner Inc.,Consumer Cyclical,0.05035,37.33, ,0.0302
RH,RH,Consumer Cyclical,0.14219,347.83, ,0.0302
APH,Amphenol Corporation,Technology,0.26037,71.59, ,0.03
ORI,Old Republic International Corp,Financial Services,0.05056,21.84, ,0.0299
FNF,FNF Group of Fidelity National ,Financial Services,0.05223,39.88, ,0.0298
LYB,LyondellBasell Industries NV,Basic Materials,0.17396,108.01,r+,0.0296
FAF,First American Corporation (New,Financial Services,0.05319,58.84, ,0.0295
PNR,Pentair plc.,Industrials,0.14845,51.57, ,0.0294
X,United States Steel Corporation,Basic Materials,0.05336,29.81, ,0.0294
DKS,Dick's Sporting Goods Inc,Consumer Cyclical,0.0576,99.73, ,0.0287
PRU,Prudential Financial  Inc.,Financial Services,0.05886,108.41, ,0.0285
ALLY,Ally Financial Inc.,Financial Services,0.12867,40.6, ,0.0285
BWXT,BWX Technologies  Inc.,Industrials,0.15737,50.76, ,0.0284
COF,Capital One Financial Corporati,Financial Services,0.12877,126.64, ,0.0283
PFE,Pfizer  Inc.,Healthcare,0.26703,48.34, ,0.0283
GD,General Dynamics Corporation,Industrials,0.22969,233.25, ,0.0281
HD,Home Depot  Inc. (The),Consumer Cyclical,0.15924,306.97, ,0.0281
VIRT,Virtu Financial  Inc.,Financial Services,0.06398,28.78, ,0.0279
CMCSA,Comcast Corporation,Communication Services,0.12962,40.45, ,0.0279
TJX,TJX Companies  Inc. (The),Consumer Cyclical,0.11919,62.3, ,0.0276
AMCR,Amcor plc,Consumer Cyclical,0.11156,11.7, ,0.0272
FDX,FedEx Corporation,Industrials,0.06931,197.01, ,0.027
EHC,Encompass Health Corporation,Healthcare,0.11208,68.24, ,0.027
PRI,Primerica  Inc.,Financial Services,0.13557,130.76, ,0.0269
DECK,Deckers Outdoor Corporation,Consumer Cyclical,0.17426,273.08, ,0.0269
IPGP,IPG Photonics Corporation,Technology,0.27573,99.15, ,0.0268
PINC,Premier  Inc.,Healthcare,0.17473,35.97, ,0.0266
MHK,Mohawk Industries  Inc.,Consumer Cyclical,0.07267,145.75, ,0.0266
WDC,Western Digital Corporation,Technology,0.07271,53.92, ,0.0264
DISH,DISH Network Corporation,Communication Services,0.07338,27.73, ,0.0263
G,Genpact Limited,Technology,0.13908,39.54, ,0.0259
CRI,Carter's  Inc.,Consumer Cyclical,0.07742,85.27, ,0.0258
NXST,Nexstar Media Group  Inc.,Communication Services,0.14146,162.87, ,0.0253
BC,Brunswick Corporation,Consumer Cyclical,0.07885,77.22, ,0.0253
ACGL,Arch Capital Group Ltd.,Financial Services,0.1965,45.88, ,0.0252
CLF,Cleveland-Cliffs Inc.,Basic Materials,0.08057,25.92, ,0.025
QCOM,QUALCOMM Incorporated,Technology,0.28594,145.27, ,0.0249
UGI,UGI Corporation,Utilities,0.08101,34.71, ,0.0247
FCX,Freeport-McMoRan  Inc.,Basic Materials,0.19126,40.18, ,0.0245
SLGN,Silgan Holdings Inc.,Consumer Cyclical,0.24777,44.5, ,0.0244
HE,Hawaiian Electric Industries  I,Utilities,0.12592,40.65, ,0.0243
NVT,nVent Electric plc,Industrials,0.19156,34.23, ,0.0242
CAG,ConAgra Brands  Inc.,Consumer Defensive,0.12626,34.22, ,0.024
UHAL,Amerco,Industrials,0.15001,540.05, ,0.0239
EMR,Emerson Electric Company,Industrials,0.19545,90.43, ,0.0238
TER,Teradyne  Inc.,Technology,0.29077,108.57, ,0.0238
HUM,Humana Inc.,Healthcare,0.12653,433.51, ,0.0236
OGE,OGE Energy Corp,Utilities,0.20298,38.48, ,0.0233
CIEN,Ciena Corporation,Technology,0.15682,56.47, ,0.0233
OC,Owens Corning Inc,Industrials,0.09053,93.34, ,0.0231
SYF,Synchrony Financial,Financial Services,0.15778,37.33, ,0.0228
MIDD,The Middleby Corporation,Industrials,0.20698,155.69, ,0.0227
VSAT,ViaSat  Inc.,Technology,0.09273,37.43, ,0.0226
DFS,Discover Financial Services,Financial Services,0.16077,113.28, ,0.0225
AXP,American Express Company,Financial Services,0.21147,171.62, ,0.0225
BPOP,Popular  Inc.,Financial Services,0.16701,79.71, ,0.0219
CC,Chemours Company (The),Basic Materials,0.13612,33.1, ,0.0218
MU,Micron Technology  Inc.,Technology,0.16811,70.6, ,0.0217
BLD,TopBuild Corp.,Industrials,0.13614,185.29, ,0.0214
LAZ,Lazard LTD. Lazard  LTD.,Financial Services,0.0982,33.79, ,0.0214
PFG,Principal Financial Group Inc,Financial Services,0.09951,68.78, ,0.0212
EVR,Evercore Inc.,Financial Services,0.09985,110.19, ,0.0209
COST,Costco Wholesale Corporation,Consumer Defensive,0.15087,528.95, ,0.0208
ZION,Zions Bancorporation N.A.,Financial Services,0.177,57.01, ,0.0206
LFUS,Littelfuse  Inc.,Technology,0.17829,236.33, ,0.0204
EBAY,eBay Inc.,Consumer Cyclical,0.17868,53.15, ,0.0202
RKT,Rocket Companies  Inc.,Financial Services,0.10507,9.01, ,0.0199
BOKF,BOK Financial Corporation,Financial Services,0.1795,84.74, ,0.0198
REGN,Regeneron Pharmaceuticals  Inc.,Healthcare,0.32501,652.02, ,0.0197
