"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
MRNA,"Moderna, Inc.",Healthcare,United States,0.0102041, ,10082337866.666666,1.0,6214351066.666667,1111474416.6666667,0.25,55413000000.0,3.0,24404000000.0,2.0,5918250000.0,0.375,24404000000.0,5918250000.0,55413000000.0,10082337866.666666,1.0,6214351066.666667,55413000000.0,3.0,24404000000.0,2.0,24404000000.0,55413000000.0,2.4,2.4,8.216511,5.1813374,7.8371143,3.010528,7.8371143,3.278,3.277896,13527142013.42282,13528000000.0,6941706400.0,13528000000.0,0.6606,-4.5744465,0.025,16651.6927167,25000.0,5549.2606234,0.63928,0.09432,26.47,16.692,140.18,0.1190755,5.4864388,405449984,12202000384,30.0949584,2700,44339159040,55607463936,4519259.4014815,0.446383,11.629,0.446383,16.03155,0.446383,16.03155,0.446383,6.9311901,12.7296375,35.9286175,17.5569278,17.5569278,3860637833.3333335,0.5,13620000000.0,1.0,11.484931,3.2554449,3.2554449,0.9599826,1.0,1.0230085,1.0,1.0230085,1.0124388,USD,USD,1.0,1.0,0,0,0,0,140.18,119.01,497.49,239.64365,-41.5048135,17.7884211,-71.8225492,0.1118685,0.1128685,2.4738313,1.0,8.3613085,4.0,0.3236296,6.0,0.0492055,1.0,0.3239525,1.0,0.8422146,2.0,2.8409862,1.0,1.5564217,1.0,8.3713085,0.0592055,0.8522146,1.5664217,4.9688651,15456066200.0,1.0,32604400000.0,1.5,32604400000.0,8485590733.333333,1.0,17090200000.0,1.5,17090200000.0,0.8484879,1.5279529,4432772066.666667,5129066666.666667,5129066666.666667,6970475466.666667,1.0,10342800000.0,1.0,10342800000.0,2.5956591,None
CNXC,Concentrix Corporation,Technology,United States,0.070624, ,20120861600.0,4.0,279097266.6666667,392495000.0,1.0,17309367000.0,3.0,427039000.0,1.0,2003002500.0,1.5,427039000.0,2003002500.0,17309367000.0,20120861600.0,4.0,279097266.6666667,17309367000.0,3.0,427039000.0,1.0,427039000.0,17309367000.0,1.892,1.892,24.23205,14.77193,23.049535,1.4506779,7.6831783,12.812,12.8246686,850361684.6706214,848680000.0,712568333.3333334,848680000.0,0.07401,876.8642606,14000.0,18.8404694,250.0,298.5939133,0.84642,0.17267,10.83,6.602,160.51,0.0411314,3.2020977,52319700,420760000,8.042095,290000,10916379648,8370105344,1450.8965517,0.242,0.135,1.1548566,0.2359286,1.1548566,0.2359286,0.4702142,7.1072164,0.1602322,4.2529009,49.0192276,49.0192276,967423333.3333334,2.0,523309000.0,1.0,11.2839739,20.8602941,20.8602941,2.5797025,2.0,2.438295,2.0,2.438295,1.5625041,USD,USD,1.0,1.0,0,0,0,0,160.51,136.74,208.48,174.96725,-8.262832,17.3833553,-23.0094014,0.6626708,0.6636708,11.2594837,6.0,1.8597282,1.0,4.6534903,1.0,3.2039114,1.0,0.4317801,1.0,0.9074027,2.0,15.8309534,12.0,0.7970748,0.5,1.8697282,3.2139114,0.9174027,0.8070748,1.3384015,5010377533.333333,1.0,5936059466.666667,1.0,5936059466.666667,4590648533.333333,2.0,3999829000.0,1.5,3999829000.0,0.1719398,0.2067643,116406866.6666667,585816200.0,585816200.0,1357526633.3333333,0.5,3268298266.6666665,1.0,3268298266.6666665,2.3486446,None
RH,RH,Consumer Cyclical,United States,0.0729901, ,13137490933.333334,4.0,478140600.0,44134483.3333333,0.25,3758820000.0,1.0,688546000.0,1.0,438132375.0,0.375,688546000.0,438132375.0,3758820000.0,13137490933.333334,4.0,478140600.0,3758820000.0,1.0,688546000.0,1.0,688546000.0,3758820000.0,2.276,2.276,14.129407,11.591704,13.8121941,1.7399104,13.8121941,8.082,8.0826717,1058185887.8990349,1058010000.0,843400266.6666666,1058010000.0,0.18318,2246.1698116,14000.0,1.7634518,10.0,749.3731478,0.93517,0.15188,26.28,21.56,301.94,0.0714049,6.4882536,21468700,688545984,32.0720856,5700,8553679872,6540009984,120797.5410526,0.129,0.111,1.0318606,0.2123793,1.0318606,0.2123793,0.3547152,6.2057969,0.1363448,3.9424899,38.938832,38.938832,1097062800.0,2.0,662114000.0,1.0,7.7968917,12.9187419,12.9187419,33.1254737,2.0,7.7909727,2.0,7.7909727,2.7922314,USD,USD,1.0,1.0,0,0,0,0,301.94,236.29,744.56,492.9785,-38.7518928,27.7836557,-59.4471903,0.2583273,0.2593273,7.1485587,6.0,2.5182609,2.0,0.1185898,1.0,0.1042483,1.0,33.0154881,1.0,61.755557,2.0,1.9101094,1.0,4.9427719,2.0,2.5282609,0.1142483,61.765557,4.9527719,3.7405164,8430855733.333333,2.0,7617548100.0,1.5,7617548100.0,1486524266.6666667,2.0,1560058000.0,1.5,1560058000.0,0.1903895,0.5413592,978689400.0,1578830400.0,1578830400.0,3472165733.3333335,1.0,4038326733.3333335,1.0,4038326733.3333335,1.1263938,None
ZM,"Zoom Video Communications, Inc.",Technology,United States,0.097353, ,11994724533.333334,4.0,916838000.0,634995966.6666666,0.5,12299592000.0,3.0,2751278000.0,2.0,8583982500.0,1.5,2751278000.0,8583982500.0,12299592000.0,11994724533.333334,4.0,916838000.0,12299592000.0,3.0,2751278000.0,2.0,2751278000.0,12299592000.0,5.969,5.969,29.077864,25.038902,28.5729938,7.9530964,9.5243313,20.761,20.7609296,1178671007.3455036,1178679000.0,817047800.0,1178679000.0,0.33553,4235.7050391,14000.0,9696.9405095,25000.0,4644.3280262,0.65018,0.12348,4.37,3.763,112.24,0.0335264,6.374971,242240000,1375057024,5.6764243,6787,24470222848,32606613504,202601.5948136,0.883,0.214,8.2368739,1.3693517,8.2368739,1.3693517,2.7214685,16.7468738,0.5028379,7.3411066,10.4991089,10.4991089,2544260266.6666665,2.0,1070177333.3333333,0.6666667,9.6178143,22.8655776,22.8655776,-1.4787271,1.0,0.3406594,1.0,0.3406594,0.5846604,USD,USD,1.0,1.0,0,0,0,0,112.24,79.03,406.48,184.6762,-39.2233542,42.022017,-72.3873253,0.2028401,0.2038401,11.2520076,3.0,15.8870991,4.0,0.2342913,1.0,0.1882097,1.0,4.1543091,1.0,4.488305,1.0,10.9824384,3.0,7.4916741,2.0,15.8970991,0.1982097,4.498305,7.5016741,11.6993866,11271569466.666666,2.0,10723222500.0,1.5,10723222500.0,8445821200.0,2.0,8020311300.0,1.5,8020311300.0,0.3565719,0.4430388,3507485733.3333335,4441882933.333333,4441882933.333333,2804474666.6666665,2.0,1801940800.0,1.0,1801940800.0,3.7396096,None
ON,ON Semiconductor Corporation,Technology,United States,0.1303256, ,6123500000.0,1.0,670960000.0,3806000000.0,2.0,14993100000.0,3.0,1399800000.0,2.0,11488800000.0,1.5,1399800000.0,11488800000.0,14993100000.0,6123500000.0,1.0,670960000.0,20219400000.0,3.0,2019200000.0,2.0,2019200000.0,20219400000.0,3.632,3.632,41.083553,19.306747,38.3614522,4.023367,12.7871508,12.351,12.3508802,1981761565.865112,1981800000.0,1587733333.3333333,1981800000.0,0.1498,1.2423835,10.0,4299.914444,25000.0,1433.7698758,0.96498,0.0038,3.26,1.532,63.59,0.0240918,6.5754285,430833984,1009600000,2.343362,30000,24476262400,27116689408,33653.3333333,3.785,0.276,1.8276244,0.1390857,1.8276244,0.1390857,3.2956561,18.403942,0.2417714,5.1670257,11.6400046,11.6400046,1363786666.6666667,1.0,1782000000.0,1.0,17.9472809,13.7352763,13.7352763,2.5350398,2.0,1.1544777,1.0,1.1544777,1.0754662,USD,USD,1.0,1.0,0,0,0,0,63.59,34.01,71.26,56.17415,13.2015349,86.9744193,-10.7634016,1.5881879,16.0476458,3.6201104,2.0,3.7483856,2.0,1.6340692,2.0,0.94714,1.0,0.8469029,0.5,1.8521191,1.0,2.1790057,1.0,4.7961004,2.0,3.7583856,0.95714,1.8621191,4.8061004,4.282243,18149146666.666668,2.0,9239333333.333334,1.0,9239333333.333334,8081626666.666667,2.0,6437640000.0,1.5,6437640000.0,0.3185439,0.4136553,1869713333.3333333,2113573333.3333333,2113573333.3333333,5013913333.333333,1.0,4927920000.0,1.0,4927920000.0,2.765417,None
BLDR,"Builders FirstSource, Inc.",Industrials,United States,0.1590127, ,14378131800.0,1.0,1047085666.6666666,473482666.6666667,1.0,19893856000.0,1.0,1725416000.0,1.0,3774357000.0,1.0,1725416000.0,3774357000.0,19893856000.0,14378131800.0,1.0,1047085666.6666666,19893856000.0,1.0,1725416000.0,1.0,1725416000.0,19893856000.0,0.716,0.716,8.574408,10.092025,8.7641101,0.6333998,8.7641101,4.874,4.874194,2922014624.128026,2921782000.0,1837539866.6666667,2921782000.0,0.08673,73.9452531,1000.0,0.9524086,10.0,24.9957972,1.01293,0.01492,6.52,7.674,65.87,0.1165022,2.3383918,191500992,1725415936,9.0099582,28000,14243033088,12600765440,61621.9977143,2.162,0.831,2.7029082,0.798728,2.7029082,0.798728,2.297227,15.406606,0.822932,9.3215599,3.8150823,3.8150823,1085305466.6666667,1.0,871774500.0,0.5,13.1235247,16.3379786,16.3379786,1.0041759,0.5,1.0956143,1.0,1.0956143,1.047716,USD,USD,1.0,1.0,0,0,0,0,65.87,39.24,86.48,66.0816,-0.3202102,67.8644241,-23.8320999,1.1274344,2.0537503,4.7921955,3.0,0.4824043,0.25,0.6334383,1.0,0.3236797,0.5,0.0287328,0.1666667,0.0568829,1.0,0.9416554,0.5,1.9679876,1.0,0.4924043,0.3336797,0.0668829,1.9779876,1.2351959,14912095600.0,2.0,10638868666.666666,1.0,10638868666.666666,6036963200.0,2.0,5097493800.0,1.0,5097493800.0,0.2621804,0.4384832,1395026933.3333333,2036188266.6666667,2036188266.6666667,8875132400.0,2.0,8312062300.0,1.5,8312062300.0,2.1005256,None
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,United States,0.1857243, ,8745686666.666666,4.0,-74756800.0,-326196533.3333333,0.25,6943182000.0,3.0,381270000.0,2.0,-2310944000.0,0.375,381270000.0,-2310944000.0,6943182000.0,8745686666.666666,4.0,-74756800.0,6943182000.0,3.0,381270000.0,2.0,381270000.0,6943182000.0,3.32,3.32,16.733631,24.294521,17.6787422,2.7566745,17.6787422,15.266,15.2660422,503293785.077951,503291000.0,461894333.3333333,503291000.0,0.08237,0.001032,0.35,2613.4427587,25000.0,871.1763869,1.02562,0.01495,2.92,-7.495,71.15,-0.1053408,2.5936894,89935600,203276000,2.2602395,15900,7683325440,6380031488,12784.6540881,0.4285714,0.096,0.4285714,0.0807511,0.4285714,0.0807511,0.4285714,6.7965367,0.0921878,3.2862438,41.2503986,41.2503986,447395466.6666667,1.0,374477000.0,1.0,17.1734539,20.5174829,20.5174829,1.4408292,1.0,1.7547604,2.0,1.7547604,1.3256737,USD,USD,1.0,1.0,0,0,0,0,71.15,50.07,76.69,62.2479,14.3010447,42.1010585,-7.2238884,1.5837716,15.7817553,1.8643995,1.0,4.3395669,2.0,0.9959331,1.0,0.4888295,1.0,0.9976404,1.0,0.5268567,1.0,1.3945645,1.0,1.293319,1.0,4.3495669,0.4988295,0.5368567,1.303319,2.8264429,5604857333.333333,1.0,7017844900.0,1.5,7017844900.0,2338787000.0,1.0,3688886700.0,1.5,3688886700.0,0.1543286,0.2033564,384900666.6666667,119659733.3333333,119659733.3333333,3210105533.3333335,1.0,2156312933.3333335,1.0,2156312933.3333335,1.2803667,None
BRK.B,Berkshire Hathaway Inc. New,Financial Services,United States,0.1879776, ,263190733333.33334,1.0,70353266666.66667,957329333333.3334,2.0,828282000000.0,3.0,89795000000.0,1.0,2954946000000.0,1.5,89795000000.0,2954946000000.0,828282000000.0,263190733333.33334,1.0,70353266666.66667,828282000000.0,3.0,89795000000.0,1.0,89795000000.0,828282000000.0,-0.064,0.8406299,0.0055259,24.368338,3.0508774,2.5218897,3.0508774,-0.142,461398.5332496,-2388894645239.437,125581000000.0,105158666666.66667,125581000000.0,0.32523,2.9272156,10.0,99.9661907,250.0,34.4072121,0.6775801,0.00447,12.76,56269.562,314.95,178.6618892,0.0009829,1303480064,89795002368,68.8886657,372000,696278581248,696278581248,241384.4149677,0.106,0.115,3.2485132,0.0648741,3.2485132,0.0648741,0.8916283,9.6926072,0.1024685,3.4510705,3.421692,3.421692,39282266666.666664,1.0,39421000000.0,1.0,17.7250103,17.6626311,17.6626311,0.9118926,1.0,0.9024536,1.0,0.9024536,0.9509756,USD,USD,1.0,1.0,0,0,0,0,314.95,270.73,362.1,305.80185,2.9915287,16.3336165,-13.0212648,0.9679326,0.9689326,2.1166507,1.0,2.1287292,1.0,4.6779154,6.0,1.0913922,2.0,0.2368868,1.0,0.0739082,0.25,8.189882,2.0,2.9045626,1.0,2.1387292,1.1013922,0.0839082,2.9145626,2.5266459,1801125333333.3333,2.0,1406268300000.0,1.5,1406268300000.0,936071066666.6666,2.0,732831700000.0,1.5,732831700000.0,0.1638534,0.2225315,149928200000.0,119943866666.66667,119943866666.66667,849870666666.6666,2.0,660516700000.0,1.5,660516700000.0,1e-05,None
BLD,TopBuild Corp.,Industrials,United States,0.1916985, ,12371813066.666666,4.0,273130800.0,1975951866.6666667,2.0,10458621000.0,3.0,324015000.0,1.0,6429565500.0,1.5,324015000.0,6429565500.0,10458621000.0,12371813066.666666,4.0,273130800.0,10458621000.0,3.0,324015000.0,1.0,324015000.0,10458621000.0,2.141,2.141,21.14034,14.819985,20.3502956,1.9049336,20.3502956,13.069,13.0688867,571101100.7345626,571111000.0,478340933.3333333,571111000.0,0.09294,1276.4847305,14000.0,22.3014375,250.0,432.9607027,0.9903099,0.00493,13.61,9.541,202.15,0.0471976,4.2223153,32925100,324016000,9.8410028,13006,7463590912,6640992768,24912.8094726,0.107,0.474,0.3215445,0.1860946,0.3215445,0.1860946,0.1606361,4.2579437,0.4020237,6.5905336,126.6856687,126.6856687,715528266.6666666,2.0,403025000.0,1.0,10.430882,18.5189279,18.5189279,1.3982914,1.0,1.3299544,1.0,1.3299544,1.1542365,USD,USD,1.0,1.0,0,0,0,0,202.15,165.01,284.07,225.0818,-10.1882071,22.5077268,-28.8379625,0.6238871,0.6248871,1.7357504,1.0,1.7912603,1.0,0.0450834,1.0,0.0112709,1.0,0.0271718,0.5,0.0545045,1.0,1.6904679,1.0,0.8545159,0.5,1.8012603,0.0212709,0.0645045,0.8645159,1.3328881,7065577200.0,2.0,5544053000.0,1.5,5544053000.0,2915269866.6666665,2.0,2368431100.0,1.5,2368431100.0,0.1584437,0.2368058,417361000.0,455481866.6666667,455481866.6666667,4150307333.3333335,2.0,3175621900.0,1.5,3175621900.0,2.2810833,None
NFLX,"Netflix, Inc.",Communication Services,United States,0.217107, ,104979789600.0,4.0,3794698533.3333335,19249787866.666668,2.0,91206987000.0,3.0,5006960000.0,1.0,74536509000.0,1.5,5006960000.0,74536509000.0,91206987000.0,104979789600.0,4.0,3794698533.3333335,91206987000.0,3.0,5006960000.0,1.0,5006960000.0,91206987000.0,3.153,3.153,17.940672,15.200916,17.5982025,2.8990736,17.5982025,14.854,14.8540594,6453603641.847314,6453552000.0,5142094200.0,6453552000.0,0.16469,2180.7740607,14000.0,41.8503923,250.0,740.9307143,0.83039,0.01492,13.09,11.091,205.09,0.0540787,5.7551913,442952000,5006960128,11.3036178,11300,95862595584,88138588160,443093.8166372,-0.064,0.098,0.7015205,0.2155416,0.7015205,0.2155416,0.1273801,3.8190352,0.1273854,3.819109,138.155013,138.155013,146468833.3333333,0.5,269091500.0,0.5,654.4914259,356.2453499,356.2453499,1.1874684,0.5,3.3946233,2.0,3.3946233,1.8434504,USD,USD,1.0,1.0,0,0,0,0,205.09,162.71,700.99,472.79834,-56.6220981,26.0463401,-70.7428066,0.1574645,0.1584645,4.3616704,3.0,3.1847383,2.0,0.2004607,1.0,0.1588249,1.0,29.691364,6.0,13.0577125,2.0,0.5301332,0.5,1.0492405,1.0,3.1947383,0.1688249,13.0677125,1.0592405,2.1269894,81029941866.66667,2.0,66743656700.0,1.5,66743656700.0,25527736400.0,2.0,24824240900.0,1.5,24824240900.0,0.1750178,0.3016964,421498866.6666667,379651866.6666667,379651866.6666667,55502205466.666664,2.0,27946277200.0,1.0,27946277200.0,2.2689675,None
