Symbol,Name
ADT,ADT Inc
AZPN,Aspen Technology
BIIB,Biogen Inc
CAH,Cardinal Health
CFR,Cullen_Frost Bankers
CHK,Chesapeake Energy Cor
CI,Cigna Corp
CLH,Clean Harbors
COP,Conocophillips
DECK,Deckers Outdoor Corp
DINO,HF Sinclair Corp
DKS,Dick's Sporting Goods
DVN,Devon Energy Corp
ERIE,Erie Indemnity Compan
FCNCA,First Citizens Bancs
GILD,Gilead Sciences Inc
GL,Globe Life Inc
HES,Hess Corp
HII,Huntington Ingalls In
HUBB,Hubbell Inc B
HUM,Humana Inc
IBKR,Interactive Brokers
IONS,Ionis Pharmaceuticals
LNG,Cheniere Energy
LPLA,Lpl Financial Holding
LVS,Las Vegas Sands
MOH,Molina Healthcare Inc
MPC,Marathon Petroleum Co
NBIX,Neurocrine Bioscienc
NLSN,Nielsen Holdings Plc
NOC,Northrop Grumman Corp
NVCR,Novocure Ltd Ord Sh
PCG,Pacific Gas & Electri
PFG,Principal Financial G
PINS,Pinterest Inc
PYCR,Paycor Hcm Inc
REGN,Regeneron Pharmaceuti
RGA,Reinsurance Group of 
SGFY,Signify Health Inc Cl
SRPT,Sarepta Therapeutics
STOR,Store Capital Corp
TPL,Texas Pacific Land Tr
TTC,Toro Company
TWTR,Twitter Inc
UNM,Unumprovident Corp
VRTX,Vertex Pharmaceutic
WSC,Willscot Corp
WWE,World Wrestling Enter
