"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
JBHT,"J.B. Hunt Transport Services, I",Industrials,United States,1e-07, ,43423492800.0,4.0,642187533.3333334,10437612133.333334,2.0,13967903000.0,1.0,1881410000.0,2.0,25601464500.0,1.5,1881410000.0,25601464500.0,13967903000.0,43423492800.0,4.0,642187533.3333334,13967903000.0,1.0,1881410000.0,2.0,1881410000.0,13967903000.0,1.464,1.464,10.8695863,16.13508,11.527773,1.4640815,11.527773,10.935,10.9220608,1874591656.698674,1879028000.0,1436227600.0,1879028000.0,0.06735,2.2248141,36.9075,0.6037981,8.9375,0.9663207,0.7946399,0.2042,7.62,5.131,0,0.0,6.213509,105014000,940704000,8.9578913,33045,20450148352,20450148352,28467.3626872,0.483,0.319,0.2898041,0.1739456,0.2898041,0.1739456,0.434701,6.843186,0.2827364,5.5672964,26.5188543,26.5188543,2342287333.3333335,2.0,1540634000.0,1.0,8.7308453,13.2738524,13.2738524,0.6267703,0.5,1.1788672,1.0,1.1788672,1.0867565,USD,USD,1.0,1.0,0.3,0.28,0.27,0.27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4054333,3.0,1.8484223,1.0,0.0,1.0,0.0,1.0,0.0427784,1.0,0.3787056,1.0,1.430951,1.0,0.3144757,0.25,1.8584223,0.01,0.3887056,0.3244757,1.091449,12546870800.0,2.0,10625014600.0,1.5,10625014600.0,5597136266.666667,2.0,4877094000.0,1.5,4877094000.0,0.2770736,0.4857646,582740466.6666666,464304933.3333333,464304933.3333333,6949734533.333333,2.0,5747920600.0,1.5,5747920600.0,2.7308156,None
LEN.B,Lennar Corporation,Consumer Cyclical,United States,1.9464225, ,99224420533.33333,4.0,3379664466.6666665,24376034666.666668,2.0,29937175000.0,1.0,4421716000.0,1.0,89435161500.0,1.5,4421716000.0,89435161500.0,29937175000.0,99224420533.33333,4.0,3379664466.6666665,29937175000.0,1.0,4421716000.0,1.0,4421716000.0,29937175000.0,0.826,0.826,6.367447,6.367447,6.367447,0.7614645,6.367447,3.692,3.741938,6523342389.490791,6346873000.0,4430748266.666667,6346873000.0,0.1477,87.3248642,588.2132813,0.3801945,2.75,29.2852529,0.32871,0.6037,0,9.781,63.97,0.1528998,1.03287,37621200,4369865216,116.1543283,10753,24735705088,22796097536,406385.6799033,0.589,0.3,0.5636197,0.1326107,0.5636197,0.1326107,0.5826549,7.8831836,0.2581527,5.3308727,10.928333,10.928333,2778793400.0,1.0,933632000.0,0.5,8.9015992,26.4940631,26.4940631,0.663136,1.0,0.5779258,1.0,0.5779258,0.7612143,USD,USD,1.0,1.0,0.375,0.25,0.25,0.25,63.97,52.67,96.42,69.28305,-7.6686145,21.4543383,-33.6548434,0.5165714,0.5175714,15.3343988,6.0,2.7451265,1.0,0.0518139,1.0,0.2838801,4.0,0.0503359,0.1666667,0.1530428,0.5,21.2135307,2.0,9.9694506,1.0,2.7551265,0.2938801,0.1630428,9.9794506,6.3672885,63025084666.666664,2.0,33610024666.666668,1.0,33610024666.666668,37998852400.0,2.0,21185688933.333332,1.0,21185688933.333332,0.2315594,0.3087124,20975291400.0,23027785933.333332,23027785933.333332,12371310533.333334,1.0,12244689800.0,1.0,12244689800.0,2.6824938,None
STLD,"Steel Dynamics, Inc.",Basic Materials,United States,15.5718647, ,14561903266.666666,1.0,2034426733.3333333,12523216533.333334,2.0,66545175000.0,3.0,8789506000.0,2.0,49844616000.0,1.5,8789506000.0,49844616000.0,66545175000.0,14561903266.666666,1.0,2034426733.3333333,66545175000.0,3.0,8789506000.0,2.0,8789506000.0,66545175000.0,0.729,0.729,20.291443,18.112171,20.019034,0.6789575,20.019034,2.599,2.5990937,6221483477.683724,6221035000.0,3107663666.6666665,6221035000.0,0.19812,0.6960057,4.75,17.5932134,89.285625,6.1634464,0.8604,0.05454,4.19,3.74,77.14,0.0484833,3.3897622,198451008,4394753024,22.1452794,10640,16170801152,15060447232,413040.6977444,0.722,0.391,2.6449989,0.4841953,2.6449989,0.4841953,1.2027497,11.2169947,0.4142988,6.686605,16.6443887,16.6443887,1719284333.3333333,1.0,4763302500.0,1.5,9.4055421,3.3948718,3.3948718,1.0296058,1.0,0.8675018,1.0,0.8675018,0.9323978,USD,USD,1.0,1.0,0.26,0.26,0.25,0.25,77.14,50.54,100.37,74.06,4.1587902,52.6315789,-23.1443658,1.0676299,1.4808957,1.9751199,1.0,8.6341841,4.0,22.1244926,1.0,3.5123549,1.0,0.0216854,0.5,0.2957699,1.0,6.7632762,2.0,13.5920576,4.0,8.6441841,3.5223549,0.3057699,13.6020576,11.1231209,21542295066.666668,2.0,19851471300.0,1.5,19851471300.0,10653936400.0,2.0,10678140800.0,1.5,10678140800.0,0.5427635,0.9231307,3926269733.3333335,5196643400.0,5196643400.0,10879466933.333334,2.0,6129841400.0,1.0,6129841400.0,3.1128577,None
AM,Antero Midstream Corporation,Energy,United States,94.253124, ,889050133.3333334,1.0,101280533.3333333,-1028370857.1428572,0.25,959364000.0,1.0,327388000.0,1.0,-984136000.0,0.375,327388000.0,-984136000.0,959364000.0,889050133.3333334,1.0,101280533.3333333,959364000.0,1.0,327388000.0,1.0,327388000.0,959364000.0,8.309,8.309,13.39726,12.379746,13.2700707,4.867797,13.2700707,10.98,10.9800427,725973651.0018215,725968000.0,671669866.6666666,725968000.0,0.34126,78362352.9626061,0.1,0.9114585,2.75,26120784.7394416,0.5372,0.3281,0.79,0.73,9.86,0.0740365,1.9789559,477504000,326838016,0.6844718,519,7971252736,4669988864,629745.6955684,-0.01,-0.015,0.9709289,0.0394775,0.9709289,0.0394775,0.2352322,5.1000744,-0.0013806,0.2498619,56.4126423,56.4126423,667989933.3333334,1.0,703558000.0,1.0,11.9331929,11.3299156,11.3299156,1.2813169,1.0,0.7385234,0.5,0.7385234,0.8603738,USD,USD,1.0,1.0,0.225,0.225,0.225,0.225,9.86,8.56,11.71,10.10745,-2.4481942,15.1869159,-15.7984629,0.8253968,0.8263968,0.3053411,0.1666667,0.8387145,0.5,0.0349276,1.0,0.0163246,1.0,0.6873231,0.0833333,0.1148983,0.25,0.7297956,1.0,0.3165399,0.5,0.8487145,0.0263246,0.1248983,0.3265399,0.5876272,5293941133.333333,1.0,8362801900.0,1.5,8362801900.0,2285627800.0,1.0,1500744755.5555556,0.6666667,1500744755.5555556,0.1391481,0.3181504,-34861533.3333333,-46712400.0,-46712400.0,6016626666.666667,2.0,4986126200.0,1.5,4986126200.0,0.1979233,None
THO,"Thor Industries, Inc.",Consumer Cyclical,United States,95.0273428, ,10351279800.0,1.0,457838200.0,4949981866.666667,2.0,16083727000.0,1.0,2174282000.0,2.0,18819406500.0,1.5,2174282000.0,18819406500.0,16083727000.0,10351279800.0,1.0,457838200.0,16083727000.0,1.0,2174282000.0,2.0,2174282000.0,16083727000.0,0.393,0.393,10.328103,7.305752,9.9503091,0.2503636,9.9503091,3.582,3.5820583,1765118444.1652708,1765061000.0,887217666.6666666,1765061000.0,0.06759,0.2226825,4.75,0.6312782,8.9375,0.3081835,1.03524,0.04447,9.91,7.01,72.01,0.0973476,1.5596054,55618500,1087140992,19.5463918,31000,6322860032,4026779392,35069.0642581,0.899,0.346,1.2133652,0.2933481,1.2133652,0.2933481,0.9775913,10.1373216,0.332837,6.0192029,10.1783938,10.1783938,523877733.3333333,1.0,988958000.0,1.0,12.069343,6.3934566,6.3934566,2.6545364,2.0,2.630944,2.0,2.630944,1.6230185,USD,USD,1.0,1.0,0.43,0.43,0.41,0.41,72.01,66.26,125.72,84.06125,-14.3362727,8.6779354,-42.7219217,0.1934073,0.1944073,3.6776405,2.0,1.767156,1.0,0.084604,1.0,0.1099632,1.0,0.7321068,1.0,0.4436765,1.0,1.5042798,1.0,3.3423518,2.0,1.777156,0.1199632,0.4536765,3.3523518,2.5647539,12055746800.0,2.0,7649080666.666667,1.0,7649080666.666667,5168061733.333333,2.0,4950128500.0,1.5,4950128500.0,0.384254,0.5392375,809219733.3333334,1309510666.6666667,1309510666.6666667,3421518666.6666665,1.0,4331988000.0,1.0,4331988000.0,2.6592987,None
SEB,Seaboard Corporation,Industrials,United States,155.9075376, ,32693066666.666668,4.0,417933333.3333333,9028133333.333334,2.0,22809000000.0,3.0,200000000.0,0.5,28740000000.0,1.5,200000000.0,28740000000.0,22809000000.0,32693066666.666668,4.0,417933333.3333333,9879000000.0,1.0,494000000.0,1.0,494000000.0,9879000000.0,0.514,0.514,14.241991,14.241991,14.241991,0.4077229,14.241991,7.405,7.4048817,685978082.9169481,686000000.0,495200000.0,686000000.0,0.05,2.0652869,36.9075,0.079162,1.7170313,0.732483,0.18541,0.7858999,0,243.645,3533.96,0.0689439,1.0552505,1160780,494000000,425.5759059,13200,5079505408,4027895040,37424.2424242,-0.425,0.316,14.0993327,0.1861617,14.0993327,0.1861617,3.2060832,18.1555388,0.2835404,5.5748513,4.4421776,4.4421776,165333333.3333333,1.0,174000000.0,0.5,30.722815,29.1925598,29.1925598,1.3840907,2.0,0.6943615,1.0,0.6943615,0.8342836,USD,USD,1.0,1.0,2.25,2.25,2.25,2.25,3533.96,3295,4400,3910.0981,-9.6196589,7.2522003,-19.6827273,0.4325068,0.4335068,4.90902,2.0,2.4459877,1.0,0.495433,1.0,0.3814366,1.0,0.3441555,2.0,0.0346498,0.25,2.8621891,1.0,1.2854893,0.5,2.4559877,0.3914366,0.0446498,1.2954893,1.8757385,13816666666.666666,2.0,11294800000.0,1.5,11294800000.0,8146133333.333333,2.0,6650200000.0,1.5,6650200000.0,0.1437369,0.1742835,2384333333.3333335,2459533333.3333335,2459533333.3333335,2820666666.6666665,1.0,4617700000.0,1.5,4617700000.0,2.56259,None
LEN,Lennar Corporation,Consumer Cyclical,United States,208.0435547, ,99224420533.33333,4.0,3379664466.6666665,24376034666.666668,2.0,29937175000.0,1.0,4421716000.0,1.0,89435161500.0,1.5,4421716000.0,89435161500.0,29937175000.0,99224420533.33333,4.0,3379664466.6666665,29937175000.0,1.0,4421716000.0,1.0,4421716000.0,29937175000.0,0.993,0.993,7.985891,6.9123893,7.8517033,0.7905536,7.8517033,4.437,4.4969095,6523024044.737434,6346873000.0,4430748266.666667,6346873000.0,0.1477,87.3248642,588.2132813,0.3801945,2.75,29.2852529,0.95742,0.024,11.3,9.781,80.16,0.1220185,1.2953995,271852000,4369865216,16.0744273,10753,29724239872,23666939904,406385.6799033,0.589,0.3,0.5636197,0.1326107,0.5636197,0.1326107,0.5826549,7.8831836,0.2581527,5.3308727,13.475735,13.475735,2778793400.0,1.0,933632000.0,0.5,10.6968153,31.837212,31.837212,0.663136,1.0,0.5779258,1.0,0.5779258,0.7612143,USD,USD,1.0,1.0,0.375,0.25,0.25,0.25,80.16,62.54,117.54,83.9761,-4.5442691,28.1739687,-31.8019398,0.6407273,0.6417273,15.3343988,6.0,2.7451265,1.0,0.0518139,1.0,0.2838801,4.0,0.0503359,0.1666667,0.1530428,0.5,21.2135307,2.0,9.9694506,1.0,2.7551265,0.2938801,0.1630428,9.9794506,6.3672885,63025084666.666664,2.0,33610024666.666668,1.0,33610024666.666668,37998852400.0,2.0,21185688933.333332,1.0,21185688933.333332,0.2315594,0.3087124,20975291400.0,23027785933.333332,23027785933.333332,12371310533.333334,1.0,12244689800.0,1.0,12244689800.0,2.69043,None
X,United States Steel Corporation,Basic Materials,United States,382.9597977, ,16081066666.666666,1.0,1905800000.0,468000000.0,0.25,23110000000.0,1.0,4931000000.0,1.0,23743500000.0,1.5,4931000000.0,23743500000.0,23110000000.0,16081066666.666666,1.0,1905800000.0,23110000000.0,1.0,4931000000.0,1.0,4931000000.0,23110000000.0,0.293,0.293,1.0308421,17.914286,3.1412726,0.2199516,3.1412726,1.035,1.035226,6531851992.270532,6529000000.0,3019133333.3333335,6529000000.0,0.21337,0.0131129,0.1,0.1207207,0.6875,0.1167345,0.77982,0.01034,1.05,-3.155,19.62,-0.1608053,1.0962176,270232992,4930999808,18.2472161,24540,6763418624,5083082240,200937.2374898,-0.034,0.252,0.2973636,0.5348596,0.2973636,0.5348596,0.0488409,2.4599976,0.3227149,5.9308001,64.3164412,64.3164412,2371600000.0,1.0,4663000000.0,1.0,2.8518378,1.4504436,1.4504436,0.7221653,0.5,1.934369,2.0,1.934369,1.3918159,USD,USD,1.0,1.0,0.05,0.05,0.01,0.01,19.62,16.41,39.25,25.01465,-21.5659623,19.5612431,-50.0127389,0.2810858,0.2820858,1.7976132,1.0,4.094068,2.0,0.2267504,0.5,0.2453806,0.5,3.2891728,3.0,1.0794464,1.0,1.7296144,1.0,7.6888385,4.0,4.104068,0.2553806,1.0894464,7.6988385,5.9014533,29994933333.333332,2.0,28872500000.0,1.5,28872500000.0,6640666666.666667,1.0,14631200000.0,1.5,14631200000.0,0.2707853,0.4370195,2500866666.6666665,4067000000.0,4067000000.0,16564400000.0,2.0,9401266666.666666,1.0,9401266666.666666,1.7865381,None
HUN,Huntsman Corporation,Basic Materials,United States,389.0200018, ,7526266666.666667,1.0,930466666.6666666,3654400000.0,2.0,27015000000.0,3.0,1185000000.0,1.0,12937500000.0,1.5,1185000000.0,12937500000.0,27015000000.0,7526266666.666667,1.0,930466666.6666666,27015000000.0,3.0,1185000000.0,1.0,1185000000.0,27015000000.0,0.825,0.825,13.623656,8.891229,13.0321026,0.6135376,13.0321026,5.977,6.0072519,1230455611.8454075,1218000000.0,879600000.0,1218000000.0,0.13159,2.6210792,20.1875,3.7396918,27.4725,2.1651203,0.85452,0.09968,2.85,1.86,25.85,0.0719536,1.5696235,218031008,1184999936,5.4350065,9000,7428880384,5524905984,131666.6595556,1.687,0.3,0.3414178,0.1833044,0.3414178,0.1833044,1.3506044,11.8715508,0.2708261,5.4540955,9.6490891,9.6490891,775266666.6666666,1.0,527000000.0,0.5,9.582355,14.0965472,14.0965472,1.3810811,1.0,1.1369368,1.0,1.1369368,1.0672724,USD,USD,1.0,1.0,0.1875,0.1875,0.1875,0.1625,25.85,23.54,41.65,32.97305,-21.6026422,9.8130841,-37.9351741,0.2551077,0.2561077,3.6023246,2.0,3.8396897,2.0,9.501268,3.0,24.4377751,1.0,0.9366325,1.0,1.9755356,2.0,1.8739464,1.0,1.8959132,1.0,3.8496897,24.4477751,1.9855356,1.9059132,2.8778014,17944133333.333332,2.0,13842800000.0,1.5,13842800000.0,7599200000.0,2.0,4236066666.6666665,1.0,4236066666.6666665,0.1856041,0.3797406,1747533333.3333333,1791200000.0,1791200000.0,5001333333.333333,1.0,4805266666.666667,1.0,4805266666.666667,2.0972503,None
ACI,"Albertsons Companies, Inc.",Consumer Defensive,United States,476.4503357, ,277147280000.0,4.0,1161433333.3333333,877466666.6666666,0.5,221783700000.0,3.0,3318000000.0,2.0,14355450000.0,1.5,3318000000.0,14355450000.0,221783700000.0,277147280000.0,4.0,1161433333.3333333,221783700000.0,3.0,3318000000.0,2.0,3318000000.0,221783700000.0,0.349,0.349,22.269827,9.694445,20.6979043,0.1543648,20.6979043,6.017,5.8113705,4596997411.334552,4911200000.0,4278413333.3333335,4911200000.0,0.02244,11.5507023,588.2132813,2.021023,89.285625,4.5323885,0.73627,0.14939,2.52,1.097,25.26,0.0434283,5.816667,467124992,1355399936,2.9015787,101500,25769576448,11411863552,13353.6939507,0.089,0.096,1.1176059,0.055643,1.1176059,0.055643,0.3461515,6.1334639,0.0859108,3.1810536,59.7943547,59.7943547,3280860000.0,1.0,3446300000.0,1.0,7.8545188,7.4774618,7.4774618,5.5849568,0.5,7.3763715,1.0,7.3763715,2.7169476,USD,USD,1.0,1.0,0.1,0.1,0.1,0,25.26,24.34,37.99,29.54105,-14.4918681,3.7797864,-33.5088181,0.1347985,0.1357985,3.4434185,3.0,4.7463426,4.0,0.238127,1.0,0.2779628,1.0,0.1623537,1.0,0.2720138,1.0,0.5087574,0.5,1.0772738,1.0,4.7563426,0.2879628,0.2820138,1.0872738,2.9218082,53549706666.666664,2.0,42146850000.0,1.5,42146850000.0,2366726666.6666665,1.0,5124450000.0,1.5,5124450000.0,0.1787247,0.7474841,101180000.0,596960000.0,596960000.0,46599666666.666664,2.0,23681966666.666668,1.0,23681966666.666668,2.5308244,None
