"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,ma,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
A,"Agilent Technologies, Inc.",Healthcare,United States,124.7765139, ,23239466666.666668,4.0,1000933333.3333334,91200000.0,0.5,6659000000.0,1.0,1328000000.0,1.0,806000000.0,1.0,1328000000.0,806000000.0,6659000000.0,23239466666.666668,4.0,1000933333.3333334,6659000000.0,1.0,1328000000.0,1.0,1328000000.0,6659000000.0,6.393,6.393,30.579908,24.48629,29.8182058,5.953783,29.8182058,22.092,22.1960537,1908982675.3575954,1891000000.0,1530333333.3333333,1891000000.0,0.19943,25.2063749,140.0,1.8789383,10.0,9.0959144,0.93646,0.0024,5.47,4.38,137.62,0.0318268,7.7876625,296000000,1328000000,4.4864865,17000,42570518528,39646240768,78117.6470588,0.246,0.083,0.6376404,0.121867,0.6376404,0.121867,0.3439101,6.1143848,0.0927167,3.2949424,2.4957,2.4957,1246200000.0,1.0,1305000000.0,1.0,34.160262,32.621087,32.621087,0.976313,1.0,1.0422113,1.0,1.0422113,1.0218875,USD,USD,1.0,1.0,0.21,0.21,0.21,0.194,-0.1904706,112.52,179.57,135.1421,1.8335515,22.3071454,-23.3613633,0.748695,0.749695,2.0253384,1.0,0.9800046,0.5,0.2563882,1.0,0.9192036,2.0,0.7604948,1.0,1.917982,2.0,2.2305238,1.0,1.0056205,0.5,0.9900046,0.9292036,1.927982,1.0156205,1.0028125,20212400000.0,2.0,10470066666.666666,1.0,10470066666.666666,10222266666.666666,2.0,3418355555.5555553,0.6666667,3418355555.5555553,0.2268378,0.4884909,1961000000.0,1833000000.0,1833000000.0,9989600000.0,2.0,5342533333.333333,1.0,5342533333.333333,2.4511354,None
AA,Alcoa Corporation,Basic Materials,United States,200.6699523, ,11241933333.333334,1.0,50133333.3333333,-1589333333.3333333,0.25,13386000000.0,1.0,240750000.0,0.25,125250000.0,0.25,240750000.0,125250000.0,13386000000.0,11241933333.333334,1.0,50133333.3333333,13386000000.0,1.0,240750000.0,0.25,240750000.0,13386000000.0,0.82,0.82,9.780156,7.0111575,9.4340312,0.6756931,9.4340312,3.096,3.0956036,3547091720.9302325,3548000000.0,2119200000.0,3548000000.0,0.07194,0.000457,0.025,0.0027477,0.025,0.0260482,0.8591,0.00877,7.17,5.14,51.01,0.1007646,1.5963292,179924992,963000000,5.3522303,12200,10978983936,9044829184,78934.4262295,0.777,0.286,2.0336134,0.1132965,2.0336134,0.1132965,1.0911534,10.6958286,0.2428241,5.1777187,8.645926,8.645926,717066666.6666666,1.0,1570000000.0,1.0,15.3109668,6.9929834,6.9929834,2.1756117,1.0,1.7586228,1.0,1.7586228,1.3271308,USD,USD,1.0,1.0,0.1,0.1,0.1,0.1,0.2408173,38.57,98.09,61.2966,-16.7816812,32.2530464,-47.9967377,0.4180108,0.4190108,1.6682488,1.0,1.7710439,1.0,0.2848576,1.0,0.5325754,4.0,0.4541987,1.0,0.5757278,1.0,1.5507313,1.0,6.8097869,4.0,1.7810439,0.5425754,0.5857278,6.8197869,4.3004154,15002266666.666666,1.0,15591400000.0,1.0,15591400000.0,4297466666.666667,1.0,5124400000.0,1.0,5124400000.0,0.1154412,0.1469811,1653533333.3333333,2300400000.0,2300400000.0,9022533333.333334,1.0,8831866666.666666,1.0,8831866666.666666,1.2060381,None
AAL,"American Airlines Group, Inc.",Industrials,United States,1e+50, ,29632066666.666668,1.0,-3113333333.3333335,-24126400000.0,0.25,40717000000.0,1.0,-7688000000.0,0.25,-145660000000.0,0.25,-7688000000.0,-145660000000.0,40717000000.0,29632066666.666668,1.0,-3113333333.3333335,40717000000.0,1.0,-7688000000.0,0.25,-7688000000.0,40717000000.0,1.02,1.02,86290.992262,8.960785,75505.7383274,0.2188125,75505.7383274,44.679,46.7527783,850998264.777636,772000000.0,-2610533333.3333335,772000000.0,-0.04718,-5.7831876,0.025,-1.6802346,0.025,-2.5025341,0.54559,0.01186,1.53,-3.671,14.17,-0.2590685,1000.0,649846016,-1920999936,-2.9560848,129200,41551314944,8909388800,-14868.4205573,24.053,0.795,1.7180663,0.2399341,1.7180663,0.2399341,18.4692666,43.2258846,0.6562335,8.3508242,4088.1828183,4088.1828183,-1250266666.6666667,0.5,-21333333.3333333,0.75,3008.9701574,194771788.8,194771788.8,-99.9259302,1.0,-9.1351844,1.0,-9.1351844,914.5184368,USD,USD,1.0,1.0,0.1,0.1,0.1,0.1,-0.2585034,11.93,22.35,16.79535,-15.6314099,18.7761945,-36.5995526,0.4299424,0.4309424,0.9199263,1.0,0.8901735,1.0,0.1733561,2.0,0.0876992,1.0,0.4106529,1.0,0.9817603,2.0,0.7566093,1.0,0.4198549,0.5,0.9001735,0.0976992,0.9917603,0.4298549,0.6650142,64022533333.333336,1.0,67645266666.666664,1.0,67645266666.666664,-5772866666.666667,1.0,-8350200000.0,1.0,-8350200000.0,1e-06,1e-06,-4328333333.333333,-3563933333.3333335,-3563933333.3333335,69795400000.0,1.0,75995466666.66667,1.0,75995466666.66667,1e-05,effective_profit_margin          <= 0   |
AAP,Advance Auto Parts Inc.,Consumer Cyclical,United States,1.3197655, ,41975401600.0,4.0,553239133.3333334,8600628666.666666,2.0,11041829000.0,1.0,569969000.0,1.0,27488734500.0,1.5,569969000.0,27488734500.0,11041829000.0,41975401600.0,4.0,553239133.3333334,11041829000.0,1.0,569969000.0,1.0,569969000.0,11041829000.0,1.475,1.475,22.053333,12.947163,20.9150617,1.0900176,20.9150617,14.857,14.8568743,1096399442.7542572,1096418000.0,1078881666.6666667,1096418000.0,0.05162,75.9401952,1400.0,0.4431571,10.0,25.4793241,1.03104,0.00456,15.33,9,207.02,0.0434741,4.130869,60639800,569969024,9.3992563,41000,16288930816,12035786752,13901.6835122,-0.248,0.013,0.1675069,0.0640239,0.1675069,0.0640239,-0.1441233,0.2355877,0.025756,1.854867,1.1895,1.1895,2042892533.3333333,2.0,363695000.0,0.5,7.9734644,44.7873378,44.7873378,2.5582691,1.0,1.4867081,0.5,1.4867081,1.2203064,USD,USD,1.0,1.0,1.5,1.5,1.0,1.0,-0.0036098,164,244.55,210.98485,-1.8792108,26.2317073,-15.3465549,1.0681564,1.4852828,0.4677496,0.3333333,0.3344089,0.25,3.9170265,3.0,6.4364471,1.0,0.1260991,1.0,0.1114493,1.0,0.6362418,0.5,0.6064648,0.5,0.3444089,6.4464471,0.1214493,0.6164648,0.4804369,23526655200.0,2.0,12024250066.666666,1.0,12024250066.666666,3327556733.3333335,1.0,2021566177.7777777,0.6666667,2021566177.7777777,0.1474016,0.3819443,1299858800.0,1077127600.0,1077127600.0,16871541733.333334,2.0,13487851200.0,1.5,13487851200.0,2.2500335,None
AAPL,Apple Inc.,Technology,United States,267.9763453, ,320702600000.0,1.0,77141800000.0,8885200000.0,0.5,387542000000.0,1.0,99633000000.0,1.0,37998000000.0,1.0,99633000000.0,37998000000.0,387542000000.0,320702600000.0,1.0,77141800000.0,387542000000.0,1.0,99633000000.0,1.0,99633000000.0,387542000000.0,7.297,7.297,27.697521,26.020187,27.4878542,6.9488835,9.1626181,21.828,21.8278942,129555743959.68481,129557000000.0,100399666666.66667,129557000000.0,0.25709,2.4687284,10.0,2.472384,10.0,1.7337341,0.59714,0.0007,6.44,6.05,171.52,0.0352729,46.418285,16070800384,99632996352,6.1996288,154000,2827915362304,2692984078336,646967.5087792,-0.106,0.019,0.3718335,0.2028866,0.3718335,0.2028866,0.0134584,1.4101024,0.0649717,2.7989537,3.1143,3.1143,91414400000.0,1.0,118224000000.0,1.0,30.9351192,23.919977,23.919977,4.0154378,1.0,4.5516867,1.0,4.5516867,2.1344682,USD,USD,1.0,1.0,0.23,0.23,0.22,0.22,0.1456816,129.04,182.94,160.461,6.8920174,32.9200248,-6.2424839,1.5762523,15.3374949,0.420176,0.3333333,1.2204667,1.0,0.1309069,0.5,0.2869384,1.0,4.7640512,6.0,1.9375799,2.0,1.2176013,1.0,0.4591529,0.5,1.2304667,0.2969384,1.9475799,0.4691529,0.8498098,343088333333.3333,1.0,347100266666.6667,1.0,347100266666.6667,35139966666.666664,0.5,62760400000.0,1.0,62760400000.0,0.3870439,1.6875138,23849066666.666668,-10496333333.333334,-10496333333.333334,272808400000.0,1.0,284339866666.6667,1.0,284339866666.6667,2.8544386,None
ABBV,AbbVie Inc.,Healthcare,United States,47.6496908, ,195220533333.33334,4.0,8816733333.333334,2802533333.3333335,1.0,57349000000.0,1.0,12637000000.0,1.0,13346000000.0,1.0,12637000000.0,13346000000.0,57349000000.0,195220533333.33334,4.0,8816733333.333334,57349000000.0,1.0,12637000000.0,1.0,12637000000.0,57349000000.0,5.476,5.476,19.850069,11.793278,18.8429701,4.326756,18.8429701,11.559,11.5503513,27211279988.926376,27252000000.0,23953066666.666668,27252000000.0,0.22035,26.1527235,140.0,1.7323425,10.0,9.369472,0.72133,0.00111,11.9,7.07,141.85,0.0498414,16.932915,1768099968,12570999808,7.109892,50000,314064502784,248135139328,251419.99616,0.206,0.045,0.7941396,0.2395817,0.7941396,0.2395817,0.3530349,6.1916741,0.0936454,3.3101539,53.3742406,53.3742406,19509533333.333332,1.0,22923000000.0,1.0,16.0980018,13.7008464,13.7008464,10.4373113,2.0,8.6732266,1.0,8.6732266,2.9460342,USD,USD,1.0,1.0,1.41,1.41,1.41,1.3,0.1884216,105.56,175.91,143.2128,-0.9515909,34.3785525,-19.3621738,1.0316986,1.2059163,3.2061013,3.0,0.5588181,0.5,0.0173993,1.0,0.2307389,1.0,0.3685216,3.0,0.153206,1.0,1.1373096,1.0,0.8410399,1.0,0.5688181,0.2407389,0.163206,0.8510399,0.709929,134138266666.66667,1.0,96011022222.22223,0.6666667,96011022222.22223,20103733333.333332,2.0,14881466666.666666,1.0,14881466666.666666,0.2316203,0.9491771,-567066666.6666666,-5409333333.333333,-5409333333.333333,124065866666.66667,1.0,128869266666.66667,1.0,128869266666.66667,1.4074414,None
ABC,AmerisourceBergen Corporation,Healthcare,United States,11.2981294, ,799627820000.0,4.0,136915133.3333333,1841933866.6666667,1.0,236325278000.0,1.0,1841781000.0,1.0,13407984000.0,1.5,1841781000.0,13407984000.0,236325278000.0,799627820000.0,4.0,136915133.3333333,236325278000.0,1.0,1841781000.0,1.0,1841781000.0,236325278000.0,0.153,0.153,17.105627,12.989538,16.5911159,0.1306647,16.5911159,10.091,10.1970343,3506356221.781786,3432668000.0,2831809733.3333335,3432668000.0,0.00779,0.0008329,0.35,0.0764495,10.0,0.0293575,0.71087,0.25755,11.47,8.71,152.03,0.0572913,138.08156,207258000,1841780992,8.8864169,42000,36126228480,30879371264,43851.928381,0.393,0.125,0.2165394,0.0988102,0.2165394,0.0988102,0.3488848,6.1566475,0.1184526,3.6916938,1.4546,1.4546,2417352133.3333335,1.0,2548435000.0,1.0,14.9445453,14.1758485,14.1758485,63.0866955,0.5,210.4366992,1.0,210.4366992,14.5074365,USD,USD,1.0,1.0,0.46,0.46,0.46,0.46,0.2703042,113.68,167.19,141.9741,7.0829116,33.7350457,-9.067528,1.4333769,8.6728628,1.0174333,1.0,1.011252,1.0,2.4009481,0.3333333,5.7836963,2.0,0.0584999,0.5,0.5102798,2.0,0.9495007,1.0,0.9254698,1.0,1.021252,5.7936963,0.5202798,0.9354698,0.9783609,100242074400.0,2.0,57274305666.666664,1.0,57274305666.666664,426786266.6666667,1.0,313471600.0,1.0,313471600.0,0.1321572,5.9754318,-1900770066.6666667,-3190340533.3333335,-3190340533.3333335,98861658800.0,2.0,56637384000.0,1.0,56637384000.0,2.2172626,None
ABMD,"ABIOMED, Inc.",Healthcare,United States,273.0199185, ,3758749333.3333335,4.0,177278266.6666667,1684341466.6666667,2.0,3168951000.0,3.0,217584000.0,1.0,5619300000.0,1.5,217584000.0,5619300000.0,3168951000.0,3758749333.3333335,4.0,177278266.6666667,3168951000.0,3.0,217584000.0,1.0,217584000.0,3168951000.0,10.85,10.85,56.447083,47.090088,55.2774586,11.2477665,55.2774586,41.041,40.977418,280126040.6179187,280994000.0,271957733.3333333,280994000.0,0.20598,23.1039014,140.0,50.8131963,250.0,24.7086926,0.95535,0.02014,5.55,4.63,270.68,0.0171051,7.7522025,45460900,217584000,4.7861789,2003,11461030912,11881206784,108629.0564154,-0.2247573,0.097,-0.2247573,0.1397367,-0.2247573,0.1397367,-0.2247573,0.2275243,0.1076842,3.5315267,-245.9429155,406.5984165,284231266.6666667,1.0,298134000.0,1.0,40.3229069,38.442549,38.442549,0.1206155,1.0,0.2203706,2.0,0.2203706,0.4704364,USD,USD,1.0,1.0,0,0,0,0,-0.2306074,219.85,379.3,296.6606,-8.7576847,23.1203093,-28.6369628,0.6375666,0.6385666,9.3401537,1.0,20.1588851,2.0,0.0,1.0,0.0,1.0,5.3179882,1.0,2.6681354,1.0,6.4593764,1.0,7.3384502,1.0,20.1688851,0.01,2.6781354,7.3484502,13.7586676,3046913333.3333335,2.0,2503844800.0,1.5,2503844800.0,2721750666.6666665,2.0,2255331100.0,1.5,2255331100.0,0.1869,0.1964754,727951133.3333334,865515000.0,865515000.0,325162666.6666667,2.0,165675800.0,1.0,165675800.0,6.9440459,None
ABNB,"Airbnb, Inc.",Consumer Cyclical,United States,1e+50, ,4980622600.0,1.0,-1501378266.6666667,-41864333866.666664,0.125,5873735000.0,1.0,1267235000.0,1.0,-50047133333.333336,0.375,1267235000.0,-50047133333.333336,5873735000.0,4980622600.0,1.0,-1501378266.6666667,5873735000.0,1.0,1267235000.0,1.0,1267235000.0,5873735000.0,8.923,8.923,58.93651,44.378487,57.1167571,9.648783,57.1167571,48.711,47.9833564,1394004789.677896,1435652000.0,-642373400.0,1435652000.0,0.1691,-12.2543597,0.025,0.1256153,1.0,-3.9855482,0.6550701,0.01473,2.51,1.89,114.76,0.0164692,13.580834,399167008,1248443008,3.1276207,6132,65874690048,71233798144,203594.7501631,6.4875977,0.576,6.4875977,0.402351,6.4875977,0.402351,6.4875977,25.7207631,0.5325878,7.547861,8.8039918,8.8039918,534654500.0,0.5,2503521000.0,1.0,123.20983,26.312817,26.312817,0.1104387,0.5,4.6653689,2.0,4.6653689,2.1609465,USD,USD,1.0,1.0,0,0,0,0,-0.2182029,86.71,212.584,145.4351,-21.091951,32.34921,-46.0166334,0.4456838,0.4466838,1.488403,1.0,2.8786077,2.0,0.686892,1.0,0.7361233,1.0,0.169155,0.3333333,0.6856707,1.0,3.5467988,2.0,3.4502305,2.0,2.8886077,0.7461233,0.6956707,3.4602305,3.1744191,23315615333.333332,2.0,25121883214.285713,1.5,25121883214.285713,3178677200.0,1.0,7495812857.142858,1.5,7495812857.142858,0.1504435,0.269059,4541139466.666667,6267105000.0,6267105000.0,15665660133.333334,2.0,11750713571.428572,1.0,11750713571.428572,0.3911237,effective_profit_margin          <= 0   |
ABT,Abbott Laboratories,Healthcare,United States,0.5671461, ,153978133333.33334,4.0,5619333333.333333,58531466666.666664,2.0,45548000000.0,1.0,8554000000.0,1.0,194529000000.0,1.5,8554000000.0,194529000000.0,45548000000.0,153978133333.33334,4.0,5619333333.333333,45548000000.0,1.0,8554000000.0,1.0,8554000000.0,45548000000.0,4.402,4.402,22.43215,22.910446,22.491937,4.131215,22.491937,14.373,14.2666515,14160448387.949627,14370000000.0,10711600000.0,14370000000.0,0.1878,2161.5654178,14000.0,1.8640279,10.0,721.2067486,0.75695,0.00731,4.69,4.79,110.06,0.0435217,5.1566925,1751219968,8520000000,4.8651798,113000,200516239360,188168585216,75398.2300885,0.697,0.101,0.4696617,0.170213,0.4696617,0.170213,0.6401654,8.2510338,0.1183032,3.6895238,16.5928,16.5928,8962666666.666666,1.0,10243000000.0,1.0,22.3723861,19.5759289,19.5759289,2.2834434,2.0,0.5277327,0.5,0.5277327,0.7274521,USD,USD,1.0,1.0,0.47,0.47,0.47,0.45,-0.1253973,101.24,142.6,119.75845,-8.098343,8.7119716,-22.8190743,0.426499,0.427499,3.7665715,2.0,3.9030693,2.0,0.170205,1.0,1.3258132,4.0,2.6729234,6.0,1.3078985,2.0,1.7447842,1.0,3.8728174,2.0,3.9130693,1.3358132,1.3178985,3.8828174,3.8979433,145960933333.33334,2.0,74255400000.0,1.0,74255400000.0,68033600000.0,2.0,36076933333.333336,1.0,36076933333.333336,0.215197,0.3371044,9229066666.666666,11768866666.666666,11768866666.666666,38745266666.666664,1.0,38060066666.666664,1.0,38060066666.666664,2.8402303,None
