Symbol,Name,Sector,Value,Close,Grade
LOGN.SW,LOGITECH N,Technology,291529.47898/-4.02154,92.48,3.2019
ADEN.SW,ADECCO N,Industrials,126238.77696/-1.91006,50.72,2.4655
UBSG.SW,UBS GROUP N,Financial Services,9.275710684197527e+21/1.48659,15.32,2.2784
SCMN.SW,SWISSCOM N,Communication Services,423066767.26076/-1.74157,537.4,2.2144
HOLN.SW,HOLCIM N,Basic Materials,2501399.54981/-1.28431,47.34,2.1787
ZURN.SW,ZURICH INSURANCE N,Financial Services,45295413995.61609/-0.00049,400.4,1.8347
SLHN.SW,SWISS LIFE HOLDING AG N,Financial Services,286406577730.5313/0.44774,477.4,1.5507
NOVN.SW,NOVARTIS N,Healthcare,766740129.05177/-1.34303,81.15,1.4654
PGHN.SW,PARTNERS GROUP N,Financial Services,34764496108.08487/-1.03803,1590.0,1.2519
SOON.SW,SONOVA N,Healthcare,20274316533.7623/-0.84128,363.5,1.2438
GEBN.SW,GEBERIT N,Industrials,346635007422.1739/-1.04552,760.0,1.2358
BAER.SW,JULIUS BAER N,Financial Services,7.587947684871315e+22/3.01346,62.78,1.15
ROG.SW,ROCHE GS,Healthcare,938007779679536.8/-1.26009,358.65,1.1303
CLN.SW,CLARIANT N,Basic Materials,2075218.59732/-2.15356,19.2,0.9387
UHR.SW,SWATCH GROUP I,Consumer Cyclical,6639667301.47523/-2.08134,266.6,0.9135
KNIN.SW,KUEHNE+NAGEL INT N,Industrials,553016658.44215/-1.72776,342.0,0.899
ABBN.SW,ABB LTD N,Industrials,44121693018.08952/-1.32189,33.61,0.7702
SIKA.SW,SIKA N,Basic Materials,388254578069.5436/-0.61998,324.4,0.6424
SREN.SW,SWISS RE N,Financial Services,7314703450166.6455/0.14538,82.44,0.6391
GIVN.SW,GIVAUDAN N,Basic Materials,5093400009413.341/-0.1608,4547.0,0.5875
NESN.SW,NESTLE N,Consumer Defensive,469908465914660.4/-0.29001,114.82,0.5457
STMN.SW,STRAUMANN N,Healthcare,158267827751224.84/0.04256,1780.0,0.5232
TEMN.SW,TEMENOS N,Technology,15006938888741.03/0.26546,135.65,0.5145
AMS.SW,AMS,Technology,4.3717960780314716e+21/1.16062,17.51,0.4391
CSGN.SW,CS GROUP N,Financial Services,5.703989036176557e+17/1.6544,9.66,0.387
LONN.SW,LONZA N,Healthcare,1.262165517744901e+17/1.03917,769.6,0.38
CFR.SW,RICHEMONT N,Consumer Cyclical,2895416653.58364/-1.60946,104.8,0.3232
SGSN.SW,SGS N,Industrials,121056851792.54904/-0.45947,2871.0,0.2621
SCHP.SW,SCHINDLER PS,Industrials,3607708417221344.0/-0.77636,289.4,0.2215
ALC.SW,ALCON N,Healthcare,1.9807972722853196e+16/0.38032,77.34,0.1698
