Symbol,Name,Sector,Value,Close,Grade
SWX:CLN,CLARIANT N,Basic Materials,946171.97309,19.445,1.7813
SWX:LOGN,LOGITECH N,Technology,420596.02901,93.1,1.5385
SWX:ADEN,ADECCO N,Industrials,130010.12437,50.72,1.2233
SWX:UBSG,UBS GROUP N,Financial Services,1.4095118591741387e+22,15.37,1.0611
SWX:HOLN,HOLCIM N,Basic Materials,34090914.57999,52.24,1.054
SWX:SCMN,SWISSCOM N,Communication Services,51786305.6422,533.8,1.0017
SWX:ZURN,ZURICH INSURANCE N,Financial Services,897976874408.3959,403.5,0.875
SWX:SLHN,SWISS LIFE HOLDING AG N,Financial Services,171266980069682.66,482.5,0.7527
SWX:NOVN,NOVARTIS N,Healthcare,6321346780.26551,84.45,0.7215
SWX:SOON,SONOVA N,Healthcare,78904247451.14801,363.2,0.68
SWX:GEBN,GEBERIT N,Industrials,6401683717288.464,771.0,0.6169
SWX:PGHN,PARTNERS GROUP N,Financial Services,76311065608204.6,1636.0,0.5555
SWX:BAER,JULIUS BAER N,Financial Services,7.46762116177929e+22,62.78,0.5388
SWX:ROG,ROCHE GS,Healthcare,211226213350691.12,365.5,0.481
SWX:KNIN,KUEHNE+NAGEL INT N,Industrials,1511531445.65788,339.9,0.4312
SWX:ABBN,ABB LTD N,Industrials,44020629833.10993,33.61,0.38
SWX:TEMN,TEMENOS N,Technology,151802935767.75723,144.7,0.3599
SWX:GIVN,GIVAUDAN N,Basic Materials,7978122541155.366,4588.0,0.3219
SWX:SIKA,SIKA N,Basic Materials,95254121606632.67,333.6,0.288
SWX:CSGN,CS GROUP N,Financial Services,5.580348983843618e+17,9.736,0.2816
SWX:AMS,AMS,Technology,4.359478917810167e+21,17.51,0.2399
SWX:NESN,NESTLE N,Consumer Defensive,602787615628717.5,115.52,0.2387
SWX:LONN,LONZA N,Healthcare,1.5530219214064845e+17,777.0,0.2037
SWX:CFR,RICHEMONT N,Consumer Cyclical,3068035939.34178,104.8,0.1633
SWX:SGSN,SGS N,Industrials,177794589307.3523,2891.0,0.1453
SWX:SREN,SWISS RE N,Financial Services,5.0025675553053654e+23,83.3,0.1333
SWX:STMN,STRAUMANN N,Healthcare,220257121580012.0,1814.0,0.1106
SWX:SCHP,SCHINDLER PS,Industrials,3272724858507047.5,296.0,0.1
SWX:ALC,ALCON N,Healthcare,1.9720033621667824e+16,77.34,0.0943
SWX:UHR,SWATCH GROUP I,Consumer Cyclical,8.02569504606835e+18,263.3,0.0745
