"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
SWX:ABBN,ABB LTD N,Industrials,Switzerland,41322912088.188576,26766933333.333332,3565533333.3333335,21426666666.666668,28114000000.0,5705000000.0,86738000000.0,5705000000.0,86738000000.0,28114000000.0,26766933333.333332,3565533333.3333335,28114000000.0,5705000000.0,5705000000.0,28114000000.0,2.6963278,2.6963278,12.965138,12.965138,12.965138,2.3617628,12.965138,20.938031,21.1458475,3550479223.428895,3480000000.0,3027400000.0,3480000000.0,0.20292,0.4066798,2.5,0.1176559,1.0,0.3171736,0.58284,0.00043,0,2.553,33.76,0.075622,4.7660184,2006000000,886000000,0.441675,106370,75815740213,71555709759,8329.4161888,1.357,0.21,1.3729628,-0.0204165,1.3729628,-0.0204165,1.3609907,11.9161506,0.1523959,4.1537913,9.5262503,9.5262503,2166066666.6666665,2796000000.0,35.0015728,27.1157869,27.1157869,1.8987658,1.7942329,1.7942329,1.3404898,USD,CHF,1.0,1.077669,0.8,0.8,0.8,0.8,0.4441536,21.85,34.79,31.369225,7.6214028,54.5080092,-2.9606209,1.8408037,38.9085355,1.557337,1.5724823,0.5067775,0.1170228,0.550537,0.4834247,1.2609285,1.1754279,1.5824823,0.1270228,0.4934247,1.1854279,1.3839551,43031733333.333336,40179400000.0,40179400000.0,14820466666.666666,14288933333.333334,14288933333.333334,0.2419882,0.49926,4516666666.666667,2777133333.3333335,2777133333.3333335,27809800000.0,25553266666.666668,25553266666.666668,2.4034745,None
SWX:ADEN,ADECCO N,Industrials,Switzerland,60209.927007,25255534666.666668,300625600.0,3930986000.0,24119550000.0,586644000.0,14650786000.0,586644000.0,14650786000.0,24119550000.0,25255534666.666668,300625600.0,24119550000.0,586644000.0,586644000.0,24119550000.0,0.46232,0.46232,14.421871,14.421871,14.421871,0.3844909,14.421871,9.6699239,9.3577831,1045503251.5323749,1113000000.0,924666666.6666666,1113000000.0,0.02432,0.0033641,1.0,0.0653092,2.5,0.0547487,0.48935,0.04328,0,3.347,48.1,0.0695842,2.4853258,163092000,498000000,3.0534913,31000,9457248494,8483896474,16064.516129,5.905,0.259,-0.4634442,-0.0983164,-0.4634442,-0.0983164,4.312889,21.0174961,0.1696709,4.3691126,3.3439004,3.3439004,900855866.6666666,630230000.0,10.4980706,15.0060272,15.0060272,1.88672,2.0417111,2.0417111,1.4298846,EUR,CHF,1.178,1.077669,2.5,2.5,2.5,2.5,-0.0002071,43.86,67.04,59.845,-19.6256997,9.6671227,-28.25179,0.3658326,0.3668326,1.5359636,1.4922276,2.6553081,4.4410256,2.2741081,2.2818782,1.2884048,1.2866099,1.5022276,4.4510256,2.2918782,1.2966099,1.3994188,11775759200.0,11531049333.333334,11531049333.333334,4096926933.3333335,3791746400.0,3791746400.0,0.1508752,0.254716,1284600000.0,1271266666.6666667,1271266666.6666667,7668780000.0,7728151200.0,7728151200.0,2.2272525,None
SWX:ALC,ALCON N,Healthcare,Switzerland,2.3246702646837644e+16,7052933333.333333,-471333333.3333333,7282666666.666667,7818000000.0,183000000.0,1820666666.6666667,183000000.0,1820666666.6666667,7818000000.0,7052933333.333333,-471333333.3333333,7818000000.0,183000000.0,183000000.0,7818000000.0,5.7235001,5.7235001,227.07245,227.07245,227.07245,4.910028,227.07245,24.6689211,24.3929494,1855485308.8113232,1897000000.0,1447733333.3333333,1897000000.0,0.02341,0.0,0.0,0.0,0.0,0.0233771,0.55767,0.00057,0,0.345,79.68,0.0043298,2.0135713,490000000,183000000,0.3734694,23000,44748698005,41368046559,7956.5217391,-0.1951867,0.738,-0.1951867,-0.0296009,-0.1951867,-0.0296009,-0.1951867,0.2304813,0.5460998,7.6398563,-1163.3599671,85.9579174,917466666.6666666,1307000000.0,48.7741949,34.2377184,34.2377184,0.4027796,0.4556906,0.4556906,0.6760486,USD,CHF,1.0,1.077669,0.1,0.1,0.19,0,0.5193949,51.04,80.52,66.71155,19.4395873,56.1128527,-1.0432191,1.9430122,53.8087844,3.7945707,3.1949727,0.0735561,0.1151057,0.6236933,0.3974997,2.0317014,2.3365088,3.2049727,0.1251057,0.4074997,2.3465088,2.7757407,27528800000.0,27605733333.333332,27605733333.333332,19739666666.666668,18964266666.666668,18964266666.666668,0.1066291,0.1096497,2273133333.3333335,2847133333.3333335,2847133333.3333335,7789133333.333333,8641466666.666666,8641466666.666666,1.8956258,None
SWX:AMS,AMS,Technology,Austria,3.3637243295225967e+21,3101154502.0,107714513.7333333,1042985728.9333333,6069056000.0,-184946000.0,4159518000.0,-184946000.0,4159518000.0,6069056000.0,3101154502.0,107714513.7333333,6069056000.0,-184946000.0,-184946000.0,6069056000.0,1.3169115,1.3169115,386.1379164,386.1379164,386.1379164,0.8624958,386.1379164,6.5780916,6.5200486,1050462128.440367,1069000000.0,579685333.3333334,1069000000.0,-0.03047,0.070263,2.25,-0.0637002,0.0,0.0323446,0.53478,1.23e-05,0,-0.667,17.105,-0.0389944,1.5740398,260671008,-160000000,-0.6138005,26240,6788092261,4789635831,-6097.5609756,0.0679309,1.964,0.0679309,0.6313621,0.0679309,0.6313621,0.0679309,2.8563564,1.6308405,13.0204366,5684.2721168,5684.2721168,693234544.6666666,929442000.0,9.7919129,7.303406,7.303406,2.0625529,2.2642792,2.2642792,1.5057522,EUR,CHF,1.178,1.077669,0.223032,0.202757,0.344687,0.223032,-0.0243205,15.215,24.83,18.046726,-5.2182651,12.421952,-31.1115586,0.3931357,0.3941357,1.495064,1.4497662,0.3695581,0.0476029,0.7010895,0.4457261,1.1389128,1.1144899,1.4597662,0.0576029,0.4557261,1.1244899,1.292128,8471106611.6,11482594266.666666,11482594266.666666,2739253661.3333335,3516801200.0,3516801200.0,8.39e-05,4.74e-05,157403333.3333333,331133333.3333333,331133333.3333333,5770177216.933333,7937599600.0,7937599600.0,0.4335584,None
SWX:BAER,JULIUS BAER N,Financial Services,Switzerland,1.3448289091256168e+23,3749131421.94,691058838.48,7237660926.3,4014640325.7,876037130.1,30477772522.8,876037130.1,30477772522.8,4014640325.7,3749131421.94,691058838.48,4014640325.7,876037130.1,876037130.1,4014640325.7,-0.2457085,3.5827339,16.626825,16.626825,16.626825,3.5827339,16.626825,0,100000,0.0,176000000.0,162006666.6666667,176000000.0,0.21821,1.0426757,5.625,0.6677038,2.5,0.8277601,0.61917,0.00231,0,3.765,63.26,0.0595163,2.0090504,213207008,812899968,3.8127263,6667,14383388054,14383388054,121928.8987551,0.234,0.077,0.1877679,0.0401809,0.1877679,0.0401809,0.222442,4.9663754,0.0677952,2.8537517,74.7467972,74.7467972,1573324895.4,-948887554.5,9.142033,151581.5860983,151581.5860983,15.8519751,15.9223483,15.9223483,3.9912817,CHF,CHF,1.077669,1.077669,1.75,0.75,0.75,0.75,0.6293597,36.71,64.12,60.349438,4.8228486,72.3236175,-1.3412352,1.9372492,52.8582661,1.0631894,1.0628839,3.6908538,1.0863191,117.2838917,82.6265689,0.4778674,0.4673845,1.0728839,1.0963191,82.6365689,0.4773845,0.7751342,113870170614.6,121442562716.76,121442562716.76,6755540553.54,7176154764.240001,7176154764.240001,0.1072136,0.2220761,-46033686666.666664,-45930040000.0,-45930040000.0,107104650846.12001,114257398639.68,114257398639.68,0.0015238,None
SWX:CFR,RICHEMONT N,Consumer Cyclical,Switzerland,856292944.4611046,15792660666.666666,1643624133.3333333,16935006533.333334,15483632000.0,1532578000.0,66745480000.0,1532578000.0,66745480000.0,15483632000.0,15792660666.666666,1643624133.3333333,15483632000.0,1532578000.0,1532578000.0,15483632000.0,4.6824718,4.6824718,39.85577,39.85577,39.85577,4.281083,39.85577,28.3340733,26.4582388,2503513770.272326,2835000000.0,2787200000.0,2835000000.0,0.09898,0.2438276,2.5,0.3124515,2.5,0.2723488,0.42183,0.00551,0,2.496,97.98,0.0254746,3.1973772,513447008,1300999936,2.5338544,34760,61542387647,60641039504,37428.0764097,16.844,0.121,0.2182947,-0.0002173,0.2182947,-0.0002173,12.6875737,35.8696206,0.0906957,3.2615723,3.1413232,3.1413232,3271698666.6666665,3790804000.0,18.8105305,16.234653,16.234653,0.8665176,0.9826006,0.9826006,0.9922621,EUR,CHF,1.178,1.077669,1.0,2.0,1.9,1.8,0.6196679,56.2,119,103.220215,-5.0767333,74.341637,-17.6638655,1.3305732,5.54923,2.1895655,2.024254,0.0718537,0.0835105,2.8260573,2.9271156,2.7228894,2.6600269,2.034254,0.0935105,2.9371156,2.6700269,2.3521405,38202225866.666664,41045054000.0,41045054000.0,20361258800.0,20635497200.0,20635497200.0,0.1373389,0.174269,12232200000.0,12995400000.0,12995400000.0,17718847733.333332,20277149600.0,20277149600.0,2.242639,None
SWX:CLN,CLARIANT N,Basic Materials,Switzerland,822994.9312313,4573699080.6,506863653.0,2072932243.8,4255714881.0,887999256.0,9522283284.0,887999256.0,9522283284.0,4255714881.0,4573699080.6,506863653.0,4255714881.0,887999256.0,887999256.0,4255714881.0,2.0109304,2.0109304,7.2371054,7.2371054,7.2371054,1.5104907,7.2371054,12.447077,12.7595573,607502353.5930736,577000000.0,625800000.0,577000000.0,0.20866,0.3809932,2.5,0.316972,2.5,0.3480824,0.5635,0.03597,0,2.501,18.825,0.1328552,2.6182554,329553984,106000000,0.3216468,13057,7941293684,6428217441,8118.2507467,0.88,0.046,42.4965648,-0.1145393,42.4965648,-0.1145393,11.2841412,33.8418758,0.0058652,1.0158441,0.6413519,0.6413519,465265629.6,317912355.0,17.0683007,24.9795063,24.9795063,2.0136027,2.1244154,2.1244154,1.4585375,CHF,CHF,1.077669,1.077669,0.7,0.615,3.0,0.36,-0.0189702,15.115,20.7,19.293768,-2.4296343,24.5451538,-9.057971,1.3285586,5.4990082,1.5296745,1.5001171,1.2360645,1.4517942,0.2704782,0.2756742,1.5371725,1.3974733,1.5101171,1.4617942,0.2856742,1.4074733,1.4587952,8015773866.6,7798228417.8,7798228417.8,2609108493.6,2447170765.2,2447170765.2,0.2138719,0.4628677,1211733333.3333333,964800000.0,964800000.0,5240057745.6,5199537391.2,5199537391.2,1.8446059,None
SWX:CSGN,CS GROUP N,Financial Services,Switzerland,4.6966319232052064e+17,22640316953.4,2736776347.8,33345018664.2,19608187455.0,209067786.0,141697308465.0,209067786.0,141697308465.0,19608187455.0,22640316953.4,2736776347.8,19608187455.0,209067786.0,209067786.0,19608187455.0,-3.4011234,1.2595058,120.30379,120.30379,120.30379,1.2595059,120.30379,0,100000,0.0,1390000000.0,1235533333.3333333,1390000000.0,0.01066,0.1300043,1.0,0.0024995,1.0,0.087691,0.44057,0.00072,0,0.079,9.508,0.0083088,0.5258673,2411269888,194000000,0.0804555,49240,24696626172,24696626172,3939.8862713,-0.782,-0.13,0.2144299,-3.84e-05,0.2144299,-3.84e-05,-0.5328925,0.1967107,-0.0975096,0.240249,-225.756192,442.9557352,-7799737154.4,18014315004.0,3158.2197099,1.3709445,1.3709445,17.4773568,17.5510063,17.5510063,4.1903921,CHF,CHF,1.077669,1.077669,0.1,0.1388,0.1388,0.2776,0.0359712,8.5,13.5,9.909049,-4.0473006,11.8588235,-29.5703704,0.4032,0.4042,1.0575235,1.0573799,0.5302733,1.4989631,0.2797657,0.0874903,1.7631269,4.3633039,1.0673799,1.5089631,0.0974903,4.3733039,2.7203419,857097241114.2,877431777475.2,877431777475.2,46392788314.8,47280500192.4,47280500192.4,0.1002383,0.1044219,292122400000.0,561891133333.3334,561891133333.3334,810498043263.6,829840621232.4,829840621232.4,0.2586872,None
SWX:GEBN,GEBERIT N,Industrials,Switzerland,274838115203.69998,3253820380.6200004,678773411.88,0,3611484352.8,848556570.6,0,848556570.6,0,3611484352.8,3253820380.6200004,678773411.88,3611484352.8,848556570.6,848556570.6,3611484352.8,8.6730801,8.6730801,33.917118,33.917118,33.917118,7.9813437,33.917118,27.4482294,27.3331017,1067842173.5374951,1076800000.0,892993333.3333334,1076800000.0,0.23495,1.1964933,5.625,0.6016891,2.5,0.8991859,0.40809,0.00447,0,21.983,756.2,0.0290704,13.539869,35874300,787400000,21.9488603,12011,29064500498,28825358263,65556.5731413,0.734,0.378,0.0386211,-0.0092611,0.0386211,-0.0092611,0.5601553,7.7343521,0.2811847,5.5526853,60.5494942,60.5494942,910371664.44,1130582547.9,31.9259723,25.7075439,25.7075439,0.967307,0.9394971,0.9394971,0.9702766,CHF,CHF,1.077669,1.077669,11.4,11.3,10.8,10.4,0.4261668,515.2,780,674.10706,12.178027,46.7779503,-3.0512821,1.8202417,36.3725999,2.0345059,2.0644872,0.0349821,0.2419725,0.3155414,0.3606165,1.8144887,1.8178281,2.0744872,0.2519725,0.3706165,1.8278281,1.9511576,3998554319.76,4058357764.7999997,4058357764.7999997,2033202180.0,2069419042.8600001,2069419042.8600001,0.3090887,0.5100458,464046666.6666667,482233333.3333333,482233333.3333333,1965352139.76,1965811945.2,1965811945.2,3.270899,None
SWX:GIVN,GIVAUDAN N,Basic Materials,Switzerland,5445331010705.744,6573277987.8,775777990.8,6481245055.2,6976829106.0,873989559.0,26204599404.0,873989559.0,26204599404.0,6976829106.0,6573277987.8,775777990.8,6976829106.0,873989559.0,873989559.0,6976829106.0,7.68378,7.68378,51.445137,51.445137,51.445137,6.4024696,51.445137,35.6600672,35.340103,1420508632.2151709,1446000000.0,1280333333.3333333,1446000000.0,0.12527,0.6587722,5.625,0.3384147,2.5,0.5010269,0.33525,0.13996,0,87.258,4583,0.0190395,11.342847,9233590,811000000,87.8314935,16130,49746409408,44668934636,50278.983261,0.165,0.047,0.0388712,0.0593705,0.0388712,0.0593705,0.1334678,3.9033246,0.0500926,2.4881379,385.4497781,385.4497781,1171138824.6,1281348441.0,42.4769535,38.823483,38.823483,1.8565371,2.0912317,2.0912317,1.4471092,CHF,CHF,1.077669,1.077669,64.0,62.0,60.0,58.0,0.1083951,3401,4683,4133.887,10.8641818,34.754484,-2.1353833,1.8439938,39.3148554,1.558787,1.4801999,0.0708294,0.0479891,0.3250544,0.5110277,1.885093,1.5624009,1.4901999,0.0579891,0.5210277,1.5724009,1.5313004,10971460710.6,12075496678.8,12075496678.8,3839231734.8,3900730712.4,3900730712.4,0.1723771,0.3240579,1502866666.6666667,1254200000.0,1254200000.0,7113262001.4,8158816465.2,8158816465.2,2.7228014,None
