"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
SWX:ABBN,ABB LTD N,Industrials,Switzerland,945840166136.0948,26766933333.333332,1.0,3565533333.3333335,21426666666.666668,1.0,28560000000.0,1.0,1827000000.0,1.0,83550000000.0,1.0,1827000000.0,83550000000.0,28560000000.0,26766933333.333332,1.0,3565533333.3333335,28560000000.0,1.0,1827000000.0,1.0,1827000000.0,28560000000.0,2.5597675,2.5597675,39.342266,22.123287,37.1898936,2.253988,37.1898936,16.746274,16.8502814,4311556209.845398,4258000000.0,3027400000.0,4258000000.0,0.06397,0.7726916,4.75,0.0853649,1.0,0.3083422,0.58029,0.00041,1.46,0.821,32.06,0.0256082,4.612309,1992999936,2055000064,1.0311089,105000,73099368716,69734322293,19571.429181,-0.856,0.068,1.3729628,-0.0204165,1.3729628,-0.0204165,-0.2987593,0.2201241,0.0458959,2.392332,0.98,0.98,1083033333.3333333,0.5,3492000000.0,1.0,67.4950313,20.9333816,20.9333816,1.8987658,1.0,1.8184609,1.0,1.8184609,1.3495032,USD,CHF,1.0,1.0832702,0.8,0.8,0.8,0.8,0.2870333,23.66,34.79,31.957972,0.3192568,35.5029586,-7.8470825,1.509434,11.8272753,1.557337,1.0,1.5644498,1.0,0.5067775,1.0,0.1411833,1.0,1.101074,2.0,0.5178661,1.0,1.2609285,1.0,0.5744578,0.5,1.5744498,0.1511833,0.5278661,0.5844578,1.0794538,43031733333.333336,1.0,39855733333.333336,1.0,39855733333.333336,14820466666.666666,1.0,14026866666.666666,1.0,14026866666.666666,0.1458403,0.23025,4516666666.666667,2414000000.0,2414000000.0,27809800000.0,1.0,25478866666.666668,1.0,25478866666.666668,2.3923338,None
SWX:ADEN,ADECCO N,Industrials,Switzerland,1601413288.5078895,24543748800.0,1.0,292152960.0,3820197600.0,1.0,23880528000.0,1.0,630784800.0,1.0,14450810400.0,1.0,630784800.0,14450810400.0,23880528000.0,24543748800.0,1.0,292152960.0,23880528000.0,1.0,630784800.0,1.0,630784800.0,23880528000.0,0.4398077,0.4398077,13.543635,10.828889,13.2042918,0.380991,13.2042918,8.2176877,8.1686901,1129530426.5752702,1143000000.0,924666666.6666666,1143000000.0,0.02641,0.0003364,0.1,0.0717724,2.75,0.0338396,0.49181,0.04328,4.5,3.598,45.78,0.0785933,2.238093,163092000,551000000,3.3784612,32952,9171439586,8609260553,16721.2915756,0.662,0.08,-0.4634442,-0.0983164,-0.4634442,-0.0983164,0.380639,6.4195944,0.0354209,2.1320438,-3.5,28571.4285714,875466720.0,1.0,697183200.0,1.0,10.4760574,13.1549922,13.1549922,1.88672,1.0,2.185995,1.0,2.185995,1.4795111,EUR,CHF,1.1448,1.0832702,2.5,2.5,2.5,2.5,-0.1553506,43.64,67.04,55.34706,-17.2855794,4.903758,-31.7124105,0.182906,0.183906,1.5359636,1.0,1.4611369,1.0,5.3106162,2.0,35.5282051,8.0,2.2741081,1.0,1.9481725,1.0,1.2884048,1.0,1.5032653,1.0,1.4711369,35.5382051,1.9581725,1.5132653,1.4922011,11443878720.0,1.0,12334227840.0,1.0,12334227840.0,3981461760.0,1.0,3862936800.0,1.0,3862936800.0,0.151141,0.2632915,1284600000.0,2266266666.6666665,2266266666.6666665,7452648000.0,1.0,8460072000.0,1.0,8460072000.0,2.1701687,None
SWX:ALC,ALCON N,Healthcare,Switzerland,1e+50,7052933333.333333,1.0,-471333333.3333333,910333333.3333334,0.125,8082000000.0,1.0,332000000.0,1.0,227583333.3333333,1.0,332000000.0,227583333.3333333,8082000000.0,7052933333.333333,1.0,-471333333.3333333,8082000000.0,1.0,332000000.0,1.0,332000000.0,8082000000.0,5.3405221,5.3405221,122.01626,32.34483,110.8073313,4.5504956,110.8073313,22.4204433,22.1505741,1972514680.1951976,2020000000.0,1447733333.3333333,2020000000.0,0.04108,-0.7600864,0.1,0.078812,2.75,-0.2123982,0.56358,0.00057,2.32,0.615,75.32,0.0081652,1.9262264,490100000,332000000,0.6774128,23000,43160011682,39839540112,14434.7826087,-0.1951867,0.144,-0.1951867,-0.0296009,-0.1951867,-0.0296009,-0.1951867,0.2304813,0.1005998,3.4217466,-567.699046,176.1496707,458733333.3333333,0.5,1397000000.0,1.0,94.0851875,30.8947829,30.8947829,0.2013898,0.5,0.9109389,2.0,0.9109389,0.9554312,USD,CHF,1.0,1.0832702,0.1,0.1,0.19,0,0.2445472,55.46,80.52,69.348114,8.6114613,35.8095925,-6.4580229,1.584996,15.855102,0.6324285,0.1666667,3.1957233,1.0,0.0122594,0.1666667,0.0530618,0.5,3.7421596,6.0,0.7962963,2.0,4.0634029,2.0,2.2798386,1.0,3.2057233,0.0630618,0.8062963,2.2898386,2.747781,27528800000.0,1.0,27716800000.0,1.0,27716800000.0,9869833333.333334,0.5,28564800000.0,1.5,28564800000.0,0.1119783,0.1116227,2273133333.3333335,2888466666.6666665,2888466666.6666665,15578266666.666666,2.0,8673600000.0,1.0,8673600000.0,1.8490298,effective_profit_margin          <= 0   |
SWX:AMS,AMS,Technology,Austria,1e+50,12055014172.8,4.0,104678756.64,1013590884.9599999,1.0,5975856000.0,1.0,-535766400.0,0.25,3062340000.0,1.0,-535766400.0,3062340000.0,5975856000.0,12055014172.8,4.0,104678756.64,5975856000.0,1.0,-535766400.0,0.25,-535766400.0,5975856000.0,1.3226729,1.3226729,10599.6837197,15.982142,9276.7210225,0.8938719,9276.7210225,6.839768,6.7094403,1049022967.3740892,1089000000.0,579685333.3333334,1089000000.0,-0.02241,0.0242642,0.777,-0.4854797,0.1,-0.1602085,0.54693,1.23e-05,1.12,-0.473,17.53,-0.0269823,1.6190304,260671008,-118000000,-0.4526779,29753,6901640138,5054550816,-3965.9866232,0.0679309,0.056,0.0679309,0.6313621,0.0679309,0.6313621,0.0679309,2.8563564,0.1998405,4.7203526,264.44,264.44,1347393729.6,2.0,1068098400.0,1.0,5.1222148,6.4616145,6.4616145,4.1251058,2.0,4.5932297,2.0,4.5932297,2.1441822,EUR,CHF,1.1448,1.0832702,0.223032,0.202757,0.344687,0.223032,-0.2188057,15.215,24.83,17.65514,-0.7088021,15.2152481,-29.3999195,0.4815393,0.4825393,2.9901281,2.0,2.8561513,2.0,0.3695581,1.0,0.3075382,4.0,1.402179,2.0,0.3748514,1.0,2.2778256,2.0,1.0837289,1.0,2.8661513,0.3175382,0.3848514,1.0937289,1.9799401,16464724701.12,2.0,10990461600.0,1.0,10990461600.0,5324104569.6,2.0,3355790400.0,1.0,3355790400.0,5.13e-05,1e-06,157403333.3333333,250800000.0,250800000.0,5607554225.76,1.0,5130332160.0,0.6666667,5130332160.0,0.9336614,effective_profit_margin          <= 0   |
SWX:BAER,JULIUS BAER N,Financial Services,Switzerland,9.815503581621441e+22,15074470343.941336,4.0,694650626.6506667,14550557544.413334,2.0,4035506476.0600004,1.0,880590345.58,1.0,30636181180.24,1.0,880590345.58,30636181180.24,4035506476.0600004,15074470343.941336,4.0,694650626.6506667,4035506476.0600004,1.0,880590345.58,1.0,880590345.58,4035506476.0600004,-0.0043331,3.8047948,17.657372,17.657372,17.657372,3.8047948,17.657372,0,100000,0.0,176000000.0,162006666.6666667,176000000.0,0.21821,6.841343,36.9075,0.7344741,2.75,2.599009,0.6149,0.00231,0,3.765,65.76,0.0572536,2.133573,213207008,812899968,3.8127263,6667,15354274171,15354274171,121928.8987551,0.234,0.077,0.1877679,0.0401809,0.1877679,0.0401809,0.222442,4.9663754,0.0677952,2.8537517,79.3796774,79.3796774,790751136.9933335,0.5,-1907638822.2,0.5,19.417328,804883.7123839,804883.7123839,31.7039503,2.0,15.9223483,1.0,15.9223483,3.9912817,CHF,CHF,1.0832702,1.0832702,1.75,0.75,0.75,0.75,0.3228726,48.15,67.5,61.46154,6.9937395,36.5732087,-2.5777778,1.820155,36.3622119,1.0631894,1.0,1.0628839,1.0,3.6908538,1.0,1.0863191,1.0,117.2838917,1.0,82.6265689,1.0,0.4778674,1.0,0.4673845,1.0,1.0728839,1.0963191,82.6365689,0.4773845,0.7751342,114462012450.68001,1.0,122073762168.80801,1.0,122073762168.80801,13581305143.864002,2.0,7213452930.992001,1.0,7213452930.992001,0.1072136,0.2220761,-46033686666.666664,-45930040000.0,-45930040000.0,107661328796.69601,1.0,114851253098.94402,1.0,114851253098.94402,0.0032808,None
SWX:CFR,RICHEMONT N,Consumer Cyclical,Switzerland,14296417276.466507,15347570400.0,1.0,1597301280.0,16457721120.0,1.0,15047251200.0,1.0,1489384800.0,1.0,64864368000.0,1.0,1489384800.0,64864368000.0,15047251200.0,15347570400.0,1.0,1597301280.0,15047251200.0,1.0,1489384800.0,1.0,1489384800.0,15047251200.0,5.7976621,5.7976621,56.175133,56.175133,56.175133,5.8527074,56.175133,35.083872,32.7609338,2503483696.6684165,2835000000.0,2787200000.0,2835000000.0,0.09898,0.4632724,4.75,0.3436967,2.75,0.302983,0.42148,0.00551,0,2.421,122.65,0.0197391,4.371163,513447008,1300999936,2.5338544,34760,76201025945,83333801071,37428.0764097,16.844,0.121,0.2182947,-0.0002173,0.2182947,-0.0002173,12.6875737,35.8696206,0.0906957,3.2615723,4.427571,4.427571,3179491200.0,1.0,3683966400.0,1.0,23.9664214,20.6845062,20.6845062,1.7330353,2.0,0.9826006,1.0,0.9826006,0.9922621,EUR,CHF,1.1448,1.0832702,2.0,1.0,2.0,1.9,0.6197834,73.22,136,107.36581,14.2356212,67.5088774,-9.8161765,1.5747053,15.2473991,4.379131,2.0,2.024254,1.0,0.0718537,1.0,0.0835105,1.0,2.8260573,1.0,2.9271156,1.0,2.7228894,1.0,2.6600269,1.0,2.034254,0.0935105,2.9371156,2.6700269,2.3521405,74251117440.0,2.0,39888266400.0,1.0,39888266400.0,39574820160.0,2.0,20053919520.0,1.0,20053919520.0,0.1373389,0.174269,12232200000.0,12995400000.0,12995400000.0,17219471040.0,1.0,19705671360.0,1.0,19705671360.0,2.4060906,None
SWX:CLN,CLARIANT N,Basic Materials,Switzerland,1373187.2998877,1149367736.7033336,0.25,509498084.0666667,2083706338.7066667,1.0,4277834019.8,1.0,892614644.8000001,1.0,9571775487.2,1.0,892614644.8000001,9571775487.2,4277834019.8,1149367736.7033336,0.25,509498084.0666667,4277834019.8,1.0,892614644.8000001,1.0,892614644.8000001,4277834019.8,2.1264594,2.1264594,7.9228315,7.9228315,7.9228315,1.6536117,7.9228315,13.1638995,13.494286,607493653.7195523,577000000.0,625800000.0,577000000.0,0.20866,0.1447774,0.95,0.3486693,2.75,0.2350356,0.56734,0.0351,0,2.501,19.265,0.1298209,2.8663387,329553984,106000000,0.3216468,13057,8398400778,7073876286,8118.2507467,0.88,0.046,42.4965648,-0.1145393,42.4965648,-0.1145393,11.2841412,33.8418758,0.0058652,1.0158441,0.7021209,0.7021209,467683854.3466667,1.0,319564709.0,1.0,17.9574315,26.2807517,26.2807517,2.0136027,1.0,2.1244154,1.0,2.1244154,1.4585375,CHF,CHF,1.0832702,1.0832702,0.7,0.615,3.0,0.36,0.0696835,16.93,20.7,18.938496,1.7240229,13.7920851,-6.9323671,1.2387268,3.612877,0.7648373,0.5,1.5001171,1.0,1.2360645,1.0,1.4517942,1.0,0.0901594,0.3333333,0.2756742,1.0,4.6115175,3.0,1.3974733,1.0,1.5101171,1.4617942,0.2856742,1.4074733,1.4587952,4028717982.806667,0.5,7838759821.240001,1.0,7838759821.240001,2622669372.2133336,1.0,2459889970.1600003,1.0,2459889970.1600003,0.2138719,0.4628677,1211733333.3333333,964800000.0,964800000.0,5267293020.4800005,1.0,5226562060.960001,1.0,5226562060.960001,1.8629963,None
SWX:CSGN,CS GROUP N,Financial Services,Switzerland,865556553052929.5,22757990323.720005,1.0,2751000781.906667,67036659748.72,2.0,20218155012.800003,1.0,44414078.2,0.5,142211711856.0,1.0,44414078.2,142211711856.0,20218155012.800003,22757990323.720005,1.0,2751000781.906667,20218155012.800003,1.0,44414078.2,0.5,44414078.2,20218155012.800003,-4.0135161,1.1947733,310.73334,6.956716,272.761262,1.1941335,272.761262,0,100000,0.0,1365000000.0,1235533333.3333333,1365000000.0,0.00439,0.1300043,1.0,0.0127435,0.325,0.0500459,0.44941,0.00072,1.34,0.03,9.308,0.003223,0.5011289,2392110080,74000000,0.030935,49950,24156111534,24156111534,1481.4814815,-0.205,0.092,0.2144299,-3.84e-05,0.2144299,-3.84e-05,-0.1001425,0.2399857,0.0689904,2.8766025,4.22,4.22,-15680552799.04,0.5,12183539939.400002,0.5,64913.3979075,1.9826842,1.9826842,17.4773568,1.0,17.3325409,1.0,17.3325409,4.1642368,CHF,CHF,1.0832702,1.0832702,0.1,0.1388,0.1388,0.2776,-0.1576471,8.706,13.5,9.499916,-2.0201863,6.9147714,-31.0518519,0.2511473,0.2521473,1.0575235,1.0,1.0581081,1.0,0.5302733,1.0,0.8036149,0.5,0.1398828,0.5,0.0281888,0.5,1.7631269,1.0,4.7615055,1.0,1.0681081,0.8136149,0.0381888,4.7715055,2.9198068,861552016251.0267,1.0,876937558465.6,1.0,876937558465.6,46633915493.840004,1.0,47819951926.81334,1.0,47819951926.81334,0.1000506,0.1009288,292122400000.0,593359400000.0,593359400000.0,814710618404.8801,1.0,828794647583.16,1.0,828794647583.16,0.2698828,None
SWX:GEBN,GEBERIT N,Industrials,Switzerland,7137907927352.753,3270732158.462667,1.0,682301346.3706667,0,1.0,3355862752.5800004,1.0,748864689.26,1.0,0,1.0,748864689.26,0,3355862752.5800004,3270732158.462667,1.0,682301346.3706667,3355862752.5800004,1.0,748864689.26,1.0,748864689.26,3355862752.5800004,8.4484243,8.4484243,33.648243,33.648243,33.648243,7.8269677,33.648243,27.1153364,27.7516789,1015356768.4071751,967700000.0,892993333.3333334,967700000.0,0.23204,3.7888955,17.8125,0.6384265,2.75,1.5541207,0.40932,0.00447,0,22.123,735.4,0.0300829,13.518078,35874300,791699968,22.0687224,11908,28823969623,28928547037,66484.7134699,0.023,0.076,0.0386211,-0.0092611,0.0386211,-0.0092611,0.0269053,1.8902824,0.0546847,2.5884763,1250.6192717,1250.6192717,1830206668.3040001,2.0,991083905.98,1.0,15.7490245,29.0832789,29.0832789,0.4836535,0.5,2.0985245,2.0,2.0985245,1.4496285,CHF,CHF,1.0832702,1.0832702,11.4,11.3,10.8,10.4,0.3113409,521.6,780,704.4504,4.3934392,40.9892638,-5.7179487,1.6547988,20.5338849,6.1035178,3.0,15.7471763,8.0,0.0349821,1.0,0.0730921,0.5,0.3155414,1.0,0.1623767,0.5,1.8144887,1.0,3.3719473,2.0,15.7571763,0.0830921,0.1723767,3.3819473,9.5695618,4019336862.8746667,1.0,6080612286.64,1.5,6080612286.64,2043769777.3333335,1.0,2025130308.092,1.0,2025130308.092,0.2231561,0.4697859,464046666.6666667,420933333.3333333,420933333.3333333,1975567085.5413334,1.0,1377703040.3600001,0.6666667,1377703040.3600001,3.7127628,None
SWX:GIVN,GIVAUDAN N,Basic Materials,Switzerland,1176669067631.703,26429770775.626667,4.0,779810107.9733334,13029862837.653334,2.0,7013091274.8,1.0,878532132.2,1.0,26340798183.2,1.0,878532132.2,26340798183.2,7013091274.8,26429770775.626667,4.0,779810107.9733334,7013091274.8,1.0,878532132.2,1.0,878532132.2,7013091274.8,7.9154554,7.9154554,56.253128,56.253128,56.253128,6.41211,56.253128,36.7347758,36.4049647,1420493141.4585238,1446000000.0,1280333333.3333333,1446000000.0,0.12527,4.3224238,36.9075,0.3722562,2.75,1.60765,0.3345,0.13996,0,79.96,4457,0.0179403,11.879138,9219220,811000000,87.9683965,16130,51244508280,44968709769,50278.983261,0.165,0.047,0.0388712,0.0593705,0.0388712,0.0593705,0.1334678,3.9033246,0.0500926,2.4881379,421.4733786,421.4733786,1177225835.3466668,1.0,1288008267.8000002,1.0,43.5298876,39.7858535,39.7858535,1.8565371,1.0,2.0912317,1.0,2.0912317,1.4471092,CHF,CHF,1.0832702,1.0832702,64.0,62.0,60.0,58.0,4457,3401,4683,4311.3145,3.3791434,31.0496913,-4.8259663,1.6474259,19.9910374,0.5195957,0.3333333,1.4801999,1.0,0.0354147,0.5,0.0479891,1.0,0.3250544,1.0,0.5110277,1.0,3.7701861,2.0,1.5624009,1.0,1.4901999,0.0579891,0.5210277,1.5724009,1.5313004,22056970068.293335,2.0,12138259245.04,1.0,12138259245.04,3859186196.506667,1.0,3921004815.92,1.0,3921004815.92,0.1723771,0.3240579,1502866666.6666667,1254200000.0,1254200000.0,14300466564.24,2.0,8201222030.160001,1.0,8201222030.160001,2.7232219,None
