Symbol,Name,Sector,Value,Close,Grade
SWX:UBSG,UBS GROUP N,Financial Services,0.00607/-0.26394,16.38,0.074
SWX:KNIN,KUEHNE+NAGEL INT N,Industrials,0.07246/-0.02793,276.5,0.07
SWX:LOGN,LOGITECH N,Technology,0.09012/-0.13532,75.08,0.07
SWX:ADEN,ADECCO N,Industrials,17.29716/0.08579,44.1,0.0645
SWX:ZURN,ZURICH INSURANCE N,Financial Services,19.74949/0.15056,384.0,0.0604
SWX:BAER,JULIUS BAER N,Financial Services,17.85714/0.40675,58.62,0.0549
SWX:HOLN,HOLCIM N,Basic Materials,88.41517/0.1918,44.89,0.0521
SWX:ROG,ROCHE GS,Healthcare,8.6842/1.04942,365.45,0.0521
SWX:SCHP,SCHINDLER PS,Industrials,56.45325/0.34402,240.4,0.0507
SWX:NOVN,NOVARTIS N,Healthcare,25.02502/0.41324,74.71,0.0494
SWX:SOON,SONOVA N,Healthcare,22.71666/0.84719,333.5,0.0493
SWX:SCMN,SWISSCOM N,Communication Services,209.69528/0.35825,512.8,0.0439
SWX:UHR,SWATCH GROUP I,Consumer Cyclical,380.0734/0.31404,271.3,0.0439
SWX:SLHN,SWISS LIFE HOLDING AG N,Financial Services,27.48998/1.13446,544.2,0.0384
SWX:ABBN,ABB LTD N,Industrials,429.43836/0.98282,33.39,0.0343
SWX:NESN,NESTLE N,Consumer Defensive,107.80578/1.49369,124.02,0.0302
SWX:GEBN,GEBERIT N,Industrials,267.80956/1.15321,718.6,0.0288
SWX:VIFN,VIFOR N,Healthcare,109.00304/1.68379,158.0,0.0274
SWX:CFR,RICHEMONT N,Consumer Cyclical,925.56606/1.13024,136.3,0.0247
SWX:SGSN,SGS N,Industrials,1011.96987/1.1223,2959.0,0.0247
SWX:GIVN,GIVAUDAN N,Basic Materials,494.25473/1.75028,4718.0,0.0192
SWX:CSGN,CS GROUP N,Financial Services,46152.91354/1.10684,8.732,0.0192
SWX:SIKA,SIKA N,Basic Materials,753.6773/1.76715,369.6,0.0165
SWX:TEMN,TEMENOS N,Technology,4518.52607/1.20843,123.35,0.0165
SWX:PGHN,PARTNERS GROUP N,Financial Services,3828.43287/2.27031,1446.5,0.0096
SWX:LONN,LONZA N,Healthcare,17437.0701/1.77659,725.2,0.0082
SWX:STMN,STRAUMANN N,Healthcare,39940.73995/2.56129,1941.0,0.0041
