Symbol,Name,Sector,Value,Close,Grade
SWX:IREN,INVESTIS N,Real Estate,15253893.77002/-1.6797,104.5,45.7496
SWX:SPCE,SPCE N,Financial Services,6441103346.77543/-2.06139,15.5,45.7196
SWX:VZUG,V-ZUG N,Technology,590.5215/-1.85024,117.8,38.6147
SWX:BKW,BKW N,Utilities,827346.43124/-1.44738,116.6,37.7795
SWX:HBMN,HBM N,Financial Services,70370777777954.48/-1.2468,334.5,35.1005
SWX:BELL,BELL FOOD GROUP N,Consumer Defensive,598804.63871/-1.43691,285.0,31.5765
SWX:LISP,LINDT PS,Consumer Defensive,2080985378.27751/-0.80492,11940.0,27.3375
SWX:CPHN,CPH N,Basic Materials,14805315.6254/-1.09224,60.8,26.6381
SWX:PEAN,Peach Property N,Real Estate,917064280706.8546/-1.28591,63.2,26.4318
SWX:BALN,BALOISE N,Financial Services,727569227.31446/-0.67682,159.5,26.3353
SWX:UBSG,UBS GROUP N,Financial Services,3.3268436978441384e+19/0.28664,17.78,26.2076
SWX:SWON,SOFTWAREONE N,Technology,237816462.39827/-1.15205,19.22,26.1893
SWX:BEKN,BEKB / BCBE N,Financial Services,1.2241829046535328e+22/-0.73576,209.0,26.0767
SWX:LOGN,LOGITECH N,Technology,118177382.88816/-1.17612,74.1,24.5775
SWX:AAM,ANGLO PLC,Basic Materials,84.09959/-1.61875,32.0,24.1814
SWX:HIAG,HIAG IMMOBILIEN N,Real Estate,668443253.79682/-1.30837,95.2,22.5862
SWX:UHRN,SWATCH GROUP N,Consumer Cyclical,318871.31141/-1.51794,58.2,22.4526
SWX:LLBN,LIECHT LANDBK N,Financial Services,1578614301577525.2/-0.86654,53.4,22.1009
SWX:NOVN,NOVARTIS N,Healthcare,175909473.2913/-0.92976,81.73,21.4077
SWX:UBSGEE,UBS GROUP N 2. LINIE,Financial Services,3.111110762451299e+21/-0.10805,16.295,21.3174
SWX:ZURN,ZURICH INSURANCE N,Financial Services,70281602755.54266/-0.15301,420.0,21.0714
SWX:EFGN,EFG INTERNATIONAL N,Financial Services,1.1192370176293426e+20/-0.77257,7.27,21.0572
SWX:CLN,CLARIANT N,Basic Materials,1779124.47799/-1.26477,19.42,20.1702
SWX:KNIN,KUEHNE+NAGEL INT N,Industrials,63146.57994/-2.33397,293.0,20.1075
SWX:LISPE,LINDT PS 2. LINIE,Consumer Defensive,1503534616.21801/-0.87291,11990.0,19.6872
SWX:ZUGN,ZUG ESTATES HOLDING AG,Real Estate,339720656.21792/-1.09957,1965.0,18.4628
SWX:BCVN,BC VAUD N,Financial Services,1.0379173636549708e+19/-0.86962,71.6,17.9882
SWX:PEHN,PRIVATE EQUITY N,Financial Services,1355178995761.5105/-1.51077,97.0,17.7421
SWX:SFSN,SFS Group N,Industrials,619322.71537/-1.87328,132.1,17.2765
SWX:BCGE,BC GENEVE N,Financial Services,3.152297121319279e+21/-0.97452,163.0,17.0882
SWX:HREN,ROMANDE ENERGIE N,Utilities,1113750.78204/-1.34004,1360.0,17.0597
SWX:HOLN,HOLCIM N,Basic Materials,4231356.64085/-0.77312,48.36,16.6323
SWX:PM,PHOENIX I,Industrials,399.22201/-1.55398,399.0,16.5557
SWX:SUN,SULZER N,Industrials,37213.08235/-1.39839,88.7,16.3098
SWX:ALPN,ALPINE SELECT N,Financial Services,1.5751580378602273e+19/-1.26982,15.3,15.9591
SWX:VONN,VONTOBEL N,Financial Services,8796779250051.977/-0.86935,81.45,15.7197
