Symbol,Name,Sector,Country,sss_value,sss_value_normalized,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,evr_effective_normalized,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,trailing_12months_price_to_sales_normalized,pe_effective,pe_effective_normalized,enterprise_value_to_ebitda,effective_ev_to_ebitda,effective_ev_to_ebitda_normalized,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,effective_profit_margin_normalized,held_percent_institutions,held_percent_insiders,held_percent_insiders_normalized,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,price_to_book_normalized,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,eqg_factor_effective_normalized,rqg_effective,rqg_factor_effective,rqg_factor_effective_normalized,price_to_earnings_to_growth_ratio,effective_peg_ratio,effective_peg_ratio_normalized,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,ev_to_cfo_ratio_effective_normalized,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,debt_to_equity_effective_used_normalized,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,eff_dist_from_low_factor_normalized,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,effective_current_ratio_normalized,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roa_normalized,calculated_roe,calculated_roe_normalized,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,altman_z_score_factor_normalized,skip_reason
SWX:CPEN,CASTLE PRIVATE N,Financial Services,Switzerland,8611459.8367962,-3.200916129888769,11691333.3333333,0.0,6320600.0,55930000.0,0.5,8663000.0,0.0,1110500.0,0.0,308294000.0,1.0,1110500.0,308294000.0,8663000.0,11691333.3333333,1.0,6320600.0,8663000.0,1.0,1110500.0,0.25,1110500.0,8663000.0,7.711953,7.711953,0.00038791000865321686,24.365484,24.365484,24.365484,11.312884,0.0009587994246974958,24.365484,0.00034747380146193685,0.0,100000.0,0.23138763264161674,0.0,0.0,0.0,0.0,0.51276,0.4791106,0.0,0.9691453,1.0,0.654672,0.0014910829374338058,0.4134,0.085,0.08919015340706386,0.0,0.394,9.6,0.0410417,0.6194748,0.0006194748,10208700,4442000,0.4351191,10000000,66807285,106241009,0.4442,0.410121,7.979,0.410121,0.0150798,0.410121,0.0150798,0.410121,6.6540692,0.08181565388004373,5.9880199,24.720431,1.0,59.4104725,59.4104725,3.61553221017696e-05,19614400.0,0.5,26152000.0,1.0,3.4060326,2.5545765,2.5545765,1.200429803058914e-08,0.0122415,2.0,0.0043257,1.0,0.0043257,0.0667704,0.00027418940638834104,USD,CHF,1.0,1.084053,3.0,3.0,1.0,1.0,9.6,8.0,11.4,9.17325,4.6521135,20.0,-15.7894737,0.9411765,0.9421765,0.011275124923081283,370.6894671,2.0,232.1810699,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,79.3079973,2.0,49.4999022,1.0,232.1910699,0.01,0.01,49.5099022,140.850486,1.0,186000133.3333333,1.0,156744400.0,1.0,156744400.0,184689600.0,1.0,156068200.0,1.0,156068200.0,0.1070848,0.2315201357060561,0.1071155,0.04218587629047063,45407200.0,32870000.0,32870000.0,654766.6666667,0.5,675200.0,1.0,675200.0,9.8726387,1.0,None
SWX:ADVN,ADVAL TECH N,Industrials,Switzerland,20.5493913,-2.6463550710619055,42581186.28635,0.25,6884242.4414,171533897.8616,2.0,177510426.591,1.0,9223122.924,1.0,367899402.822,1.0,9223122.924,367899402.822,177510426.591,42581186.28635,0.25,6884242.4414,177510426.591,1.0,9223122.924,1.0,9223122.924,177510426.591,0.7057185,0.7057185,3.5497528245015915e-05,13.899614,13.899614,13.899614,0.7221167,6.12014652076742e-05,13.899614,0.00019822104561655982,5.8918281,5.8918848,1.3633092756691254e-05,19622378.1048758,19622000.0,16194333.3333333,19622000.0,0.05196,0.0342279,0.95,0.1355316,2.75,0.0749065,0.00017060727211929848,0.09376,0.70731,0.7421774988982393,0.0,11.655,170.0,0.0685588,0.9067553,0.0009067553000000001,729904,8508000,11.6563274,1132,115613905,128183248,7515.9010601,87.75,0.469,-0.2911796,-0.160474,-0.2911796,-0.160474,65.7397051,81.3300253,1.0,0.3116315,5.8323964,0.2359342521172062,0.2114341,0.2114341,1.286720617951282e-07,7784512.3228,1.0,2982771.8295,0.5,14.8517853,38.7605597,38.7605597,1.8214107523154728e-07,0.6401321,2.0,0.2765974,1.0,0.2765974,0.5269253,0.002163793166103521,CHF,CHF,1.084053,1.084053,1.35,2.7,4.2,4.0,-0.0502793,157.0,190.0,173.535,-2.037053,8.2802548,-10.5263158,0.7878788,0.7888788,0.009440595280364618,4.24223,1.0,4.6161757,1.0,0.030209,0.5,0.0289793,1.0,2.7809045,1.0,1.0952099,1.0,7.8736397,3.0,3.0934921,1.0,4.6261757,0.0389793,1.1052099,3.1034921,3.8648339,0.027439265633772823,179392703.95,1.0,179388656.8188,1.0,179388656.8188,272035295.1684,2.0,140526440.8218,1.0,140526440.8218,0.1514142,0.3273614568250949,0.1656327,0.06523202143346793,54742866.6666667,64554600.0,64554600.0,43375056.3658,1.0,38862215.997,1.0,38862215.997,2.5753763,0.26085997657343624,None
SWX:KNIN,KUEHNE+NAGEL INT N,Industrials,Switzerland,63146.5799372,-2.3339721488950036,22228434494.8,1.0,850837064.6,6732836372.4,2.0,89057122056.0,3.0,3310697862.0,2.0,14670489249.0,1.0,3310697862.0,14670489249.0,89057122056.0,22228434494.8,1.0,850837064.6,89057122056.0,3.0,3310697862.0,2.0,3310697862.0,89057122056.0,1.4266137,1.4266137,7.175844208487755e-05,21.465145,21.524487,21.4725627,1.1974914,0.00010149083694309947,21.4725627,0.0003062181317021567,17.2353586,16.2237573,3.753976794199147e-05,2568492966.3500853,2870000000.0,1644666666.6666667,2870000000.0,0.05576,0.1825972,4.75,12.1378806,200.8926563,4.1264126,0.00939832988224923,0.21285,0.58159,0.6102600155295798,12.66,12.695,293.0,0.0433276,11.653766,0.011653766,120338000,1527000064,12.6892591,71338,39072315597,35548379758,21405.1426168,1.094,0.703,0.0096254,0.0018622,0.0096254,0.0018622,0.8229064,9.3214186,0.11461226730984429,0.5277155,7.5144032,0.3039754120791826,26.0935676,26.0935676,1.5879714495828982e-05,1645303373.2,1.0,2251578081.0,1.0,23.7477879,17.3533025,17.3533025,8.154549884294621e-08,2.9788064,1.0,1.6764804,0.5,1.6764804,1.2957897,0.005321097501993796,CHF,CHF,1.084053,1.084053,4.5,4.0,4.0,6.0,293.0,198.5,364.6,302.1175,-3.0178656,47.6070529,-19.6379594,1.1378688,2.1704662,0.025974196497498638,2.6831609,2.0,1.3026923,1.0,0.5377943,1.0,0.5377943,1.0,0.3673146,1.0,0.2393418,1.0,1.1010183,1.0,0.5567852,0.5,1.3126923,0.5477943,0.2493418,0.5667852,0.9397387,0.006671888231894352,20426593868.4,2.0,19603472425.5,1.5,19603472425.5,2563929885.4,1.0,2998996489.4,1.0,2998996489.4,0.2688832,0.58133250426838,1.2039352,0.47415230670578035,522266666.6666667,741400000.0,741400000.0,7642862730.8,1.0,15093920350.8,1.5,15093920350.8,2.7352289,0.2770514533262521,None
SWX:CLTN,COLTENE N,Healthcare,Switzerland,165017.1766135,-2.32666166721883,264368294.1908,1.0,14384805.1484,-230677805.976,0.25,312132464.343,1.0,28327388.943,1.0,-875420495.8319999,0.25,28327388.943,-875420495.8319999,312132464.343,264368294.1908,1.0,14384805.1484,312132464.343,1.0,28327388.943,1.0,28327388.943,312132464.343,2.6201561,2.6201561,0.00013179343486971183,24.93615,22.851065,24.6755144,2.22892,0.00018890737443226168,24.6755144,0.0003518951148927214,12.3603723,12.3602406,2.8600068113147962e-05,61045698.9124715,61047000.0,36387333.3333333,61047000.0,0.09075,0.0522315,1.1875,0.3091565,2.75,0.1517127,0.0003455413067337747,0.20384,0.56516,0.5930200835239554,4.7,4.307,111.4,0.0386625,6.7028646,0.0067028645999999996,5975560,26131000,4.3729793,1189,754531484,695718296,21977.2918419,61.721,0.381,-0.3011037,0.0752736,-0.3011037,0.0752736,46.2154741,68.2319638,0.8389517100027264,0.3045684,5.7687716,0.23336047822143552,0.5339232,0.5339232,3.2492866091256137e-07,32141665.5586,1.0,43473777.459,1.0,23.4751831,17.3560139,17.3560139,8.155824007566331e-08,1.0330302,1.0,1.0311755,1.0,1.0311755,1.0164681,0.004174076910602376,CHF,CHF,1.084053,1.084053,3.0,1.5,3.0,3.0,111.4,84.0,135.0,120.061,-7.213833,32.6190476,-17.4814815,1.0745098,1.5390839,0.018418378339518277,2.0420644,1.0,1.9702792,1.0,0.0229952,0.5,0.0280355,1.0,0.541015,1.0,0.2930482,1.0,1.6020966,1.0,1.5127954,1.0,1.9802792,0.0380355,0.3030482,1.5227954,1.7515373,0.012435436679998394,201970420.3214,1.0,208336557.699,1.0,208336557.699,100081146.0938,1.0,102597811.2684,1.0,102597811.2684,0.2359694,0.510172008636862,0.3761013,0.14812200768782466,46761466.6666667,46797800.0,46797800.0,101889274.2276,1.0,105738746.4306,1.0,105738746.4306,0.199934,0.020251323488623157,None
SWX:NBEN,nebag N,Financial Services,Switzerland,535562237009374.4,-2.1312394640938153,2708233.5333333,0.0,725739.8,67965804.8666667,1.0,1505894.0,0.0,11726300.0,0.0,285175638.0,1.0,11726300.0,285175638.0,1505894.0,2708233.5333333,1.0,725739.8,1505894.0,1.0,11726300.0,1.0,11726300.0,1505894.0,41.9875408,41.9875408,0.002111966620524696,7.2373543,7.2373543,7.2373543,56.384483,0.004778746945718327,7.2373543,0.00010321120693304902,0.0,100000.0,0.23138763264161674,0.0,0.0,0.0,0.0,7.7869396,-0.9022786,0.0,8.3702521,1.0,5.085971,0.011583823011192092,0.01612,0.397,0.41657048120711004,0.0,1.285,9.3,0.138172,0.961638,0.000961638,9130000,11726299,1.2843701,10000000,63228856,92045856,1.1726299,0.3671882,-0.364,0.3671882,-0.0761356,0.3671882,-0.0761356,0.3671882,6.3096055,0.07758027219007886,-0.2920339,0.2207966,0.008931745567057468,19.7102043,19.7102043,1.199500281971641e-05,1309110.8,1.0,-622776.0,0.5,48.2990873,10152744.6248179,10152744.6248179,0.04770911041606152,0.0036721,1.0,0.0451827,1.0,0.0451827,0.2135621,0.0008769823967813212,USD,CHF,1.0,1.084053,0.4,0.5,0.5,0.7,9.3,8.9,10.2,9.49725,-2.076917,4.494382,-8.8235294,0.6153846,0.6163846,0.007376339110202268,589.5523837,1.0,190.6798711,1.0,0.0,1.0,0.0,1.0,17.994914,1.0,2.4884648,1.0,214.2016126,1.0,60.189667,1.0,190.6898711,0.01,2.4984648,60.199667,125.444769,0.8906236148876334,88802210.1333333,1.0,91549962.4,1.0,91549962.4,88462622.2,1.0,87561238.6,1.0,87561238.6,0.2280863,0.49312854045291415,0.2339211,0.09212641108271734,32767303.0,23359079.8,23359079.8,339587.9333333,1.0,3988723.8,1.0,3988723.8,4.3045909,0.43601219803576935,None
SWX:PGHN,PARTNERS GROUP N,Financial Services,Switzerland,485725111.5741484,-2.099406295206416,1559164521.82,1.0,891012068.78,5652772687.44,2.0,2075311063.2,1.0,1215331818.3,1.0,11864092842.599998,1.0,1215331818.3,11864092842.599998,2075311063.2,1559164521.82,1.0,891012068.78,2075311063.2,1.0,1215331818.3,1.0,1215331818.3,2075311063.2,22.151539,22.151539,0.00111421888660007,31.286142,31.286142,31.286142,18.223341,0.0015444805115005411,31.286142,0.0004461686332115531,35.2902614,35.1908898,8.142736681374018e-05,1208494157.522885,1215300000.0,929333333.3333334,1215300000.0,0.58561,2.7096801,4.75,1.5704054,2.75,1.6228985,0.0036963185572881033,0.38921,0.16831,0.1766069967052108,0.0,42.367,1379.0,0.030723,15.794429,0.015794429,26319700,1121100032,42.5954715,1511,42407894713,37819099544,741958.9887492,1.01,0.814,-0.0086553,-0.0001606,-0.0086553,-0.0001606,0.7553362,8.9410079,0.10993489633157658,0.6104599,8.0631931,0.3261752636918021,41.4201552,41.4201552,2.5206987753906305e-05,1042634948.38,1.0,546579522.6,1.0,40.6737706,77.5877854,77.5877854,3.645954229497503e-07,0.3527472,0.5,0.7711483,1.0,0.7711483,0.8791505,0.0036101888519615463,CHF,CHF,1.084053,1.084053,27.5,25.5,22.0,19.0,1379.0,1035.5,1667.0,1475.7275,-6.5545638,33.1723805,-17.2765447,1.087886,1.6576785,0.0198376123473744,2.4583887,1.0,2.2967686,1.0,0.6569033,1.0,0.2829436,1.0,8.7354888,6.0,1.3381342,1.0,4.3542649,1.0,4.6334242,1.0,2.3067686,0.2929436,1.3481342,4.6434242,3.4750964,0.024672235777731005,8222281832.28,2.0,4266225538.32,1.0,4266225538.32,2402319264.1600003,1.0,2408722403.88,1.0,2408722403.88,0.3848728,0.8321050502552163,0.6045545,0.2380949661612682,1965146666.6666667,1918240000.0,1918240000.0,3417643303.96,2.0,1857503134.44,1.0,1857503134.44,4.2509081,0.43057466490696156,None
SWX:EMSN,EMS-CHEMIE N,Basic Materials,Switzerland,6145224288.192204,-2.0783874631911967,2195411054.6938,1.0,513409163.0146,1848166113.6808,1.0,2335101112.491,1.0,565160191.02,1.0,8001004933.919999,1.0,565160191.02,8001004933.919999,2335101112.491,2195411054.6938,1.0,513409163.0146,2335101112.491,1.0,565160191.02,1.0,565160191.02,2335101112.491,12.1522341,12.1522341,0.000611255441376123,43.180798,42.475727,43.0926641,10.450985,0.0008857510079235461,43.0926641,0.0006145402984791657,39.5841953,39.5118169,9.142545773860024e-05,663711850.8147336,666139000.0,617159666.6666666,666139000.0,0.24203,1.122565,4.75,0.6599844,2.75,0.6758598,0.0015393403351257186,0.08387,0.70919,0.744150175232419,22.66,22.29,1018.0,0.0218959,11.936356,0.011936356,23389000,521340000,22.2899654,2593,26176422774,24404106780,201056.6910914,0.455,0.38,-0.0851548,-0.1030316,-0.0851548,-0.1030316,0.3199613,5.9065121,0.07262400421262379,0.2592421,5.3415823,0.21607965896711104,134.6808658,134.6808658,8.196248706731301e-05,536379957.0038,1.0,549105366.0899999,1.0,48.8020151,47.671038,47.671038,2.2401260936188053e-07,0.302043,1.0,0.2959748,1.0,0.2959748,0.5450356,0.002238162233931702,CHF,CHF,1.084053,1.084053,4.0,4.4,4.25,4.0,1018.0,793.5,1046.0,922.6325,10.3364557,28.2923756,-2.6768642,1.7782178,31.6162059,0.37835444963481846,4.3785331,1.0,4.4329693,1.0,25.6172065,12.0,2.7670744,1.0,2.0436743,6.0,0.4692758,1.0,27.261886,6.0,4.4942807,1.0,4.4429693,2.7770744,0.4792758,4.5042807,4.473625,0.03176151625064326,2304606267.9798,1.0,2600325519.471,1.0,2600325519.471,1749544319.7355998,1.0,1982041311.186,1.0,1982041311.186,0.3173421,0.6861019122904916,0.3851405,0.15168196467784778,1135218666.6666667,1322548600.0,1322548600.0,528471139.937,1.0,587401706.4209999,1.0,587401706.4209999,5.6201281,0.5692630177988788,None
SWX:SPCE,SPCE N,Financial Services,Switzerland,6441103346.775434,-2.0613881542164085,-32977533.3333333,0.0,-37508800.0,-905301333.3333334,0.25,31137000.0,0.0,27911000.0,0.0,-3831112000.0,0.25,27911000.0,-3831112000.0,31137000.0,-32977533.3333333,1.0,-37508800.0,31137000.0,1.0,27911000.0,1.0,27911000.0,31137000.0,0.494,0.494,2.484812138698059e-05,2.849493,2.849493,2.849493,2.5535386,0.00021641973352001565,2.849493,4.0636342990321016e-05,0.0,100000.0,0.23138763264161674,0.0,0.0,0.0,0.0,0.89639,-0.260113,0.0,0.8144833,1.0,0.4845868,0.0011036963688467632,0.04358,0.7191001,0.7545488027533526,0.0,5.229,15.5,0.3373548,0.5203968,0.0005203968,5336210,27911000,5.2304913,10000000,15366255,79509528,2.7911,-0.38804,-0.397934,-0.38804,-0.397934,-0.38804,-0.397934,-0.38804,0.211196,0.00259677774869695,-0.397934,0.2102066,0.008503354977912804,-7.3432966,13617.8619479,0.00828739722721034,-46587200.0,0.5,20487000.0,0.5,303178.6209457,0.7500491,0.7500491,3.524581445877685e-09,0.0027182,0.5,0.0079006,1.0,0.0079006,0.0898853,0.0003691096211800132,USD,USD,1.0,1.0,0.95,0.0,0.0,0.0,15.5,8.4,18.0,14.868,4.2507398,84.5238095,-13.8888889,1.4791667,10.4737612,0.12534059801377104,121.6700359,0.5,144.5810617,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,29.4964144,0.5,53.3341947,1.0,144.5910617,0.01,0.01,53.3441947,98.9676282,0.7026431431695592,79325200.0,0.5,148524400.0,1.0,148524400.0,78876033.3333333,0.5,147337400.0,1.0,147337400.0,0.287922,0.6224948873487095,0.2894359,0.11399010480669024,37795200.0,62249200.0,62249200.0,898333.3333333,1.0,1187000.0,1.0,1187000.0,2.188709,0.22169442906889725,None
SWX:MOVE,MEDACTA GROUP N,Healthcare,Switzerland,212532062.5787688,-2.0373793399792532,335349570.92,1.0,35337583.12,137519707.92,1.0,389975325.6,1.0,64562421.0,1.0,699138316.8,1.0,64562421.0,699138316.8,389975325.6,335349570.92,1.0,35337583.12,389975325.6,1.0,64562421.0,1.0,64562421.0,389975325.6,9.2057781,9.2057781,0.0004630491734623634,42.548885,42.548885,42.548885,7.3113456,0.0006196575475400054,42.548885,0.0006067855175344263,29.8396429,29.5182158,6.830150073766366e-05,108828440.855918,111173000.0,81184400.0,111173000.0,0.16555,0.5178415,4.75,0.458503,2.75,0.3816315,0.0008692050645777877,0.21583,0.694,0.7282113701706154,0.0,2.966,132.6,0.022368,13.145832,0.013145832,19997400,57145000,2.8576215,1246,3177441002,2735793994,45862.7608347,2.071,0.317,1.0564262,0.0411874,1.0564262,0.0411874,1.8173566,13.7309367,0.16882985895247227,0.2480468,5.2304301,0.21158328914249108,23.4125136,23.4125136,1.4248110388619808e-05,62641986.96,1.0,70772931.6,1.0,50.7238221,44.896275,44.896275,2.109736253986868e-07,2.0675495,1.0,1.4436571,1.0,1.4436571,1.2025228,0.004938101504565582,EUR,CHF,1.1298,1.084053,0.0,0.0,0.0,0.0,132.6,88.1,173.0,132.137,0.3503939,50.5107832,-23.3526012,1.0482921,1.3270702,0.015881188170898407,3.0152631,2.0,1.6969446,1.0,0.0259089,1.0,0.0378664,1.0,0.8851345,1.0,0.5615443,1.0,1.52226,1.0,1.6368358,1.0,1.7069446,0.0478664,0.5715443,1.6468358,1.6768902,0.011905462647817916,936489412.32,2.0,513502912.4399999,1.0,513502912.4399999,157455104.24,1.0,210740464.2,1.0,210740464.2,0.2257294,0.4880328610675523,0.4063599,0.16003891566400769,68034866.6666667,85633600.0,85633600.0,310789601.92,1.0,302762448.2399999,1.0,302762448.2399999,2.9977848,0.303645751768471,None
SWX:SENS,SENSIRION N,Technology,Switzerland,22934625.4069138,-2.0190352111964294,232040460.597,1.0,22453772.9784,31691783.5636,1.0,308225537.331,1.0,71178919.98,1.0,272047436.562,1.0,71178919.98,272047436.562,308225537.331,232040460.597,1.0,22453772.9784,308225537.331,1.0,71178919.98,1.0,71178919.98,308225537.331,7.3758966,7.3758966,0.0003710064252117761,26.28681,26.28681,26.28681,5.9847484,0.0005072246230827841,26.28681,0.00037487364498926665,24.3077204,24.1913502,5.597579253182301e-05,87109943.7185033,87944000.0,43751266.6666667,87944000.0,0.22842,0.0119575,0.1,0.6519614,2.75,0.2984463,0.0006797422001708502,0.19821,0.41283,0.4331808356592726,0.0,4.177,120.6,0.0346352,7.359743,0.007359743,15497500,64947000,4.190805,857,2097170150,1844652336,75784.1306884,1.955,0.27,0.8245412,0.2960013,0.8245412,0.2960013,1.6723853,13.1820737,0.16208126889639612,0.2765003,5.5083298,0.2228249903895284,15.7181542,15.7181542,9.565568224462155e-06,42839678.7242,1.0,81758193.207,1.0,48.9539187,25.6508867,25.6508867,1.205369612911084e-07,0.4712118,1.0,0.260269,1.0,0.260269,0.5111657,0.00209907713371615,CHF,CHF,1.084053,1.084053,0.0,0.0,0.0,0.0,120.6,54.2,140.0,98.176,22.8406128,122.5092251,-13.8571429,1.5477855,13.7487977,0.16453330305911115,7.1214839,2.0,4.9832712,1.0,5.6648352,1.0,1.4162088,1.0,0.6357366,2.0,0.3747017,1.0,4.7729513,1.0,4.4544023,1.0,4.9932712,1.4262088,0.3847017,4.4644023,4.7288367,0.03357344965071686,523435424.6712,2.0,306234565.5912,1.0,306234565.5912,186111375.3632,1.0,243688393.2714,1.0,243688393.2714,0.3324327,0.7187281838050839,0.3920899,0.15441888443916146,99411000.0,138307000.0,138307000.0,75606336.9724,1.0,62546172.3198,1.0,62546172.3198,4.628873,0.4688587459399279,None
