"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
STO:8TRA,TRATON SE,Industrials,Germany,5423924234117.684,24297600000.0,604866666.6666666,-4488000000.0,26128000000.0,516000000.0,-18151000000.0,516000000.0,-18151000000.0,26128000000.0,24297600000.0,604866666.6666666,26128000000.0,516000000.0,516000000.0,26128000000.0,0.5856865,0.5856865,27.3749854,27.3749854,27.3749854,5.209329,27.3749854,4.2658891,4.2658899,3587001296.605574,3587000000.0,3054466666.6666665,3587000000.0,0.01975,0.0,0.0,0.0,0.0,0.0212857,0.04281,0.89722,0,1.032,247.8,0.0041646,9.029729,500000000,516000000,1.032,84115,15301755262,14125492449,6134.4587767,-0.4950002,0.611,-0.4950002,-0.0719008,-0.4950002,-0.0719008,-0.4950002,0.2005,0.4402748,6.8853207,-55.3029801,1808.2208195,1449200000.0,2106000000.0,10.5587602,7.2657907,7.2657907,2.2283016,2.4301475,2.4301475,1.559893,USD,SEK,1.0,0.1156569,0.25,1.0,0,0,0.3394594,165.34,287.4,259.24893,-4.4161918,49.872989,-13.7787056,1.3511388,6.0841479,1.4598572,1.4156228,0.0028819,0.0258694,1.1410144,0.8956001,0.9996132,1.0955369,1.4256228,0.0358694,0.9056001,1.1055369,1.2655798,43893400000.0,45792333333.333336,45792333333.333336,13618133333.333334,13311200000.0,13311200000.0,0.1112683,0.1387643,25933333.3333333,1461133333.3333333,1461133333.3333333,30073133333.333332,32371933333.333332,32371933333.333332,0.1435609,None
STO:AAK,AAK AB,Consumer Defensive,Sweden,2924304897.5448484,3231700520.7200003,171866153.4,1139952958.7,3488096447.1000004,157062070.2,1241461164.6000001,157062070.2,1241461164.6000001,3488096447.1000004,3231700520.7200003,171866153.4,3488096447.1000004,157062070.2,157062070.2,3488096447.1000004,0.2118834,0.2118834,37.72279,34.781467,37.3551246,1.692147,37.3551246,2.2625959,2.2369518,2890478894.239125,2956000000.0,2799000000.0,2956000000.0,0.04499,0.8466578,15.46875,0.2024062,6.25,0.558062,0.42829,0.3095,5.72,5.274,200.9,0.0262519,5.0255127,256514000,1356999936,5.2901594,3900,6391738007,5902371864,347948.7015385,-0.69,0.339,0.0801804,0.0042079,0.0801804,0.0042079,-0.4974549,0.2002545,0.255302,5.3027417,-75.0924857,1331.6911676,198120269.7,228885005.1,32.2619085,27.9255428,27.9255428,1.2269269,1.2592499,1.2592499,1.1231631,SEK,SEK,0.1156569,0.1156569,2.3,2.1,2.1,1.85,0.179683,156.9,211.7,197.13486,1.9099311,28.0433397,-5.1015588,1.6058394,17.1479687,1.8255125,1.8020863,0.4592409,0.4710145,0.1421509,0.1482816,1.6689304,1.5972306,1.8120863,0.4810145,0.1582816,1.6072306,1.7096584,2489414536.52,2686239448.9400005,2686239448.9400005,1113544633.2,1187950572.2,1187950572.2,0.1584691,0.2322126,5013933333.333333,5250600000.0,5250600000.0,1368976752.0800002,1493099737.16,1493099737.16,3.1959102,None
STO:ABLI,Abliva AB,Healthcare,Sweden,1e+50,256688.92386,-7643857.04652,-56341580.31452,190486.9143,-8663858.379,-254508444.3243,-8663858.379,-254508444.3243,190486.9143,256688.92386,-7643857.04652,190486.9143,-8663858.379,-8663858.379,190486.9143,9.9144564,9.9144564,3085.1063339,3085.1063339,3085.1063339,152.13768,3085.1063339,-0.2172037,5475.30981,-72615499.4675186,-72380000.0,-63773266.6666667,-72380000.0,0,-39.8782475,0.0,-1240.8269062,0.0,-188.6447716,0.14317,0.14637,0,-0.216,0.6095,-0.3543888,1.3882489,403007008,-74910000,-0.1858777,9,15823503,28082851,-8323333.3333333,0.1265537,-0.862,0.1265537,3.3991436,0.1265537,3.3991436,0.1265537,3.8074385,0.2032859,4.7587239,24377.8462658,24377.8462658,-7833010.05124,-7889998.0611,4950.2375153,20055.142409,20055.142409,0.1169135,0.1144959,0.1144959,0.3393724,SEK,SEK,0.1156569,0.1156569,0,0,0,0,-0.3989152,0.59,1.07,0.7142253,-14.6627882,3.3050847,-43.0373832,0.08125,0.08225,11.1163977,10.4289947,0.0,0.0,-16934.8681319,568.1978022,4.445823,4.8916665,10.4389947,0.01,568.2078022,4.9016665,7.6703306,16577442.73724,19093527.7549,19093527.7549,14871796.45972,17161271.05798,17161271.05798,1e-06,1e-06,41389666.6666667,61507066.6666667,61507066.6666667,1665760.06794,1931423.96724,1931423.96724,1e-05,effective_profit_margin          <= 0   |
STO:ACAD,AcadeMedia AB,Consumer Defensive,Sweden,4918.7076647,1465326660.2400002,59894853.28,227943227.4857143,1542863046.0,68700198.6,56985806.8714286,68700198.6,56985806.8714286,1542863046.0,1465326660.2400002,59894853.28,1542863046.0,68700198.6,68700198.6,1542863046.0,0.1389039,0.1389039,12.348755,12.283186,12.3405589,0.5492849,12.3405589,0.670463,0.6704494,2762887393.479386,2763000000.0,2308933333.3333335,2763000000.0,0.04453,0.2381486,5.625,0.2981955,6.25,0.2548013,0.57093,0.44143,5.65,5.62,70,0.0802857,1.3781052,105583000,594000000,5.6259057,18100,1852338408,847471349,32817.679558,0.006,0.138,0.2164409,0.0753005,0.2164409,0.0753005,0.0586102,2.6709551,0.1223251,3.747501,210.5529641,210.5529641,272611023.76,332050959.9,6.7948038,5.5784763,5.5784763,2.0922641,2.3537925,2.3537925,1.5352075,SEK,SEK,0.1156569,0.1156569,1.5,1.25,0,0,-0.0237099,67.3,94,81.996475,-14.6304765,4.0118871,-25.5319149,0.2022472,0.2032472,1.5186076,1.4255688,0.003103,0.0007758,0.2150795,0.2673888,0.4563422,0.4369381,1.4355688,0.0107758,0.2773888,0.4469381,0.9412535,1805843705.2200003,2008813854.26,2008813854.26,579857433.84,599526817.3,599526817.3,0.1341994,0.2145907,-1815866666.6666667,-2001400000.0,-2001400000.0,1225986271.38,1409287036.96,1409287036.96,2.1240907,None
STO:ACE,Ascelia Pharma AB,Healthcare,Sweden,1e+50,0.0,-76825600.0,-231897000.0,0.0,-112849000.0,-1197492000.0,-112849000.0,-1197492000.0,0.0,0.0,-76825600.0,0.0,-112849000.0,-112849000.0,0.0,0,0,9501.7838283,9501.7838283,9501.7838283,8197.2567338,9501.7838283,0,100000,0.0,-42350000.0,-72659466.6666667,-42350000.0,0,0.0,0.0,0.0,0.0,0.01,0.43648,0.17544,0,-3.761,30.35,-0.1239209,2.802021,33668300,-112850000,-3.3518176,12,81990601,118766120,-9404166.6666667,-0.3631629,0.0,-0.3631629,0.0,-0.3631629,0.0,-0.3631629,0.2136837,0.0,0.25,-26163.9691329,3.8220501,-65535733.3333333,-100022000.0,7993.0787544,8197.2567338,8197.2567338,0.06657,0.072884,0.072884,0.2709704,USD,SEK,1.0,0.1156569,0,0,0,0,0.0167505,26.7,66.7,36.517605,-16.8894017,13.670412,-54.4977511,0.1825,0.1835,17.2494879,15.3529454,7.7437931,5.0771306,0.0,0.0,13.2702615,13.4682678,15.3629454,5.0871306,0.01,13.4782678,14.4206066,248992333.3333333,377975666.6666667,377975666.6666667,233371733.3333333,352227866.6666667,352227866.6666667,1e-06,1e-06,175709400.0,293992400.0,293992400.0,15620600.0,25747800.0,25747800.0,1e-05,evr_effective                    is None|
STO:ACTI,Active Biotech AB,Healthcare,Sweden,1e+50,1139976.09008,-4449220.70702,-379842534.48788,719964.2025,-4006933.3005,-380569607.7345001,-4006933.3005,-380569607.7345001,719964.2025,1139976.09008,-4449220.70702,719964.2025,-4006933.3005,-4006933.3005,719964.2025,4.4155491,4.4155491,1111.4856308,1111.4856308,1111.4856308,50.072277,1111.4856308,-0.8179256,1457.7609586,-33595813.3484163,-33586000.0,-31794600.0,-33586000.0,0,-4.5225615,0.0,-0.6497992,0.0,-0.8217371,0.17889,0.36495,0,-0.212,1.45,-0.1462069,4.218289,217972000,-34745000,-0.1594012,8,27486902,36050248,-4343125.0,0.3350095,-0.2823423,0.3350095,-0.2823423,0.3350095,-0.2823423,0.3350095,6.0380001,-0.2823423,0.2217658,3317.773944,3317.773944,-4076682.12166,-3760699.7604,1483.1362521,73089.8609915,73089.8609915,0.8269236,0.1848996,0.1848996,0.4309995,SEK,SEK,0.1156569,0.1156569,0,0,0,0,-0.2219794,1.175309,2.237284,1.4790282,-1.9626536,23.3718112,-35.1892741,0.517321,0.518321,3.3408887,7.9718001,266.6241654,1.6039128,0.0,0.0,3.5255785,8.0779426,7.9818001,1.6139128,0.01,8.0879426,8.0348714,11054725.52626,8887924.3466,8887924.3466,4977433.47978,7766946.82996,7766946.82996,1e-06,1e-06,41838933.3333333,66064133.3333333,66064133.3333333,6077292.04648,1120977.51664,1120977.51664,1e-05,effective_profit_margin          <= 0   |
STO:ADAPT,Adapteo Oyj,Real Estate,Finland,1.0366458021170746e+16,209835600.0,16380200.0,128113666.6666667,263062000.0,19700000.0,273007000.0,19700000.0,273007000.0,263062000.0,209835600.0,16380200.0,263062000.0,19700000.0,19700000.0,263062000.0,3.7659043,3.7659043,390.8873,390.8873,390.8873,30.418413,390.8873,11.7004303,11.5294217,87218502.2488015,89768000.0,73765600.0,89768000.0,0.07488,0.0,0.0,0.0,0.0,0.0527886,0.6303,0.05302,0,0.417,163,0.0025583,30.46729,49091400,19699000,0.4012719,542,990663784,925474714,36345.0184502,-0.287,0.222,0.5612914,0.1877709,0.5612914,0.1877709,-0.0749271,0.2425073,0.2134427,4.8699861,-5216.8984812,19.1684773,73286666.6666667,61187000.0,13.5176538,16.190756,16.190756,2.5246817,2.8830397,2.8830397,1.6989516,USD,SEK,1.0,0.1156569,0.12,0,0,0,1.0198264,77.2,169.4,143.34468,13.7119285,111.1398964,-3.7780401,1.8611714,41.5640803,1.4397828,1.3481937,0.0679168,0.0648426,0.2797965,0.3103625,0.9214533,0.9181386,1.3581937,0.0748426,0.3203625,0.9281386,1.1431661,813723333.3333334,1001808800.0,1001808800.0,230996733.3333333,257637200.0,257637200.0,0.1196644,0.1764641,-6657666.6666667,-9283266.6666667,-9283266.6666667,582726600.0,743702533.3333334,743702533.3333334,0.4167344,None
STO:ADDTB,None,None,Unknown,1e+50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,10000.0,10000000000000.0,10000.0,0.0,10000.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,1.23e-05,0,0,0,0.0,1000.0,100000000,0,0.0,10000000,0,0,0.0,-0.9,-0.9,-0.9,-0.9,0,0,-0.9,0.16,-0.9,0.16,-11111.1111111,9.0,0,0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,0.0,0.0,USD,USD,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,1e-06,1e-06,0.0,0.0,0.0,0,0,0.0,1e-05,None
STO:AFRY,AFRY AB,Industrials,Sweden,1332681085.2914538,2094962823.8400002,105355725.44,518027255.1,2209509417.6,127106933.1,572964282.6,127106933.1,572964282.6,2209509417.6,2094962823.8400002,105355725.44,2209509417.6,127106933.1,127106933.1,2209509417.6,0.4434286,0.4434286,30.56499,30.56499,30.56499,1.7696095,30.56499,4.3777293,4.1197879,2193510997.1202874,2452000000.0,2233933333.3333335,2452000000.0,0.05753,0.1267302,2.5,0.3661189,6.25,0.263638,0.68853,0.14803,0,9.717,297.4,0.0326732,3.2643101,109536000,1099000064,10.0332317,16421,8471002522,3909968709,66926.5004567,0.398,0.077,0.129624,0.110664,0.129624,0.110664,0.330906,6.002443,0.085416,3.1726015,92.3675893,92.3675893,208367471.04,157987325.4,40.6541505,53.6182412,53.6182412,1.4163267,1.3386956,1.3386956,1.1580201,SEK,SEK,0.1156569,0.1156569,5.0,5.0,5.0,4.451135,0.2559122,194.3,302,277.71832,7.0869217,53.0622748,-1.5231788,1.9145775,49.2535736,1.7110704,1.7475549,0.0211049,0.0165017,0.187175,2.5789502,1.0868683,0.9758809,1.7575549,0.0265017,2.5889502,0.9858809,1.3717179,2499530660.04,2797956303.88,2797956303.88,1033957265.08,1196563156.02,1196563156.02,0.1454285,0.2062267,521666666.6666667,-299400000.0,-299400000.0,1465103056.9,1601277490.96,1601277490.96,2.2360985,None
STO:ALFA,Alfa Laval AB,Industrials,Sweden,154092100553.86276,4891963030.679999,480993915.72,3042547516.0,4553065182.3,424229509.2,3333694485.6000004,424229509.2,3333694485.6000004,4553065182.3,4891963030.679999,480993915.72,4553065182.3,424229509.2,424229509.2,4553065182.3,0.4529124,0.4529124,39.70504,39.70504,39.70504,3.6811485,39.70504,2.3471411,2.3143897,7813932542.032127,8032000000.0,8225733333.333333,8032000000.0,0.09317,0.2323321,2.5,0.2473658,2.5,0.2310425,0.42936,0.291,0,8.747,350.3,0.02497,4.9920225,417264000,3668000000,8.7905978,17555,17828567346,16760509354,208943.3209912,-0.07,-0.046,-0.0661363,0.0007357,-0.0661363,0.0007357,-0.0690341,0.2430966,-0.0343161,0.2465684,-575.1514223,173.8672567,747182126.3,729101097.6,23.8610731,24.4528055,24.4528055,1.2411112,1.1177647,1.1177647,1.0582439,SEK,SEK,0.1156569,0.1156569,5.5,5.0,4.25,4.25,0.6841346,175.45,371.4,308.50775,13.5465803,99.6580222,-5.6812062,1.7846389,32.3074133,1.8235446,1.9019239,0.0458726,0.1211547,0.4146148,0.4031663,1.4980517,1.4668046,1.9119239,0.1311547,0.4131663,1.4768046,1.6943642,7040860522.22,7263885577.72,7263885577.72,3153701507.36,3421963831.6800003,3421963831.6800003,0.1584026,0.2239725,9032133333.333334,8583800000.0,8583800000.0,3869903005.38,3820687139.2,3820687139.2,2.9781423,None
