Symbol,Name,Sector,Value,Close,Grade
STO:ORES,INVESTMENT AB ORESUND,Financial Services,4.02203,163.6,5.0607
STO:AQ,AQ Group AB,Industrials,214550.31125,317.5,4.6858
STO:ACAD,AcadeMedia AB,Consumer Defensive,4918.70766,70.0,4.4992
STO:SYSR,Systemair AB,Industrials,62046.34826,84.37,4.2685
STO:NP3,NP3 Fastigheter AB,Real Estate,2717108.72856,243.0,4.0801
STO:ENRO,Eniro Group AB,Communication Services,189592.44915,1.229,3.8972
STO:BURE,Bure Equity AB,Financial Services,0.17881,393.0,3.3887
STO:BEGR,BE Group AB,Basic Materials,67.46486,109.0,3.2867
STO:AXFO,Axfood AB,Consumer Defensive,1564674.8405,219.8,3.2277
STO:MAG,Magnolia Bostad AB,Real Estate,630.42491,75.7,3.1741
STO:INWI,Inwido AB,Industrials,1042.77786,160.6,3.0785
STO:CATE,Catena AB,Real Estate,4027065.00762,511.0,2.8805
STO:VOLO,Volati AB,Industrials,7894.98675,142.2,2.8615
STO:DIOS,Diös Fastigheter AB,Real Estate,5763617.59749,94.65,2.7556
STO:KLED,Kungsleden AB,Real Estate,40763998.25445,125.0,2.6012
STO:MOB,Moberg Pharma AB,Healthcare,745.06709,6.62,2.5668
STO:CAST,Castellum AB,Real Estate,77238273.75023,242.9,2.4494
STO:ICA,ICA Gruppen AB,Consumer Defensive,2263128.44388,408.7,2.4324
STO:ELEC,Electra Gruppen AB,Consumer Cyclical,5.50467,56.8,2.4319
STO:BESQ,Besqab AB,Real Estate,1041488215.76095,163.5,2.3492
STO:FNM,Ferronordic AB,Industrials,1394.42727,242.5,2.2884
STO:NWG,Nordic Waterproofing Holding AB,Industrials,9638434.11421,212.5,2.1674
STO:WIHL,Wihlborgs Fastigheter AB,Real Estate,425610342.56971,193.5,2.1381
STO:SVIK,Studsvik AB,Industrials,142488.90984,87.7,1.9946
STO:TRAD,TradeDoubler AB,Communication Services,283705.41144,5.92,1.6876
STO:MYCR,Mycronic AB,Technology,108091846.24099,244.4,1.5756
STO:NYF,Nyfosa AB,Real Estate,461335252521.6644,133.7,1.5746
STO:BHG,BHG Group AB,Consumer Cyclical,940003.75633,140.4,1.5673
STO:COLL,Collector AB,Financial Services,1.687486576981977e+19,41.6,1.3379
STO:FABG,Fabege AB,Real Estate,930474538617.7592,147.95,1.3177
STO:SF,Stillfront Group AB,Communication Services,195903.68152,66.05,1.2667
STO:NELLY,Nelly Group AB,Consumer Cyclical,401418485.85396,33.75,1.2289
STO:JM,JM AB,Consumer Cyclical,28142401043.01937,323.8,1.1273
STO:AAK,AAK AB,Consumer Defensive,2924304897.54485,200.9,1.0646
STO:THULE,Thule Group AB,Consumer Cyclical,85038801.3043,481.6,1.0354
STO:SAND,Sandvik AB,Industrials,2292848.88293,218.4,0.9512
STO:SEMC,Semcon AB,Industrials,3938601857.71156,127.4,0.9382
STO:NOTE,NOTE AB,Technology,7665487.40913,123.6,0.9373
STO:SINT,SinterCast AB,Industrials,97705.6803,143.4,0.9207
STO:KDEV,Karolinska Development AB ser.B,Healthcare,70162628.83878,4.04,0.8964
STO:PROB,Probi AB,Healthcare,205999.32771,429.5,0.8843
STO:BMAX,Byggmax Group AB,Industrials,3223.29469,76.2,0.8698
STO:SCST,Scandi Standard AB,Consumer Defensive,5120.20434,54.8,0.8364
STO:LUG,Lundin Gold Inc.,Basic Materials,7926162793.05675,75.35,0.8191
STO:SINCH,Sinch AB,Communication Services,81924373138.8204,182.95,0.815
STO:DEDI,Dedicare AB ser. B,Industrials,29131.60752,85.0,0.8089
STO:ITAB,ITAB Shop Concept AB,Industrials,1482773.465,15.1,0.772
STO:FAG,Fagerhult  AB,Industrials,219847310.36747,78.0,0.7623
STO:NAXS,NAXS AB,Financial Services,135287950458.63087,58.0,0.7075
STO:MEKO,Mekonomen AB,Industrials,1414816.43868,165.7,0.6925
STO:GARO,Garo AB,Industrials,228926724.98637,197.6,0.6877
STO:ALIG,Alimak Group AB,Industrials,61257225.05767,143.8,0.6413
STO:HUM,Humana AB,Healthcare,2408896.58523,72.1,0.6343
STO:INDT,Indutrade AB,Industrials,1400494957.23833,275.0,0.6255
STO:BETCO,Better Collective A/S,Technology,299220620561.80164,181.6,0.616
STO:GRNG,Gränges AB,Basic Materials,3107574.09386,116.5,0.6065
STO:EWRK,eWork Group AB,Technology,157482161.22686,110.4,0.6035
STO:MIPS,Mips AB,Consumer Cyclical,50793647733409.24,942.5,0.6008
STO:VITR,Vitrolife AB,Healthcare,2937451312.42915,515.0,0.5867
STO:SOBI,Swedish Orphan Biovitrum AB,Healthcare,13783668516.93531,241.4,0.557
STO:EVO,Evolution AB,Consumer Cyclical,73754641919674.17,1390.0,0.5462
STO:OP,Oscar Properties Holding AB,Consumer Cyclical,182952873987.54843,11.31,0.5409
STO:BILL,BillerudKorsnäs AB,Basic Materials,5131677.2212,174.8,0.5262
STO:EAST,Eastnine AB,Financial Services,22057297578975.78,141.4,0.521
STO:DOM,Dometic Group AB,Technology,35889966.36714,135.35,0.495
STO:EQT,EQT AB,Financial Services,2057028314443226.2,392.5,0.493
STO:G5EN,G5 Entertainment AB,Communication Services,19944.8906,442.6,0.4814
STO:GHP,GHP Specialty Care AB,Healthcare,639574.16081,26.6,0.4676
STO:BRAV,Bravida Holding AB,Industrials,6735308644.36251,130.7,0.4543
STO:HANZA,Hanza Holding AB,Technology,81760218818.6072,29.0,0.454
STO:BOOZT,Boozt AB,Consumer Cyclical,928009.49989,164.4,0.439
STO:AMBEA,Ambea AB,Healthcare,1113229284.80208,66.9,0.418
STO:8TRA,TRATON SE,Industrials,5423924234117.684,247.8,0.4017
STO:BUFAB,Bufab AB,Industrials,3272982.10793,326.5,0.3991
STO:AFRY,AFRY AB,Industrials,1332681085.29145,297.4,0.3904
STO:GREEN,Green Landscaping Group AB,Industrials,55121402.33411,88.0,0.3874
STO:HMS,HMS Networks AB,Technology,1839874058.43307,474.0,0.3773
STO:HTRO,Hexatronic Group AB,Technology,25367006.09747,269.0,0.3702
STO:KNOW,Knowit AB,Technology,2085607938406.3503,314.0,0.3627
STO:PFE,Pfizer Inc.,Healthcare,436253486287353.1,383.05,0.3389
STO:DUST,Dustin Group AB,Technology,704346.55036,97.1,0.3256
STO:LUMI,Lundin Mining Corporation,Basic Materials,38527512623.72607,65.35,0.3237
STO:MULQ,MultiQ International AB,Technology,1.537824506485932e+16,1.138,0.3233
STO:CEVI,CellaVision AB,Healthcare,172920374682.6165,445.4,0.3134
STO:COIC,Concentric AB,Industrials,1472454.74927,180.2,0.305
STO:ALFA,Alfa Laval AB,Industrials,154092100553.86276,350.3,0.2996
STO:ATT,Attendo AB,Healthcare,52886146475.28165,40.4,0.2902
STO:TROAX,Troax Group AB,Industrials,5033056495177755.0,355.5,0.2797
STO:BALCO,Balco Group AB,Industrials,197988313121.49948,132.6,0.2682
STO:PRFO,Profoto Holding AB,Consumer Cyclical,432694696127.2121,101.8,0.2642
STO:COOR,Coor Service Management Holding,Industrials,107557945.29319,88.4,0.2581
STO:ENEA,Enea AB,Technology,346880293.58181,226.0,0.2521
STO:AZA,Avanza Bank Holding AB,Financial Services,5.8972559473233935e+23,346.4,0.2401
STO:NOBI,Nobia AB,Consumer Cyclical,326901938.5297,63.85,0.2375
STO:HEM,Hemnet Group AB,Communication Services,1.67089420504189e+18,172.1,0.2363
STO:CTM,Catena Media P.L.C,Consumer Cyclical,2662885220.00192,48.56,0.2288
STO:DORO,DORO AB,Technology,730495439.06538,64.6,0.2217
STO:VNV,VNV Global AB,Financial Services,18926625759.27419,101.9,0.2083
