Symbol,Name,Sector,Value,Close,Grade
STO:ORES,INVESTMENT AB ORESUND,Financial Services,4.02203/-1.50129,163.6,9.7566
STO:AQ,AQ Group AB,Industrials,214550.31125/-0.85531,317.5,9.0945
STO:ENRO,Eniro Group AB,Communication Services,189592.44915/-2.35873,1.229,9.0019
STO:ACAD,AcadeMedia AB,Consumer Defensive,4918.70766/-0.89854,70.0,8.4034
STO:SYSR,Systemair AB,Industrials,62046.34826/-1.0073,84.37,8.3242
STO:NP3,NP3 Fastigheter AB,Real Estate,2717108.72856/-0.22857,243.0,6.9019
STO:AXFO,Axfood AB,Consumer Defensive,1564674.8405/-1.06726,219.8,6.882
STO:BURE,Bure Equity AB,Financial Services,0.17881/-2.01935,393.0,6.7429
STO:BESQ,Besqab AB,Real Estate,1041488215.76095/-1.14739,163.5,6.3626
STO:VOLO,Volati AB,Industrials,7894.98675/-1.56021,142.2,6.0526
STO:CATE,Catena AB,Real Estate,4027065.00762/-0.82132,511.0,5.81
STO:INWI,Inwido AB,Industrials,1042.77786/-0.56293,160.6,5.4271
STO:DIOS,Diös Fastigheter AB,Real Estate,5763617.59749/-0.54369,94.65,5.3671
STO:BEGR,BE Group AB,Basic Materials,67.46486/-0.46997,109.0,5.2982
STO:MOB,Moberg Pharma AB,Healthcare,745.06709/-1.60184,6.62,5.2547
STO:MAG,Magnolia Bostad AB,Real Estate,630.42491/-0.69797,75.7,5.1275
STO:ICA,ICA Gruppen AB,Consumer Defensive,2263128.44388/-0.87542,408.7,5.0384
STO:ELEC,Electra Gruppen AB,Consumer Cyclical,5.50467/-1.24644,56.8,4.7291
STO:CAST,Castellum AB,Real Estate,77238273.75023/-0.33976,242.9,4.6915
STO:WIHL,Wihlborgs Fastigheter AB,Real Estate,425610342.56971/-0.37732,193.5,4.5452
STO:KLED,Kungsleden AB,Real Estate,40763998.25445/-0.22476,125.0,4.4856
STO:FNM,Ferronordic AB,Industrials,1394.42727/-1.00138,242.5,4.3037
STO:SVIK,Studsvik AB,Industrials,142488.90984/-1.01959,87.7,4.137
STO:MYCR,Mycronic AB,Technology,108091846.24099/-1.03567,244.4,3.7154
STO:NELLY,Nelly Group AB,Consumer Cyclical,401418485.85396/-1.52646,33.75,3.5186
STO:TRAD,TradeDoubler AB,Communication Services,283705.41144/-0.89125,5.92,3.4989
STO:NWG,Nordic Waterproofing Holding AB,Industrials,9638434.11421/0.13483,212.5,3.0724
STO:BHG,BHG Group AB,Consumer Cyclical,940003.75633/-0.58162,140.4,2.9707
STO:FABG,Fabege AB,Real Estate,930474538617.7592/-0.12152,147.95,2.9693
STO:JM,JM AB,Consumer Cyclical,28142401043.01937/-0.54854,323.8,2.8892
STO:COLL,Collector AB,Financial Services,1.687486576981977e+19/0.39034,41.6,2.8363
STO:NYF,Nyfosa AB,Real Estate,461335252521.6644/0.70369,133.7,2.6046
STO:SF,Stillfront Group AB,Communication Services,195903.68152/-0.83219,66.05,2.4766
STO:AAK,AAK AB,Consumer Defensive,2924304897.54485/-0.47554,200.9,2.2701
STO:NAXS,NAXS AB,Financial Services,135287950458.63087/-2.19385,58.0,2.0933
STO:LUG,Lundin Gold Inc.,Basic Materials,7926162793.05675/-1.74058,75.35,2.081
STO:KDEV,Karolinska Development AB ser.B,Healthcare,70162628.83878/-1.33822,4.04,1.9756
STO:SINCH,Sinch AB,Communication Services,81924373138.8204/-0.61123,182.95,1.9106
STO:SINT,SinterCast AB,Industrials,97705.6803/-1.53052,143.4,1.8824
STO:NOTE,NOTE AB,Technology,7665487.40913/-0.77691,123.6,1.8688
STO:SAND,Sandvik AB,Industrials,2292848.88293/-0.56516,218.4,1.8362
STO:PROB,Probi AB,Healthcare,205999.32771/-1.35368,429.5,1.8025
STO:MIPS,Mips AB,Consumer Cyclical,50793647733409.24/-0.7538,942.5,1.7455
STO:SEMC,Semcon AB,Industrials,3938601857.71156/0.14677,127.4,1.7158
STO:THULE,Thule Group AB,Consumer Cyclical,85038801.3043/0.0446,481.6,1.6888
STO:BMAX,Byggmax Group AB,Industrials,3223.29469/-0.6425,76.2,1.5764
STO:GARO,Garo AB,Industrials,228926724.98637/-1.02412,197.6,1.4951
STO:DEDI,Dedicare AB ser. B,Industrials,29131.60752/-0.62503,85.0,1.4922
STO:ITAB,ITAB Shop Concept AB,Industrials,1482773.465/-0.8018,15.1,1.4868
STO:SCST,Scandi Standard AB,Consumer Defensive,5120.20434/-0.51947,54.8,1.4526
STO:BETCO,Better Collective A/S,Technology,299220620561.80164/-0.60572,181.6,1.413
STO:VITR,Vitrolife AB,Healthcare,2937451312.42915/-0.70892,515.0,1.3217
STO:FAG,Fagerhult  AB,Industrials,219847310.36747/-0.10205,78.0,1.3061
STO:EWRK,eWork Group AB,Technology,157482161.22686/-0.70664,110.4,1.2535
STO:MEKO,Mekonomen AB,Industrials,1414816.43868/-0.44202,165.7,1.2183
STO:INDT,Indutrade AB,Industrials,1400494957.23833/-0.34051,275.0,1.2123
STO:ALIG,Alimak Group AB,Industrials,61257225.05767/-0.31881,143.8,1.153
STO:8TRA,TRATON SE,Industrials,5423924234117.684/-1.09816,247.8,1.1254
STO:OP,Oscar Properties Holding AB,Consumer Cyclical,182952873987.54843/-0.33244,11.31,1.0946
STO:HUM,Humana AB,Healthcare,2408896.58523/-0.3049,72.1,1.0915
STO:EAST,Eastnine AB,Financial Services,22057297578975.78/-0.17981,141.4,1.0908
STO:GRNG,Gränges AB,Basic Materials,3107574.09386/-0.23854,116.5,1.0211
STO:AMBEA,Ambea AB,Healthcare,1113229284.80208/-0.50134,66.9,1.0066
STO:DOM,Dometic Group AB,Technology,35889966.36714/-0.55436,135.35,0.9975
STO:GHP,GHP Specialty Care AB,Healthcare,639574.16081/-1.03546,26.6,0.978
STO:G5EN,G5 Entertainment AB,Communication Services,19944.8906/-1.30372,442.6,0.9752
STO:BILL,BillerudKorsnäs AB,Basic Materials,5131677.2212/-0.45053,174.8,0.9313
STO:SOBI,Swedish Orphan Biovitrum AB,Healthcare,13783668516.93531/0.52961,241.4,0.9218
STO:MULQ,MultiQ International AB,Technology,1.537824506485932e+16/-0.6816,1.138,0.9164
STO:EVO,Evolution AB,Consumer Cyclical,73754641919674.17/0.98507,1390.0,0.9092
STO:GREEN,Green Landscaping Group AB,Industrials,55121402.33411/-0.9982,88.0,0.8556
STO:BOOZT,Boozt AB,Consumer Cyclical,928009.49989/-0.74913,164.4,0.8553
STO:HANZA,Hanza Holding AB,Technology,81760218818.6072/-0.14901,29.0,0.845
STO:PFE,Pfizer Inc.,Healthcare,436253486287353.1/-0.19629,383.05,0.8422
STO:KNOW,Knowit AB,Technology,2085607938406.3503/-0.24178,314.0,0.8336
STO:EQT,EQT AB,Financial Services,2057028314443226.2/1.02695,392.5,0.8102
STO:BRAV,Bravida Holding AB,Industrials,6735308644.36251/-0.10841,130.7,0.7953
STO:CEVI,CellaVision AB,Healthcare,172920374682.6165/-0.76634,445.4,0.7681
STO:BUFAB,Bufab AB,Industrials,3272982.10793/-0.5139,326.5,0.7445
STO:LUMI,Lundin Mining Corporation,Basic Materials,38527512623.72607/-0.45138,65.35,0.7012
STO:HTRO,Hexatronic Group AB,Technology,25367006.09747/-0.45284,269.0,0.6835
STO:ATT,Attendo AB,Healthcare,52886146475.28165/-0.37025,40.4,0.6465
STO:HMS,HMS Networks AB,Technology,1839874058.43307/-0.02667,474.0,0.6402
STO:DUST,Dustin Group AB,Technology,704346.55036/-0.64835,97.1,0.6306
STO:AFRY,AFRY AB,Industrials,1332681085.29145/0.27914,297.4,0.6209
STO:TROAX,Troax Group AB,Industrials,5033056495177755.0/0.56499,355.5,0.6111
STO:COIC,Concentric AB,Industrials,1472454.74927/-0.77197,180.2,0.5931
STO:ALFA,Alfa Laval AB,Industrials,154092100553.86276/-0.08759,350.3,0.5773
STO:VNV,VNV Global AB,Financial Services,18926625759.27419/-1.07477,101.9,0.526
STO:ENEA,Enea AB,Technology,346880293.58181/-0.65731,226.0,0.5237
STO:STWK,Stockwik Förvaltning AB,Financial Services,5.298435481251151e+21/-0.78551,126.4,0.5118
STO:HEM,Hemnet Group AB,Communication Services,1.67089420504189e+18/0.9053,172.1,0.4872
STO:AZA,Avanza Bank Holding AB,Financial Services,5.8972559473233935e+23/1.25545,346.4,0.4802
STO:PRFO,Profoto Holding AB,Consumer Cyclical,432694696127.2121/0.19561,101.8,0.4746
STO:NOBI,Nobia AB,Consumer Cyclical,326901938.5297/-0.42594,63.85,0.4683
STO:BALCO,Balco Group AB,Industrials,197988313121.49948/0.00475,132.6,0.4616
STO:CTM,Catena Media P.L.C,Consumer Cyclical,2662885220.00192/-0.44778,48.56,0.458
STO:AZN,AstraZeneca PLC,Healthcare,4752601939776582.0/-0.04326,963.4,0.454
STO:CTT,CTT Systems AB,Industrials,1.8246713781426048e+18/-0.09063,215.0,0.4087
STO:CIBUS,Cibus Nordic Real Estate AB,Real Estate,413024538634759.56/0.56074,229.0,0.3881
STO:MCAP,MedCap AB,Financial Services,82149.84353/-1.05524,204.5,0.3758
STO:SENS,Sensys Gatso Group AB,Industrials,50391087.58506/-0.85821,1.096,0.3433
STO:COOR,Coor Service Management Holding,Industrials,107557945.29319/0.45827,88.4,0.3335
STO:DORO,DORO AB,Technology,730495439.06538/0.17846,64.6,0.3261
STO:HLDX,Haldex AB,Consumer Cyclical,1.6956184080331128e+16/-0.39189,50.7,0.319
STO:NGS,NGS Group AB,Industrials,6790006217.36915/0.13828,23.9,0.3108
STO:STRAX,Strax AB,Technology,1.0768592472963956e+16/-1.01405,3.77,0.306
STO:KARO,Karo Pharma AB,Healthcare,44623943668455.48/-0.52046,54.4,0.2977
STO:SAVE,Nordnet AB,Financial Services,1.1769061264216084e+22/0.69248,163.8,0.2899
STO:FPIP,Formpipe Software AB,Technology,31387396956.95008/-0.63,32.05,0.2728
STO:NMAN,Nederman Holding AB,Industrials,315265502.43603/-0.43175,178.0,0.2719
STO:MTRS,Munters Group AB,Industrials,232225052.80939/-0.38697,82.35,0.2671
STO:IVSO,INVISIO AB,Technology,3513534259517.729/-0.51213,182.2,0.2341
STO:BIOT,Biotage AB,Healthcare,222506346647.7921/0.04567,253.8,0.1893
STO:ODD,Odd Molly International AB,Consumer Cyclical,3.2568223032453505e+23/-0.57702,17.18,0.1859
STO:BELE,Beijer Electronics Group AB,Technology,3.5611351484750976e+17/-0.32915,61.0,0.175
STO:LIAB,Lindab International AB,Industrials,34783294886970.355/-0.03143,237.0,0.1646
STO:DUNI,Duni AB,Consumer Defensive,4.2273981960749066e+18/-0.24266,110.0,0.1573
STO:LIME,Lime Technologies AB,Technology,2475575027.57727/-0.82785,380.2,0.1369
STO:LEO,LeoVegas AB,Communication Services,31646930378.2523/-0.58472,35.9,0.1212
STO:HOFI,Hoist Finance AB,Financial Services,1.1394885551507588e+21/0.68717,32.78,0.1204
STO:RVRC,RVRC Holding AB,Consumer Cyclical,371333850668.49567/-0.70766,80.0,0.1186
STO:KAR,Karnov Group AB,Consumer Cyclical,846167633.7739/-0.27246,58.9,0.1132
STO:ELTEL,Eltel AB,Industrials,3.311505063797625e+16/-0.36479,19.48,0.0828
STO:TETY,Tethys Oil AB,Energy,1.0697912379967779e+18/-0.13507,51.3,0.0703
STO:ADAPT,Adapteo Oyj,Real Estate,1.0366458021170746e+16/0.72779,163.0,0.0502
STO:CINT,Cint Group AB,Technology,3.326028490704113e+22,108.5,0.0136
