"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
STO:MCAP,MedCap AB,Financial Services,Sweden,82149.8435307,89614050.304,5446283.421,15749385.596,96735431.16,7540829.88,20517534.06,7540829.88,20517534.06,96735431.16,89614050.304,5446283.421,96735431.16,7540829.88,7540829.88,96735431.16,0.4392649,0.4392649,45.454548,39.64497,44.7283508,3.5553334,44.7283508,3.2602524,3.1286238,122600336.9399411,132500000.0,115713333.3333333,132500000.0,0.07794,0.3903342,5.625,0.1805702,2.5,0.2957739,0.44622,0.30886,5.07,4.422,204.5,0.0216235,4.918996,14796200,67300000,4.5484651,358,367432637,343967810,187988.8268156,0.443,0.082,25.2466841,0.087567,25.2466841,0.087567,6.643921,26.0258046,0.0833917,3.1377629,6.7322219,6.7322219,11045619.473,12155540.19,33.2650096,30.2275861,30.2275861,1.1009443,0.8172356,0.8172356,0.9050109,SEK,SEK,0.1156569,0.1156569,0,0,0,0,204.5,184,249,212.07957,-3.5739275,11.1413043,-17.8714859,0.6307692,0.6317692,2.0010543,2.2389431,0.0934191,0.0640482,0.8583095,0.2340453,1.3503232,1.6914884,2.2489431,0.0740482,0.2440453,1.7014884,1.9752157,106974922.04,126386005.09,126386005.09,53080348.732,69118876.578,69118876.578,0.1596651,0.2090994,90166666.6666667,182373333.3333333,182373333.3333333,53290844.29,56484516.822,56484516.822,3.0950231,None
STO:SF,Stillfront Group AB,Communication Services,Sweden,195903.6815154,363810344.64,49185024.34,47427039.46,577706215.5,75292641.9,84892164.6,75292641.9,84892164.6,577706215.5,363810344.64,49185024.34,577706215.5,75292641.9,75292641.9,577706215.5,0.7400885,0.7400885,36.17647,6.195055,32.4287931,4.8751473,32.4287931,2.6235611,2.6097375,1423993852.93599,1439000000.0,857800000.0,1439000000.0,0.13033,2.1064726,15.46875,0.3006881,2.5,1.3182281,0.55951,0.17451,10.92,1.87,66.05,0.0283119,3.3204083,359960992,651000000,1.8085293,1250,3696565363,2816402926,520800.0,0.947,0.869,0.8967484,0.7795167,0.8967484,0.7795167,0.9344371,9.9166287,0.8466292,9.4512454,34.7040944,34.7040944,96959034.5,154748932.2,38.1250224,23.8875016,23.8875016,1.3723952,1.1132307,1.1132307,1.0560975,SEK,SEK,0.1156569,0.1156569,0,0,0,0,66.05,46.4,125.7,76.19718,-13.317002,42.3491379,-47.4542562,0.4955864,0.4965864,1.8862777,1.9209991,0.0095238,0.002381,2.5412219,0.6071316,1.0645548,1.1798207,1.9309991,0.012381,0.6171316,1.1898207,1.5604099,930960940.4,1647609645.1,1647609645.1,455086770.12,773073850.98,773073850.98,0.1456981,0.1973939,65200000.0,268600000.0,268600000.0,474039080.8,872299760.72,872299760.72,2.3254551,None
STO:BOOZT,Boozt AB,Consumer Cyclical,Sweden,928009.4998871,433007096.864,10441504.932,-21266219.726,547138096.83,29561903.64,-68977775.16,29561903.64,-68977775.16,547138096.83,433007096.864,10441504.932,547138096.83,29561903.64,29561903.64,547138096.83,0.2694806,0.2694806,39.70193,102.201256,47.5143457,2.2358515,47.5143457,3.1450581,3.0566347,429451908.3587688,453600000.0,242053333.3333333,453600000.0,0.05403,0.3702623,13.921875,0.1154064,2.5,0.2622703,0.67751,0.08675,1.59,4.093,164.4,0.0248966,5.284381,63698100,255600000,4.0126786,864,1274704044,1223319426,295833.3333333,1.0380287,0.485,1.0380287,0.2760567,1.0380287,0.2760567,1.0380287,10.4383691,0.4327642,6.8284814,45.7736358,45.7736358,47180304.74,64871955.21,27.0177154,19.6495395,19.6495395,1.2327587,1.2532288,1.2532288,1.120477,SEK,SEK,0.1156569,0.1156569,0,0,0,0,164.4,120.6,224.4,185.62183,-11.4328309,36.318408,-26.7379679,0.8439306,0.8449306,1.8437437,1.8357856,0.0041051,0.0007935,4.4233592,0.4045112,1.900295,1.9553645,1.8457856,0.0107935,0.4145112,1.9653645,1.905575,364776465.278,443286682.136,443286682.136,166289948.728,202750400.93,202750400.93,0.166688,0.2458044,1162773333.3333333,1464473333.3333333,1464473333.3333333,198486516.55,240536281.206,240536281.206,3.3510181,None
STO:BHG,BHG Group AB,Consumer Cyclical,Sweden,940003.7563273,851991180.126,32094789.75,15128693.566,1244849911.77,61714521.84,12872612.97,61714521.84,12872612.97,1244849911.77,851991180.126,32094789.75,1244849911.77,61714521.84,61714521.84,1244849911.77,0.205638,0.205638,32.21243,32.21243,32.21243,1.5605714,32.21243,2.4549334,2.3639764,973744218.4113823,1045900000.0,617066666.6666666,1045900000.0,0.04957,1.4195627,34.8046875,0.3142866,6.25,0.9180563,0.79836,0.02031,0,4.312,140.4,0.0307123,3.6617193,120928000,533500000,4.4117161,2461,2213339530,1942677187,216781.7960179,0.363,0.318,1.5460376,0.3614143,1.5460376,0.3614143,0.6587594,8.3663994,0.3288536,5.9845757,48.8986268,48.8986268,77301987.776,80555030.85,28.6323754,27.476118,27.476118,1.5515347,1.3949459,1.3949459,1.1820783,SEK,SEK,0.1156569,0.1156569,0,0,0,0,140.4,106.6,192,151.74437,-7.4759742,31.7073171,-26.875,0.7915691,0.7925691,1.7731163,1.7447529,-0.0003258,-8.17e-05,0.4508232,0.1128374,0.9991122,1.2920795,1.7547529,0.0099183,0.1228374,1.3020795,1.5284162,826816528.2260001,1187954427.43,1187954427.43,322279493.942,501903912.1940001,501903912.1940001,0.1519502,0.2229608,-66320000.0,658620000.0,658620000.0,500754282.608,681411131.4540001,681411131.4540001,2.4786868,None
STO:ITAB,ITAB Shop Concept AB,Industrials,Sweden,1482773.4650032,5685533333.333333,54066666.6666667,1324733333.3333333,5776000000.0,13000000.0,5533000000.0,13000000.0,5533000000.0,5776000000.0,5685533333.333333,54066666.6666667,5776000000.0,13000000.0,13000000.0,5776000000.0,0.1043225,0.1043225,205.20547,205.20547,205.20547,0.5656402,205.20547,1.4007207,1.2851229,514997259.3510032,600000000.0,468133333.3333333,600000000.0,0.00225,0.0,0.0,0.0,0.0,0.0112857,0.35304,0.43177,0,0.073,15.1,0.0048344,1.2787025,218100000,13000000,0.0596057,2944,602302230,377867028,4415.7608696,1.667,0.303,-0.5787431,-0.076099,-0.5787431,-0.076099,1.1055642,10.7645814,0.2082252,4.8131704,185.6115323,185.6115323,639333333.3333334,372000000.0,0.9420786,1.619092,1.619092,2.3311445,1.5112054,1.5112054,1.230311,USD,SEK,1.0,0.1156569,0,0,0,0,15.1,7.640575,22.2,16.896944,-10.6347278,97.6291051,-31.981982,1.0246868,1.1575686,1.4608991,1.7343589,0.0074691,0.0037037,2.3380647,1.2851312,1.0701781,1.3115227,1.7443589,0.0137037,1.2951312,1.3215227,1.5329408,5608066666.666667,5931666666.666667,5931666666.666667,1647200000.0,2372266666.6666665,2372266666.6666665,0.1021916,0.10548,119866666.6666667,600266666.6666666,600266666.6666666,3838733333.3333335,3437933333.3333335,3437933333.3333335,1.3767787,None
STO:GREEN,Green Landscaping Group AB,Industrials,Sweden,55121402.334115,215464178.424,2479683.936,-18770343.824,278270501.4,7205424.87,-74737488.78,7205424.87,-74737488.78,278270501.4,215464178.424,2479683.936,278270501.4,7205424.87,7205424.87,278270501.4,0.2556017,0.2556017,61.03896,61.03896,61.03896,1.778882,61.03896,3.6041003,3.2818669,207751020.4736538,244900000.0,175126666.6666667,244900000.0,0.02594,0.0312393,2.25,0.0109876,1.0,0.0368321,0.23583,0.47467,0,1.386,88,0.01575,8.431333,50588800,62400000,1.2334746,1350,614866869,494989829,46222.2222222,2.547619,0.79,2.547619,0.3021626,2.547619,0.3021626,2.547619,16.2112626,0.6680407,8.4233754,23.9592179,23.9592179,15114814.738,21697234.44,40.679749,28.3384904,28.3384904,4.9129349,3.408579,3.408579,1.8472337,SEK,SEK,0.1156569,0.1156569,0,0,0,0,88,31,108,72.1676,21.9383768,183.8709677,-18.5185185,1.4805195,10.5313672,1.2444149,1.2948061,0.11785,0.0994953,0.3503273,0.1413721,0.938738,0.932051,1.3048061,0.1094953,0.1513721,0.942051,1.1234286,189157630.996,236270083.688,236270083.688,39048853.624,53450450.812,53450450.812,0.1304966,0.2348057,-39846666.6666667,-48633333.3333333,-48633333.3333333,150108777.372,182819632.876,182819632.876,2.2392183,None
STO:KDEV,Karolinska Development AB ser.B,Healthcare,Sweden,70162628.8387762,334279.28284,-1598941.22158,-178755827.22254,250050.2178,12498462.8985,-182722057.0047,12498462.8985,-182722057.0047,250050.2178,334279.28284,-1598941.22158,250050.2178,12498462.8985,12498462.8985,250050.2178,46.1464092,46.1464092,6.4046645,2487.3097457,316.5177996,320.12955,316.5177996,-3.623762,7.9824728,-27531893.0167241,-27532000.0,-31492733.3333333,-27532000.0,49.98381,-40.7529409,0.0,185.6028218,1.0,114.5279952,0.05592,0.67914,-0.98,-0.606,4.04,-0.15,0.8914027,174162000,108065000,0.6204855,7,99768639,80048461,15437857.1428571,102.095,-0.024,1.8615307,-0.0595519,1.8615307,-0.0595519,77.0366327,88.0205148,-0.032888,0.2467112,4.1086661,4.1086661,-2293075.38308,264391.6734,229.839295,377.351671,377.351671,0.425279,0.103898,0.103898,0.3233322,SEK,SEK,0.1156569,0.1156569,0,0,0,0,4.04,1.54,5.75,2.4975846,61.7562824,162.3376623,-29.7391304,1.1876485,2.8062571,7.5665992,10.8090622,12.0287425,5.4292807,4.9248707,1.2312177,1.8830526,5.2266689,10.8190622,5.4392807,1.2412177,5.2366689,8.0278655,108251041.7223,113455972.32438,113455972.32438,87068048.70154,102941110.07594,102941110.07594,0.2101613,0.2214137,-30875800.0,56740666.6666667,56740666.6666667,21182993.02076,10514862.24844,10514862.24844,1.057279,None
STO:NELLY,Nelly Group AB,Consumer Cyclical,Sweden,401418485.8539641,1791580000.0,242526666.6666667,-921553333.3333334,630800000.0,617700000.0,-1334500000.0,617700000.0,-1334500000.0,630800000.0,1791580000.0,242526666.6666667,630800000.0,617700000.0,617700000.0,630800000.0,0.0356223,0.0356223,0.9892271,0.9892271,0.9892271,0.4441518,0.9892271,5.1467321,1.8828597,-36149973.9325843,-82000000.0,-95840000.0,-82000000.0,0.40704,0.0,0.0,0.0,0.0,0.2425943,0.47288,0.10684,0,34.067,33.75,1.0093926,2.5927067,18026200,-41900000,-2.3243945,299,49923569,72086417,-140133.7792642,0.4285714,0.03,0.4285714,-0.187058,0.4285714,-0.187058,0.4285714,6.7965367,-0.0242645,0.2475736,2.3081966,2.3081966,-151173333.3333333,-231400000.0,30280.9546129,2157.4576149,2157.4576149,2.2775995,1.7827295,1.7827295,1.336189,USD,SEK,1.0,0.1156569,0,0,0,0,33.75,25.702286,43.85,34.207394,-1.3371203,31.3112771,-23.0330673,0.8869121,0.8879121,1.4889622,1.5894157,0.0838711,-0.000586,678.0265107,551.2009685,1.3477081,1.2175361,1.5994157,0.009414,551.2109685,1.2275361,1.4134759,2093646666.6666667,867920000.0,867920000.0,570066666.6666666,287646666.6666667,287646666.6666667,0.8117015,2.2474262,501766666.6666667,122600000.0,122600000.0,1523580000.0,580273333.3333334,580273333.3333334,1e-05,None
STO:CTM,Catena Media P.L.C,Consumer Cyclical,Malta,2662885220.0019197,120605681.8666667,11048383.4666667,81849874.5333333,141401230.0,25067840.0,352530636.0,25067840.0,352530636.0,141401230.0,120605681.8666667,11048383.4666667,141401230.0,25067840.0,25067840.0,141401230.0,3.6503631,3.6503631,257.08997,6.647059,225.7846061,29.628382,225.7846061,7.3235106,7.2340215,61330162.4816412,62829000.0,46833933.3333333,62829000.0,0.17728,0.0871648,1.0,1.502607,4.8125,0.9317361,0.33223,0.11003,7.31,0.189,48.56,0.0038921,13.283215,73192896,21280000,0.2907386,410,438175340,411327158,51902.4390244,0.944,0.526,0.3517861,0.0941176,0.3517861,0.0941176,0.7959465,9.1715835,0.4180294,6.7155193,283.6680635,283.6680635,51280774.5333333,68943628.0,8.5446319,6.3555597,6.3555597,0.9016539,0.4339995,0.4339995,0.6597864,EUR,SEK,1.178,0.1156569,0,0,0,0,48.56,26.22,75.82,56.3069,-13.7583493,85.2021358,-35.9535743,0.9008065,0.9018065,2.5998008,3.4115696,0.0,0.0,0.0,0.0,1.9268706,1.6085665,3.4215696,0.01,0.01,1.6185665,2.520068,399279801.6,417027235.4666666,417027235.4666666,226931804.8,291689920.2666667,291689920.2666667,0.1601108,0.18594,13019466.6666667,1545066.6666667,1545066.6666667,172347996.8,125337315.2,125337315.2,1.9953361,None
STO:LUG,Lundin Gold Inc.,Basic Materials,Canada,7926162793.05675,191016533.3333333,-62554666.6666667,-355526133.3333333,664290000.0,162511000.0,-1385263000.0,162511000.0,-1385263000.0,664290000.0,191016533.3333333,-62554666.6666667,664290000.0,162511000.0,162511000.0,664290000.0,3.3370485,3.3370485,363.33337,363.33337,363.33337,26.668648,363.33337,5.4000207,5.4114395,408779797.19426,407051000.0,95516533.3333333,407051000.0,0.24464,-0.1316689,0.0,0.3018233,1.0,0.2335578,0.17908,0.72878,0,0.21,75.35,0.002787,26.410524,231826000,162511008,0.7010042,10000000,2216754891,2048944804,16.2511008,0.7606232,15.442,0.7606232,0.0,0.7606232,0.0,0.7606232,8.9713714,11.5815,34.281603,477.6785302,477.6785302,48745933.3333333,335492000.0,45.4756887,6.6074747,6.6074747,1.5353914,1.2628355,1.2628355,1.1247595,USD,SEK,1.0,0.1156569,0,0,0,0,75.35,63,87.5,75.26901,0.1076007,19.6031746,-13.8857143,1.0081633,1.0499901,1.7287243,1.7998696,0.6623632,2.6494527,16.4248515,14.6320913,1.7361591,1.3003657,1.8098696,2.6594527,14.6420913,1.3103657,1.5601177,1345691666.6666667,1546696133.3333333,1546696133.3333333,532872600.0,686654066.6666666,686654066.6666666,0.2050698,0.3366708,61146000.0,83116133.3333333,83116133.3333333,812819066.6666666,860042066.6666666,860042066.6666666,0.385422,None
