"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,skip_reason
TLV:ABRA,ABRA TECH,Technology,Israel,12038.89086,18581400,-12050466.67,22532300,4175733.333,-3937366.667,20556850,18581400,-12050466.67,22532300,4175733.333,-3937366.667,20556850,0.82413,0.82413,7.51417,7.51417,7.51417,1.21412,2.50472,60.539,0.15254,0,0,0,0,0.09717,0.42577,0,0.159,393.6,0.0004,0.55908,62814000,9429000,0.15011,352,50947159,75047181,26786.93182,-0.57555,0.39177,-0.57555,0.39177,-0.57555,0.39177,-0.57555,0.47445,0.39177,3.00885,1,1,5831066.667,925566.6667,8.73719,55.04429,31.89074,0.28574,0.41948,0.35261,0.59381,USD,ILS,1,0.30034,29.1911,245.464,161.365,107.2049,0.48141,225.1,456,339.31805,15.99737,74.85562,-13.68421,1.45951,9.66576,19.10708,3.71693,0.30872,0.0095,0.11423,0.14727,10.60497,3.72292,11.42201,0.16911,0.14075,7.17394,9.29798,153838800,183925800,168882300,None
TLV:ACE,ACE CAPITAL RETAIL,Consumer Cyclical,Israel,11935.5694,624690800,24388000,183259066.7,8914666.667,16651333.33,403974933.3,624690800,24388000,183259066.7,8914666.667,16651333.33,403974933.3,0.33248,0.33248,3.08949,3.08949,3.08949,0.20663,3.08949,9.741,0.063,0,0,0,0,0.046,0.81862,0,2.128,2165,0.00098,1.06867,23015000,46134000,2.00452,990,243563514,151310792,46600,0.20774,0.05097,0.20774,0.05097,0.20774,0.05097,0.20774,2.08871,0.05097,1.30483,1,1,101393266.7,25393133.33,2.40217,9.59171,5.99694,6.48685,5.51469,6.00077,2.44965,USD,ILS,1,0.30034,36.3477,86.8998,0,0,0.04008,1600,2198,1857.0754,16.58116,35.3125,-1.50136,1.88963,45.52643,1.16238,1.18619,0.14502,0.16442,0,0,0.75117,0.81041,1.18428,0.16472,0.01,0.79079,0.98754,657340000,793186857.1,725263428.6,None
TLV:ADGR,ADGAR INVEST & DEV,Real Estate,Israel,16376627.87,72114417.15,13516341.18,18752168.4,1040197.556,7278269.367,45433292.77,72114417.15,13516341.18,18752168.4,1040197.556,7278269.367,45433292.77,4.74027,4.74027,42.44954,42.44954,42.44954,1.26624,42.44954,19.808,-0.11855,0.18819,1,0.1226,2.5,0.13563,0.25364,0,-0.188,621.7,-0.0003,0.24093,163544992,-28926000,-0.17687,116,1156583525,308959171,-249362.069,0.486,0.00371,-0.47897,0.00371,-0.47897,0.00371,0.24476,2.27379,0.00371,1.06853,1,1,24425611.02,4970506.864,47.35126,232.68925,140.02026,2.87386,2.81893,2.8464,1.68713,ILS,ILS,0.30034,0.30034,7.3374,7.2151,6.9655,6.3741,0.51579,345,676.9,591.0514,5.18544,80.2029,-8.15482,1.66737,21.48777,1.3551,1.35632,0.70549,0.31826,19.26964,18.5273,0.9694,0.85429,1.36571,0.52187,18.90847,0.92185,1.14378,1442985833,1476741388,1459863611,None
TLV:AFPR,AFI PROPERTIES,Real Estate,Israel,1749795.654,275416064.9,52767395.35,80338507.23,20407802.66,36587599,177877286,275416064.9,52767395.35,80338507.23,20407802.66,36587599,177877286,3.68607,3.68607,4.76917,4.76917,4.76917,1.50217,4.76917,28.812,0.30567,0.49643,2.5,0.66137,2.5,0.57343,0.09381,0,8.911,14000,0.00064,0.35728,36032600,311606016,8.64789,296,3757520082,1531317349,1052723.027,-0.47835,0.02935,-0.47835,0.02935,-0.47835,0.02935,-0.47835,0.57165,0.02935,1.19675,1,1,94263531.06,36409737.66,39.86186,103.20097,71.53141,1.91951,2.07567,1.99759,1.41336,ILS,ILS,0.30034,0.30034,699.04755,262.25336,355.3014,322.38956,0.49987,7496.1353,14960,12178.819,14.95367,86.7629,-6.41711,1.74276,28.01731,1.53169,1.48576,0.38949,1.04969,14.97051,15.70971,0.64434,0.78507,1.51872,0.72959,15.35011,0.7247,1.12171,3613905330,4025529955,3819717642,None
TLV:AFRE,AFRICA ISRAEL RESI,Real Estate,Israel,2295882904,1262028800,103345466.7,291068466.7,25612466.67,64478966.67,776548633.3,1262028800,103345466.7,291068466.7,25612466.67,64478966.67,776548633.3,0.95238,0.95238,5.69476,5.69476,5.69476,0.49334,5.69476,30.491,0.08663,0,0,0,0,0.0595,0.32603,0,8.855,16700,0.00053,0.59759,12643500,111959000,8.85506,54,1230717778,637574861,2073314.815,13.571,0.04763,-0.01169,0.04763,-0.01169,0.04763,10.17533,51.92664,0.04763,1.28817,1,1,-58948600,-60698133.33,9231676.057,8459785.521,8845730.789,2.47984,2.46319,2.47152,1.57211,USD,ILS,1,0.30034,474.5507,395.4589,395.4589,395.4589,0.96305,8000,18830,14885.139,12.19244,108.75,-11.31174,1.60665,17.19985,1.40381,1.40608,0.34251,0.34813,26.8335,24.98678,1.1847,1.07,1.41494,0.35532,25.92014,1.13735,1.27615,3752019267,3728918400,3740468833,None
TLV:ALBA,ALBAAD MASSUOT YIT,Consumer Defensive,Israel,3.40334,444076677.2,10048535.45,118259916.2,6853478.483,8451006.965,281168296.7,444076677.2,10048535.45,118259916.2,6853478.483,8451006.965,281168296.7,0.25138,0.25138,1.7212,1.7212,1.7212,0.12445,1.7212,4.909,0.07228,0.0187,1,0.14394,2.5,0.11557,0.13035,0,10.611,6150,0.00173,0.37751,10530700,119788000,11.37512,1822,388352748,192329278,65745.3348,0.478,0.03957,0.32726,0.03957,0.32726,0.03957,0.44032,3.25158,0.03957,1.24785,1,1,42183834.22,10558773.06,9.2062,36.7801,22.99315,1.97121,1.84849,1.90985,1.38197,ILS,ILS,0.30034,0.30034,237.4,189.92,189.92,170.928,0.37641,4163,9691,7528.5625,-18.3111,47.73,-36.53906,0.71889,0.71989,1.51669,1.55472,0.78421,0.40325,0.43873,0.38253,1.3178,1.29225,1.5457,0.60373,0.42063,1.31502,1.43036,420322881.5,438176201.9,429249541.7,None
TLV:ALGS,ALON NATURAL GAS E,Energy,Israel,165788.4149,54355266.67,18071666.67,12671466.67,6197400,12134533.33,33513366.67,54355266.67,18071666.67,12671466.67,6197400,12134533.33,33513366.67,2.07805,2.07805,3.77152,3.77152,3.77152,1.63744,3.77152,8.162,0.43406,0,0,0,0,0.25803,0.05252,0,1.435,1793,0.0008,1.06454,14038000,20140000,1.43468,10000000,96416021,75975438,2.014,0.06638,-0.08963,0.06638,-0.08963,0.06638,-0.08963,0.06638,1.38191,-0.08963,0.96037,1,1,16131666.67,6315266.667,5.97682,15.26713,10.62198,3.2556,2.29417,2.77489,1.6658,USD,ILS,1,0.30034,356.178,356.178,178.234,357.285,1793,1005,1830,1449.3776,23.70827,78.40796,-2.02186,1.9103,48.59746,1.38182,1.47117,0.32865,1.72709,0.51107,0.52429,1.59493,2.26743,1.4365,1.03787,0.52768,1.94118,1.68884,243257800,227579600,235418700,None
TLV:AMX,AUTOMAX MOTORS LTD,Consumer Cyclical,Israel,6.37E+18,44536666.67,-14541200,0,-134000,-7337600,22268333.33,44536666.67,-14541200,0,-134000,-7337600,22268333.33,0,0.59402,486954.2588,486954.2588,486954.2588,0.67667,486954.2588,746.493,0,0,0,0,0,0.01,0.1,0,-0.01,51.8,-0.00019,3.46756,98761800,-1010000,-0.01023,10000000,13227907,15068355,-0.101,0.60296,-0.07913,0.60296,-0.07913,0.60296,-0.07913,0.60296,4.06479,-0.07913,0.97087,1,1,-648066.6667,-292900,8629425.882,92725038.04,50677231.96,2.54322,0.74418,1.6437,1.28207,USD,ILS,1,0.30034,0,0,0,0,51.8,1,65.1,48.17133,7.53284,5080,-20.43011,1.58502,15.85675,1.85151,2.34392,2.80083,0.22215,3.01997,0.75499,1.67978,2.39336,2.10772,1.52149,1.89748,2.04657,2.07714,0,0,0,None
TLV:ARAD,ARAD INVESTMENT &,Industrials,Israel,6632.76526,815453334.2,74443834.17,230661840.8,22426668.12,48435251.14,523057587.5,815453334.2,74443834.17,230661840.8,22426668.12,48435251.14,523057587.5,0.75536,0.75536,3.85632,3.85632,3.85632,0.27004,3.85632,13.08,0.07142,0.23065,2.5,0.23207,2.5,0.21871,0.17789,0,27.438,34680,0.00079,0.33251,7199640,201476992,27.98431,4254,2131213101,761788104,47361.77527,-0.564,0.02691,-0.09837,0.02691,-0.09837,0.02691,-0.44759,0.60241,0.02691,1.18456,1,1,143991986.2,65254991.94,14.80091,32.65977,23.73034,2.19471,2.21892,2.20682,1.48554,ILS,ILS,0.30034,0.30034,300,300,300,200,34680,21980,38130,32349.58,7.20386,57.7798,-9.04799,1.57276,15.13447,1.79747,1.78473,0.60341,0.43637,7.97112,7.78728,1.68986,1.74061,1.8011,0.52989,7.8892,1.72524,1.76317,2841797571,2979009612,2910403592,None
TLV:ARD,ARAD LTD,Technology,Israel,82751.77602,242485000,16759333.33,63551666.67,3759733.333,10259533.33,153018333.3,242485000,16759333.33,63551666.67,3759733.333,10259533.33,153018333.3,1.4128,1.4128,21.28476,21.28476,21.28476,1.33177,7.09492,40.304,0.06257,0.1726,2.5,0.14798,2.5,0.15984,0.18756,0,0.633,4479,0.00014,2.56097,24730700,15655000,0.63302,998,353487743,333202981,15686.37275,-0.287,0.03364,-0.00289,0.03364,-0.00289,0.03364,-0.21597,0.83403,0.03364,1.21821,1,1,22098266.67,7482933.333,15.99618,47.23919,31.61768,1.20225,1.22987,1.21606,1.10275,USD,ILS,1,0.30034,40.8,10.1,14.15,12.13,4479,3923,5950,4739.084,-5.48806,14.17283,-24.72269,0.54859,0.54959,1.8435,1.81982,0.08113,0.06275,1.03763,0.6703,2.05878,2.09646,1.84166,0.08194,0.86397,2.08762,1.96464,269592333.3,283372466.7,276482400,None
