ev,pe,evr / pm,0.058,2.978,5.909,10.121,20.484,38.839,91.403
6.000000,465550.360010,327.93343,302.000000,257.000000,213.000000,171.000000,129.000000,85.000000,44.000000
6.000000,465550.360010,5.43414,263.000000,219.000000,176.000000,136.000000,98.000000,59.000000,26.000000
6.000000,465550.360010,2.6543,219.000000,178.000000,138.000000,103.000000,68.000000,38.000000,13.000000
6.000000,465550.360010,1.25983,177.000000,139.000000,104.000000,74.000000,45.000000,23.000000,7.000000
6.000000,465550.360010,0.72185,131.000000,97.000000,69.000000,50.000000,29.000000,15.000000,0.000000
6.000000,465550.360010,0.42569,87.000000,60.000000,40.000000,30.000000,13.000000,0.000000,0.000000
6.000000,465550.360010,0.25254,44.000000,31.000000,20.000000,17.000000,7.000000,0.000000,0.000000
6.000000,23.084700,327.93343,259.000000,237.000000,196.000000,158.000000,120.000000,77.000000,40.000000
6.000000,23.084700,5.43414,227.000000,206.000000,165.000000,129.000000,93.000000,55.000000,24.000000
6.000000,23.084700,2.6543,188.000000,168.000000,129.000000,98.000000,64.000000,34.000000,11.000000
6.000000,23.084700,1.25983,152.000000,132.000000,98.000000,72.000000,43.000000,21.000000,0.000000
6.000000,23.084700,0.72185,113.000000,95.000000,67.000000,50.000000,29.000000,15.000000,0.000000
6.000000,23.084700,0.42569,76.000000,60.000000,40.000000,30.000000,13.000000,0.000000,0.000000
6.000000,23.084700,0.25254,42.000000,31.000000,20.000000,17.000000,7.000000,0.000000,0.000000
6.000000,9.818370,327.93343,215.000000,200.000000,170.000000,142.000000,109.000000,69.000000,35.000000
6.000000,9.818370,5.43414,190.000000,176.000000,146.000000,118.000000,87.000000,51.000000,22.000000
6.000000,9.818370,2.6543,162.000000,149.000000,119.000000,92.000000,61.000000,33.000000,11.000000
6.000000,9.818370,1.25983,133.000000,120.000000,91.000000,68.000000,42.000000,21.000000,0.000000
6.000000,9.818370,0.72185,102.000000,89.000000,63.000000,49.000000,29.000000,15.000000,0.000000
6.000000,9.818370,0.42569,68.000000,56.000000,37.000000,29.000000,13.000000,0.000000,0.000000
6.000000,9.818370,0.25254,39.000000,31.000000,20.000000,17.000000,7.000000,0.000000,0.000000
6.000000,6.572880,327.93343,172.000000,160.000000,137.000000,115.000000,88.000000,53.000000,29.000000
6.000000,6.572880,5.43414,155.000000,144.000000,121.000000,99.000000,74.000000,41.000000,20.000000
6.000000,6.572880,2.6543,130.000000,120.000000,97.000000,76.000000,51.000000,26.000000,11.000000
6.000000,6.572880,1.25983,108.000000,98.000000,76.000000,59.000000,37.000000,18.000000,0.000000
6.000000,6.572880,0.72185,89.000000,79.000000,58.000000,47.000000,28.000000,14.000000,0.000000
6.000000,6.572880,0.42569,59.000000,50.000000,34.000000,28.000000,13.000000,0.000000,0.000000
6.000000,6.572880,0.25254,32.000000,27.000000,18.000000,16.000000,7.000000,0.000000,0.000000
6.000000,4.882230,327.93343,128.000000,121.000000,105.000000,88.000000,69.000000,41.000000,20.000000
6.000000,4.882230,5.43414,116.000000,110.000000,94.000000,77.000000,60.000000,34.000000,15.000000
6.000000,4.882230,2.6543,98.000000,92.000000,76.000000,60.000000,43.000000,23.000000,9.000000
6.000000,4.882230,1.25983,85.000000,79.000000,63.000000,50.000000,34.000000,17.000000,0.000000
6.000000,4.882230,0.72185,70.000000,64.000000,48.000000,39.000000,25.000000,13.000000,0.000000
6.000000,4.882230,0.42569,47.000000,42.000000,28.000000,23.000000,13.000000,0.000000,0.000000
6.000000,4.882230,0.25254,23.000000,21.000000,14.000000,13.000000,7.000000,0.000000,0.000000
6.000000,3.640470,327.93343,85.000000,82.000000,71.000000,62.000000,45.000000,27.000000,11.000000
6.000000,3.640470,5.43414,76.000000,74.000000,63.000000,54.000000,39.000000,22.000000,8.000000
6.000000,3.640470,2.6543,69.000000,67.000000,56.000000,48.000000,33.000000,18.000000,0.000000
6.000000,3.640470,1.25983,60.000000,58.000000,47.000000,40.000000,26.000000,13.000000,0.000000
6.000000,3.640470,0.72185,47.000000,45.000000,34.000000,31.000000,19.000000,10.000000,0.000000
6.000000,3.640470,0.42569,35.000000,33.000000,24.000000,22.000000,12.000000,0.000000,0.000000
6.000000,3.640470,0.25254,18.000000,17.000000,13.000000,13.000000,7.000000,0.000000,0.000000
6.000000,2.470100,327.93343,41.000000,38.000000,36.000000,33.000000,21.000000,10.000000,0.000000
6.000000,2.470100,5.43414,37.000000,35.000000,33.000000,30.000000,20.000000,9.000000,0.000000
6.000000,2.470100,2.6543,35.000000,33.000000,31.000000,29.000000,19.000000,8.000000,0.000000
6.000000,2.470100,1.25983,32.000000,30.000000,28.000000,26.000000,16.000000,7.000000,0.000000
6.000000,2.470100,0.72185,24.000000,22.000000,20.000000,19.000000,11.000000,0.000000,0.000000
6.000000,2.470100,0.42569,20.000000,18.000000,16.000000,15.000000,8.000000,0.000000,0.000000
6.000000,2.470100,0.25254,12.000000,11.000000,10.000000,10.000000,0.000000,0.000000,0.000000
103.000000,465550.360010,327.93343,226.000000,202.000000,170.000000,136.000000,105.000000,72.000000,39.000000
103.000000,465550.360010,5.43414,193.000000,169.000000,137.000000,105.000000,78.000000,49.000000,24.000000
103.000000,465550.360010,2.6543,155.000000,133.000000,104.000000,76.000000,52.000000,29.000000,12.000000
103.000000,465550.360010,1.25983,124.000000,105.000000,81.000000,57.000000,37.000000,18.000000,7.000000
103.000000,465550.360010,0.72185,89.000000,71.000000,51.000000,37.000000,23.000000,11.000000,0.000000
103.000000,465550.360010,0.42569,56.000000,43.000000,29.000000,22.000000,11.000000,0.000000,0.000000
103.000000,465550.360010,0.25254,23.000000,19.000000,12.000000,11.000000,0.000000,0.000000,0.000000
103.000000,23.084700,327.93343,196.000000,186.000000,155.000000,125.000000,98.000000,65.000000,36.000000
103.000000,23.084700,5.43414,169.000000,159.000000,128.000000,100.000000,75.000000,46.000000,23.000000
103.000000,23.084700,2.6543,134.000000,125.000000,96.000000,72.000000,49.000000,26.000000,11.000000
103.000000,23.084700,1.25983,108.000000,99.000000,75.000000,55.000000,35.000000,16.000000,0.000000
103.000000,23.084700,0.72185,78.000000,69.000000,49.000000,37.000000,23.000000,11.000000,0.000000
103.000000,23.084700,0.42569,50.000000,43.000000,29.000000,22.000000,11.000000,0.000000,0.000000
103.000000,23.084700,0.25254,23.000000,19.000000,12.000000,11.000000,0.000000,0.000000,0.000000
103.000000,9.818370,327.93343,165.000000,156.000000,132.000000,111.000000,88.000000,58.000000,32.000000
103.000000,9.818370,5.43414,144.000000,135.000000,111.000000,90.000000,69.000000,42.000000,21.000000
103.000000,9.818370,2.6543,119.000000,111.000000,87.000000,67.000000,46.000000,25.000000,11.000000
103.000000,9.818370,1.25983,100.000000,92.000000,69.000000,52.000000,34.000000,16.000000,0.000000
103.000000,9.818370,0.72185,73.000000,65.000000,45.000000,36.000000,23.000000,11.000000,0.000000
103.000000,9.818370,0.42569,47.000000,40.000000,26.000000,21.000000,11.000000,0.000000,0.000000
103.000000,9.818370,0.25254,23.000000,19.000000,12.000000,11.000000,0.000000,0.000000,0.000000
103.000000,6.572880,327.93343,131.000000,123.000000,105.000000,89.000000,70.000000,44.000000,26.000000
103.000000,6.572880,5.43414,117.000000,109.000000,91.000000,75.000000,58.000000,34.000000,19.000000
103.000000,6.572880,2.6543,95.000000,88.000000,70.000000,55.000000,38.000000,20.000000,11.000000
103.000000,6.572880,1.25983,80.000000,73.000000,56.000000,44.000000,29.000000,13.000000,0.000000
103.000000,6.572880,0.72185,64.000000,57.000000,41.000000,34.000000,22.000000,10.000000,0.000000
103.000000,6.572880,0.42569,42.000000,36.000000,24.000000,20.000000,11.000000,0.000000,0.000000
103.000000,6.572880,0.25254,19.000000,16.000000,11.000000,10.000000,0.000000,0.000000,0.000000
103.000000,4.882230,327.93343,98.000000,94.000000,82.000000,70.000000,56.000000,34.000000,18.000000
103.000000,4.882230,5.43414,88.000000,84.000000,72.000000,60.000000,48.000000,28.000000,14.000000
103.000000,4.882230,2.6543,73.000000,69.000000,57.000000,46.000000,34.000000,18.000000,9.000000
103.000000,4.882230,1.25983,61.000000,57.000000,45.000000,37.000000,26.000000,12.000000,0.000000
103.000000,4.882230,0.72185,49.000000,45.000000,33.000000,28.000000,19.000000,9.000000,0.000000
103.000000,4.882230,0.42569,34.000000,31.000000,20.000000,17.000000,11.000000,0.000000,0.000000
103.000000,4.882230,0.25254,12.000000,11.000000,7.000000,7.000000,0.000000,0.000000,0.000000
103.000000,3.640470,327.93343,63.000000,61.000000,53.000000,47.000000,35.000000,20.000000,9.000000
103.000000,3.640470,5.43414,56.000000,54.000000,46.000000,40.000000,30.000000,16.000000,7.000000
103.000000,3.640470,2.6543,50.000000,48.000000,40.000000,35.000000,25.000000,13.000000,0.000000
103.000000,3.640470,1.25983,41.000000,39.000000,31.000000,27.000000,18.000000,8.000000,0.000000
103.000000,3.640470,0.72185,31.000000,29.000000,21.000000,20.000000,13.000000,0.000000,0.000000
103.000000,3.640470,0.42569,26.000000,24.000000,17.000000,16.000000,10.000000,0.000000,0.000000
103.000000,3.640470,0.25254,10.000000,9.000000,7.000000,7.000000,0.000000,0.000000,0.000000
103.000000,2.470100,327.93343,27.000000,25.000000,24.000000,21.000000,13.000000,0.000000,0.000000
103.000000,2.470100,5.43414,25.000000,23.000000,22.000000,19.000000,13.000000,0.000000,0.000000
103.000000,2.470100,2.6543,24.000000,22.000000,21.000000,19.000000,13.000000,0.000000,0.000000
103.000000,2.470100,1.25983,21.000000,19.000000,18.000000,16.000000,10.000000,0.000000,0.000000
103.000000,2.470100,0.72185,14.000000,12.000000,11.000000,10.000000,0.000000,0.000000,0.000000
103.000000,2.470100,0.42569,14.000000,12.000000,11.000000,10.000000,0.000000,0.000000,0.000000
103.000000,2.470100,0.25254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
346.000000,465550.360010,327.93343,150.000000,136.000000,118.000000,92.000000,72.000000,53.000000,29.000000
346.000000,465550.360010,5.43414,120.000000,106.000000,88.000000,64.000000,48.000000,33.000000,17.000000
346.000000,465550.360010,2.6543,91.000000,79.000000,64.000000,42.000000,29.000000,17.000000,0.000000
346.000000,465550.360010,1.25983,72.000000,62.000000,50.000000,31.000000,20.000000,11.000000,0.000000
346.000000,465550.360010,0.72185,49.000000,39.000000,29.000000,20.000000,11.000000,0.000000,0.000000
346.000000,465550.360010,0.42569,26.000000,20.000000,14.000000,10.000000,0.000000,0.000000,0.000000
346.000000,465550.360010,0.25254,10.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
346.000000,23.084700,327.93343,131.000000,124.000000,107.000000,84.000000,67.000000,48.000000,28.000000
346.000000,23.084700,5.43414,106.000000,99.000000,82.000000,61.000000,46.000000,31.000000,17.000000
346.000000,23.084700,2.6543,80.000000,74.000000,59.000000,40.000000,27.000000,15.000000,0.000000
346.000000,23.084700,1.25983,64.000000,58.000000,46.000000,30.000000,19.000000,10.000000,0.000000
346.000000,23.084700,0.72185,44.000000,38.000000,28.000000,20.000000,11.000000,0.000000,0.000000
346.000000,23.084700,0.42569,24.000000,20.000000,14.000000,10.000000,0.000000,0.000000,0.000000
346.000000,23.084700,0.25254,10.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
346.000000,9.818370,327.93343,111.000000,105.000000,92.000000,74.000000,61.000000,44.000000,25.000000
346.000000,9.818370,5.43414,91.000000,85.000000,72.000000,54.000000,43.000000,29.000000,15.000000
346.000000,9.818370,2.6543,72.000000,67.000000,54.000000,37.000000,26.000000,15.000000,0.000000
346.000000,9.818370,1.25983,60.000000,55.000000,43.000000,28.000000,19.000000,10.000000,0.000000
346.000000,9.818370,0.72185,41.000000,36.000000,26.000000,19.000000,11.000000,0.000000,0.000000
346.000000,9.818370,0.42569,22.000000,18.000000,12.000000,9.000000,0.000000,0.000000,0.000000
346.000000,9.818370,0.25254,10.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
346.000000,6.572880,327.93343,85.000000,79.000000,68.000000,55.000000,43.000000,30.000000,19.000000
346.000000,6.572880,5.43414,72.000000,66.000000,55.000000,42.000000,32.000000,21.000000,13.000000
346.000000,6.572880,2.6543,56.000000,51.000000,40.000000,28.000000,18.000000,10.000000,0.000000
346.000000,6.572880,1.25983,48.000000,43.000000,33.000000,23.000000,14.000000,7.000000,0.000000
346.000000,6.572880,0.72185,37.000000,32.000000,23.000000,18.000000,10.000000,0.000000,0.000000
346.000000,6.572880,0.42569,20.000000,16.000000,11.000000,9.000000,0.000000,0.000000,0.000000
346.000000,6.572880,0.25254,9.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
346.000000,4.882230,327.93343,61.000000,57.000000,51.000000,42.000000,33.000000,23.000000,13.000000
346.000000,4.882230,5.43414,52.000000,48.000000,42.000000,33.000000,26.000000,18.000000,10.000000
346.000000,4.882230,2.6543,40.000000,36.000000,30.000000,22.000000,15.000000,9.000000,0.000000
346.000000,4.882230,1.25983,33.000000,29.000000,23.000000,17.000000,11.000000,0.000000,0.000000
346.000000,4.882230,0.72185,25.000000,21.000000,15.000000,12.000000,7.000000,0.000000,0.000000
346.000000,4.882230,0.42569,15.000000,12.000000,7.000000,0.000000,0.000000,0.000000,0.000000
346.000000,4.882230,0.25254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
346.000000,3.640470,327.93343,38.000000,36.000000,32.000000,27.000000,19.000000,13.000000,0.000000
346.000000,3.640470,5.43414,31.000000,29.000000,25.000000,20.000000,14.000000,9.000000,0.000000
346.000000,3.640470,2.6543,26.000000,24.000000,20.000000,16.000000,10.000000,0.000000,0.000000
