Symbol,Name,Sector,sss_value,close,appearance_counter
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,2.46598,13290.0,110.2688
TLV:MTRX,MATRIX IT LTD,Technology,10895.212,8322.0,107.7897
TLV:AFHL,AFCON HOLDINGS LTD,Technology,54.066,20870.0,81.0903
TLV:IDIN,I.D.I. INSURANCE,Financial Services,0.00796,11100.0,77.5196
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,0.2758,3570.0,75.3871
TLV:PLRM,PALRAM INDUSTRIES,Industrials,1.80929,3671.0,73.288
TLV:DUNI,DUNIEC BROS,Real Estate,0.15982,14570.0,70.2832
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,3.33137,912.4,70.1989
TLV:BEZQ,BEZEQ ISRAEL TELCM,Communication Services,563975.37033,366.0,66.6742
TLV:ALBA,ALBAAD MASSUOT YIT,Consumer Defensive,435.61456,6168.0,64.4816
TLV:SCOP,SCOPE METALS GROUP,Industrials,3428.89388,10280.0,64.2025
TLV:NFTA,NAPHTHA ISRAEL PET,Energy,14100.43464,1513.0,60.2559
TLV:HLAN,HILAN LTD,Technology,18869.13932,16090.0,57.4575
TLV:SALG,SHALAG INDUSTRIES,Consumer Cyclical,7.9517,1434.0,55.4892
TLV:MLTM,MALAM TEAM LTD,Technology,17233.08607,11080.0,54.8421
TLV:SANO1,SANO-BRUNO'S ENTER,Consumer Defensive,1108.02158,32760.0,53.1059
TLV:NISA,NISSAN,Healthcare,8.2196,2958.0,52.5921
TLV:ASHG,ASHTROM GROUP LTD,Real Estate,4585.86947,7370.0,51.1706
TLV:ISRS,ISRAS INVESTMNT CO,Real Estate,369076.87849,76130.0,47.5431
TLV:SAE,SHUFERSAL LTD,Consumer Defensive,11226.05543,2643.0,46.6702
TLV:DLEKG,DELEK GROUP,Energy,235059.75793,19420.0,46.1699
TLV:ARAD,ARAD INVESTMENT &,Industrials,17506.83414,36700.0,46.1149
TLV:ISRA-L,ISRAMCO NEGEV 2,Energy,65119.94689,75.5,42.5367
TLV:KEN,KENON HLDGS LTD,Utilities,425073.75597,11270.0,39.4438
TLV:GNRS,GENERATION CAPITAL,Energy,33601981.85178,110.6,38.2112
TLV:GLPL,GOLAN PLASTIC PROD,Industrials,1601.42878,933.4,38.1375
TLV:STRS,STRAUSS GROUP LTD,Consumer Defensive,4947.96395,9185.0,37.8128
TLV:RMLI,RAMI LEVI CHAIN,Consumer Defensive,1556.17336,21770.0,37.5929
TLV:HAMAT,HAMAT GROUP LTD,Industrials,2813.58358,1946.0,37.4798
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,9.15366,4443.0,36.7495
TLV:SMT,SUMMIT R/EST HLDGS,Real Estate,846458.03411,5070.0,34.7985
TLV:KLIL,KLIL INDUSTRIES,Basic Materials,165.06368,31760.0,34.733
TLV:EMDV,EMILIA DEV (O.F.G),Financial Services,31.76138,2240.0,33.0973
TLV:EMCO,E & M COMPUTING,Technology,4985.0278,2091.0,32.6206
TLV:NTML,NETO MALINDA,Consumer Defensive,271.70056,7670.0,30.7276
TLV:TLSY,TELSYS LTD,Technology,345.59712,12080.0,30.4823
TLV:DEDR-L,DELEK DRILLING,Energy,2435.27714,512.0,30.1896
TLV:BLSR,BLUE SQUARE REAL,Real Estate,829094.93216,25930.0,29.1525
TLV:RIMO,RIMONI INDUSTRIES,Basic Materials,7077.73235,6700.0,28.8937
TLV:PLSN,PLASSON INDUSTRIES,Consumer Cyclical,14251.14513,17670.0,28.5723
TLV:CAST,CASTRO MODEL,Consumer Cyclical,72211.37199,7885.0,27.0236
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,0.4737,3607.0,25.9587
TLV:IBI,IBI INV HOUSE,Financial Services,3.39917,6965.0,25.4593
TLV:VILR,VILLAR INTL LTD,Real Estate,122562.21951,17850.0,25.2331
TLV:KAFR,KAFRIT INDUSTRIES,Basic Materials,5078.91892,2291.0,25.1452
TLV:TMRP,TAMAR PETROLEUM,Energy,33579.33595,474.2,24.6239
TLV:ILX,ILEX MEDICAL,Healthcare,2.79792,10450.0,24.3466
TLV:INRM,INROM CONSTRUCTION,Basic Materials,85013.96807,1645.0,24.0175
TLV:ATRY,ATREYU CAPITAL,Financial Services,69.03012,5383.0,23.7517
TLV:MGOR,MEGA OR HOLDINGS L,Real Estate,3194.26716,10300.0,23.5026
TLV:BKRY,BIKUREY HASADE HOL,Consumer Defensive,55.89163,558.7,23.1252
TLV:GOLD,GOLD BOND GROUP,Industrials,1754.29777,13080.0,22.896
TLV:CPTP,CAPITAL POINT LTD,Financial Services,7989.22669,97.5,22.6773
TLV:FOX,FOX-WIZEL LTD,Consumer Cyclical,1591624.41064,38690.0,22.3257
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,0.00101,7227.0,21.4748
TLV:FORTY,FORMULA SYST(1985),Technology,24130.24817,28430.0,21.2525
TLV:SHVA,AUTOMATIC BANK,Technology,1218.77547,1787.0,21.2407
TLV:PRSK,PRASHKOVSKY INVS,Real Estate,33618063.41183,9725.0,21.1757
TLV:DANE,DANEL-ADIR YEHOSHU,Healthcare,478647.44256,68900.0,20.9464
TLV:BCOM,B COMMUNICATIONS L,Communication Services,102601268.9975,723.2,20.8654
TLV:MTDS,MEITAV DASH INV,Financial Services,129451373146.14664,1858.0,20.1305
TLV:ONE,ONE SOFTWARE TECHN,Technology,296.6618,4640.0,19.4502
TLV:KRUR,KERUR HOLDINGS LTD,Consumer Defensive,328.29465,9963.0,18.4927
TLV:MEDN,MEHADRIN,Consumer Defensive,106.83791,14450.0,18.4201
TLV:ACKR,ACKERSTEIN GROUP L,Basic Materials,397.30838,455.2,17.9012
TLV:LHIS,LACHISH INDUSTRIES,Industrials,174.50753,955.0,17.8586
TLV:ZMH,Z.M.H HAMMERMAN LT,Real Estate,21564.44275,2840.0,17.6787
TLV:ORTC,O.R.T. TECHNOLOGIE,Technology,1911.54344,2734.0,16.9632
TLV:EQTL,EQUITAL,Industrials,197473.36035,8972.0,16.8552
TLV:ESLT,ELBIT SYSTEMS LTD,Technology,5417199.28984,43950.0,16.4064
TLV:SLARL,SELLA CAPITAL REAL,Real Estate,1706646.25447,872.7,16.359
TLV:MVNE,MIVNE REAL ESTATE,Real Estate,1537478.14046,956.3,15.9803
TLV:VRDS,VERIDIS ENVIRONMEN,Industrials,448892.64842,3819.0,15.9643
TLV:TTAM,TIV TAAM HLDGS 1,Consumer Defensive,14587.19382,875.0,15.9507
TLV:PIU,POALIM I.B.I,Financial Services,14.83665,1807.0,15.529
TLV:CBI,CLAL BIOTECHNOLOGY,Healthcare,11236763568.99822,237.3,15.4649
TLV:YAAC,YAACOBI BROTHERS,Real Estate,30630.64835,82.3,15.3878
TLV:GILT,GILAT SATELLITE NE,Technology,243450.44522,3325.0,15.3443
TLV:SNEL,SYNEL PAYWAY M.L.L,Real Estate,13722.42717,3737.0,15.192
TLV:CMDR,COMPUTER DIRECT,Technology,13397.90322,24420.0,14.7891
TLV:GVYM,GAV-YAM LANDS CORP,Real Estate,4436477.20853,3212.0,14.4816
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,14410086.87633,40650.0,14.3167
TLV:AMOT,AMOT INVESTMENTS,Real Estate,4086585.5768,2150.0,14.2296
TLV:ELTR,ELECTRA LTD,Industrials,37745.29151,184510.0,14.1199
TLV:SHAN,SHANIV PAPER IND,Basic Materials,292.35659,594.9,13.8182
TLV:MISH,MIVTACH SHAMIR HDS,Financial Services,231231260254.07736,11930.0,13.8047
TLV:MTRN,MAYTRONICS LTD,Technology,123839399891365.81,6430.0,13.567
TLV:AFPR,AFI PROPERTIES,Real Estate,20327265.38802,14050.0,13.3456
TLV:ECP,ELECTRA CONSUMER P,Consumer Cyclical,40488080.74492,17100.0,13.3195
TLV:MYDS,MYDAS REAL ESTATE,Financial Services,67805.18719,90.0,13.2922
