"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:ABIL,ABILITY INC,Technology,Israel,1e+50,1693200.0,-7635000.0,-37361466.66667,421000.0,-1342300.0,-42299400.0,-4488650.0,-39830433.33333,1057100.0,1693200.0,-7635000.0,421000.0,-1342300.0,-4488650.0,1057100.0,2.47984,2.47984,107.06751,107.06751,107.06751,2.42894,35.68917,-0.74666,10486.44589,-4846698.98407,-1090100.0,-6831133.33333,-3960616.66667,0,0.0,0.0,0.0,0.0,0.01,0.03946,0,-0.938,174.3,-0.00538,10000.0,7972390,-6709000,-0.84153,10,4280430,419235471,-670900.0,0.16725,0.54834,0.16725,0.54834,0.16725,0.54834,0.16725,4.33956,0.54834,7.65501,640.18315,640.18315,-3962733.33333,10400.0,9257.79214,411.57983,4834.68598,-0.16933,-2.58778,138.85548,11.7837,USD,ILS,1.0,0.30752,0,0,0,0,1.10332,69.1,380,175.38889,-0.62084,152.24313,-54.13158,0.67674,0.67774,0.77139,0.61171,0.84432,0.83243,7.52261,4.71154,0.71359,0.57295,0.70155,0.84838,6.12708,0.65327,0.67741,16669933.33333,13883000.0,15276466.66667,-0.27383,-6303200.0,-9656600.0,-7979900.0,21863466.66667,22724200.0,22293833.33333,0.3069,None
TLV:ABRA,ABRA TECH,Technology,Israel,1e+50,18581400.0,-12050466.66667,-39289933.33333,22532300.0,4175733.33333,-41981533.33333,-3937366.66667,-40635733.33333,20556850.0,18581400.0,-12050466.66667,22532300.0,4175733.33333,-3937366.66667,20556850.0,0.88966,0.88966,7.76923,7.76923,7.76923,1.30023,2.58974,19.62869,32.65438,1204022.35374,4124533.33333,-4912466.66667,-393966.66667,0.15254,0.0,0.0,0.0,0.0,0.09717,0.42577,0,0.159,398.2,0.0004,0.57806,65060600,9429000,0.14493,352,54999824,8036987039,26786.93182,-0.50483,7.21398,-0.50483,7.21398,-0.50483,7.21398,-0.50483,0.19952,7.21398,27.10884,-15.38982,6497.80184,5831066.66667,925566.66667,9.43221,59.42287,34.42754,0.28574,0.41948,0.35261,0.59381,USD,ILS,1.0,0.30752,28.7654,241.88435,159.01178,105.64151,0.69994,223.6896,449.35,340.92398,16.80023,78.01453,-11.38311,1.54666,13.68913,19.10708,3.71693,0.30872,0.0095,0.11423,0.14727,10.60497,3.72292,11.42201,0.16911,0.14075,7.17394,9.29798,153838800.0,183925800.0,168882300.0,-0.00331,65249333.33333,84530066.66667,74889700.0,34964600.0,54268866.66667,44616733.33333,10.41253,None
TLV:ACCL,ACCEL SOLUTIONS GR,Technology,Israel,771333380031.9414,54300466.66667,-2694666.66667,-139257266.66667,19788800.0,251133.33333,-2936266.66667,-1221766.66667,-71096766.66667,37044633.33333,54300466.66667,-2694666.66667,19788800.0,251133.33333,-1221766.66667,37044633.33333,0.68792,0.68792,54.40541,54.40541,54.40541,1.04467,18.13514,12.26021,13.85382,3253225.66971,1181200.0,3633800.0,2407500.0,0.01434,0.0,0.0,0.0,0.0,0.01819,0.35608,0,0.012,212.5,6e-05,0.8338,116894000,1048000,0.00897,25,50253993,7631599906,41920.0,-0.54096,27.75409,-0.54096,27.75409,-0.54096,27.75409,-0.54096,0.1959,27.75409,52.93215,-100.57118,994.3206,-630000.0,-2810400.0,125.36317,178814.38009,89469.87163,1.35901,0.81277,1.08589,1.04206,USD,ILS,1.0,0.30752,64.3205,173.616,4.602,47.5795,0.72883,121,299,234.36319,-9.32876,75.61983,-28.92977,1.02809,1.18083,3.96836,2.39613,0.61772,0.24213,0.00373,0.02883,2.45469,2.08806,3.19224,0.43992,0.02628,2.28137,2.73681,48098400.0,98767200.0,73432800.0,0.00336,14586866.66667,34133266.66667,24360066.66667,19959600.0,40380600.0,30170100.0,12.3071,None
TLV:ACE,ACE CAPITAL RETAIL,Consumer Cyclical,Israel,809.82653,624690800.0,24388000.0,67006933.33333,183259066.66667,8914666.66667,76092285.71429,16651333.33333,71549609.52381,403974933.33333,624690800.0,24388000.0,183259066.66667,8914666.66667,16651333.33333,403974933.33333,0.3352,0.3352,2.98849,2.98849,2.98849,0.19988,2.98849,2.9485,3.18242,71856292.84522,30231533.33333,90677866.66667,60454700.0,0.063,0.0,0.0,0.0,0.0,0.046,0.81862,0,2.128,2088,0.00102,1.03373,23015000,46134000,2.00452,990,245486022,14636420638,46600.0,1.8116,0.113,1.8116,0.113,1.8116,0.113,1.8116,13.70957,0.113,3.61156,1.64964,1.64964,101393266.66667,25393133.33333,2.42113,9.66742,6.04427,6.48685,5.51469,6.00077,2.44965,USD,ILS,1.0,0.30752,36.3477,86.8998,0,0,-0.01336,1600,2198,1887.6033,10.61646,30.5,-5.00455,1.63211,18.90131,1.16238,1.18619,0.14502,0.16442,0.0,0.0,0.75117,0.81041,1.18428,0.16472,0.01,0.79079,0.98754,657340000.0,793186857.14286,725263428.57143,0.04296,-65869733.33333,-57663571.42857,-61766652.38095,569734066.66667,668621857.14286,619177961.90476,3.88625,None
TLV:ACKR,ACKERSTEIN GROUP L,Basic Materials,Israel,354.28216,677903000.0,66501428.57143,599592666.66667,155726000.0,10501666.66667,634117000.0,38501547.61905,616854833.33333,416814500.0,677903000.0,66501428.57143,155726000.0,10501666.66667,38501547.61905,416814500.0,0.59444,0.59444,4.85947,4.85947,4.85947,0.59932,4.85947,4.12999,4.57752,78037125.78981,22061000.0,100188857.14286,61124928.57143,0.10716,0.0,0.0,0.0,0.0,0.07123,0.08695,0,0.283,452.9,0.00062,0.43246,287510016,70697000,0.24589,561,392140096,39539224207,126019.60784,4.116,-0.04165,-0.14764,-0.04165,-0.14764,-0.04165,3.05009,17.71451,-0.04165,0.24583,1.59322,1.59322,91234428.57143,17614000.0,4.29816,22.26298,13.28057,0.86353,0.76973,0.81663,0.90368,USD,ILS,1.0,0.30752,0,0,0,0,0.05248,411,499,458.32224,-1.18306,10.19465,-9.23848,0.95227,0.95327,2.16738,2.29916,0.49483,0.00496,2.23335,2.04408,1.49454,1.40349,2.24327,0.2599,2.14871,1.45901,1.85114,1309235333.33333,1407170000.0,1358202666.66667,0.04835,151716333.33333,139471000.0,145593666.66667,602316333.33333,612037000.0,607176666.66667,6.35081,None
TLV:ADGR,ADGAR INVEST & DEV,Real Estate,Israel,37636104902793.43,73838401.68533,13839466.06933,258976471.40267,19200462.22933,1065064.768,259377600.49067,7452265.41867,259177035.94667,46519431.95733,73838401.68533,13839466.06933,19200462.22933,1065064.768,7452265.41867,46519431.95733,4.88434,4.88434,4285.44615,4285.44615,4285.44615,1.30887,4285.44615,6.1301,6.88485,156002556.47136,50242200.0,184934000.0,117588100.0,-0.11855,0.18819,1.0,0.1226,2.5,0.13563,0.25364,0,-0.188,633.2,-0.0003,0.24904,163544992,-28926000,-0.17687,116,1191796446,31936282133,-249362.06897,0.486,0.00787,-0.20252,0.00787,-0.20252,0.00787,0.31387,5.8524,0.00787,1.13737,13653.62238,13653.62238,25009535.53067,5089332.992,47.65368,234.17537,140.91453,2.87386,2.81893,2.8464,1.68713,ILS,ILS,0.30752,0.30752,7.3374,7.2151,6.9655,6.3741,0.5579,345,676.9,603.2264,4.96888,83.53623,-6.4559,1.73667,27.43471,1.3551,1.35632,0.70549,0.31826,19.26964,18.5273,0.9694,0.85429,1.36571,0.52187,18.90847,0.92185,1.14378,1443126616.78933,1476885465.344,1460006041.06667,0.0251,-16947200.0,-76773266.66667,-46860233.33333,1065184290.77333,1088883668.096,1077033979.43467,4.28786,None
TLV:ADKA,ADIKA STYLE LTD,Consumer Cyclical,Israel,2187007.92891,176013666.66667,4285066.66667,5358666.66667,59013466.66667,-5995866.66667,1275666.66667,-855400.0,3317166.66667,117513566.66667,176013666.66667,4285066.66667,59013466.66667,-5995866.66667,-855400.0,117513566.66667,0.30629,0.30629,1.93791,1.93791,1.93791,0.19456,1.93791,6.31646,6.66498,9907885.55664,-2117733.33333,19746800.0,8814533.33333,-0.03125,0.0,0.0,0.0,0.0,0.00554,0.10486,0,-0.351,685.1,-0.00051,1.09924,21223800,-7089000,-0.33401,451,69488887,4414036234,-15718.40355,2.63416,0.4471,2.63416,0.4471,2.63416,0.4471,2.63416,16.4801,0.4471,6.93652,0.73568,0.73568,16190466.66667,-1414133.33333,4.29196,491388.5102,245696.40108,2.96953,2.94906,2.9593,1.72026,USD,ILS,1.0,0.30752,0,0,0,0,1.0822,306.1,1780,1311.4785,-47.76125,123.81575,-61.51124,0.51428,0.51528,1.46838,1.34579,1.05658,0.63401,1.83717,2.47798,1.36975,1.2924,1.41709,0.85529,2.16758,1.34108,1.37908,158961533.33333,175114066.66667,167037800.0,0.01488,18893533.33333,16090533.33333,17492033.33333,113433266.66667,130276000.0,121854633.33333,4.77357,None
TLV:AFHL,AFCON HOLDINGS LTD,Technology,Israel,1.42189,517559993.74933,3020317.93067,103037835.712,146639046.37867,16492420.608,111333454.22933,9756369.26933,107185644.97067,332099520.064,517559993.74933,3020317.93067,146639046.37867,16492420.608,9756369.26933,332099520.064,0.21434,0.21434,3.13567,3.13567,3.13567,0.18046,1.04522,2.38113,2.85579,116423963.47023,80981600.0,59031933.33333,70006766.66667,0.05863,0.01379,2.25,0.26916,2.5,0.18252,0.22939,0,20.595,20960,0.00098,0.60436,5057400,106122000,20.98351,1209,387745542,32660283682,87776.67494,34.738,0.04416,0.27704,0.04416,0.27704,0.04416,26.12276,51.36043,0.04416,2.3514,0.12004,0.12004,19412835.54133,15062124.58667,19.97367,25.74308,22.85838,2.69749,2.64146,2.66948,1.63385,ILS,ILS,0.30752,0.30752,949.1046,215.99013,323.9852,323.9852,1.04479,9150,21900,16615.277,26.14897,129.07104,-4.29224,1.85255,40.42204,1.37493,1.38267,0.28935,0.16303,3.3487,3.31462,1.57707,1.65345,1.3888,0.23619,3.34166,1.62526,1.50703,538349411.81867,577774336.87467,558061874.34667,0.03748,451985733.33333,523012266.66667,487499000.0,391816500.84267,417892925.76,404854713.30133,7.14169,None
TLV:AFID,None,None,Unknown,1e+50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,10000.0,10000000000000.0,10000.0,0.0,10000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0,0,0,0.0,10000.0,100000000,0,0.0,10000000,0,0,0.0,-0.9,-0.9,-0.9,-0.9,0,0,-0.9,0.16,-0.9,0.16,-11111.11111,9.0,0,0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,0.0,0.0,USD,USD,1.0,1.0,1992.123,2458.831,1844.0001,1299.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,None
TLV:AFPR,AFI PROPERTIES,Real Estate,Israel,44709602359.10677,282000227.28533,54028865.344,752019945.68533,82259098.83733,20895676.48,787264177.344,37462270.912,769642061.51467,182129663.06133,282000227.28533,54028865.344,82259098.83733,20895676.48,37462270.912,182129663.06133,3.78157,3.78157,4.96256,4.96256,4.96256,1.56308,4.96256,8.8781,10.02057,345344512.52165,128843066.66667,384084733.33333,256463900.0,0.30567,0.49643,2.5,0.66137,2.5,0.57343,0.09358,0,8.911,14110,0.00063,0.37176,36032600,311606016,8.64789,296,3855095124,159341114095,1052723.02703,-0.45473,0.07046,-0.45473,0.07046,-0.45473,0.07046,-0.45473,0.20453,0.07046,2.9044,-10.91309,9163.30779,96517017.62133,37280157.568,39.94213,103.40877,71.67545,1.91951,2.07567,1.99759,1.41336,ILS,ILS,0.30752,0.30752,699.04755,262.25336,355.3014,322.38956,0.80518,7496.1353,14960,12507.083,12.81607,88.23033,-5.68182,1.77224,30.98341,1.53169,1.48576,0.38949,1.04969,14.97051,15.70971,0.64434,0.78507,1.51872,0.72959,15.35011,0.7247,1.12171,3614257917.39733,4025922702.10133,3820090309.74933,0.02981,-740301533.33333,-426355133.33333,-583328333.33333,2364942930.92267,2713393535.40267,2539168233.16267,6.17226,None
