"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,Israel,0.00116,150610831.18933,8757985.088,50815363.34933,42081651.84,4703046.86933,57260018.98667,6730515.97867,54037691.168,96346241.51467,150610831.18933,8757985.088,42081651.84,4703046.86933,6730515.97867,96346241.51467,0.26293,0.26293,2.01842,2.01842,2.01842,0.20945,2.01842,2.02071,2.31553,53627842.85243,23301200.0,52658333.33333,37979766.66667,0.10378,0.32318,5.625,1.34256,12.03125,0.88434,0.12635,0,5.462,3621,0.00151,0.4646,10111500,55235000,5.46259,344,139986813,11147516039,160566.86047,360.511,0.04583,0.88119,0.04583,0.88119,0.04583,270.60355,164.75032,0.04583,2.3908,0.00746,0.00746,15771245.20533,5118034.85867,8.87608,27.35167,18.11388,1.16606,1.07366,1.11986,1.05823,ILS,ILS,0.30752,0.30752,395.589,148.3457,79.1177,98.8971,1.90283,1152,3970,2624.764,37.95526,214.32292,-8.79093,1.75231,28.9508,1.88656,1.93458,0.20548,0.17693,1.15759,0.80183,1.80115,1.87726,1.92057,0.2012,0.98971,1.84921,1.88489,138187986.752,145496978.60267,141842482.67733,0.06745,140049533.33333,156114466.66667,148082000.0,74013052.544,75204446.528,74608749.536,9.66234,None
TLV:IDIN,I.D.I. INSURANCE,Financial Services,Israel,0.00246,686018383.68,62559695.65867,105278979.968,164665868.77867,16422367.552,140027202.368,39491031.60533,122653091.168,425342126.22933,686018383.68,62559695.65867,164665868.77867,16422367.552,39491031.60533,425342126.22933,0.07227,0.07227,2.02304,2.02304,2.02304,0.22683,2.02304,0.38255,0.43936,315232271.97213,92376066.66667,350845600.0,221610833.33333,0.11221,0.22891,2.5,0.24865,2.5,0.23352,0.09093,0,16.569,10900,0.00152,0.57182,14674900,243336000,16.58178,1500,156408982,49189792797,162224.0,5.464,-0.05396,0.02406,-0.05396,0.02406,-0.05396,4.10401,20.50837,-0.05396,0.2446,0.49294,0.49294,40299470.93333,16727898.92267,3.88117,9.35019,6.61568,7.27621,6.31866,6.79743,2.60719,ILS,ILS,0.30752,0.30752,749.578,272.574,477.004,170.359,10900,7510,13400,11379.1875,-4.21109,45.13981,-18.65672,1.1511,2.32641,1.13965,1.15895,1.15278,437.29805,0.82159,0.31125,0.86151,1219.51402,1.1593,219.23541,0.57642,610.19777,305.67853,1778803558.016,1854915045.03467,1816859301.52533,0.04174,-491576733.33333,2207547000.0,857985133.33333,1560057919.08267,1600669153.792,1580363536.43733,4.48812,None
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,Israel,0.00469,127190354.00533,8461064.27733,49070699.88267,34797282.09067,3311272.85333,56881133.84533,5886168.56533,52975916.864,80993818.048,127190354.00533,8461064.27733,34797282.09067,3311272.85333,5886168.56533,80993818.048,0.2494,0.2494,3.45583,3.45583,3.45583,0.32601,3.45583,1.94968,2.19281,45215071.50368,14292666.66667,53583866.66667,33938266.66667,0.09441,1.01591,15.46875,0.23713,2.5,0.67176,0.15652,0,3.159,3642,0.00087,0.40293,13190300,41699000,3.16134,181,110140900,14399798120,230381.21547,12.405,0.14482,0.31198,0.14482,0.31198,0.14482,9.38174,30.87963,0.14482,4.05553,0.36836,0.36836,11468794.38933,2613140.94933,9.60353,42.14886,25.87619,0.12816,0.13743,0.1328,0.36441,ILS,ILS,0.30752,0.30752,30.0551,60.1101,37.5688,105.219,3642,2396,4150,3605.639,1.00845,52.00334,-12.24096,1.42075,8.22452,14.26122,13.29093,0.85864,1.33692,1.36211,1.30594,14.11392,13.51744,13.78607,1.10778,1.34403,13.82568,13.80587,175403134.592,195557072.832,185480103.712,0.05173,483274066.66667,535994600.0,509634333.33333,12685630.528,14760488.46933,13723059.49867,25.18981,None
TLV:PLRM,PALRAM INDUSTRIES,Industrials,Israel,0.00632,489996320.10667,39458403.73333,169703271.89333,139951634.45333,20932681.38667,195964372.82133,30195542.56,182833822.35733,314973977.28,489996320.10667,39458403.73333,139951634.45333,20932681.38667,30195542.56,314973977.28,0.15191,0.15191,1.07129,1.07129,1.07129,0.15984,1.07129,0.68608,0.81617,293651517.41372,105904933.33333,258678466.66667,182291700.0,0.14907,0.18698,2.5,0.37291,2.5,0.29781,0.12139,0,10.601,3710,0.00286,0.37128,25725500,272480992,10.59186,1594,277869010,29215713292,170941.65119,1.636,0.12886,14.57878,0.12886,14.57878,0.12886,4.8717,22.32192,0.12886,3.83968,0.2199,0.2199,69885703.616,23956628.05333,3.97605,11.59884,7.78744,0.81448,0.77695,0.79572,0.89203,ILS,ILS,0.30752,0.30752,233.232,77.7439,38.8719,38.872,3710,2169,3900,3203.1458,15.82364,71.04657,-4.87179,1.78047,31.85763,2.43212,2.46952,0.25145,0.11472,0.49925,0.47228,2.54346,2.6717,2.46082,0.19308,0.49577,2.61758,2.5392,404239427.28533,447557350.528,425898388.90667,0.0909,550612133.33333,637338866.66667,593975500.0,166365572.82133,181631624.17067,173998598.496,10.29729,None
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,Israel,0.04875,206958028.30933,18320770.51733,59868608.64,53386968.59733,8426991.06133,63673758.61333,13373880.78933,61771183.62667,130172498.45333,206958028.30933,18320770.51733,53386968.59733,8426991.06133,13373880.78933,130172498.45333,0.33243,0.33243,1.81254,1.81254,1.81254,0.25356,1.81254,1.509,1.77853,116212513.44678,41645133.33333,107751333.33333,74698233.33333,0.14112,0.21418,2.5,0.69345,4.375,0.48761,0.05231,0,1.51,879.8,0.00172,0.7085,66357000,101077000,1.52323,402,238009832,18161432986,251435.32338,1.232,0.10462,1.32298,0.10462,1.32298,0.10462,1.25474,11.45154,0.10462,3.48449,1.44455,1.44455,30007617.088,10972006.08,7.93165,21.69246,14.81205,1.51478,1.44349,1.47914,1.2162,ILS,ILS,0.30752,0.30752,60.0,45.2714,25.0,38.0,879.8,831,1240,931.6604,-5.56645,5.87244,-29.04839,0.23863,0.23963,1.675,1.69468,0.0,0.0,0.00794,0.00199,0.9696,1.15077,1.69484,0.01,0.01496,1.07018,1.38251,185535365.056,190098818.34667,187817091.70133,0.09121,-14053066.66667,26478200.0,6212566.66667,111238615.06133,112276105.536,111757360.29867,10.03692,None
TLV:SALG,SHALAG INDUSTRIES,Consumer Cyclical,Israel,0.06993,170430638.69867,13934182.22933,67570488.04267,53344612.84267,6532872.87467,77438517.824,10233527.552,72504502.93333,111887625.77067,170430638.69867,13934182.22933,53344612.84267,6532872.87467,10233527.552,111887625.77067,0.28815,0.28815,2.03268,2.03268,2.03268,0.2247,2.03268,1.43858,1.67505,103008255.03777,37827266.66667,100458600.0,69142933.33333,0.1105,0.19626,2.5,0.30455,2.5,0.25589,0.25944,0,2.056,1390,0.00148,0.39579,36755000,75538000,2.05518,138,196903392,15360637580,547376.81159,1.046,0.2795,3.38513,0.2795,3.38513,0.2795,1.63078,13.02021,0.2795,5.53682,1.24645,1.24645,24977409.94133,7914703.744,7.88326,24.87818,16.38072,0.99222,1.02119,1.00671,1.00335,ILS,ILS,0.30752,0.30752,76.5,0,0,0,1390,1089,1717,1268.3889,9.58784,27.64004,-19.04485,0.9586,0.9596,2.16397,2.00935,0.00273,0.00068,0.06376,0.06284,2.34116,2.27131,2.09666,0.01171,0.0733,2.31623,2.20645,215579146.496,237899214.61333,226739180.55467,0.06513,186803733.33333,210980066.66667,198891900.0,106050855.168,118420662.656,112235758.912,9.25253,None
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,Israel,0.34679,69315233.51467,6275273.62133,14873184.29867,20346937.792,2539377.152,16605218.944,4407325.38667,15739201.62133,44831085.65333,69315233.51467,6275273.62133,20346937.792,2539377.152,4407325.38667,44831085.65333,0.18759,0.18759,2.14089,2.14089,2.14089,0.22742,2.14089,1.05356,1.1907,34091982.34092,13779400.0,36654266.66667,25216833.33333,0.10654,1.38065,15.46875,0.30397,2.5,0.90101,0.12477,0,6.28,4409,0.00142,0.66423,4082590,25714000,6.29845,47,45268602,5488950282,547106.38298,0.912,0.09141,0.43993,0.09141,0.43993,0.09141,0.79398,9.16057,0.09141,3.27335,2.69639,2.69639,12669167.95733,6206368.64,3.57313,7.2939,5.43351,0.82412,0.73795,0.78104,0.88376,ILS,ILS,0.30752,0.30752,538.874,221.099,293.937,220.094,4409,1830,4614,3533.611,24.77321,140.92896,-4.443,1.85273,40.44573,2.30013,2.3973,32.039,0.04719,12.08312,8.68366,2.1664,2.23977,2.35871,16.0531,10.39339,2.21308,2.2859,40372537.68533,41778498.624,41075518.15467,0.1273,62437400.0,68042400.0,65239900.0,17825560.81067,17541924.864,17683742.83733,13.8748,None
TLV:IBI,IBI INV HOUSE,Financial Services,Israel,0.55969,414378066.66667,71005866.66667,429689333.33333,137399200.0,53756733.33333,487333733.33333,62381300.0,458511533.33333,275888633.33333,414378066.66667,71005866.66667,137399200.0,53756733.33333,62381300.0,275888633.33333,0.14361,0.14361,1.67796,1.67796,1.67796,0.53839,1.67796,0.35734,0.42292,150677124.38325,57353133.33333,133382600.0,95367866.66667,0.32091,0.0,0.0,0.0,0.0,0.19338,0.01,0,12.992,7010,0.00185,0.47841,12660300,164507008,12.99393,426,73606811,27599570972,386166.68545,0.23937,0.14517,0.23937,0.14517,0.23937,0.14517,0.23937,5.14257,0.14517,4.06007,7.00984,7.00984,61830933.33333,21810933.33333,1.19045,3.37477,2.28261,0.76459,1.09699,0.93079,0.96477,USD,ILS,1.0,0.30752,284.353,131.118,126.379,102.683,7010,2525,9215,6640.8335,5.55904,177.62376,-23.92838,1.34081,5.81029,2.42575,2.00102,0.02188,0.00648,0.92346,1.1309,2.38688,1.88904,2.22338,0.02418,1.03718,2.14796,2.18567,892455866.66667,1180201733.33333,1036328800.0,0.08019,320590266.66667,385911066.66667,353250666.66667,380166866.66667,606717333.33333,493442100.0,5.94425,None
TLV:DUNI,DUNIEC BROS,Real Estate,Israel,1.16756,71634159.82933,14125541.67467,93682995.30667,54953393.472,14814509.48267,105425461.99467,14470025.57867,99554228.65067,63293776.65067,71634159.82933,14125541.67467,54953393.472,14814509.48267,14470025.57867,63293776.65067,0.44836,0.44836,2.13399,2.13399,2.13399,0.00402,2.13399,1.35309,1.62165,105973720.30303,63854533.33333,63957933.33333,63906233.33333,0.24622,0.4946,2.5,4.15738,17.1875,2.56213,0.03857,0,21.76,15000,0.00145,0.54257,3866740,110027000,28.45472,42,200312781,179552219,2619690.47619,13.407,-0.13373,-0.16562,-0.13373,-0.16562,-0.13373,10.01385,31.89466,-0.13373,0.23663,0.2131,0.2131,8224232.87467,47221315.60533,24.35641,4.242,14.2992,1.65862,1.2628,1.46071,1.2086,ILS,ILS,0.30752,0.30752,200.0,100.0,200.0,200.0,15000,56.14,15100,95.6,15590.37657,26618.91699,-0.66225,1.98671,61.48951,1.62742,1.82846,0.65721,0.49788,8.19934,7.18621,1.29435,1.41594,1.73794,0.58754,7.70278,1.36515,1.55154,220059856.40533,216419844.672,218239850.53867,0.0863,123864066.66667,143626866.66667,133745466.66667,135678931.072,120064377.55733,127871654.31467,0.25338,None
TLV:AFHL,AFCON HOLDINGS LTD,Technology,Israel,1.42189,517559993.74933,3020317.93067,103037835.712,146639046.37867,16492420.608,111333454.22933,9756369.26933,107185644.97067,332099520.064,517559993.74933,3020317.93067,146639046.37867,16492420.608,9756369.26933,332099520.064,0.21434,0.21434,3.13567,3.13567,3.13567,0.18046,1.04522,2.38113,2.85579,116423963.47023,80981600.0,59031933.33333,70006766.66667,0.05863,0.01379,2.25,0.26916,2.5,0.18252,0.22939,0,20.595,20960,0.00098,0.60436,5057400,106122000,20.98351,1209,387745542,32660283682,87776.67494,34.738,0.04416,0.27704,0.04416,0.27704,0.04416,26.12276,51.36043,0.04416,2.3514,0.12004,0.12004,19412835.54133,15062124.58667,19.97367,25.74308,22.85838,2.69749,2.64146,2.66948,1.63385,ILS,ILS,0.30752,0.30752,949.1046,215.99013,323.9852,323.9852,1.04479,9150,21900,16615.277,26.14897,129.07104,-4.29224,1.85255,40.42204,1.37493,1.38267,0.28935,0.16303,3.3487,3.31462,1.57707,1.65345,1.3888,0.23619,3.34166,1.62526,1.50703,538349411.81867,577774336.87467,558061874.34667,0.03748,451985733.33333,523012266.66667,487499000.0,391816500.84267,417892925.76,404854713.30133,7.14169,None
