"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,Israel,2.8e-05,149823297.966933,8712190.2128,50549653.462933,162817991.056,16897049.32,213118489.392,16897049.32,213118489.392,162817991.056,149823297.966933,8712190.2128,162817991.056,16897049.32,16897049.32,162817991.056,0.240753,0.240753,1.795595,1.795595,1.795595,0.186324,1.795595,1.849544,1.763947,76335403.076414,83401000.0,52658333.333333,83401000.0,0.10378,0.323175,5.625,1.342557,12.03125,0.884337,0.12635,0,5.462,3225,0.001694,0.413314,10111500,55235000,5.462592,344,128117551,9916892598,160566.860465,360.511,0.04583,0.881193,0.04583,0.881193,0.04583,270.603548,164.750319,0.04583,2.390802,0.006636,0.006636,15688778.496533,21821314.784,8.16619,5.871211,5.871211,1.166057,1.073659,1.073659,1.037175,ILS,ILS,0.305912,0.305912,0,0,0,0,1.691987,1190,3970,2718.9092,18.613744,171.008403,-18.765743,1.464029,9.846858,1.886564,1.934577,0.205479,0.176931,1.157585,0.801833,1.801152,1.877262,1.944577,0.186931,0.811833,1.887262,1.915919,137465411.6912,144736185.348267,144736185.348267,0.136744,140049533.333333,156114466.666667,156114466.666667,73626043.6064,74811207.8768,74811207.8768,9.260481,None
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,Israel,5.9e-05,126525284.776533,8416821.979733,48814112.716267,135121330.4,12756224.488,216427845.408,12756224.488,216427845.408,135121330.4,126525284.776533,8416821.979733,135121330.4,12756224.488,12756224.488,135121330.4,0.248095,0.248095,3.251828,3.251828,3.251828,0.306763,3.251828,1.939482,1.923343,57447938.170347,58404000.0,53583866.666667,58404000.0,0.09441,1.015907,15.46875,0.237126,2.5,0.671756,0.15652,0,3.159,3373,0.000937,0.379144,13190300,41699000,3.161338,181,109564981,13549768106,230381.21547,12.405,0.144821,0.311979,0.144821,0.311979,0.144821,9.381745,30.879634,0.144821,4.055529,0.346612,0.346612,11408824.886933,18199010.792,9.603529,6.020381,6.020381,0.128163,0.137431,0.137431,0.371716,ILS,ILS,0.305912,0.305912,0,0,0,0,3373,2647,4150,3608.9302,-6.5374,27.427276,-18.722892,0.966068,0.967068,14.261216,13.290927,0.85864,1.336918,1.362111,1.30594,14.113918,13.517438,13.300927,1.346918,1.31594,13.527438,13.414183,174485964.1952,194534518.9392,194534518.9392,0.085573,483274066.666667,535994600.0,535994600.0,12619298.2768,14683306.934933,14683306.934933,23.66883,None
TLV:IDIN,I.D.I. INSURANCE,Financial Services,Israel,0.000311,682431242.808,62232575.501867,104728483.7408,663402292.76,74439402.432,517436687.872,74439402.432,517436687.872,663402292.76,682431242.808,62232575.501867,663402292.76,74439402.432,74439402.432,663402292.76,0.071889,0.071889,2.023535,2.023535,2.023535,0.226883,2.023535,0.380555,0.378097,414202355.305466,419551000.0,350845600.0,419551000.0,0.11221,0.228908,2.5,0.248649,2.5,0.233518,0.09093,0,16.569,11000,0.001506,0.571964,14674900,243336000,16.581782,1500,155591130,49201941149,162224.0,5.464,-0.053957,0.02406,-0.053957,0.02406,-0.053957,4.104015,20.508368,-0.053957,0.244604,0.493062,0.493062,40088747.893333,61280597.752,3.881167,2.538995,2.538995,7.276206,6.31866,6.31866,2.514695,ILS,ILS,0.305912,0.305912,0,0,0,0,11000,7510,13400,11497.35,-4.325779,46.471372,-17.910448,1.185059,2.769751,1.139647,1.158951,1.152776,437.298046,0.821587,0.311248,0.861513,1219.514018,1.168951,437.308046,0.321248,1219.524018,610.346484,1769502321.9296,1845215827.447467,1845215827.447467,0.060342,-491576733.333333,2207547000.0,2207547000.0,1551900488.236267,1592299369.7152,1592299369.7152,4.633408,None
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,Israel,0.00045,495437466.666667,69362333.333333,40491200.0,537167000.0,76178000.0,208616000.0,76178000.0,208616000.0,537167000.0,495437466.666667,69362333.333333,537167000.0,76178000.0,76178000.0,537167000.0,0.383002,0.383002,1.920714,1.920714,1.920714,0.002633,1.920714,1.898184,1.875409,111064784.689766,113730000.0,103019600.0,113730000.0,0.14181,0.0,0.0,0.0,0.0,0.091034,0.04992,0,62.609,39210,0.001597,2.092065,1176000,76178000,64.777211,199,205762323,141418712,382804.020101,0.271,0.066711,0.050244,0.066711,0.050244,0.066711,0.215811,4.895545,0.066711,2.832841,8.899988,8.899988,69500533.333333,61222000.0,2.960586,3.360921,3.360921,4.11091,3.474005,3.474005,1.864868,USD,ILS,1.0,0.305912,0,0,0,0,39210,39210,39560,39210,0.0,0.0,-0.884732,0.0,0.001,1.244922,1.298563,1.425659,0.898194,2.301742,2.642975,1.141394,1.202145,1.308563,0.908194,2.652975,1.212145,1.260354,254928933.333333,296593800.0,296593800.0,0.276843,26207000.0,41033400.0,41033400.0,205107066.666667,228814133.333333,228814133.333333,2.13739,None
TLV:PLRM,PALRAM INDUSTRIES,Industrials,Israel,0.000906,487434164.530667,39252078.573333,168815905.669333,559151460.016,83355207.672,738927376.88,83355207.672,738927376.88,559151460.016,487434164.530667,39252078.573333,559151460.016,83355207.672,83355207.672,559151460.016,0.151121,0.151121,1.119359,1.119359,1.119359,0.167012,1.119359,0.68249,0.67307,416508167.413716,428005000.0,258678466.666667,428005000.0,0.14907,0.186985,2.5,0.372912,2.5,0.297813,0.12139,0,10.601,3916,0.002707,0.387941,25725500,272480992,10.591864,1594,276416053,30526719193,170941.651192,1.636,0.128858,14.578781,0.128858,14.578781,0.128858,4.871695,22.321917,0.128858,3.839684,0.229768,0.229768,69520276.2896,116692885.608,3.976049,2.368748,2.368748,0.814484,0.776955,0.776955,0.88245,ILS,ILS,0.305912,0.305912,0,0,0,0,3916,2250,4079,3268.979,19.792755,74.044444,-3.996077,1.821761,36.555079,2.43212,2.469523,0.251451,0.114719,0.499254,0.47228,2.543464,2.671698,2.479523,0.124719,0.48228,2.681698,2.580611,402125688.344533,445217105.2768,445217105.2768,0.207224,550612133.333333,637338866.666667,637338866.666667,165495659.186133,180681885.449067,180681885.449067,10.476461,None
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,Israel,0.001294,205875859.638933,18224972.523733,59555559.984,219111611.384,30920667.224,248038038.28,30920667.224,248038038.28,219111611.384,205875859.638933,18224972.523733,219111611.384,30920667.224,30920667.224,219111611.384,0.330691,0.330691,1.736405,1.736405,1.736405,0.24291,1.736405,1.50111,1.501086,157731896.78011,157737000.0,107751333.333333,157737000.0,0.14112,0.214184,2.5,0.693453,4.375,0.487614,0.05231,0,1.51,853,0.00177,0.67874,66357000,101077000,1.52323,402,236765296,17398617133,251435.323383,1.232,0.104619,1.322976,0.104619,1.322976,0.104619,1.254744,11.451536,0.104619,3.484494,1.383872,1.383872,29850709.4128,41504916.512,7.931647,5.704512,5.704512,1.514779,1.443495,1.443495,1.202455,ILS,ILS,0.305912,0.305912,0,0,0,0,853,843.5,1240,923.9056,-7.67455,1.12626,-31.209677,0.047919,0.048919,1.675001,1.694677,0.0,0.0,0.007944,0.001986,0.969596,1.150765,1.704677,0.01,0.011986,1.160765,1.432721,184565213.9536,189104805.274667,189104805.274667,0.183511,-14053066.666667,26478200.0,26478200.0,110656956.330133,111689021.8416,111689021.8416,9.969048,None
TLV:DUNI,DUNIEC BROS,Real Estate,Israel,0.005891,71259589.950933,14051680.231467,93193133.650667,136702589.528,33658579.624,402504325.824,33658579.624,402504325.824,136702589.528,71259589.950933,14051680.231467,136702589.528,33658579.624,33658579.624,136702589.528,0.44602,0.44602,2.097522,2.097522,2.097522,0.003949,2.097522,1.346013,1.346429,147949603.636364,147858000.0,63957933.333333,147858000.0,0.24622,0.494604,2.5,4.157378,17.1875,2.562134,0.03857,0,21.76,15020,0.001449,0.533301,3866740,110027000,28.454719,42,199265359,176484186,2619690.47619,13.407,-0.13373,-0.165616,-0.13373,-0.165616,-0.13373,10.013846,31.894662,-0.13373,0.236627,0.209462,0.209462,8181228.951467,88051262.784,24.356409,2.263061,2.263061,1.658618,1.262802,1.262802,1.124744,ILS,ILS,0.305912,0.305912,0,0,0,0,15020,56.14,15090,95.6,15611.297071,26654.542216,-0.463883,1.990688,62.23272,1.627421,1.828457,0.657211,0.497878,8.199344,7.186213,1.294355,1.415945,1.838457,0.507878,7.196213,1.425945,1.632201,218909179.216533,215288200.8432,215288200.8432,0.176342,123864066.666667,143626866.666667,143626866.666667,134969475.6832,119436569.547733,119436569.547733,2.684658,None
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,Israel,0.009926,413584533.333333,46578200.0,378865133.333333,441700000.0,71505000.0,1631558000.0,71505000.0,1631558000.0,441700000.0,413584533.333333,46578200.0,441700000.0,71505000.0,71505000.0,441700000.0,0.440207,0.440207,3.987571,3.987571,3.987571,0.440177,3.987571,3.381551,3.353915,58451586.122671,59407000.0,54496000.0,59407000.0,0.16189,0.0,0.0,0.0,0.0,0.102509,0.10323,0,5.196,6811,0.000763,0.473944,100000000,71509000,0.71509,181,194426253,194426253,395077.348066,16.342,0.144938,0.311184,0.144938,0.311184,0.144938,12.334296,35.370217,0.144938,4.057067,0.323291,0.323291,38293133.333333,60441000.0,5.077314,3.216794,3.216794,0.076272,0.080236,0.080236,0.284259,USD,ILS,1.0,0.305912,0,0,0,0,6811,6670,6920,6811,0.0,2.113943,-1.575145,1.128,2.05994,14.527346,13.492159,0.978913,1.496489,1.362111,1.30594,14.428955,13.774258,13.502159,1.506489,1.31594,13.784258,13.643209,570538133.333333,637020000.0,637020000.0,0.132249,485277000.0,538916800.0,538916800.0,40624333.333333,47366666.666667,47366666.666667,2.839002,None
TLV:SALG,SHALAG INDUSTRIES,Consumer Cyclical,Israel,0.010052,169539469.125867,13861321.390933,67217166.812267,209127561.44,23107980.656,299900829.2,23107980.656,299900829.2,209127561.44,169539469.125867,13861321.390933,209127561.44,23107980.656,23107980.656,209127561.44,0.28664,0.28664,2.001224,2.001224,2.001224,0.221218,2.001224,1.431056,1.40802,141426788.371099,145980000.0,100458600.0,145980000.0,0.1105,0.196264,2.5,0.304548,2.5,0.255889,0.25944,0,2.056,1355,0.001517,0.389669,36755000,75538000,2.055176,138,195873799,15122905324,547376.811594,1.046,0.279504,3.385132,0.279504,3.385132,0.279504,1.630783,13.020212,0.279504,5.536818,1.227155,1.227155,24846804.858133,33650014.088,7.883259,5.820913,5.820913,0.992223,1.02119,1.02119,1.011539,ILS,ILS,0.305912,0.305912,0,0,0,0,1355,1089,1717,1280.4406,5.822949,24.426079,-21.083285,0.847134,0.848134,2.163965,2.009351,0.00273,0.000682,0.063757,0.062835,2.341157,2.271309,2.019351,0.010682,0.072835,2.281309,2.15033,214451898.6176,236655256.701333,236655256.701333,0.117644,186803733.333333,210980066.666667,210980066.666667,105496322.8608,117801449.5136,117801449.5136,9.095355,None
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,Israel,0.055272,68952789.135467,6242460.666133,14795413.485867,73835226.232,7866221.168,59115658.528,7866221.168,59115658.528,73835226.232,68952789.135467,6242460.666133,73835226.232,7866221.168,7866221.168,73835226.232,0.186606,0.186606,2.067829,2.067829,2.067829,0.219656,2.067829,1.048055,1.039879,43648065.674256,44329000.0,36654266.666667,44329000.0,0.10654,1.380647,15.46875,0.303965,2.5,0.901008,0.12477,0,6.28,4288,0.001465,0.641567,4082590,25714000,6.298453,47,45031895,5301636608,547106.382979,0.912,0.091406,0.439933,0.091406,0.439933,0.091406,0.793983,9.160574,0.091406,3.273345,2.604373,2.604373,12602921.787733,17106904.952,3.573131,2.632381,2.632381,0.824124,0.73795,0.73795,0.86004,ILS,ILS,0.305912,0.305912,0,0,0,0,4288,1843,4614,3629.923,18.129228,132.664135,-7.065453,1.764706,30.201882,2.300126,2.397301,32.039,0.047191,12.083124,8.68366,2.166398,2.239767,2.407301,0.057191,8.69366,2.249767,2.328534,40161432.584533,41560041.8544,41560041.8544,0.209274,62437400.0,68042400.0,68042400.0,17732352.233067,17450199.3984,17450199.3984,13.837903,None
