"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,calculated_roa,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:ABIL,ABILITY INC,Technology,Israel,5.9481874347747115e+32,1693200.0,-7635000.0,-37361466.6666667,1726000.0,-6709000.0,-166512000.0,-6709000.0,-166512000.0,1726000.0,1693200.0,-7635000.0,1726000.0,-6709000.0,-6709000.0,1726000.0,2.049624,2.049624,185.4354195,185.4354195,185.4354195,2.0961594,61.8118065,-0.617173,18964.8099162,-5731974.8148148,-5732000.0,-6831133.3333333,-5732000.0,0,0.0,0.0,0.0,0.0,0.01,0.03946,0.35554,0,-0.938,147.8,-0.0063464,10000.0,7972390,-6709000,-0.8415293,10,3537604,361797116,-670900.0,0.1672451,0.5483419,0.1672451,0.5483419,0.1672451,0.5483419,0.1672451,4.3395615,0.5483419,7.6550108,1108.7642416,1108.7642416,-3962733.3333333,-607000.0,11201.7416031,58280.142725,58280.142725,-0.1693273,-2.5877822,-2.5877822,259.7782202,USD,ILS,1.0,0.3047768,0,0,0,0,0.9337663,70.5,380,174.73706,-15.4157681,109.6453901,-61.1052632,0.4995153,0.5005153,0.7713891,0.6117107,0.8443229,0.8324304,7.5226137,4.7115385,0.7135936,0.5729468,0.6217107,0.8424304,4.7215385,0.5829468,0.6023288,16669933.3333333,13883000.0,13883000.0,1e-06,-6303200.0,-9656600.0,-9656600.0,21863466.6666667,22724200.0,22724200.0,1e-05,None
TLV:ABRA,ABRA TECH,Technology,Israel,357554742598.99255,18581400.0,-12050466.6666667,-39289933.3333333,60221500.0,-1452000.0,-174095000.0,-1452000.0,-174095000.0,60221500.0,18581400.0,-12050466.6666667,60221500.0,-1452000.0,-1452000.0,60221500.0,0.9350552,0.9350552,8.3861546,8.3861546,8.3861546,1.6240014,2.7953849,20.6279034,19.2904326,3219507.5352383,3637000.0,-4912466.6666667,3637000.0,0.15254,0.0,0.0,0.0,0.0,0.0971657,0.39602,0.0938,0,0.159,425.3,0.0003739,0.6239581,75283400,9429000,0.1252467,352,57799696,10038277084,26786.9318182,-0.5048293,7.2139752,-0.5048293,7.2139752,-0.5048293,7.2139752,-0.5048293,0.1995171,7.2139752,27.1088443,-16.6118612,6019.7950565,5831066.6666667,3498500.0,9.912371,16.5212794,16.5212794,0.2857437,0.419478,0.419478,0.6486712,USD,ILS,1.0,0.3047768,28.765402,241.88435,159.01178,105.64151,0.0518233,281.8292,457,352.85852,20.529894,50.9070032,-6.9365427,1.6380675,19.3192745,19.1070825,3.7169321,0.308723,0.0095012,0.114232,0.1472712,10.604971,3.7229153,3.7269321,0.0195012,0.1572712,3.7329153,3.7299237,153838800.0,183925800.0,183925800.0,9.21e-05,65249333.3333333,84530066.6666667,84530066.6666667,34964600.0,54268866.6666667,54268866.6666667,10.5164321,None
TLV:ACCL,ACCEL SOLUTIONS GR,Technology,Israel,12785850638.906395,54300466.6666667,-2694666.6666667,-139257266.6666667,73053000.0,1048000.0,-12888000.0,1048000.0,-12888000.0,73053000.0,54300466.6666667,-2694666.6666667,73053000.0,1048000.0,1048000.0,73053000.0,0.5641419,0.5641419,43.7100737,43.7100737,43.7100737,0.8473626,14.5700246,10.0570248,9.8264007,4295972.5740954,4493000.0,3633800.0,4493000.0,0.01434,0.0,0.0,0.0,0.0,0.0181943,0.35266,0.21836,0,0.012,175.6,6.83e-05,0.6698862,118017000,1048000,0.0088801,25,41223193,6190238275,41920.0,-0.5409642,27.754089,-0.5409642,27.754089,-0.5409642,27.754089,-0.5409642,0.1959036,27.754089,52.9321498,-80.8003058,1237.6190781,-630000.0,-6969000.0,152.8265889,59152.235901,59152.235901,1.3590111,0.8127669,0.8127669,0.9025358,USD,ILS,1.0,0.3047768,64.3205,173.616,4.602,47.5795,0.0830711,143.1,299,223.46294,-21.4187373,22.7113906,-41.270903,0.4169339,0.4179339,3.9683596,2.3961256,0.6177155,0.2421331,0.0037273,0.0288258,2.4546855,2.0880627,2.4061256,0.2521331,0.0388258,2.0980627,2.2520942,48098400.0,98767200.0,98767200.0,0.1106108,14586866.6666667,34133266.6666667,34133266.6666667,19959600.0,40380600.0,40380600.0,9.6485031,None
TLV:ACE,ACE CAPITAL RETAIL,Consumer Cyclical,Israel,642.3150006,624690800.0,24388000.0,67006933.3333333,693854000.0,27892000.0,230354000.0,27892000.0,230354000.0,693854000.0,624690800.0,24388000.0,693854000.0,27892000.0,27892000.0,693854000.0,0.3175774,0.3175774,2.8501215,2.8501215,2.8501215,0.1906212,2.8501215,2.792365,2.5989357,96642054.9006767,110031000.0,90677866.6666667,110031000.0,0.063,0.0,0.0,0.0,0.0,0.046,0.81862,0.013,0,2.128,1956,0.0010879,0.9858678,23015000,46134000,2.0045188,990,232473073,13958731718,46600.0,1.8116008,0.1130006,1.8116008,0.1130006,1.8116008,0.1130006,1.8116008,13.709572,0.1130006,3.6115562,1.5732613,1.5732613,101393266.6666667,111101000.0,2.2927861,2.0924481,2.0924481,6.4868547,5.5146889,5.5146889,2.3493375,USD,ILS,1.0,0.3047768,36.3477,86.8998,0,0,-0.1072519,1600,2198,1889.007,-1.2045111,22.25,-11.0100091,1.1906355,2.8488715,1.1623782,1.186188,0.145016,0.1644158,0.0,0.0,0.7511749,0.81041,1.196188,0.1744158,0.01,0.82041,1.008299,657340000.0,793186857.1428572,793186857.1428572,0.1351645,-65869733.3333333,-57663571.4285714,-57663571.4285714,569734066.6666666,668621857.1428572,668621857.1428572,3.7579657,None
TLV:ACKR,ACKERSTEIN GROUP L,Basic Materials,Israel,170.2643541,677903000.0,66501428.5714286,599592666.6666666,312464000.0,17155000.0,634117000.0,17155000.0,634117000.0,312464000.0,677903000.0,66501428.5714286,312464000.0,17155000.0,17155000.0,312464000.0,0.5866953,0.5866953,5.1252044,5.1252044,5.1252044,0.6320931,5.1252044,4.077304,4.8652678,68477313.3502766,42010000.0,100188857.1428571,42010000.0,0.10716,0.0,0.0,0.0,0.0,0.0712343,0.08695,0.73914,0,0.283,451.7,0.0006265,0.4561109,287510016,70697000,0.245894,561,387118109,41701393986,126019.6078431,4.116,-0.041651,-0.1476352,-0.041651,-0.1476352,-0.041651,3.0500912,17.7145103,-0.041651,0.2458349,1.6803446,1.6803446,91234428.5714286,42229000.0,4.2431143,9.1671152,9.1671152,0.8635323,0.7697291,0.7697291,0.8783421,USD,ILS,1.0,0.3047768,0,0,0,0,0.1200283,411,499,450.75476,0.2097016,9.9026764,-9.4789579,0.925,0.926,2.16738,2.2991584,0.4948272,0.0049648,2.2333462,2.0440833,1.4945437,1.403486,2.3091584,0.0149648,2.0540833,1.413486,1.8613222,1309235333.3333333,1407170000.0,1407170000.0,0.1121911,151716333.3333333,139471000.0,139471000.0,602316333.3333334,612037000.0,612037000.0,6.4817984,None
TLV:ADGR,ADGAR INVEST & DEV,Real Estate,Israel,1445009157.3992298,73179733.9450133,13716012.5595733,256666298.8729067,74364929.6464,-8815973.7168,1036525476.7544,-8815973.7168,1036525476.7544,74364929.6464,73179733.9450133,13716012.5595733,74364929.6464,-8815973.7168,-8815973.7168,74364929.6464,4.7685378,4.7685378,2.9375314,2.9375314,2.9375314,1.2299898,2.9375314,5.984902,5.9848783,194414460.4573,194416000.0,184934000.0,194416000.0,-0.11855,0.0488465,1.0,0.1225964,2.5,0.0770755,0.21515,0.51399,0,-0.188,601.3,-0.0003127,0.2340341,163544992,-28926000,-0.1768688,116,1163542283,30011504642,-249362.0689655,0.486,0.0078743,-0.2025248,0.0078743,-0.2025248,0.0078743,0.3138688,5.8523995,0.0078743,1.1373733,9.3591059,9.3591059,24786440.5844267,27012367.784,46.9426935,43.0744277,43.0744277,2.8738649,2.8189274,2.8189274,1.6799662,ILS,ILS,0.3047768,0.3047768,7.3374,7.2151,6.9655,6.3741,0.368409,387.6,676.9,609.08185,-1.2776362,55.1341589,-11.1685626,1.4773591,10.3972026,1.3551002,1.3563182,0.7054921,0.3182571,19.2696437,18.5272977,0.9694012,0.8542911,1.3663182,0.3282571,18.5372977,0.8642911,1.1153046,1430253356.7243733,1463711063.00096,1463711063.00096,9.4e-05,-16947200.0,-76773266.6666667,-76773266.6666667,1055682425.7029334,1079170395.20864,1079170395.20864,4.2548166,None
TLV:ADKA,ADIKA STYLE LTD,Consumer Cyclical,Israel,471630.4578374,176013666.6666667,4285066.6666667,5358666.6666667,226876000.0,-7089000.0,17606000.0,-7089000.0,17606000.0,226876000.0,176013666.6666667,4285066.6666667,226876000.0,-7089000.0,-7089000.0,226876000.0,0.2590603,0.2590603,19.9258674,19.9258674,19.9258674,0.156812,19.9258674,5.3396895,5.3396875,11000991.7808219,11001000.0,19746800.0,11001000.0,-0.03125,0.0,0.0,0.0,0.0,0.0055357,0.1002,0.62026,0,-0.351,567.8,-0.0006182,0.8859791,21223800,-7089000,-0.3340118,451,58741836,3557687030,-15718.4035477,2.6341604,0.4470953,2.6341604,0.4470953,2.6341604,0.4470953,2.6341604,16.4800968,0.4470953,6.9365185,7.5644092,7.5644092,16190466.6666667,14216000.0,3.6281744,4.1320932,4.1320932,2.9695346,2.9490602,2.9490602,1.7182828,USD,ILS,1.0,0.3047768,0,0,0,0,0.4581124,352,1780,1199.7566,-52.673734,61.3068182,-68.1011236,0.3022409,0.3032409,1.4683793,1.3457935,1.0565806,0.6340089,1.8371659,2.4779848,1.3697513,1.2924034,1.3557935,0.6440089,2.4879848,1.3024034,1.3290985,158961533.3333333,175114066.6666667,175114066.6666667,5.95e-05,18893533.3333333,16090533.3333333,16090533.3333333,113433266.6666667,130276000.0,130276000.0,4.2590173,None
TLV:AFHL,AFCON HOLDINGS LTD,Technology,Israel,0.0488579,512943153.9507734,2993375.5004267,102118697.47408,551610044.3376,32343523.5696,420124151.612,32343523.5696,420124151.612,551610044.3376,512943153.9507734,2993375.5004267,551610044.3376,32343523.5696,32343523.5696,551610044.3376,0.1926189,0.1926189,2.8117309,2.8117309,2.8117309,0.1618127,0.9372436,2.1404475,2.0582788,176370761.7827139,189912000.0,59031933.3333333,189912000.0,0.05863,0.0109124,2.25,0.2691561,2.5,0.1821139,0.22957,0.63121,0,20.595,19350,0.0010643,0.5419218,5057400,106122000,20.9835093,1209,348528041,29286186650,87776.674938,34.738,0.0441587,0.2770422,0.0441587,0.2770422,0.0441587,26.1227605,51.36043,0.0441587,2.3513961,0.1076353,0.1076353,19239665.3720533,29863554.748,18.1150781,11.6706817,11.6706817,2.6974903,2.6414605,2.6414605,1.6262571,ILS,ILS,0.3047768,0.3047768,949.1046,215.99013,323.9852,323.9852,0.6281062,9150,21920,18002.658,7.4841282,111.4754098,-11.7244526,1.5974941,16.6201761,1.3749333,1.3826721,0.2893463,0.1630332,3.3487037,3.3146165,1.5770729,1.6534534,1.3926721,0.1730332,3.3246165,1.6634534,1.5280628,533547122.1903467,572620361.3253866,572620361.3253866,0.1564834,451985733.3333333,523012266.6666667,523012266.6666667,388321342.7225067,414165155.6184,414165155.6184,6.8212722,None
TLV:AFID,None,None,Unknown,1e+50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,10000.0,10000000000000.0,10000.0,0.0,10000.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,1.23e-05,0,0,0,0.0,10000.0,100000000,0,0.0,10000000,0,0,0.0,-0.9,-0.9,-0.9,-0.9,0,0,-0.9,0.16,-0.9,0.16,-11111.1111111,9.0,0,0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,0.0,0.0,USD,USD,1.0,1.0,1992.123,2458.831,1844.0001,1299.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0,0,0,1e-06,0.0,0.0,0.0,0,0,0.0,1e-05,None
TLV:AFPR,AFI PROPERTIES,Real Estate,Israel,7316015942.53234,279484673.7490134,53546906.50096,745311630.4050134,310690079.4736,94970279.5408,3041598708.0144,94970279.5408,3041598708.0144,310690079.4736,279484673.7490134,53546906.50096,310690079.4736,94970279.5408,94970279.5408,310690079.4736,3.8663985,3.8663985,5.3081988,5.3081988,5.3081988,1.6745735,5.3081988,9.0765579,8.7859458,463944001.762869,493653000.0,384084733.3333333,493653000.0,0.30567,0.2967309,2.5,0.6613674,2.5,0.5176487,0.09342,0.72657,0,8.911,15170,0.0005874,0.3976575,36089100,311606016,8.6343526,296,3941359143,170706349471,1052723.027027,-0.4547347,0.0704583,-0.4547347,0.0704583,-0.4547347,0.0704583,-0.4547347,0.2045265,0.0704583,2.9043989,-11.6731779,8566.6474956,95656047.6592533,138367752.8696,41.2034496,28.4846654,28.4846654,1.9195086,2.075668,2.075668,1.4417179,ILS,ILS,0.3047768,0.3047768,699.048,263.473,366.995,333.0,0.9431933,7618.566,15990,12982.168,16.8525935,99.1188368,-5.1282051,1.8040957,34.4792185,1.5316894,1.4857603,0.3894922,1.0496932,14.9705065,15.7097116,0.6443368,0.7850703,1.4957603,1.0596932,15.7197116,0.7950703,1.1454153,3582017307.6190934,3990009879.6624537,3990009879.6624537,0.123802,-740301533.3333334,-426355133.3333333,-426355133.3333333,2343846704.8297067,2689188992.1329064,2689188992.1329064,6.283934,None
