Symbol,Name,Sector,Value,Close,Grade
TLV:AFHL,AFCON HOLDINGS LTD,Technology,0.04886,19350.0,360.2318
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,2e-05,3124.0,327.0552
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,0.08529,13120.0,305.8144
TLV:PLRM,PALRAM INDUSTRIES,Industrials,0.00119,4057.0,301.0586
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,0.00836,894.6,300.5823
TLV:SANO1,SANO-BRUNO'S ENTER,Consumer Defensive,0.9451,32420.0,294.9372
TLV:ALBA,ALBAAD MASSUOT YIT,Consumer Defensive,0.08087,5918.0,255.3945
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,5e-05,3515.0,246.1633
TLV:EMDV,EMILIA DEV (O.F.G),Financial Services,0.16211,1889.0,236.9331
TLV:MTDS,MEITAV DASH INV,Financial Services,31.73678,1727.0,235.1833
TLV:MLTM,MALAM TEAM LTD,Technology,364.38849,10800.0,229.5548
TLV:HRON,HIRON TRADE INVS,Real Estate,11.31334,166400.0,224.8142
TLV:ASHG,ASHTROM GROUP LTD,Real Estate,6.38399,6891.0,216.1072
TLV:ISRS,ISRAS INVESTMNT CO,Real Estate,4130.12503,69550.0,198.4679
TLV:VILR,VILLAR INTL LTD,Real Estate,261.7743,15510.0,198.0427
TLV:LAHAV,LAHAV L.R. REAL ES,Real Estate,941.18891,459.1,197.3338
TLV:HAMAT,HAMAT GROUP LTD,Industrials,16.52821,1946.0,195.3202
TLV:CAST,CASTRO MODEL,Consumer Cyclical,186.55303,7805.0,191.2683
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,0.03399,4151.0,187.6658
TLV:MTRX,MATRIX IT LTD,Technology,5332.47925,8761.0,187.6547
TLV:KRUR,KERUR HOLDINGS LTD,Consumer Defensive,0.21713,8880.0,185.0361
TLV:DLEA,DELEK AUTOMOTIVE S,Consumer Cyclical,114.42631,4031.0,180.9911
TLV:SALG,SHALAG INDUSTRIES,Consumer Cyclical,0.00732,1318.0,178.3152
