pi,ev,pe,evr / pm,0.202,3.15331,5.8275,9.94825,21.08482,39.5317,93.65682
0.000012,2.000000,27150.579482,3811.102525,318.000000,258.000000,217.000000,174.000000,131.000000,88.000000,45.000000
0.000012,2.000000,27150.579482,9.633864,279.000000,235.000000,195.000000,155.000000,115.000000,74.000000,33.000000
0.000012,2.000000,27150.579482,3.917775,234.000000,194.000000,155.000000,119.000000,81.000000,47.000000,17.000000
0.000012,2.000000,27150.579482,1.810113,189.000000,151.000000,114.000000,83.000000,48.000000,27.000000,8.000000
0.000012,2.000000,27150.579482,0.766252,142.000000,107.000000,78.000000,58.000000,33.000000,19.000000,0.000000
0.000012,2.000000,27150.579482,0.454205,96.000000,65.000000,45.000000,34.000000,15.000000,9.000000,0.000000
0.000012,2.000000,27150.579482,0.259234,49.000000,29.000000,19.000000,18.000000,0.000000,0.000000,0.000000
0.000012,2.000000,19.094729,3811.102525,278.000000,244.000000,208.000000,166.000000,125.000000,83.000000,43.000000
0.000012,2.000000,19.094729,9.633864,251.000000,222.000000,187.000000,148.000000,110.000000,69.000000,31.000000
0.000012,2.000000,19.094729,3.917775,211.000000,185.000000,151.000000,116.000000,79.000000,45.000000,16.000000
0.000012,2.000000,19.094729,1.810113,170.000000,145.000000,112.000000,82.000000,48.000000,27.000000,8.000000
0.000012,2.000000,19.094729,0.766252,127.000000,103.000000,77.000000,57.000000,33.000000,19.000000,0.000000
0.000012,2.000000,19.094729,0.454205,87.000000,65.000000,45.000000,34.000000,15.000000,9.000000,0.000000
0.000012,2.000000,19.094729,0.259234,45.000000,29.000000,19.000000,18.000000,0.000000,0.000000,0.000000
0.000012,2.000000,9.266744,3811.102525,233.000000,207.000000,180.000000,146.000000,107.000000,68.000000,36.000000
0.000012,2.000000,9.266744,9.633864,211.000000,190.000000,164.000000,133.000000,97.000000,59.000000,27.000000
0.000012,2.000000,9.266744,3.917775,180.000000,162.000000,136.000000,107.000000,72.000000,40.000000,15.000000
0.000012,2.000000,9.266744,1.810113,147.000000,130.000000,104.000000,78.000000,45.000000,25.000000,8.000000
0.000012,2.000000,9.266744,0.766252,111.000000,94.000000,71.000000,55.000000,32.000000,18.000000,0.000000
0.000012,2.000000,9.266744,0.454205,76.000000,59.000000,42.000000,33.000000,15.000000,9.000000,0.000000
0.000012,2.000000,9.266744,0.259234,42.000000,29.000000,19.000000,18.000000,0.000000,0.000000,0.000000
0.000012,2.000000,5.685544,3811.102525,187.000000,168.000000,146.000000,121.000000,88.000000,56.000000,31.000000
0.000012,2.000000,5.685544,9.633864,166.000000,151.000000,130.000000,108.000000,78.000000,47.000000,22.000000
0.000012,2.000000,5.685544,3.917775,145.000000,133.000000,112.000000,92.000000,62.000000,35.000000,15.000000
0.000012,2.000000,5.685544,1.810113,118.000000,107.000000,86.000000,69.000000,39.000000,23.000000,8.000000
0.000012,2.000000,5.685544,0.766252,92.000000,81.000000,62.000000,52.000000,29.000000,17.000000,0.000000
0.000012,2.000000,5.685544,0.454205,67.000000,56.000000,40.000000,33.000000,15.000000,9.000000,0.000000
0.000012,2.000000,5.685544,0.259234,37.000000,28.000000,18.000000,18.000000,0.000000,0.000000,0.000000
0.000012,2.000000,4.414572,3811.102525,140.000000,129.000000,114.000000,93.000000,68.000000,45.000000,24.000000
0.000012,2.000000,4.414572,9.633864,123.000000,115.000000,101.000000,83.000000,61.000000,39.000000,18.000000
0.000012,2.000000,4.414572,3.917775,107.000000,101.000000,87.000000,71.000000,49.000000,30.000000,12.000000
0.000012,2.000000,4.414572,1.810113,89.000000,83.000000,69.000000,55.000000,33.000000,20.000000,0.000000
0.000012,2.000000,4.414572,0.766252,69.000000,63.000000,50.000000,42.000000,24.000000,14.000000,0.000000
0.000012,2.000000,4.414572,0.454205,52.000000,46.000000,34.000000,27.000000,14.000000,8.000000,0.000000
