"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,Israel,8.01e-05,150647661.1012267,8760126.73888,50827789.5828267,163713854.0576,16990020.872,214291117.6032,16990020.872,214291117.6032,163713854.0576,150647661.1012267,8760126.73888,163713854.0576,16990020.872,16990020.872,163713854.0576,0.2620711,0.2620711,1.7812589,1.7812589,1.7812589,0.1848368,1.7812589,2.0147486,1.9214817,76333714.0458015,83401000.0,52658333.3333333,83401000.0,0.10378,0.3716865,5.625,1.3425573,12.03125,0.8981975,0.12635,0.67767,0,5.462,3223,0.0016947,0.4100146,10111500,55235000,5.4625921,344,139554436,9837716980,160566.8604651,360.511,0.0458304,0.8811927,0.0458304,0.8811927,0.0458304,270.6035482,164.7503186,0.0458304,2.3908024,0.0065825,0.0065825,15775101.8573867,21941380.8064,8.8464999,6.3603306,6.3603306,1.1660566,1.0736591,1.0736591,1.0371752,ILS,ILS,0.3075952,0.3075952,395.589,148.346,79.1177,98.8971,3223,1356,3970,2903.958,10.9864537,137.6843658,-18.8161209,1.4284621,8.4959585,1.8865636,1.9345765,0.2054785,0.1769313,1.1575854,0.801833,1.8011516,1.877262,1.9445765,0.1869313,0.811833,1.887262,1.9159193,138221778.81952,145532557.9886933,145532557.9886933,64190627.35008,70309721.1954133,70309721.1954133,0.2167438,0.3416454,140049533.3333333,156114466.6666667,156114466.6666667,74031151.46944,75222836.79328,75222836.79328,9.2017996,None
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,Israel,0.0003219,127221456.7453867,8463133.3201067,49082699.4814933,135864799.84,12826412.2448,217618682.4768,12826412.2448,217618682.4768,135864799.84,127221456.7453867,8463133.3201067,135864799.84,12826412.2448,12826412.2448,135864799.84,0.2494597,0.2494597,3.5783869,3.5783869,3.5783869,0.3375695,3.5783869,1.9501536,1.9339261,57447938.170347,58404000.0,53583866.6666667,58404000.0,0.09441,1.0557683,15.46875,0.237126,2.5,0.6945336,0.15652,0.63369,0,3.159,3675,0.0008596,0.4172187,13190300,41699000,3.1613383,181,110167834,14910478510,230381.2154696,12.405,0.1448205,0.3119792,0.1448205,0.3119792,0.1448205,9.3817448,30.879634,0.1448205,4.0555292,0.3814202,0.3814202,11471598.9332267,18299146.0432,9.6035291,6.0203812,6.0203812,0.128163,0.1374306,0.1374306,0.3717163,ILS,ILS,0.3075952,0.3075952,30.0551,60.1101,37.5688,105.219,3675,3195,4150,3631.14,-1.9705194,15.0234742,-11.4457831,1.0052356,1.0318277,14.2612156,13.290927,0.8586403,1.3369176,1.3621106,1.3059399,14.1139177,13.5174381,13.300927,1.3469176,1.3159399,13.5274381,13.4141825,175446027.13792,195604893.76032,195604893.76032,98286406.9146667,107281105.7530667,107281105.7530667,0.1655731,0.2195589,483274066.6666667,535994600.0,535994600.0,12688732.63328,14764097.9540267,14764097.9540267,24.7478957,None
TLV:PLRM,PALRAM INDUSTRIES,Industrials,Israel,0.0011803,490116142.3077334,39468052.7706667,169744770.6122667,562228043.2736,83813847.6912,742993129.648,83813847.6912,742993129.648,562228043.2736,490116142.3077334,39468052.7706667,562228043.2736,83813847.6912,83813847.6912,562228043.2736,0.151952,0.151952,1.1609173,1.1609173,1.1609173,0.1732124,1.1609173,0.6862449,0.6767737,416508167.4137158,428005000.0,258678466.6666667,428005000.0,0.14907,0.2514478,2.5,0.3729124,2.5,0.3162308,0.12139,0.70462,0,10.601,3961,0.0026763,0.4023435,25725500,272480992,10.5918638,1594,277936959,31660075276,170941.651192,1.636,0.1288583,14.5787807,0.1288583,14.5787807,0.1288583,4.8716952,22.3219169,0.1288583,3.8396838,0.2382984,0.2382984,69902793.25216,117334957.3968,3.9760494,2.3687481,2.3687481,0.8144844,0.776955,0.776955,0.8824505,ILS,ILS,0.3075952,0.3075952,233.232,77.7439,38.8719,38.872,3961,2500,4279,3437.5315,15.228035,58.44,-7.4316429,1.6424958,19.6347593,2.4321198,2.4695235,0.251451,0.1147188,0.4992536,0.4722796,2.5434635,2.6716976,2.4795235,0.1247188,0.4822796,2.6816976,2.5806105,404338278.7581866,447666794.83328,447666794.83328,208031801.35936,233900516.6666667,233900516.6666667,0.2872237,0.4583312,550612133.3333334,637338866.6666666,637338866.6666666,166406255.3495467,181676039.8123733,181676039.8123733,10.6262986,None
TLV:IDIN,I.D.I. INSURANCE,Financial Services,Israel,0.0019835,686186140.5168,62574993.8152533,105304724.56768,667052488.696,74848985.5872,520283746.6112,74848985.5872,520283746.6112,667052488.696,686186140.5168,62574993.8152533,667052488.696,74848985.5872,74848985.5872,667052488.696,0.0722849,0.0722849,2.1219223,2.1219223,2.1219223,0.2379142,2.1219223,0.3826484,0.3801778,414202355.3054663,419551000.0,350845600.0,419551000.0,0.11221,0.2365531,2.5,0.2486491,2.5,0.2357018,0.09093,0.49347,0,16.569,11610,0.0014271,0.5997737,14674900,243336000,16.5817825,1500,156447229,51594204026,162224.0,5.464,-0.0539569,0.0240596,-0.0539569,0.0240596,-0.0539569,4.1040149,20.5083684,-0.0539569,0.2446043,0.5170357,0.5170357,40309325.6426667,61617778.0592,3.8811671,2.538995,2.538995,7.2762064,6.3186602,6.3186602,2.5146945,ILS,ILS,0.3075952,0.3075952,749.578,272.574,477.004,170.359,11610,7686,13400,11728.854,-4.1650864,51.0538642,-13.358209,1.3734687,6.7129367,1.1396471,1.1589506,1.1527758,437.2980456,0.821587,0.3112482,0.861513,1219.5140176,1.1689506,437.3080456,0.3212482,1219.5240176,610.3464841,1779238541.19616,1855368640.2850134,1855368640.2850134,218799130.3226667,254308063.7550934,254308063.7550934,0.1403418,0.3943241,-491576733.3333333,2207547000.0,2207547000.0,1560439410.8734934,1601060576.5299199,1601060576.5299199,4.7171616,None
TLV:BRAM,BRAM INDUSTRIES,Consumer Cyclical,Israel,0.0160707,133199866.6666667,2315066.6666667,13266933.3333333,134965000.0,4658000.0,56898000.0,4658000.0,56898000.0,134965000.0,133199866.6666667,2315066.6666667,134965000.0,4658000.0,4658000.0,134965000.0,0.2531508,0.2531508,3.873025,3.873025,3.873025,0.001335,3.873025,1.7366825,1.6791917,21071881.1547999,22467000.0,17917000.0,22467000.0,0.03451,0.0,0.0,0.0,0.0,0.02972,0.27775,0.57497,0,0.23,290.2,0.0007926,0.2962407,20226000,4658000,0.2302976,10000000,34172288,18017233,0.4658,1.6879857,0.0260261,1.6879857,0.0260261,1.6879857,0.0260261,1.6879857,13.2422502,0.0260261,1.8632596,2.2944656,2.2944656,19668400.0,27800000.0,1.7374209,1.229219,1.229219,1.6709489,1.610563,1.610563,1.2700796,USD,ILS,1.0,0.3075952,12.2663,9.8131,12.5748,18.5371,290.2,285.1,400,310.62097,-6.5742406,1.788846,-27.45,0.0887728,0.0897728,1.606205,1.621426,0.1920552,0.1049793,0.6456069,1.0978134,1.2007233,1.1912606,1.631426,0.1149793,1.1078134,1.2012606,1.4163433,163581000.0,162202800.0,162202800.0,61400066.6666667,62146666.6666667,62146666.6666667,0.1287171,0.1749517,11542733.3333333,10504400.0,10504400.0,102180933.3333333,100056133.3333333,100056133.3333333,0.9688166,None
TLV:SALG,SHALAG INDUSTRIES,Consumer Cyclical,Israel,0.0236384,170472315.2856533,13937589.6516267,67587011.5230933,210278230.624,23235126.2176,301550954.32,23235126.2176,301550954.32,210278230.624,170472315.2856533,13937589.6516267,210278230.624,23235126.2176,23235126.2176,210278230.624,0.2882167,0.2882167,1.9449112,1.9449112,1.9449112,0.2149931,1.9449112,1.4389303,1.4157673,141426788.3710988,145980000.0,100458600.0,145980000.0,0.1105,0.2067594,2.5,0.3045481,2.5,0.2588873,0.25944,0.60627,0,2.056,1300,0.0015815,0.3787042,36755000,75538000,2.0551762,138,196951543,14697359704,547376.8115942,1.046,0.2795044,3.3851321,0.2795044,3.3851321,0.2795044,1.630783,13.0202116,0.2795044,5.5368176,1.1926241,1.1926241,24983517.8407467,33835164.4048,7.883259,5.8209128,5.8209128,0.9922232,1.0211897,1.0211897,1.0115393,ILS,ILS,0.3075952,0.3075952,76.5,0,0,0,1300,1089,1717,1298.4825,0.1168672,19.3755739,-24.2865463,0.6719745,0.6729745,2.1639655,2.0093512,0.0027296,0.0006824,0.0637571,0.0628354,2.3411574,2.2713088,2.0193512,0.0106824,0.0728354,2.2813088,2.15033,215631863.56096,237957389.7594667,237957389.7594667,106273608.4349867,116125185.4752,116125185.4752,0.1976441,0.3000869,186803733.3333333,210980066.6666667,210980066.6666667,106076788.51968,118449620.88256,118449620.88256,8.9516342,None
TLV:DUNI,DUNIEC BROS,Real Estate,Israel,0.0262023,71651677.0276267,14128995.8914133,93705904.2597333,137454759.4288,33843777.0704,404718999.5904,33843777.0704,404718999.5904,137454759.4288,71651677.0276267,14128995.8914133,137454759.4288,33843777.0704,33843777.0704,137454759.4288,0.4484738,0.4484738,2.2065998,2.2065998,2.2065998,0.0041547,2.2065998,1.3534189,1.3538379,147949603.6363636,147858000.0,63957933.3333333,147858000.0,0.24622,0.4861936,2.5,4.1573778,17.1875,2.5597312,0.03857,0.42147,0,21.76,15650,0.0013904,0.5610349,3866740,110027000,28.454719,42,200361764,185661962,2619690.4761905,13.407,-0.1337305,-0.1656159,-0.1337305,-0.1656159,-0.1337305,10.013846,31.8946615,-0.1337305,0.236627,0.2203549,0.2203549,8226244.0034133,88535741.6064,24.3564092,2.2630608,2.2630608,1.6586177,1.2628016,1.2628016,1.1247445,ILS,ILS,0.3075952,0.3075952,200.0,100.0,200.0,200.0,15650,56.14,15740,95.6,16270.292887,27776.7367296,-0.5717916,1.9885232,61.8278319,1.6274212,1.8284566,0.6572112,0.4978778,8.1993441,7.1862133,1.2943549,1.4159449,1.8384566,0.5078778,7.1962133,1.4259449,1.6322008,220113669.1693867,216472767.31872,216472767.31872,84401559.5866667,96379029.5858133,96379029.5858133,0.256342,0.4511529,123864066.6666667,143626866.6666667,143626866.6666667,135712109.58272,120093737.7329067,120093737.7329067,2.6891632,None
TLV:ALBA,ALBAAD MASSUOT YIT,Consumer Defensive,Israel,0.038982,454804069.8033067,10291274.12544,74583818.0184533,475357929.6752,34360537.0064,327069667.3024,34360537.0064,327069667.3024,475357929.6752,454804069.8033067,10291274.12544,475357929.6752,34360537.0064,34360537.0064,475357929.6752,0.2365407,0.2365407,1.488261,1.488261,1.488261,0.1076097,1.488261,1.3875619,1.3632402,272978267.789847,282548000.0,211488466.6666667,282548000.0,0.07228,0.0376449,1.0,0.1828489,2.5,0.1405144,0.12993,0.60929,0,10.611,5155,0.0020584,0.3264213,10530700,119788000,11.3751223,1822,365495660,16630016194,65745.3347969,0.478,0.0893829,0.2789938,0.0893829,0.2789938,0.0893829,0.4282485,6.7940695,0.0893829,3.239698,3.4752279,3.4752279,43202853.18272,33451900.7856,8.459989,10.9260058,10.9260058,1.9712125,1.8637598,1.8637598,1.3661959,ILS,ILS,0.3075952,0.3075952,237.4001,189.9202,189.92009,170.92805,-0.2422461,5053,9691,7063.741,-27.0216731,2.0186028,-46.8063151,0.0439845,0.0449845,1.5166854,1.5470301,0.7842052,0.2009154,0.4387329,0.3825314,1.317802,1.3547175,1.5570301,0.2109154,0.3925314,1.3647175,1.4608738,420466684.4622934,438326112.91392,438326112.91392,141444105.1220267,152267806.03232,152267806.03232,0.1783903,0.3256586,143587733.3333333,170180666.6666667,170180666.6666667,277191895.7479467,283757925.41888,283757925.41888,6.3098337,None
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,Israel,0.0528592,69332183.6498133,6276808.1575467,14876821.3416533,74241485.0672,7909502.9728,59440926.8288,7909502.9728,59440926.8288,74241485.0672,69332183.6498133,6276808.1575467,74241485.0672,7909502.9728,7909502.9728,74241485.0672,0.1876331,0.1876331,1.9709602,1.9709602,1.9709602,0.209366,1.9709602,1.0538212,1.0456011,43648065.6742557,44329000.0,36654266.6666667,44329000.0,0.10654,1.5226581,15.46875,0.3039653,2.5,0.9821576,0.12477,0.69876,0,6.28,4056,0.0015483,0.6115128,4082590,25714000,6.2984527,47,45279671,5053279226,547106.3829787,0.912,0.0914062,0.439933,0.0914062,0.439933,0.0914062,0.7939833,9.1605738,0.0914062,3.2733453,2.48237,2.48237,12672266.0369067,17201031.1792,3.5731314,2.6323813,2.6323813,0.8241236,0.7379504,0.7379504,0.8600404,ILS,ILS,0.3075952,0.3075952,538.874,221.099,293.937,220.094,4056,2001,4614,3800.7622,6.7154372,102.6986507,-12.0936281,1.5729047,15.1430889,2.3001258,2.3973006,32.0390002,0.047191,12.0831236,8.6836596,2.1663978,2.2397673,2.4073006,0.057191,8.6936596,2.2497673,2.3285339,40382410.2621867,41788715.01024,41788715.01024,22552490.4434133,24242500.4976,24242500.4976,0.2892737,0.426266,62437400.0,68042400.0,68042400.0,17829919.8187733,17546214.51264,17546214.51264,13.4895388,None
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,Israel,0.1807825,921190370.2801068,32795759.2113067,118956865.8737067,982546118.2416,39216542.4288,292924754.5312,39216542.4288,292924754.5312,982546118.2416,921190370.2801068,32795759.2113067,982546118.2416,39216542.4288,39216542.4288,982546118.2416,0.1168862,0.1168862,1.1133203,1.1133203,1.1133203,0.0478991,1.1133203,1.4644607,1.4540795,258385709.8298677,262049000.0,211589733.3333333,262049000.0,0.03991,0.5732943,15.46875,0.0788701,2.5,0.3658325,0.08928,0.51265,0,37.05,13260,0.0027941,0.6345438,3709300,127494000,34.3714447,1355,373030985,15300312284,94091.5129151,0.008,0.1143589,0.3037676,0.1143589,0.3037676,0.1143589,0.0819419,3.1125494,0.1143589,3.6316998,13.5867055,13.5867055,38667833.6046933,75659806.5344,9.6470619,4.9303719,4.9303719,1.7163713,3.0786368,3.0786368,1.7556044,ILS,ILS,0.3075952,0.3075952,4852.67,2695.93,4865.84,6758.12,13260,11600,16730,13705.035,-3.2472372,14.3103448,-20.7411835,0.6471735,0.6481735,2.2029033,1.9636366,0.1641951,0.0858515,0.6093177,0.8662823,1.8757518,1.7479033,1.9736366,0.0958515,0.8762823,1.7579033,1.86577,491130345.2011734,506577550.5753601,506577550.5753601,146843651.7691733,89658812.6942933,89658812.6942933,0.1774147,0.5373975,600717133.3333334,593731400.0,593731400.0,225532594.3141333,258508501.7809067,258508501.7809067,6.4304667,None
