"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:ABIL,ABILITY INC,Technology,Israel,2.7390305293326263e+41,1693200.0,-7635000.0,-37361466.6666667,1109000.0,-7244000.0,-181000000.0,-7244000.0,-181000000.0,1109000.0,1693200.0,-7635000.0,1109000.0,-7244000.0,-7244000.0,1109000.0,2.6471643,2.6471643,225.496108,225.496108,225.496108,2.8967289,75.1653693,-0.4546257,24675.6210981,-6456690.1217862,-6456000.0,-6831133.3333333,-6456000.0,0,0.0,0.0,0.0,0.0,0.01,0.03946,0.35554,0,-1.009,130.1,-0.0077556,10000.0,7972390,-7244000,-0.9086359,10,2935691,321247229,-724400.0,0.1672451,-0.687,0.1672451,0.5483419,0.1672451,0.5483419,0.1672451,4.3395615,-0.3781645,0.2121835,1348.2970068,1348.2970068,-3962733.3333333,-98000.0,13498.4685596,299560.3111798,299560.3111798,-0.1693273,-2.0561431,-2.0561431,206.6143142,USD,ILS,1.0,0.3075952,0,0,0,0,0.8298172,71.1,380,158.4486,-17.891354,82.9817159,-65.7631579,0.3820006,0.3830006,0.7713891,0.5088612,0.8443229,0.8032523,7.5226137,1.6041667,0.7135936,0.4850303,0.5188612,0.8132523,1.6141667,0.4950303,0.5069458,16669933.3333333,13427600.0,13427600.0,-5193533.3333333,-13113600.0,-13113600.0,1e-06,1e-06,-6303200.0,-13673200.0,-13673200.0,21863466.6666667,26541200.0,26541200.0,1e-05,None
TLV:ABRA,ABRA TECH,Technology,Israel,369246461.2712131,18581400.0,-12050466.6666667,-39289933.3333333,103189000.0,6835000.0,-167260000.0,6835000.0,-167260000.0,103189000.0,18581400.0,-12050466.6666667,103189000.0,6835000.0,6835000.0,103189000.0,0.5635144,0.5635144,34.054053,34.054053,34.054053,0.848276,11.351351,-46.1980307,8.5096088,3722501.5613452,8704000.0,-4912466.6666667,8704000.0,0.06624,0.0,0.0,0.0,0.0,0.0478514,0.39573,0.0938,0,0.111,380,0.0002921,1.2949641,75283400,6835000,0.0907903,650,58163176,8753275328,10515.3846154,-0.863,11.99,-0.5048293,7.2139752,-0.5048293,7.2139752,-0.7734573,0.1726543,10.7959938,33.1072576,-44.0283538,2271.2636591,5831066.6666667,4187000.0,9.9747061,13.8913724,13.8913724,0.2857437,0.6777533,0.6777533,0.8242578,USD,ILS,1.0,0.3075952,28.765402,241.88435,159.01178,105.64151,-0.011475,281.8292,457,379.53577,0.1223152,34.8334381,-16.8490153,1.120858,1.9829131,19.1070825,2.8399083,0.308723,0.0095012,0.114232,0.1139259,10.604971,2.469171,2.8499083,0.0195012,0.1239259,2.479171,2.6645397,153838800.0,274122466.6666667,274122466.6666667,119105200.0,157543066.6666667,157543066.6666667,0.1249341,0.143385,65249333.3333333,61113333.3333333,61113333.3333333,34964600.0,112550933.3333333,112550933.3333333,6.8189115,None
TLV:ACCL,ACCEL SOLUTIONS GR,Technology,Israel,782042086276.8821,54300466.6666667,-2694666.6666667,-139257266.6666667,73053000.0,1048000.0,-12888000.0,1048000.0,-12888000.0,73053000.0,54300466.6666667,-2694666.6666667,73053000.0,1048000.0,1048000.0,73053000.0,0.5373688,0.5373688,139.33333,139.33333,139.33333,0.8348552,46.4444433,9.5754386,9.3558737,4295986.0263411,4493000.0,3633800.0,4493000.0,0.01434,0.0,0.0,0.0,0.0,0.0181943,0.40306,0.13335,0,0.012,166.9,7.19e-05,2.1353767,118586000,1048000,0.0088375,25,39249455,6098868091,41920.0,-0.5409642,0.463,-0.5409642,27.754089,-0.5409642,27.754089,-0.5409642,0.1959036,7.2857723,27.2421697,-115.1656416,388.2518359,-630000.0,-6969000.0,160.5117824,56320.0676068,56320.0676068,1.3590111,0.8127669,0.8127669,0.9025358,USD,ILS,1.0,0.3075952,64.3205,173.616,4.602,47.5795,0.0263089,138.7,299,201.56761,-17.1989984,20.331651,-44.180602,0.3518403,0.3528403,3.9683596,2.3961256,0.6177155,0.2421331,0.0037273,0.0288258,2.4546855,2.0880627,2.4061256,0.2521331,0.0388258,2.0980627,2.2520942,48098400.0,98767200.0,98767200.0,25943866.6666667,52459333.3333333,52459333.3333333,0.1106108,0.1199774,14586866.6666667,34133266.6666667,34133266.6666667,19959600.0,40380600.0,40380600.0,9.5778901,None
TLV:ACE,ACE CAPITAL RETAIL,Consumer Cyclical,Israel,4099654.3110795,624690800.0,24388000.0,67006933.3333333,740705000.0,38497000.0,300433000.0,38497000.0,300433000.0,740705000.0,624690800.0,24388000.0,740705000.0,38497000.0,38497000.0,740705000.0,0.3094408,0.3094408,9.885518,9.885518,9.885518,0.1650584,9.885518,3.05319,2.6715376,100060608.0999396,125076000.0,90677866.6666667,125076000.0,0.05197,0.0,0.0,0.0,0.0,0.0396971,0.81862,0.013,0,1.747,1756,0.0009949,2.9420786,23015000,38497000,1.6726917,990,229127300,12225956904,38885.8585859,-0.562,0.054,1.8116008,0.1130006,1.8116008,0.1130006,0.0314002,2.02201,0.0687502,2.872025,314.8234798,314.8234798,101393266.6666667,129238000.0,2.2597881,1.7729097,1.7729097,6.4868547,5.031077,5.031077,2.2440062,USD,ILS,1.0,0.3075952,36.3477,86.8998,0,0,-0.1622137,1600,2198,1913.6691,-8.2390994,9.75,-20.1091902,0.5217391,0.5227391,1.1623782,1.2026306,0.145016,0.1644158,0.0,0.0,0.7511749,0.7949756,1.2126306,0.1744158,0.01,0.8049756,1.0088031,657340000.0,787400800.0,787400800.0,87605933.3333333,132533533.3333333,132533533.3333333,0.1488912,0.3904699,-65869733.3333333,-61441400.0,-61441400.0,569734066.6666666,654867266.6666666,654867266.6666666,3.6058569,None
TLV:ACKR,ACKERSTEIN GROUP L,Basic Materials,Israel,17923970.6600166,677903000.0,66501428.5714286,599592666.6666666,628905000.0,32549000.0,1124412000.0,32549000.0,1124412000.0,628905000.0,677903000.0,66501428.5714286,628905000.0,32549000.0,32549000.0,628905000.0,0.4826169,0.4826169,13.899614,13.899614,13.899614,0.4917628,13.899614,3.3755497,3.3937722,91579761.7094952,90591000.0,100188857.1428571,90591000.0,0.10364,0.0,0.0,0.0,0.0,0.0692229,0.08695,0.73914,0,0.259,359.6,0.0007202,1.1730205,287510016,67101000,0.2333867,561,312469653,31837213574,119609.6256684,-0.379,-0.075,-0.1476352,-0.041651,-0.1476352,-0.041651,-0.3211588,0.2178841,-0.0666627,0.2433337,-43.279566,2310.5592124,91234428.5714286,61052000.0,3.4249094,5.1180904,5.1180904,0.8635323,0.815959,0.815959,0.9043045,USD,ILS,1.0,0.3075952,0,0,0,0,-0.1536832,355.1,499,422.76862,-14.941653,1.2672487,-27.9358717,0.0625434,0.0635434,2.16738,2.2275795,0.4948272,0.0027272,2.2333462,2.1633494,1.4945437,1.5066915,2.2375795,0.0127272,2.1733494,1.5166915,1.8771355,1309235333.3333333,1445623333.3333333,1445623333.3333333,706919000.0,762721571.4285715,762721571.4285715,0.1225155,0.1426748,151716333.3333333,177123000.0,177123000.0,602316333.3333334,649569000.0,649569000.0,5.593545,None
TLV:ADGR,ADGAR INVEST & DEV,Real Estate,Israel,43422815624.02618,73856457.9021867,13842850.3300267,259039800.7166933,77977536.3664,7560997.6112,1040106715.6128,7560997.6112,1040106715.6128,77977536.3664,73856457.9021867,13842850.3300267,77977536.3664,7560997.6112,7560997.6112,77977536.3664,4.8350889,4.8350889,42.144653,42.144653,42.144653,1.3297391,42.144653,6.0796191,6.0796275,201616558.1583607,201616000.0,184934000.0,201616000.0,0.09696,0.0488465,1.0,1.8467616,9.99,1.0999733,0.21524,0.51399,0,0.159,666.4,0.0002386,0.8377296,163544992,24581000,0.1503011,116,1225755276,33709817717,211905.1724138,-0.2025248,0.165,-0.2025248,0.0078743,-0.2025248,0.0078743,-0.2025248,0.2297475,0.1257186,3.7956816,-208.0962805,480.5467918,25015651.2859733,26347682.0464,48.9995348,46.5223193,46.5223193,2.8738649,2.9047685,2.9047685,1.7053381,ILS,ILS,0.3075952,0.3075952,7.7043,7.3374,7.2151,6.9655,0.5458131,400,708.1,638.48663,4.3718018,66.6,-5.8889987,1.7293087,26.7445384,1.3551002,1.3450967,0.7054921,0.2536807,19.2696437,18.9297521,0.9694012,1.0264692,1.3550967,0.2636807,18.9397521,1.0364692,1.1957829,1443479514.557227,1527282862.9989333,1527282862.9989333,372950587.8407467,390967094.90784,390967094.90784,0.1049506,0.1193392,-16947200.0,14387933.3333333,14387933.3333333,1065444767.6810668,1135779158.01152,1135779158.01152,4.388549,None
TLV:ADKA,ADIKA STYLE LTD,Consumer Cyclical,Israel,1e+50,176013666.6666667,4285066.6666667,5358666.6666667,226621000.0,-20782000.0,-3233000.0,-20782000.0,-3233000.0,226621000.0,176013666.6666667,4285066.6666667,226621000.0,-20782000.0,-20782000.0,226621000.0,0.2651471,0.2651471,57.7212799,57.7212799,57.7212799,0.1588734,57.7212799,-60.6297823,3458.8150981,-1661500.3779635,-2332000.0,19746800.0,-2332000.0,-0.0917,0.0,0.0,0.0,0.0,-0.0031,0.12767,0.55053,0,-0.989,440.1,-0.0022472,3.11288,27208300,-20782000,-0.763811,451,60084160,3600405261,-46079.8226164,2.6341604,-0.005,2.6341604,0.4470953,2.6341604,0.4470953,2.6341604,16.4800968,0.1080238,3.5366978,21.9125909,21.9125909,16190466.6666667,213000.0,3.7110827,282.0852585,282.0852585,2.9695346,4.2101402,4.2101402,2.0528626,USD,ILS,1.0,0.3075952,0,0,0,0,-0.3434283,420,1780,872.8676,-49.5799821,4.7857143,-75.2752809,0.0295588,0.0305588,1.4683793,1.2601783,1.0565806,0.4705659,1.8371659,2.6664132,1.3697513,1.1387561,1.2701783,0.4805659,2.6764132,1.1487561,1.2094672,158961533.3333333,180263666.6666667,180263666.6666667,45528266.6666667,36450200.0,36450200.0,1e-06,1e-06,18893533.3333333,7919666.6666667,7919666.6666667,113433266.6666667,143813466.6666667,143813466.6666667,4.0342913,effective_profit_margin          <= 0   |
TLV:AFHL,AFCON HOLDINGS LTD,Technology,Israel,1870.7904634,517686556.2868267,3021056.5099733,103063032.26912,580575174.168,32893615.4976,443503678.3584,32893615.4976,443503678.3584,580575174.168,517686556.2868267,3021056.5099733,580575174.168,32893615.4976,32893615.4976,580575174.168,0.17779,0.17779,8.935453,8.935453,8.935453,0.1528875,2.9784843,1.9759916,1.9029924,183234519.9252802,196773000.0,59031933.3333333,196773000.0,0.05666,0.0376841,7.77,0.058741,1.0,0.0651383,0.23166,0.63121,0,20.76,18320,0.0011332,1.7237535,5057400,106938000,21.144857,1209,335317943,28856972207,88451.6129032,0.207,0.19,0.2770422,0.0441587,0.2770422,0.0441587,0.2245105,4.9882543,0.1535397,4.1684138,39.7997041,39.7997041,19417582.6967467,60632243.0384,17.2687789,5.5303569,5.5303569,2.6974903,2.608644,2.608644,1.6161297,ILS,ILS,0.3075952,0.3075952,949.1046,215.99013,323.9852,323.9852,0.8536881,9600,21920,19278.803,-4.9733534,90.8333333,-16.4233577,1.4155844,8.0466412,1.3749333,1.3866969,0.2893463,0.1556796,3.3487037,2.8601903,1.5770729,1.630201,1.3966969,0.1656796,2.8701903,1.640201,1.518449,538481058.1368533,591562044.07872,591562044.07872,145159075.8968534,163750909.0260267,163750909.0260267,0.1556047,0.3008759,451985733.3333333,520320200.0,520320200.0,391912314.4510934,426566379.3036801,426566379.3036801,6.6856815,None
TLV:AFID,None,None,Unknown,1e+50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,10000.0,10000000000000.0,10000.0,0.0,10000.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,1.23e-05,0,0,0,0.0,10000.0,100000000,0,0.0,10000000,0,0,0.0,-0.9,-0.9,-0.9,-0.9,0,0,-0.9,0.16,-0.9,0.16,-11111.1111111,9.0,0,0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,0.0,0.0,USD,USD,1.0,1.0,1992.123,2458.831,1844.0001,1299.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,1e-06,1e-06,0.0,0.0,0.0,0,0,0.0,1e-05,None
TLV:AFPR,AFI PROPERTIES,Real Estate,Israel,2892669.1146159,282069186.7581867,54042077.39744,752203842.3421867,327894945.224,118239287.2848,3191051970.6736,118239287.2848,3191051970.6736,327894945.224,282069186.7581867,54042077.39744,327894945.224,118239287.2848,118239287.2848,327894945.224,3.7569678,3.7569678,14.824423,14.824423,14.824423,1.6671667,14.824423,8.5683719,8.3064133,497831834.5778288,528272000.0,384084733.3333333,528272000.0,0.3606,0.326404,2.75,0.8780077,2.75,0.6613764,0.03064,0.72614,0,10.793,16090,0.0006708,1.3209276,36110600,384399008,10.6450463,296,4004785640,177719146531,1298645.2972973,2.111,0.185,-0.4547347,0.0704583,-0.4547347,0.0704583,1.4695663,12.3725671,0.1563646,4.2042962,10.0876175,10.0876175,96540619.5975467,146995439.7472,41.482908,27.2442849,27.2442849,1.9195086,2.0759504,2.0759504,1.4418159,ILS,ILS,0.3075952,0.3075952,699.04755,262.25336,355.3014,322.38956,1.0024891,7788,17200,14631.057,9.9715489,106.5998973,-6.4534884,1.7641309,30.1428864,1.5316894,1.4845932,0.3894922,0.6720041,14.9705065,15.984792,0.6443368,0.6819763,1.4945932,0.6820041,15.994792,0.6919763,1.0932847,3615141736.971307,4096051862.53824,4096051862.53824,1230562670.7885866,1329708990.8443732,1329708990.8443732,0.1288666,0.1889212,-740301533.3333334,-606289133.3333334,-606289133.3333334,2365521246.8318934,2760211740.62304,2760211740.62304,6.3265963,None
