"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:ABRA,ABRA TECH,Technology,Israel,369246461.2712131,18581400.0,-12050466.6666667,-39289933.3333333,103189000.0,6835000.0,-167260000.0,6835000.0,-167260000.0,103189000.0,18581400.0,-12050466.6666667,103189000.0,6835000.0,6835000.0,103189000.0,0.5635144,0.5635144,34.054053,34.054053,34.054053,0.848276,11.351351,-46.1980307,8.5096088,3722501.5613452,8704000.0,-4912466.6666667,8704000.0,0.06624,0.0,0.0,0.0,0.0,0.0478514,0.39573,0.0938,0,0.111,380,0.0002921,1.2949641,75283400,6835000,0.0907903,650,58163176,8753275328,10515.3846154,-0.863,11.99,-0.5048293,7.2139752,-0.5048293,7.2139752,-0.7734573,0.1726543,10.7959938,33.1072576,-44.0283538,2271.2636591,5831066.6666667,4187000.0,9.9747061,13.8913724,13.8913724,0.2857437,0.6777533,0.6777533,0.8242578,USD,ILS,1.0,0.3075952,28.765402,241.88435,159.01178,105.64151,-0.011475,281.8292,457,379.53577,0.1223152,34.8334381,-16.8490153,1.120858,1.9829131,19.1070825,2.8399083,0.308723,0.0095012,0.114232,0.1139259,10.604971,2.469171,2.8499083,0.0195012,0.1239259,2.479171,2.6645397,153838800.0,274122466.6666667,274122466.6666667,119105200.0,157543066.6666667,157543066.6666667,0.1249341,0.143385,65249333.3333333,61113333.3333333,61113333.3333333,34964600.0,112550933.3333333,112550933.3333333,6.8189115,None
TLV:ADGR,ADGAR INVEST & DEV,Real Estate,Israel,43422815624.02618,73856457.9021867,13842850.3300267,259039800.7166933,77977536.3664,7560997.6112,1040106715.6128,7560997.6112,1040106715.6128,77977536.3664,73856457.9021867,13842850.3300267,77977536.3664,7560997.6112,7560997.6112,77977536.3664,4.8350889,4.8350889,42.144653,42.144653,42.144653,1.3297391,42.144653,6.0796191,6.0796275,201616558.1583607,201616000.0,184934000.0,201616000.0,0.09696,0.0488465,1.0,1.8467616,9.99,1.0999733,0.21524,0.51399,0,0.159,666.4,0.0002386,0.8377296,163544992,24581000,0.1503011,116,1225755276,33709817717,211905.1724138,-0.2025248,0.165,-0.2025248,0.0078743,-0.2025248,0.0078743,-0.2025248,0.2297475,0.1257186,3.7956816,-208.0962805,480.5467918,25015651.2859733,26347682.0464,48.9995348,46.5223193,46.5223193,2.8738649,2.9047685,2.9047685,1.7053381,ILS,ILS,0.3075952,0.3075952,7.7043,7.3374,7.2151,6.9655,0.5458131,400,708.1,638.48663,4.3718018,66.6,-5.8889987,1.7293087,26.7445384,1.3551002,1.3450967,0.7054921,0.2536807,19.2696437,18.9297521,0.9694012,1.0264692,1.3550967,0.2636807,18.9397521,1.0364692,1.1957829,1443479514.557227,1527282862.9989333,1527282862.9989333,372950587.8407467,390967094.90784,390967094.90784,0.1049506,0.1193392,-16947200.0,14387933.3333333,14387933.3333333,1065444767.6810668,1135779158.01152,1135779158.01152,4.388549,None
TLV:AFHL,AFCON HOLDINGS LTD,Technology,Israel,1870.7904634,517686556.2868267,3021056.5099733,103063032.26912,580575174.168,32893615.4976,443503678.3584,32893615.4976,443503678.3584,580575174.168,517686556.2868267,3021056.5099733,580575174.168,32893615.4976,32893615.4976,580575174.168,0.17779,0.17779,8.935453,8.935453,8.935453,0.1528875,2.9784843,1.9759916,1.9029924,183234519.9252802,196773000.0,59031933.3333333,196773000.0,0.05666,0.0376841,7.77,0.058741,1.0,0.0651383,0.23166,0.63121,0,20.76,18320,0.0011332,1.7237535,5057400,106938000,21.144857,1209,335317943,28856972207,88451.6129032,0.207,0.19,0.2770422,0.0441587,0.2770422,0.0441587,0.2245105,4.9882543,0.1535397,4.1684138,39.7997041,39.7997041,19417582.6967467,60632243.0384,17.2687789,5.5303569,5.5303569,2.6974903,2.608644,2.608644,1.6161297,ILS,ILS,0.3075952,0.3075952,949.1046,215.99013,323.9852,323.9852,0.8536881,9600,21920,19278.803,-4.9733534,90.8333333,-16.4233577,1.4155844,8.0466412,1.3749333,1.3866969,0.2893463,0.1556796,3.3487037,2.8601903,1.5770729,1.630201,1.3966969,0.1656796,2.8701903,1.640201,1.518449,538481058.1368533,591562044.07872,591562044.07872,145159075.8968534,163750909.0260267,163750909.0260267,0.1556047,0.3008759,451985733.3333333,520320200.0,520320200.0,391912314.4510934,426566379.3036801,426566379.3036801,6.6856815,None
TLV:AFRE,AFRICA ISRAEL RESI,Real Estate,Israel,2859286386767.465,1262028800.0,103345466.6666667,837673666.6666666,1319077000.0,114008000.0,3364303000.0,114008000.0,3364303000.0,1319077000.0,1262028800.0,103345466.6666667,1319077000.0,114008000.0,114008000.0,1319077000.0,0.9169413,0.9169413,18.019692,18.019692,18.019692,0.4857479,18.019692,8.5659111,8.5667559,141122833.5248492,141095000.0,140603400.0,141095000.0,0.08767,0.0,0.0,0.0,0.0,0.0600971,0.38243,0.50881,0,9.14,16230,0.0005632,1.9100081,12643500,115608000,9.1436707,54,1209084069,64053145997,2140888.8888889,0.185,0.083,-0.0037277,0.1047708,-0.0037277,0.1047708,0.1378181,3.9623858,0.0884427,3.2239318,130.7498353,130.7498353,-58948600.0,-23682000.0,487.5475699,510549.8141337,510549.8141337,2.4798428,2.5503548,2.5503548,1.597983,USD,ILS,1.0,0.3075952,118.6376,474.5507,395.4589,395.4589,0.6761334,8901,18830,16750.846,-3.1093713,82.339063,-13.8077536,1.4762816,10.3517849,1.4038138,1.3925358,0.3425064,0.476872,26.8335049,22.9360271,1.1846965,1.0619143,1.4025358,0.486872,22.9460271,1.0719143,1.2372251,3752019266.6666665,3853513200.0,3853513200.0,1079275666.6666667,1085339933.3333333,1085339933.3333333,0.1295855,0.2050436,275594800.0,98660600.0,98660600.0,2672743600.0,2768173266.6666665,2768173266.6666665,3.9496369,None
TLV:ALHE,ALONY HETZ,Real Estate,Israel,13450.6728253,448880709.0369067,161401722.45824,1185928372.0768,433728610.4976,188884061.6784,5089297003.1024,188884061.6784,5089297003.1024,433728610.4976,448880709.0369067,161401722.45824,433728610.4976,188884061.6784,188884061.6784,433728610.4976,5.3496957,5.3496957,13.687341,13.687341,13.687341,1.8314397,13.687341,6.584998,6.5747498,1149121257.1001496,1152698000.0,1237371933.3333333,1152698000.0,0.43549,0.8101439,2.75,1.8157422,2.75,1.3412495,0.43074,0.1512,0,3.531,4798,0.0007359,1.2390719,173714000,614067008,3.534931,10000000,7543408382,258244546580,61.4067008,83.124,0.188,-0.1639747,0.0004118,-0.1639747,0.0004118,62.3020063,79.18162,0.141103,4.0063673,0.2196934,0.2196934,218011994.2058667,230103356.4544,34.600887,32.782696,32.782696,2.4385446,2.5938518,2.5938518,1.6115439,ILS,ILS,0.3075952,0.3075952,31.0,30.0,50.0,29.0,0.301682,3402,5243,4582.2534,4.7083079,41.0346855,-8.4875072,1.5165671,12.1666146,1.6194681,1.592565,0.9108071,0.5669367,0.0976382,0.0790958,1.1141281,1.1235015,1.602565,0.5769367,0.0890958,1.1335015,1.3680333,7590943336.832534,8439085404.332586,8439085404.332586,1919849227.37696,2043000625.44864,2043000625.44864,0.1223821,0.1924542,197925600.0,221804866.6666667,221804866.6666667,4700817430.576961,5299404743.960214,5299404743.960214,5.5330903,None
TLV:ALMA,ALMOGIM HOLDINGS,Real Estate,Israel,145735.4837545,169875933.3333333,12547400.0,96243714.2857143,204836000.0,17258000.0,409519000.0,17258000.0,409519000.0,204836000.0,169875933.3333333,12547400.0,204836000.0,17258000.0,17258000.0,204836000.0,0.8508083,0.8508083,14.60177,14.60177,14.60177,0.3700056,14.60177,6.99533,6.9019349,25596518.5120042,26280000.0,29701800.0,26280000.0,0.08425,0.0,0.0,0.0,0.0,0.0581429,0.01,0.76234,0,0.452,670.8,0.0006738,1.6988417,37333400,17258000,0.462267,87,174274916,7579158957,198367.816092,1.876,0.791,-0.2676776,0.0869431,-0.2676776,0.0869431,1.3400806,11.8261851,0.6149858,8.0921028,10.8961878,10.8961878,1230400.0,57313000.0,141.6408617,3.0407572,3.0407572,4.4249954,3.628129,3.628129,1.9057648,USD,ILS,1.0,0.3075952,9.3749,16.071,0,0,1.1631732,299,737,572.78735,17.1115249,124.3478261,-8.9823609,1.6977169,23.9437199,1.230915,1.2760585,0.9663053,0.3053817,25.2399456,30.0304717,1.6116967,1.6199366,1.2860585,0.3153817,30.0404717,1.6299366,1.4579976,621381714.2857143,657801066.6666666,657801066.6666666,117660714.2857143,142200733.3333333,142200733.3333333,0.1262359,0.2213636,182723142.8571429,184423800.0,184423800.0,503721000.0,515600333.3333333,515600333.3333333,3.2353717,None
TLV:ALMD,ALLMED SOLUTIONS,Healthcare,Israel,18444810198.09236,3047263.6210133,-909271.9175467,-67192387.38784,3331256.016,213163.4736,-264971117.9456,213163.4736,-264971117.9456,3331256.016,3047263.6210133,-909271.9175467,3331256.016,213163.4736,213163.4736,3331256.016,1.1811656,1.1811656,90.0,90.0,90.0,1.2363757,90.0,-1.0052211,60.012987,-12090066.0954712,-11454000.0,-12747133.3333333,-11454000.0,0.06399,-0.4363968,0.0,0.9352183,1.0,0.5003509,0.01,0.36005,0,0.006,53.8,0.0001115,0.7929516,80613104,693000,0.0085966,40,12792576,1338994958,17325.0,-0.2679837,0.26,-0.2679837,0.0135429,-0.2679837,0.0135429,-0.2679837,0.2232016,0.1983857,4.7040513,-335.8413042,297.7596821,-3492579.4452267,-1928006.7136,2730.1610201,66351.3082323,66351.3082323,0.1966132,0.1182408,0.1182408,0.3448615,ILS,ILS,0.3075952,0.3075952,0,0,0,0,0.0074906,50.6,87,59.63169,-9.7795149,6.3241107,-38.1609195,0.1758242,0.1768242,6.4727213,9.8688536,57.1639439,25.7469194,0.3758619,0.7060819,6.0592165,7.5255854,9.8788536,25.7569194,0.7160819,7.5355854,8.7072195,17588929.2327467,19080745.4464,19080745.4464,14859698.5421867,16675966.1728,16675966.1728,0.1111717,0.1127827,33944733.3333333,34341000.0,34341000.0,2805350.2493867,1956736.10528,1956736.10528,19.7833748,None
TLV:ALRPR,ALROV PROPERTIES,Real Estate,Israel,216460170428.311,271945593.02944,23080980.0097067,1012013184.73024,218815227.8048,48513299.7536,4063743231.592,48513299.7536,4063743231.592,218815227.8048,271945593.02944,23080980.0097067,218815227.8048,48513299.7536,48513299.7536,218815227.8048,4.8664637,4.8664637,22.614685,22.614685,22.614685,1.5381259,22.614685,9.6664868,9.6665022,358131142.9389678,358130000.0,326733666.6666667,358130000.0,0.22171,-0.1248229,0.0,0.2469798,1.0,0.1966452,0.00494,0.9199,0,6.823,15330,0.0004451,0.791136,23053900,157718000,6.841272,1042,3461880998,109418279689,151360.8445298,-0.6333176,1.016,-0.6333176,-0.2404619,-0.6333176,-0.2404619,-0.6333176,0.1866682,0.7018845,8.6278549,-35.7082862,2800.4704436,54097854.6603733,44593306.5248,63.9929443,77.6323011,77.6323011,2.0241781,2.1233816,2.1233816,1.4581828,ILS,ILS,0.3075952,0.3075952,42.0,62.5,103.4,101.0,0.4655832,9456,17340,15354.014,-0.1564021,62.1192893,-11.5916955,1.4901065,10.9472222,1.5453788,1.5200669,0.0847154,0.0974683,7.1223737,7.8506554,0.4542626,0.4052924,1.5300669,0.1074683,7.8606554,0.4152924,0.9726797,4322234385.003627,4430962316.04576,4430962316.04576,1383233549.5709867,1372878459.69472,1372878459.69472,0.1109487,0.1353369,-1017652600.0,-1214171666.6666667,-1214171666.6666667,2797398810.9349337,2915037918.465493,2915037918.465493,4.8777797,None
TLV:ARAN,ARAN RESEARCH&DEVE,Industrials,Israel,1201.3817041,109497333.3333333,3867666.6666667,34586466.6666667,161499000.0,7571000.0,78900000.0,7571000.0,78900000.0,161499000.0,109497333.3333333,3867666.6666667,161499000.0,7571000.0,7571000.0,161499000.0,0.1860951,0.1860951,13.12258,13.12258,13.12258,0.1892701,13.12258,3.2251357,4.8377035,4657142.5846447,0,6896400.0,0,0.04688,0.0,0.0,0.0,0.0,0.0367886,0.20563,0.56903,0,1.55,2074,0.0007473,1.524852,4885640,7571000,1.5496434,141,30039833,3056693961,53695.035461,4.345,1.834,0.010994,-0.1442952,0.010994,-0.1442952,3.2614985,18.3096194,1.3394262,11.8233582,4.0234818,4.0234818,15156000.0,3789000.0,1.9820423,7.9281693,7.9281693,1.300899,1.6086459,1.6086459,1.2693241,USD,ILS,1.0,0.3075952,61.4044,25.5851,40.9362,20.4681,0.5664653,1291,2380,2082.4365,-0.4051264,60.6506584,-12.8571429,1.4380165,8.8426669,1.8537293,1.6363643,0.2056841,0.2567449,6.9220519,10.622454,1.4576827,1.4554544,1.6463643,0.2667449,10.632454,1.4654544,1.5559093,133913600.0,166138666.6666667,166138666.6666667,57305866.6666667,62476000.0,62476000.0,0.1455704,0.2211825,23791666.6666667,33914333.3333333,33914333.3333333,74832066.6666667,101557333.3333333,101557333.3333333,4.4758608,None
TLV:ARD,ARAD LTD,Technology,Israel,1303936.1213329,242485000.0,16759333.3333333,93550333.3333333,270494000.0,18550000.0,402416000.0,18550000.0,402416000.0,270494000.0,242485000.0,16759333.3333333,270494000.0,18550000.0,18550000.0,270494000.0,1.3066644,1.3066644,60.8,60.8,60.8,1.2823989,20.2666667,11.2512172,10.9067106,33465599.9507901,35515000.0,32943733.3333333,35515000.0,0.06858,0.1826203,2.75,0.1998264,2.75,0.1861609,0.19479,0.57996,0,0.75,4530,0.0001656,8.7155963,24730700,18550000,0.7500799,998,353470489,34688122665,18587.1743487,0.488,0.2,0.0916898,0.0812138,0.0916898,0.0812138,0.3889224,6.4863647,0.1703035,4.376784,156.3293674,156.3293674,22098266.6666667,33773000.0,15.9953943,10.4660673,10.4660673,1.2022541,1.1657781,1.1657781,1.080712,USD,ILS,1.0,0.3075952,40.8,10.1,14.15,12.13,0.0522648,4079,5395,4598.2886,-1.4850873,11.0566315,-16.0333642,0.6854103,0.6864103,1.8435021,1.8638425,0.0811348,0.0304742,1.0376292,0.618524,2.0587803,2.2241583,1.8738425,0.0404742,0.628524,2.2341583,2.0540004,269592333.3333333,282551466.6666667,282551466.6666667,121907266.6666667,130105866.6666667,130105866.6666667,0.1656518,0.2425762,97242600.0,109756400.0,109756400.0,146922933.3333333,151616866.6666667,151616866.6666667,11.877754,None
