"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,annualized_retained_earnings,quarterized_revenue,quarterized_earnings,quarterized_retained_earnings,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_net_income,quarterized_total_revenue,quarterized_net_income,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,quarterized_total_assets,effective_total_assets,annualized_total_stockholder_equity,quarterized_total_stockholder_equity,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,quarterized_total_liabilities,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:DUNI,DUNIEC BROS,Real Estate,Israel,0.0021585,71651677.0276267,14128995.8914133,93705904.2597333,137454759.4288,33843777.0704,404718999.5904,33843777.0704,404718999.5904,137454759.4288,71651677.0276267,14128995.8914133,137454759.4288,33843777.0704,33843777.0704,137454759.4288,0.4484738,0.4484738,7.9733453,7.9733453,7.9733453,0.0046178,7.9733453,1.3534189,1.3538379,147949603.6363636,147858000.0,63957933.3333333,147858000.0,0.24622,0.9237679,4.75,21.5967464,89.285625,12.6501059,0.03857,0.42147,0,21.76,17260,0.0012607,2.0272481,3866740,110027000,28.454719,42,200361764,206357144,2619690.4761905,13.407,7.882,-0.1656159,-0.1337305,-0.1656159,-0.1337305,10.013846,31.8946615,5.8780674,24.494726,0.7962321,0.7962321,8226244.0034133,88535741.6064,24.3564092,2.2630608,2.2630608,1.6586177,1.2628016,1.2628016,1.1247445,ILS,ILS,0.3075952,0.3075952,0,0,0,0,17260,56.14,17980,95.6,17954.3933054,30644.5671535,-1.7683993,1.9196602,50.04332,1.6274212,1.8284566,0.6572112,0.4978778,8.1993441,7.1862133,1.2943549,1.4159449,1.8384566,0.5078778,7.1962133,1.4259449,1.6322008,220113669.1693867,216472767.31872,216472767.31872,84401559.5866667,96379029.5858133,96379029.5858133,0.256342,0.4511529,123864066.6666667,143626866.6666667,143626866.6666667,135712109.58272,120093737.7329067,120093737.7329067,2.7083194,None
TLV:ILX,ILEX MEDICAL,Healthcare,Israel,6.3121184,790892000.0,89157400.0,269406066.6666667,1059234000.0,145703000.0,1208118000.0,145703000.0,1208118000.0,1059234000.0,790892000.0,89157400.0,1059234000.0,145703000.0,145703000.0,1059234000.0,0.3082104,0.3082104,8.4948517,8.4948517,8.4948517,0.0032696,8.4948517,1.5385912,1.5189807,217662456.417433,223211000.0,147127533.3333333,223211000.0,0.13755,0.0,0.0,0.0,0.0,0.0886,0.12716,0.61936,0,13.208,11180,0.0011814,2.9897678,10035000,145703008,14.5194826,240,326356597,346329753,607095.8666667,1.744,0.658,0.6897633,0.3095209,0.6897633,0.3095209,1.4804408,12.4173367,0.5708802,7.8056617,5.7380555,5.7380555,132796266.6666667,208369000.0,2.4575736,1.5662435,1.5662435,0.9712772,0.8722435,0.8722435,0.9349398,USD,ILS,1.0,0.3075952,0,0,0,0,11180,61.28,11270,99.88,11093.4321185,18144.1253264,-0.7985803,1.9839411,60.977921,2.2827232,2.1575857,0.1770786,0.1026004,2.5352827,2.2443052,2.0259397,1.8809498,2.1675857,0.1126004,2.2543052,1.8909498,2.0292677,674203266.6666666,791093133.3333334,791093133.3333334,332096666.6666667,422876066.6666667,422876066.6666667,0.2841793,0.4445525,239615333.3333333,268231466.6666667,268231466.6666667,294514733.3333333,368217066.6666667,368217066.6666667,2.3143334,None
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,Israel,10.0078953,495437466.6666667,69362333.3333333,40491200.0,537167000.0,76178000.0,208616000.0,76178000.0,208616000.0,537167000.0,495437466.6666667,69362333.3333333,537167000.0,76178000.0,76178000.0,537167000.0,0.3851092,0.3851092,6.94948,6.94948,6.94948,0.00293,6.94948,1.9086282,1.8857276,111064784.6897663,113730000.0,103019600.0,113730000.0,0.14181,0.0,0.0,0.0,0.0,0.0910343,0.04992,0.69952,0,62.609,43620,0.0014353,7.569458,1176000,76178000,64.7772109,199,206894476,157389573,382804.0201005,0.271,0.141,0.0502436,0.0667107,0.0502436,0.0667107,0.2158109,4.8955451,0.1224277,3.7489666,32.2017108,32.2017108,69500533.3333333,61222000.0,2.9768761,3.3794139,3.3794139,4.1109098,3.4740049,3.4740049,1.8648683,USD,ILS,1.0,0.3075952,0,0,0,0,43620,43140,44720,43620,0.0,1.1126565,-2.4597496,0.6075949,0.6085949,1.2449222,1.2985627,1.4256588,0.8981938,2.3017417,2.6429748,1.1413942,1.2021448,1.3085627,0.9081938,2.6529748,1.2121448,1.2603537,254928933.3333333,296593800.0,296593800.0,49821866.6666667,67779666.6666667,67779666.6666667,0.3568429,1.2239064,26207000.0,41033400.0,41033400.0,205107066.6666667,228814133.3333333,228814133.3333333,2.147164,None
TLV:XENA,XENIA VENTURE,Financial Services,Israel,104.2042593,39834066.6666667,30590533.3333333,2463533.3333333,72390000.0,62165000.0,161824000.0,62165000.0,161824000.0,72390000.0,39834066.6666667,30590533.3333333,72390000.0,62165000.0,62165000.0,72390000.0,0.6336461,0.6336461,2.2598871,2.2598871,2.2598871,0.6035647,2.2598871,0.6502563,0.9753844,35270111.6367077,0,762428.5714286,0,0.85875,0.0,0.0,0.0,0.0,0.5007143,0.0462,0.71661,0,1.239,279.3,0.0044361,1.1829319,50730000,62165000,1.225409,1,45869221,4369205140,62165000.0,0.3738957,1425.7188003,0.3738957,1425.7188003,0.3738957,1425.7188003,0.3738957,6.3647015,1425.7188003,377.8369172,6.0441638,6.0441638,-1397200.0,-1361000.0,304.6051277,337025.8725749,337025.8725749,0.0749346,0.0884855,0.0884855,0.2984652,USD,ILS,1.0,0.3075952,0,0,0,0,279.3,170.4296,335,295.00696,-5.3242676,63.8799833,-16.6268657,1.323086,5.3644912,14.6978228,12.4256798,0.6504065,0.1626016,0.0826999,0.07577,4.5120618,1.3083078,12.4356798,0.1726016,0.08577,1.3183078,6.8769938,98557200.0,134583600.0,134583600.0,91430866.6666667,123559400.0,123559400.0,0.5619062,0.6031183,2949333.3333333,699600.0,699600.0,7126333.3333333,11024200.0,11024200.0,15.5206134,None
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,Israel,286.1592654,413584533.3333333,46578200.0,378865133.3333333,451895000.0,72880000.0,1704441000.0,72880000.0,1704441000.0,451895000.0,413584533.3333333,46578200.0,451895000.0,72880000.0,72880000.0,451895000.0,0.3967978,0.3967978,3.956825,3.956825,3.956825,0.3969405,3.956825,3.2881927,3.2599546,55504683.4424696,56458000.0,54496000.0,56458000.0,0.16128,0.0,0.0,0.0,0.0,0.10216,0.1093,0.71197,0,5.196,6697,0.0007759,0.4702899,100000000,72882000,0.72882,181,179375405,179375405,402662.9834254,0.09,0.098,0.3111844,0.1449376,0.3111844,0.1449376,0.1452961,4.0617726,0.1097344,3.5626183,27.2328367,27.2328367,38293133.3333333,55591000.0,4.6842708,3.2266987,3.2266987,0.0762719,0.0759415,0.0759415,0.2765749,USD,ILS,1.0,0.3075952,0,0,0,0,6697,6620,6710,6697,0.0,1.163142,-0.1937407,1.7111111,25.0997426,14.5273455,14.2213591,0.9789128,1.4964895,1.3621106,0.6431204,14.4289554,15.3990072,14.2313591,1.5064895,0.6531204,15.4090072,14.8201832,570538133.3333334,656363333.3333334,656363333.3333334,529913800.0,610068533.3333334,610068533.3333334,0.2110361,0.219462,485277000.0,558363400.0,558363400.0,40624333.3333333,46294800.0,46294800.0,2.8193383,None
TLV:BKRY,BIKUREY HASADE HOL,Consumer Defensive,Israel,327.5880543,808247266.6666666,65639333.3333333,85902000.0,1282317000.0,41679000.0,337674000.0,41679000.0,337674000.0,1282317000.0,808247266.6666666,65639333.3333333,1282317000.0,41679000.0,41679000.0,1282317000.0,0.2442306,0.2442306,6.6904767,6.6904767,6.6904767,0.2743268,6.6904767,4.0436465,4.0013038,88855123.3835387,90716000.0,56819866.6666667,90716000.0,0.07084,0.0,0.0,0.0,0.0,0.05048,0.10841,0.78414,0,0.84,562.6,0.0014931,3.3794348,100000000,102091000,1.02091,1349,351773981,351773981,75679.0214974,0.537,2.343,1.3862461,1.1701854,1.3862461,1.1701854,0.7493115,8.9062783,2.0497963,14.5671099,8.9288319,8.9288319,53189200.0,102142000.0,6.6136355,3.44397,3.44397,5.2730964,4.2097206,4.2097206,2.0527604,USD,ILS,1.0,0.3075952,0,0,0,0,562.6,530,728,606.928,-7.303667,6.1509434,-22.7197802,0.3292929,0.3302929,1.4413884,1.3334705,1.5464955,1.7869045,6.5071517,1.4622085,0.6459209,0.9888437,1.3434705,1.7969045,1.4722085,0.9988437,1.1711571,605981800.0,838134428.5714285,838134428.5714285,115543333.3333333,198461066.6666667,198461066.6666667,0.1497283,0.310011,-75352266.6666667,-8160571.4285714,-8160571.4285714,489815133.3333333,636710000.0,636710000.0,1.3818337,None
TLV:SPRG,SPRING VENTURES,Financial Services,Israel,1454.1387482,4284739.61696,1389263.9739733,1259192.2170667,27025314.272,18699942.5888,44521944.4384,18699942.5888,44521944.4384,27025314.272,4284739.61696,1389263.9739733,27025314.272,18699942.5888,18699942.5888,27025314.272,0.471851,0.471851,21.49505,21.49505,21.49505,0.6399618,21.49505,0.5099928,0.5093702,81474044.0289505,81673000.0,9508200.0,81673000.0,0.69194,0.2963019,1.0,1.8463926,2.75,1.3051075,0.01,0.77936,0,1.01,2088,0.0004837,2.4737921,8419880,60794000,7.2202929,5,41449713,5622704658,12158800.0,14.774,8.832,1.2863332,1.1409514,1.2863332,1.1409514,11.4020833,34.016971,6.9092379,26.5354291,1.8851862,1.8851862,-1053185.4584533,-1313123.9088,254.0875146,315657.2874209,315657.2874209,0.0831781,0.1833385,0.1833385,0.4291805,ILS,ILS,0.3075952,0.3075952,0,0,0,0,2088,728.8,2188,1402.9762,48.8264733,186.4983535,-4.5703839,1.8629386,41.80144,16.5607022,6.8347758,2.5812438,3.4666667,10.3833095,8.2125533,24.0584187,11.2312893,6.8447758,3.4766667,8.2225533,11.2412893,9.0430326,23266418.9026133,43415770.58016,43415770.58016,21442051.2650667,36464611.21248,36464611.21248,0.5307177,0.6128244,36352800.0,32053800.0,32053800.0,1824367.6375467,6951159.36768,6951159.36768,22.2366651,None
TLV:MYDS,MYDAS REAL ESTATE,Financial Services,Israel,4918.9143719,22531600.0,8853133.3333333,-81369066.6666667,35598000.0,20644000.0,-314431000.0,20644000.0,-314431000.0,35598000.0,22531600.0,8853133.3333333,35598000.0,20644000.0,20644000.0,35598000.0,0.5625916,0.5625916,3.2466666,3.2466666,3.2466666,0.6258503,3.2466666,0.7413044,0.7412755,27012894.1908714,27015000.0,15628733.3333333,27015000.0,0.57992,0.0,0.0,0.0,0.0,0.3413829,0.01,0.70574,0,0.3,97.4,0.0030801,1.0679825,74363104,20644000,0.2776108,10000000,20023217,2227901737,2.0644,1.0593819,0.938,1.0593819,2.0032551,1.0593819,2.0032551,1.0593819,10.542628,1.2043138,11.2241231,3.06468,3.06468,-11075333.3333333,-14627000.0,5531.2456816,13689.2166126,13689.2166126,1.7627216,0.5815072,0.5815072,0.7635662,USD,ILS,1.0,0.3075952,0,0,0,0,97.4,0.895,125,93.13816,4.5758258,10782.6815642,-22.08,1.5552153,14.1495683,2.7562348,3.5969524,28.0595457,1.4175837,0.2317109,2.5702577,2.0084866,1.2137898,3.6069524,1.4275837,2.5802577,1.2237898,2.4153711,98570666.6666667,79068600.0,79068600.0,40685866.6666667,52260000.0,52260000.0,0.3610897,0.4950249,1827733.3333333,1932800.0,1932800.0,55432000.0,26808600.0,26808600.0,6.775101,None
TLV:MRHL,MERCHAVIA HOLD,Healthcare,Israel,5267.1406762,6673400.0,2891266.6666667,-7113400.0,9000000.0,3647000.0,-15906000.0,3647000.0,-15906000.0,9000000.0,6673400.0,2891266.6666667,9000000.0,3647000.0,3647000.0,9000000.0,1.5930355,1.5930355,14.0,14.0,14.0,1.3996187,14.0,2.7729707,2.7730057,5170130.338325,5170000.0,4006133.3333333,5170000.0,0.40522,0.0,0.0,0.0,0.0,0.2415543,0.06772,0.6603701,0,0.043,62.4,0.0006891,1.1968191,68026200,3647000,0.0536117,1,14336981,1259656854,3647000.0,0.742,0.745,1.1457228,0.3238612,1.1457228,0.3238612,0.8429307,9.4311257,0.6397153,8.2482204,16.6087201,16.6087201,-2214800.0,-2744000.0,1544.8161094,52248.4748997,52248.4748997,0.0330906,0.0239653,0.0239653,0.1558071,USD,ILS,1.0,0.3075952,0,0,0,0,62.4,59,113.9,74.516785,-16.2604774,5.7627119,-45.215101,0.1238616,0.1248616,31.7330232,43.8026172,1.1015682,0.2043256,14.0516388,16.5988889,9.1779586,7.3665235,43.8126172,0.2143256,16.6088889,7.3765235,25.5945704,33325733.3333333,40192400.0,40192400.0,32272266.6666667,39256000.0,39256000.0,0.1907385,0.192903,7714200.0,5715200.0,5715200.0,1053466.6666667,936400.0,936400.0,28.4146516,None
TLV:SEMG,SEACH MEDICAL,Industrials,Israel,12985.1124733,30610133.3333333,1633800.0,6448866.6666667,40134000.0,13493000.0,26032000.0,13493000.0,26032000.0,40134000.0,30610133.3333333,1633800.0,40134000.0,13493000.0,13493000.0,40134000.0,0.778831,0.778831,10.882352,10.882352,10.882352,0.9531599,10.882352,8.3106071,7.2211639,5097524.0950477,6434000.0,6451800.0,6434000.0,0.3362,0.0,0.0,0.0,0.0,0.2021143,0.04439,0.64291,0,0.034,36.9,0.0009214,1.48,336121984,13493000,0.0401432,73,31256593,3825411947,184835.6164384,0.848,0.435,0.5300739,0.3888743,0.5300739,0.3888743,0.7685185,9.0165186,0.4234686,6.7574463,14.1601696,14.1601696,-2234666.6666667,-8874000.0,714.9424783,35222.6660392,35222.6660392,0.3089266,0.1823148,0.1823148,0.4279833,USD,ILS,1.0,0.3075952,0,0,0,0,36.9,36.3,77.5,53.946156,-31.5984627,1.6528926,-52.3870968,0.0291262,0.0301262,5.0961647,6.57085,1.6873501,0.7412929,0.0,0.0,4.9759592,6.5998158,6.58085,0.7512929,0.01,6.6098158,6.5953329,74344600.0,94901600.0,94901600.0,59314400.0,80331533.3333333,80331533.3333333,0.2421788,0.2679664,40284133.3333333,55471133.3333333,55471133.3333333,15030200.0,14570066.6666667,14570066.6666667,12.6181332,None
