"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:ABIL,ABILITY,Technology,Israel,1e+50,1693200.0,0.0,-7635000.0,-298891733.3333333,0.125,1109000.0,0.0,-28976000.0,0.0,-724000000.0,0.25,-28976000.0,-724000000.0,1109000.0,1693200.0,1.0,-7635000.0,1109000.0,1.0,-28976000.0,0.25,-28976000.0,1109000.0,2.7385201,2.7385201,8662.753919,8662.753919,8662.753919,3.016136,2887.5846397,-0.4703131,212614.9087687,-6456572.2694572,-6456000.0,-6831133.3333333,-6456000.0,0,-4.6380327,0.0,-14.792537,1.0,-6.4758566,0.03946,0.35554,0,-1.009,134.7,-0.0074907,10000.0,7972390,-7244000,-0.9086359,10,3036879,334489473,-724400.0,0.1672451,-0.687,0.1672451,0.5483419,0.1672451,0.5483419,0.1672451,4.3395615,-0.3781645,0.2121835,51796.7484483,51796.7484483,-7925466.6666667,0.5,-196000.0,0.5,260974.0325883,1549428.2714922,1549428.2714922,-0.1693273,1.0,-2.0561431,1.0,-2.0561431,206.6143142,USD,ILS,1.0,0.3075952,0,0,0,0,0.8945148,71.1,380,157.9176,-14.7023511,89.4514768,-64.5526316,0.4117837,0.4127837,0.7713891,1.0,0.5088612,1.0,1.6886459,2.0,0.8032523,1.0,22.567841,3.0,1.6041667,1.0,0.7135936,1.0,0.4850303,1.0,0.5188612,0.8132523,1.6141667,0.4950303,0.5069458,16669933.3333333,1.0,13427600.0,1.0,13427600.0,-5193533.3333333,1.0,-13113600.0,1.0,-13113600.0,1e-06,1e-06,-6303200.0,-13673200.0,-13673200.0,21863466.6666667,1.0,26541200.0,1.0,26541200.0,1e-05,effective_profit_margin          <= 0   |
TLV:ABRA,ABRA,Technology,Israel,1e+50,18581400.0,0.0,-12050466.6666667,-314319466.6666667,0.125,309567000.0,0.0,1708750.0,0.0,-669040000.0,0.25,1708750.0,-669040000.0,309567000.0,18581400.0,1.0,-12050466.6666667,309567000.0,3.0,1708750.0,0.25,1708750.0,309567000.0,0.58966,0.58966,35.504504,35.504504,35.504504,0.8844062,11.8348347,-48.3352021,6252.433146,3722498.8831544,8704000.0,-4912466.6666667,8704000.0,0.06624,-0.6507963,0.0,0.2960977,4.0,-0.0951529,0.39774,0.0938,0,0.111,398.2,0.0002788,1.35012,75283400,6835000,0.0907903,650,60854127,9126099688,10515.3846154,-0.863,11.99,-0.5048293,7.2139752,-0.5048293,7.2139752,-0.7734573,0.1726543,10.7959938,33.1072576,-45.9036363,2178.4766525,5831066.6666667,1.0,2093500.0,0.5,10.4361913,29.0681287,29.0681287,0.2857437,1.0,0.3388767,0.5,0.3388767,0.5831311,USD,ILS,1.0,0.3075952,28.765402,241.88435,159.01178,105.64151,0.1004711,281.8292,457,395.48618,0.6861984,41.2912502,-12.8665208,1.3286552,5.5014075,19.1070825,1.0,2.8399083,1.0,0.0257269,0.0833333,0.0095012,1.0,0.114232,1.0,0.1139259,1.0,10.604971,1.0,4.938342,2.0,2.8499083,0.0195012,0.1239259,4.948342,3.8991252,153838800.0,1.0,411183700.0,1.5,411183700.0,119105200.0,1.0,157543066.6666667,1.0,157543066.6666667,0.1041557,0.1108462,65249333.3333333,61113333.3333333,61113333.3333333,34964600.0,1.0,168826400.0,1.5,168826400.0,5.578245,effective_profit_margin          <= 0   |
TLV:ACCL,ACCEL,Technology,Israel,1e+50,54300466.6666667,0.0,-2694666.6666667,-557029066.6666666,0.25,73053000.0,0.0,1048000.0,0.0,-34368000.0,0.375,1048000.0,-34368000.0,73053000.0,54300466.6666667,1.0,-2694666.6666667,73053000.0,1.0,1048000.0,1.0,1048000.0,73053000.0,0.5361384,0.5361384,138.83334,138.83334,138.83334,0.8320909,46.27778,9.5554449,9.336384,4296025.1891196,4493000.0,3633800.0,4493000.0,0.01434,-0.4524074,0.0,0.012615,1.0,-0.1408175,0.40295,0.13331,0,0.012,167.2,7.18e-05,2.1277141,118619000,1048000,0.008835,25,39168249,6078673624,41920.0,-0.5409642,0.463,-0.5409642,27.754089,-0.5409642,27.754089,-0.5409642,0.1959036,7.2857723,27.2421697,-256.6405263,389.6500738,-1260000.0,0.5,-13938000.0,0.5,3216.8912335,281017.7212111,281017.7212111,1.3590111,1.0,0.8127669,1.0,0.8127669,0.9025358,USD,ILS,1.0,0.3075952,64.3205,173.616,4.602,47.5795,-0.0981661,138.7,299,189.55211,-11.792066,20.5479452,-44.0802676,0.3555833,0.3565833,3.9683596,1.0,4.7922512,2.0,0.6177155,1.0,0.2421331,1.0,0.0037273,1.0,0.0288258,1.0,4.909371,2.0,2.0880627,1.0,4.8022512,0.2521331,0.0388258,2.0980627,3.450157,48098400.0,1.0,148150800.0,1.5,148150800.0,25943866.6666667,1.0,78689000.0,1.5,78689000.0,0.1070739,0.1133183,14586866.6666667,34133266.6666667,34133266.6666667,19959600.0,1.0,60570900.0,1.5,60570900.0,7.7945042,effective_profit_margin          <= 0   |
TLV:ACE,ACE RETAIL,Consumer Cyclical,Israel,14138076.1975523,624690800.0,0.0,24388000.0,134013866.6666667,2.0,740705000.0,0.0,19248500.0,0.0,300433000.0,1.0,19248500.0,300433000.0,740705000.0,624690800.0,1.0,24388000.0,740705000.0,1.0,19248500.0,0.5,19248500.0,740705000.0,0.3211294,0.3211294,10.509445,10.509445,10.509445,0.1782986,10.509445,3.167923,2.7719765,100063019.5164579,125076000.0,90677866.6666667,125076000.0,0.05197,0.0417681,0.0,0.0108899,0.25,0.035876,0.81862,0.013,0,1.747,1874,0.0009322,3.1277682,23385200,38497000,1.6462121,990,237752742,13206669541,38885.8585859,-0.562,0.054,1.8116008,0.1130006,1.8116008,0.1130006,0.0314002,2.02201,0.0687502,2.872025,334.6936443,334.6936443,101393266.6666667,1.0,86158666.6666667,0.6666667,2.3448573,2.7594756,2.7594756,12.9737094,2.0,2.5155385,0.5,2.5155385,1.5870449,USD,ILS,1.0,0.3075952,36.3477,86.8998,0,0,-0.105916,1600,2198,1937.8733,-3.2960514,17.125,-14.7406733,0.916388,0.917388,1.1623782,1.0,2.4052611,2.0,0.145016,1.0,0.1644158,1.0,0.0,1.0,0.0,1.0,0.7511749,1.0,0.7949756,1.0,2.4152611,0.1744158,0.01,0.8049756,1.6101184,657340000.0,1.0,787400800.0,1.0,787400800.0,175211866.6666667,2.0,132533533.3333333,1.0,132533533.3333333,0.1244456,0.2452349,-65869733.3333333,-61441400.0,-61441400.0,569734066.6666666,1.0,654867266.6666666,1.0,654867266.6666666,3.7283722,None
TLV:ACKR,ACKERSTEIN GRP.,Basic Materials,Israel,297488217.6021656,169475750.0,0.0,66501428.5714286,1199185333.3333333,2.0,628905000.0,0.0,32549000.0,0.0,749608000.0,0.6666667,32549000.0,749608000.0,628905000.0,169475750.0,0.25,66501428.5714286,628905000.0,1.0,32549000.0,1.0,32549000.0,628905000.0,0.4872308,0.4872308,13.988417,13.988417,13.988417,0.4949046,13.988417,3.4066168,3.4250008,91579427.4040632,90591000.0,100188857.1428571,90591000.0,0.10364,0.0943793,0.0,0.0543111,1.0,0.0851101,0.08695,0.73914,0,0.259,363.2,0.0007131,1.1805148,287510016,67101000,0.2333867,561,315343213,32040615954,119609.6256684,-0.379,-0.075,-0.1476352,-0.041651,-0.1476352,-0.041651,-0.3211588,0.2178841,-0.0666627,0.2433337,-43.5560741,2295.8910344,91234428.5714286,1.0,30526000.0,0.5,3.4564059,10.3303156,10.3303156,0.4317661,0.5,1.631918,2.0,1.631918,1.2784655,USD,ILS,1.0,0.3075952,0,0,0,0,-0.1452106,336,499,407.61353,-10.8959901,8.0952381,-27.2144289,0.3337423,0.3347423,6.5021399,3.0,1.1137897,0.5,0.0412356,0.0833333,0.0006818,0.25,0.7444487,0.3333333,4.3266988,2.0,0.4981812,0.3333333,3.013383,2.0,1.1237897,0.0106818,4.3366988,3.023383,2.0735864,2618470666.6666665,2.0,2168435000.0,1.5,2168435000.0,1413838000.0,2.0,1144082357.142857,1.5,1144082357.142857,0.1150104,0.1284499,151716333.3333333,177123000.0,177123000.0,1204632666.6666667,2.0,974353500.0,1.5,974353500.0,4.554313,None
TLV:ADGR,ADGAR INV.,Real Estate,Israel,1203056723046.1008,73856457.9021867,1.0,13842850.3300267,259039800.7166933,1.0,233932609.0992,3.0,1890249.4028,0.25,1040106715.6128,1.0,1890249.4028,1040106715.6128,233932609.0992,73856457.9021867,1.0,13842850.3300267,233932609.0992,3.0,1890249.4028,0.25,1890249.4028,233932609.0992,5.0119562,5.0119562,47.64151,47.64151,47.64151,1.5033404,47.64151,6.3020105,6.3020283,201617140.1796173,201616000.0,184934000.0,201616000.0,0.09696,0.0048846,0.1,0.1846762,0.999,0.0965069,0.26943,0.51394,0,0.159,757.9,0.0002098,0.9469933,163563008,24581000,0.1502846,116,1270600511,38110731011,211905.1724138,-0.2025248,0.165,-0.2025248,0.0078743,-0.2025248,0.0078743,-0.2025248,0.2297475,0.1257186,3.7956816,-235.2379323,425.101509,50031302.5719467,2.0,26347682.0464,1.0,25.396111,48.2243755,48.2243755,2.8738649,1.0,5.809537,2.0,5.809537,2.4112981,ILS,ILS,0.3075952,0.3075952,7.7043,7.3374,7.2151,6.9655,0.499011,496.3,774.8,657.3993,15.287619,52.7100544,-2.1812081,1.8786355,43.9597501,2.7102003,2.0,2.6901934,2.0,0.7054921,1.0,0.1268403,0.5,38.5392873,2.0,37.8595041,2.0,0.9694012,1.0,1.0264692,1.0,2.7001934,0.1368403,37.8695041,1.0364692,1.8683313,2886959029.114454,2.0,2290924294.4983997,1.5,2290924294.4983997,372950587.8407467,1.0,586450642.36176,1.5,586450642.36176,0.1008251,0.1032232,-16947200.0,14387933.3333333,14387933.3333333,1065444767.6810668,1.0,1135779158.01152,1.0,1135779158.01152,4.6009249,None
TLV:ADKA,ADKA,Consumer Cyclical,Israel,1e+50,704054666.6666666,0.0,4285066.6666667,5358666.6666667,1.0,226621000.0,0.0,-83128000.0,0.0,-12932000.0,0.25,-83128000.0,-12932000.0,226621000.0,704054666.6666666,4.0,4285066.6666667,226621000.0,1.0,-83128000.0,0.25,-83128000.0,226621000.0,0.2457686,0.2457686,2641.6696728,2641.6696728,2641.6696728,0.1388573,2641.6696728,-56.1914911,2229.4834139,-1661500.6349901,-2332000.0,19746800.0,-2332000.0,-0.0917,0.0219298,0.0,-0.1659888,1.0,-0.0775863,0.12767,0.55053,0,-0.989,372.7,-0.0026536,2.7206946,27208300,-20782000,-0.763811,451,55685839,3146797680,-46079.8226164,2.6341604,-0.005,2.6341604,0.4470953,2.6341604,0.4470953,2.6341604,16.4800968,0.1080238,3.5366978,1002.8507165,1002.8507165,16190466.6666667,1.0,106500.0,0.5,3.4394215,522.8717284,522.8717284,5.9390693,2.0,8.4202804,2.0,8.4202804,2.9027719,USD,ILS,1.0,0.3075952,0,0,0,0,-0.6374513,369,1780,682.9275,-45.426125,1.00271,-79.0617978,0.0052445,0.0062445,2.9367586,2.0,0.6300892,0.5,0.5282903,0.5,0.4705659,1.0,3.6743319,2.0,5.3328265,2.0,0.6848756,0.5,0.5693781,0.5,0.6400892,0.4805659,5.3428265,0.5793781,0.6097336,317923066.6666667,2.0,180263666.6666667,1.0,180263666.6666667,91056533.3333333,2.0,36450200.0,1.0,36450200.0,1e-06,1e-06,18893533.3333333,7919666.6666667,7919666.6666667,113433266.6666667,1.0,143813466.6666667,1.0,143813466.6666667,3.7825516,effective_profit_margin          <= 0   |
TLV:AFHL,AFCON HOLD,Technology,Israel,30629.0247994,2070746225.147307,4.0,3021056.5099733,103063032.26912,1.0,580575174.168,1.0,32893615.4976,1.0,665255517.5376,1.5,32893615.4976,665255517.5376,580575174.168,2070746225.147307,4.0,3021056.5099733,580575174.168,1.0,32893615.4976,1.0,32893615.4976,580575174.168,0.1885559,0.1885559,9.4797687,9.4797687,9.4797687,0.1622008,3.1599229,2.0971841,2.0197124,183235283.8075682,196773000.0,59031933.3333333,196773000.0,0.05666,0.0037684,0.777,0.058741,1.0,0.0407231,0.23166,0.63119,0,20.76,19680,0.0010549,1.8287584,5057400,106938000,21.144857,1209,355887036,30614836352,88451.6129032,0.207,0.19,0.2770422,0.0441587,0.2770422,0.0441587,0.2245105,4.9882543,0.1535397,4.1684138,42.2241591,42.2241591,19417582.6967467,1.0,60632243.0384,1.0,18.3280814,5.8696004,5.8696004,2.6974903,1.0,2.608644,1.0,2.608644,1.6161297,ILS,ILS,0.3075952,0.3075952,949.1046,215.99013,323.9852,323.9852,0.825603,9801,21920,19878.943,-1.0007725,100.7958372,-10.2189781,1.6303325,18.7783389,1.3749333,1.0,1.3866969,1.0,0.1446732,0.5,0.0778398,0.5,3.3487037,1.0,2.8601903,1.0,1.5770729,1.0,0.4075503,0.25,1.3966969,0.0878398,2.8701903,0.4175503,0.9071236,1076962116.2737067,2.0,887343066.1180799,1.5,887343066.1180799,290318151.7937067,2.0,245626363.53904,1.5,245626363.53904,0.1370698,0.2339173,451985733.3333333,520320200.0,520320200.0,783824628.9021868,2.0,639849568.9555202,1.5,639849568.9555202,5.6388959,None
TLV:AFID,None,None,Unknown,1e+50,0,0.0,0,0,1.0,0,0.0,0,0.0,0,1.0,0,0,0,0,1.0,0,0,1.0,0,1.0,0,0,0,0.0,100000.0,100000.0,100000.0,10000000000000.0,100000.0,0.0,100000,0.0,0,0,0,0.0,0.0,0.0,0,1.0,0.001,0.01,1.23e-05,0,0,0,0.0,10000.0,100000000,0,0.0,10000000,0,0,0.0,-0.9,-0.9,-0.9,-0.9,0,0,-0.9,0.16,-0.9,0.16,-111111.1111111,0.9,0,1.0,0,1.0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,1.0,10000000000000.0,1.0,0.0,0.0,USD,USD,1.0,1.0,1992.123,2458.831,1844.0001,1299.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01,0.01,0.01,0.01,0.01,0,1.0,0,1.0,0,0,1.0,0,1.0,0,1e-06,1e-06,0.0,0.0,0.0,0,1.0,0,1.0,0.0,1e-05,None
TLV:AFPR,AFI PROPERTIES,Real Estate,Israel,6596500.9259548,282069186.7581867,1.0,54042077.39744,1504407684.6843734,2.0,327894945.224,1.0,118239287.2848,1.0,4786577956.010401,1.5,118239287.2848,4786577956.010401,327894945.224,282069186.7581867,1.0,54042077.39744,327894945.224,1.0,118239287.2848,1.0,118239287.2848,327894945.224,3.807721,3.807721,15.361808,15.361808,15.361808,1.7276017,15.361808,8.6846429,8.4190845,497826970.0361266,528272000.0,384084733.3333333,528272000.0,0.3606,0.5637888,4.75,0.8780077,2.75,0.6017988,0.03147,0.72614,0,10.793,16970,0.000636,1.3688112,36110600,384399008,10.6450463,296,4059045236,184161479301,1298645.2972973,2.111,0.185,-0.4547347,0.0704583,-0.4547347,0.0704583,1.4695663,12.3725671,0.1563646,4.2042962,10.4532934,10.4532934,96540619.5975467,1.0,146995439.7472,1.0,42.044947,27.6134093,27.6134093,1.9195086,1.0,2.0759504,1.0,2.0759504,1.4418159,ILS,ILS,0.3075952,0.3075952,699.04755,262.25336,355.3014,322.38956,0.7669721,9503,17200,15360.353,10.4792318,78.5751868,-1.3372093,1.9402365,53.3492063,1.5316894,1.0,1.4845932,1.0,0.1947461,0.5,0.6720041,1.0,29.9410131,2.0,31.9695841,2.0,0.6443368,1.0,0.6819763,1.0,1.4945932,0.6820041,31.9795841,0.6919763,1.0932847,7230283473.942614,2.0,4096051862.53824,1.0,4096051862.53824,2461125341.577173,2.0,1329708990.8443732,1.0,1329708990.8443732,0.1288666,0.1889212,-740301533.3333334,-606289133.3333334,-606289133.3333334,4731042493.663787,2.0,2760211740.62304,1.0,2760211740.62304,6.4785458,None
