pb,pi,ev,pe,evr / pm,0.39079,4.86688,9.61008,17.78796,32.87182,85.04599,238.91114
10000.000000,0.000012,5.000000,173970.712687,338.825956,276.000000,239.000000,198.000000,159.000000,119.000000,80.000000,40.000000
10000.000000,0.000012,5.000000,173970.712687,6.103919,232.000000,195.000000,157.000000,124.000000,86.000000,54.000000,23.000000
10000.000000,0.000012,5.000000,173970.712687,2.518897,186.000000,151.000000,115.000000,86.000000,52.000000,29.000000,15.000000
10000.000000,0.000012,5.000000,173970.712687,1.024600,140.000000,108.000000,81.000000,57.000000,33.000000,19.000000,9.000000
10000.000000,0.000012,5.000000,173970.712687,0.518298,93.000000,65.000000,48.000000,36.000000,19.000000,10.000000,0.000000
10000.000000,0.000012,5.000000,173970.712687,0.308210,48.000000,29.000000,19.000000,14.000000,7.000000,0.000000,0.000000
10000.000000,0.000012,5.000000,31.715876,338.825956,222.000000,197.000000,166.000000,137.000000,100.000000,70.000000,32.000000
10000.000000,0.000012,5.000000,31.715876,6.103919,191.000000,166.000000,137.000000,113.000000,78.000000,51.000000,21.000000
10000.000000,0.000012,5.000000,31.715876,2.518897,155.000000,131.000000,102.000000,78.000000,47.000000,27.000000,14.000000
10000.000000,0.000012,5.000000,31.715876,1.024600,117.000000,95.000000,72.000000,51.000000,30.000000,19.000000,9.000000
10000.000000,0.000012,5.000000,31.715876,0.518298,82.000000,60.000000,43.000000,33.000000,18.000000,10.000000,0.000000
10000.000000,0.000012,5.000000,31.715876,0.308210,45.000000,29.000000,19.000000,14.000000,7.000000,0.000000,0.000000
10000.000000,0.000012,5.000000,18.388030,338.825956,166.000000,149.000000,130.000000,106.000000,78.000000,52.000000,24.000000
10000.000000,0.000012,5.000000,18.388030,6.103919,143.000000,126.000000,109.000000,90.000000,64.000000,40.000000,17.000000
10000.000000,0.000012,5.000000,18.388030,2.518897,114.000000,97.000000,80.000000,61.000000,37.000000,20.000000,11.000000
10000.000000,0.000012,5.000000,18.388030,1.024600,87.000000,71.000000,58.000000,41.000000,24.000000,13.000000,7.000000
10000.000000,0.000012,5.000000,18.388030,0.518298,64.000000,48.000000,36.000000,28.000000,16.000000,8.000000,0.000000
10000.000000,0.000012,5.000000,18.388030,0.308210,40.000000,27.000000,18.000000,13.000000,7.000000,0.000000,0.000000
10000.000000,0.000012,5.000000,13.618638,338.825956,111.000000,101.000000,89.000000,69.000000,48.000000,30.000000,14.000000
10000.000000,0.000012,5.000000,13.618638,6.103919,94.000000,84.000000,74.000000,58.000000,39.000000,23.000000,11.000000
10000.000000,0.000012,5.000000,13.618638,2.518897,79.000000,69.000000,59.000000,43.000000,25.000000,13.000000,7.000000
10000.000000,0.000012,5.000000,13.618638,1.024600,66.000000,57.000000,48.000000,33.000000,20.000000,11.000000,0.000000
10000.000000,0.000012,5.000000,13.618638,0.518298,48.000000,39.000000,31.000000,23.000000,14.000000,8.000000,0.000000
10000.000000,0.000012,5.000000,13.618638,0.308210,28.000000,22.000000,16.000000,11.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,5.000000,9.171183,338.825956,55.000000,49.000000,42.000000,33.000000,20.000000,10.000000,0.000000
10000.000000,0.000012,5.000000,9.171183,6.103919,47.000000,41.000000,36.000000,30.000000,18.000000,9.000000,0.000000
10000.000000,0.000012,5.000000,9.171183,2.518897,42.000000,36.000000,31.000000,25.000000,14.000000,0.000000,0.000000
10000.000000,0.000012,5.000000,9.171183,1.024600,38.000000,33.000000,28.000000,22.000000,12.000000,0.000000,0.000000
10000.000000,0.000012,5.000000,9.171183,0.518298,31.000000,26.000000,22.000000,17.000000,9.000000,0.000000,0.000000
10000.000000,0.000012,5.000000,9.171183,0.308210,20.000000,17.000000,13.000000,10.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,173970.712687,338.825956,184.000000,165.000000,139.000000,110.000000,87.000000,63.000000,32.000000
10000.000000,0.000012,197.000000,173970.712687,6.103919,148.000000,129.000000,106.000000,81.000000,60.000000,43.000000,19.000000
10000.000000,0.000012,197.000000,173970.712687,2.518897,114.000000,96.000000,75.000000,53.000000,35.000000,22.000000,12.000000
10000.000000,0.000012,197.000000,173970.712687,1.024600,84.000000,69.000000,52.000000,34.000000,23.000000,14.000000,7.000000
10000.000000,0.000012,197.000000,173970.712687,0.518298,46.000000,35.000000,26.000000,18.000000,11.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,173970.712687,0.308210,22.000000,14.000000,11.000000,7.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,31.715876,338.825956,146.000000,135.000000,116.000000,95.000000,74.000000,57.000000,26.000000
10000.000000,0.000012,197.000000,31.715876,6.103919,119.000000,108.000000,91.000000,74.000000,55.000000,41.000000,17.000000
10000.000000,0.000012,197.000000,31.715876,2.518897,93.000000,82.000000,65.000000,48.000000,32.000000,21.000000,11.000000
10000.000000,0.000012,197.000000,31.715876,1.024600,68.000000,59.000000,45.000000,30.000000,21.000000,14.000000,7.000000
10000.000000,0.000012,197.000000,31.715876,0.518298,40.000000,31.000000,22.000000,16.000000,10.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,31.715876,0.308210,22.000000,14.000000,11.000000,7.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,18.388030,338.825956,111.000000,101.000000,91.000000,73.000000,57.000000,42.000000,19.000000
10000.000000,0.000012,197.000000,18.388030,6.103919,92.000000,82.000000,74.000000,60.000000,46.000000,33.000000,14.000000
10000.000000,0.000012,197.000000,18.388030,2.518897,70.000000,60.000000,52.000000,38.000000,26.000000,16.000000,9.000000
10000.000000,0.000012,197.000000,18.388030,1.024600,51.000000,42.000000,36.000000,23.000000,16.000000,9.000000,0.000000
10000.000000,0.000012,197.000000,18.388030,0.518298,33.000000,24.000000,19.000000,14.000000,9.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,18.388030,0.308210,21.000000,13.000000,10.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,13.618638,338.825956,72.000000,67.000000,61.000000,46.000000,34.000000,23.000000,10.000000
10000.000000,0.000012,197.000000,13.618638,6.103919,58.000000,53.000000,49.000000,37.000000,27.000000,18.000000,8.000000
10000.000000,0.000012,197.000000,13.618638,2.518897,47.000000,42.000000,38.000000,26.000000,17.000000,9.000000,0.000000
10000.000000,0.000012,197.000000,13.618638,1.024600,37.000000,33.000000,29.000000,18.000000,13.000000,7.000000,0.000000
10000.000000,0.000012,197.000000,13.618638,0.518298,23.000000,19.000000,16.000000,11.000000,8.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,13.618638,0.308210,13.000000,10.000000,8.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,9.171183,338.825956,36.000000,33.000000,28.000000,21.000000,14.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,9.171183,6.103919,29.000000,26.000000,23.000000,19.000000,13.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,9.171183,2.518897,26.000000,23.000000,20.000000,16.000000,11.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,9.171183,1.024600,22.000000,20.000000,17.000000,13.000000,9.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,9.171183,0.518298,16.000000,14.000000,12.000000,9.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,197.000000,9.171183,0.308210,10.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,173970.712687,338.825956,91.000000,87.000000,77.000000,63.000000,54.000000,42.000000,20.000000
10000.000000,0.000012,787.000000,173970.712687,6.103919,65.000000,61.000000,54.000000,44.000000,36.000000,28.000000,11.000000
10000.000000,0.000012,787.000000,173970.712687,2.518897,44.000000,41.000000,34.000000,26.000000,19.000000,14.000000,8.000000
10000.000000,0.000012,787.000000,173970.712687,1.024600,31.000000,28.000000,23.000000,17.000000,12.000000,9.000000,0.000000
10000.000000,0.000012,787.000000,173970.712687,0.518298,11.000000,10.000000,8.000000,7.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,173970.712687,0.308210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,31.715876,338.825956,73.000000,73.000000,66.000000,54.000000,47.000000,39.000000,17.000000
10000.000000,0.000012,787.000000,31.715876,6.103919,53.000000,53.000000,48.000000,40.000000,34.000000,27.000000,10.000000
10000.000000,0.000012,787.000000,31.715876,2.518897,36.000000,36.000000,31.000000,23.000000,18.000000,13.000000,7.000000
10000.000000,0.000012,787.000000,31.715876,1.024600,24.000000,24.000000,21.000000,15.000000,12.000000,9.000000,0.000000
10000.000000,0.000012,787.000000,31.715876,0.518298,9.000000,9.000000,7.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,31.715876,0.308210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,18.388030,338.825956,55.000000,55.000000,50.000000,40.000000,34.000000,27.000000,12.000000
10000.000000,0.000012,787.000000,18.388030,6.103919,41.000000,41.000000,38.000000,32.000000,27.000000,21.000000,8.000000
10000.000000,0.000012,787.000000,18.388030,2.518897,26.000000,26.000000,23.000000,17.000000,13.000000,9.000000,0.000000
10000.000000,0.000012,787.000000,18.388030,1.024600,17.000000,17.000000,15.000000,10.000000,8.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,18.388030,0.518298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,18.388030,0.308210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,13.618638,338.825956,35.000000,35.000000,31.000000,22.000000,18.000000,14.000000,0.000000
10000.000000,0.000012,787.000000,13.618638,6.103919,24.000000,24.000000,22.000000,16.000000,13.000000,10.000000,0.000000
10000.000000,0.000012,787.000000,13.618638,2.518897,18.000000,18.000000,16.000000,10.000000,7.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,13.618638,1.024600,14.000000,14.000000,12.000000,7.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,13.618638,0.518298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,13.618638,0.308210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,9.171183,338.825956,12.000000,12.000000,9.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,9.171183,6.103919,7.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,9.171183,2.518897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,9.171183,1.024600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,9.171183,0.518298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,787.000000,9.171183,0.308210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,5.000000,173970.712687,338.825956,181.000000,154.000000,123.000000,98.000000,66.000000,41.000000,19.000000
10000.000000,0.488897,5.000000,173970.712687,6.103919,161.000000,134.000000,104.000000,82.000000,52.000000,32.000000,13.000000
10000.000000,0.488897,5.000000,173970.712687,2.518897,136.000000,111.000000,81.000000,61.000000,33.000000,18.000000,7.000000
10000.000000,0.488897,5.000000,173970.712687,1.024600,104.000000,80.000000,58.000000,41.000000,21.000000,13.000000,0.000000
10000.000000,0.488897,5.000000,173970.712687,0.518298,73.000000,53.000000,38.000000,27.000000,13.000000,8.000000,0.000000
10000.000000,0.488897,5.000000,173970.712687,0.308210,42.000000,26.000000,17.000000,12.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,5.000000,31.715876,338.825956,147.000000,131.000000,106.000000,87.000000,56.000000,37.000000,16.000000
10000.000000,0.488897,5.000000,31.715876,6.103919,133.000000,117.000000,93.000000,76.000000,47.000000,30.000000,12.000000
10000.000000,0.488897,5.000000,31.715876,2.518897,113.000000,98.000000,74.000000,57.000000,30.000000,17.000000,7.000000
10000.000000,0.488897,5.000000,31.715876,1.024600,87.000000,72.000000,53.000000,38.000000,19.000000,13.000000,0.000000
10000.000000,0.488897,5.000000,31.715876,0.518298,67.000000,52.000000,37.000000,27.000000,13.000000,8.000000,0.000000
10000.000000,0.488897,5.000000,31.715876,0.308210,39.000000,26.000000,17.000000,12.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,5.000000,18.388030,338.825956,109.000000,97.000000,82.000000,68.000000,45.000000,29.000000,12.000000
10000.000000,0.488897,5.000000,18.388030,6.103919,100.000000,88.000000,74.000000,62.000000,41.000000,26.000000,11.000000
10000.000000,0.488897,5.000000,18.388030,2.518897,84.000000,72.000000,58.000000,46.000000,25.000000,14.000000,7.000000
10000.000000,0.488897,5.000000,18.388030,1.024600,66.000000,54.000000,43.000000,32.000000,16.000000,10.000000,0.000000
10000.000000,0.488897,5.000000,18.388030,0.518298,54.000000,42.000000,32.000000,24.000000,12.000000,7.000000,0.000000
10000.000000,0.488897,5.000000,18.388030,0.308210,36.000000,25.000000,17.000000,12.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,5.000000,13.618638,338.825956,71.000000,65.000000,55.000000,43.000000,26.000000,16.000000,7.000000
10000.000000,0.488897,5.000000,13.618638,6.103919,64.000000,58.000000,49.000000,39.000000,24.000000,15.000000,7.000000
10000.000000,0.488897,5.000000,13.618638,2.518897,56.000000,50.000000,41.000000,31.000000,16.000000,9.000000,0.000000
10000.000000,0.488897,5.000000,13.618638,1.024600,49.000000,43.000000,35.000000,25.000000,13.000000,8.000000,0.000000
10000.000000,0.488897,5.000000,13.618638,0.518298,41.000000,35.000000,28.000000,20.000000,11.000000,7.000000,0.000000
10000.000000,0.488897,5.000000,13.618638,0.308210,27.000000,22.000000,16.000000,11.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,5.000000,9.171183,338.825956,39.000000,35.000000,29.000000,22.000000,12.000000,7.000000,0.000000
10000.000000,0.488897,5.000000,9.171183,6.103919,36.000000,32.000000,27.000000,21.000000,12.000000,7.000000,0.000000
10000.000000,0.488897,5.000000,9.171183,2.518897,33.000000,29.000000,24.000000,18.000000,9.000000,0.000000,0.000000
10000.000000,0.488897,5.000000,9.171183,1.024600,32.000000,28.000000,23.000000,17.000000,8.000000,0.000000,0.000000
10000.000000,0.488897,5.000000,9.171183,0.518298,28.000000,24.000000,20.000000,15.000000,7.000000,0.000000,0.000000
10000.000000,0.488897,5.000000,9.171183,0.308210,20.000000,17.000000,13.000000,10.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,173970.712687,338.825956,109.000000,95.000000,77.000000,60.000000,43.000000,30.000000,14.000000
10000.000000,0.488897,197.000000,173970.712687,6.103919,93.000000,79.000000,62.000000,46.000000,31.000000,23.000000,10.000000
10000.000000,0.488897,197.000000,173970.712687,2.518897,77.000000,64.000000,47.000000,33.000000,19.000000,12.000000,0.000000
10000.000000,0.488897,197.000000,173970.712687,1.024600,59.000000,47.000000,33.000000,21.000000,12.000000,8.000000,0.000000
10000.000000,0.488897,197.000000,173970.712687,0.518298,34.000000,26.000000,18.000000,11.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,173970.712687,0.308210,18.000000,11.000000,9.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,31.715876,338.825956,87.000000,80.000000,65.000000,53.000000,37.000000,28.000000,12.000000
10000.000000,0.488897,197.000000,31.715876,6.103919,75.000000,68.000000,54.000000,43.000000,29.000000,22.000000,9.000000
10000.000000,0.488897,197.000000,31.715876,2.518897,63.000000,56.000000,42.000000,31.000000,18.000000,12.000000,0.000000
10000.000000,0.488897,197.000000,31.715876,1.024600,48.000000,41.000000,29.000000,19.000000,11.000000,8.000000,0.000000
10000.000000,0.488897,197.000000,31.715876,0.518298,32.000000,25.000000,17.000000,11.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,31.715876,0.308210,18.000000,11.000000,9.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,18.388030,338.825956,63.000000,56.000000,49.000000,40.000000,28.000000,21.000000,8.000000
10000.000000,0.488897,197.000000,18.388030,6.103919,56.000000,49.000000,43.000000,35.000000,25.000000,19.000000,8.000000
10000.000000,0.488897,197.000000,18.388030,2.518897,46.000000,39.000000,33.000000,25.000000,15.000000,10.000000,0.000000
10000.000000,0.488897,197.000000,18.388030,1.024600,36.000000,29.000000,24.000000,16.000000,9.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,18.388030,0.518298,27.000000,20.000000,16.000000,11.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,18.388030,0.308210,18.000000,11.000000,9.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,13.618638,338.825956,41.000000,38.000000,33.000000,25.000000,16.000000,11.000000,0.000000
10000.000000,0.488897,197.000000,13.618638,6.103919,35.000000,32.000000,28.000000,21.000000,14.000000,10.000000,0.000000
10000.000000,0.488897,197.000000,13.618638,2.518897,30.000000,27.000000,23.000000,16.000000,9.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,13.618638,1.024600,26.000000,23.000000,19.000000,12.000000,7.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,13.618638,0.518298,20.000000,17.000000,14.000000,9.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,13.618638,0.308210,13.000000,10.000000,8.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,9.171183,338.825956,24.000000,22.000000,18.000000,13.000000,8.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,9.171183,6.103919,21.000000,19.000000,16.000000,12.000000,8.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,9.171183,2.518897,19.000000,17.000000,14.000000,10.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,9.171183,1.024600,18.000000,16.000000,13.000000,9.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,9.171183,0.518298,14.000000,12.000000,10.000000,7.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,197.000000,9.171183,0.308210,10.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,173970.712687,338.825956,47.000000,44.000000,38.000000,31.000000,25.000000,19.000000,8.000000
10000.000000,0.488897,787.000000,173970.712687,6.103919,37.000000,34.000000,29.000000,23.000000,18.000000,15.000000,0.000000
10000.000000,0.488897,787.000000,173970.712687,2.518897,25.000000,23.000000,18.000000,14.000000,9.000000,7.000000,0.000000
10000.000000,0.488897,787.000000,173970.712687,1.024600,18.000000,16.000000,12.000000,9.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,173970.712687,0.518298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,173970.712687,0.308210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,31.715876,338.825956,37.000000,37.000000,32.000000,27.000000,22.000000,18.000000,7.000000
10000.000000,0.488897,787.000000,31.715876,6.103919,30.000000,30.000000,26.000000,22.000000,18.000000,15.000000,0.000000
10000.000000,0.488897,787.000000,31.715876,2.518897,21.000000,21.000000,17.000000,13.000000,9.000000,7.000000,0.000000
10000.000000,0.488897,787.000000,31.715876,1.024600,14.000000,14.000000,11.000000,8.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,31.715876,0.518298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,31.715876,0.308210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,18.388030,338.825956,26.000000,26.000000,23.000000,20.000000,15.000000,12.000000,0.000000
10000.000000,0.488897,787.000000,18.388030,6.103919,22.000000,22.000000,20.000000,18.000000,14.000000,12.000000,0.000000
10000.000000,0.488897,787.000000,18.388030,2.518897,14.000000,14.000000,12.000000,10.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,18.388030,1.024600,10.000000,10.000000,8.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,18.388030,0.518298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,18.388030,0.308210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,13.618638,338.825956,16.000000,16.000000,13.000000,10.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,13.618638,6.103919,12.000000,12.000000,10.000000,8.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,13.618638,2.518897,9.000000,9.000000,7.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,13.618638,1.024600,8.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.488897,787.000000,13.618638,0.518298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
