"Maximal price_to_earnings_limit: 10000000000.0, Maximal enterprise_value_to_revenue_limit: 10000000000.0, Minimal profit_margin_limit: 0.0001"
Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_revenue_bonus,annualized_earnings,annualized_retained_earnings,annualized_retained_earnings_bonus,quarterized_revenue,quarterized_revenue_bonus,quarterized_earnings,quarterized_earnings_bonus,quarterized_retained_earnings,quarterized_retained_earnings_bonus,effective_earnings,effective_retained_earnings,effective_revenue,annualized_total_revenue,annualized_total_revenue_bonus,annualized_net_income,quarterized_total_revenue,quarterized_total_revenue_bonus,quarterized_net_income,quarterized_net_income_bonus,effective_net_income,effective_total_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,effective_ev_to_ebitda,ebitda,quarterized_ebitd,annualized_ebitd,ebitd,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,held_percent_insiders,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,rqg,eqg_yoy,rqg_yoy,niqg_yoy,trqg_yoy,eqg_effective,eqg_factor_effective,rqg_effective,rqg_factor_effective,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,annualized_cash_flow_from_operating_activities_bonus,quarterized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities_bonus,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,annualized_debt_to_equity_bonus,quarterized_debt_to_equity,quarterized_debt_to_equity_bonus,debt_to_equity_effective,debt_to_equity_effective_used,financial_currency,summary_currency,financial_currency_conversion_rate_mult_to_usd,summary_currency_conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,annualized_total_ratio_bonus,quarterized_total_ratio,quarterized_total_ratio_bonus,annualized_other_current_ratio,annualized_other_current_ratio_bonus,quarterized_other_current_ratio,quarterized_other_current_ratio_bonus,annualized_other_ratio,annualized_other_ratio_bonus,quarterized_other_ratio,quarterized_other_ratio_bonus,annualized_total_current_ratio,annualized_total_current_ratio_bonus,quarterized_total_current_ratio,quarterized_total_current_ratio_bonus,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,effective_current_ratio,annualized_total_assets,annualized_total_assets_bonus,quarterized_total_assets,quarterized_total_assets_bonus,effective_total_assets,annualized_total_stockholder_equity,annualized_total_stockholder_equity_bonus,quarterized_total_stockholder_equity,quarterized_total_stockholder_equity_bonus,effective_total_stockholder_equity,calculated_roa,calculated_roe,annualized_working_capital,quarterized_working_capital,effective_working_capital,annualized_total_liabilities,annualized_total_liabilities_bonus,quarterized_total_liabilities,quarterized_total_liabilities_bonus,effective_total_liabilities,altman_z_score_factor,skip_reason
TLV:ABIL,ABILITY,Technology,Israel,1e+50,1693200.0,0.0,-7635000.0,-298891733.3333333,0.125,1109000.0,0.0,-28976000.0,0.0,-724000000.0,0.25,-28976000.0,-724000000.0,1109000.0,1693200.0,1.0,-7635000.0,1109000.0,1.0,-28976000.0,0.25,-28976000.0,1109000.0,2.7526316,2.7526316,9007.8294129,9007.8294129,9007.8294129,2.9005926,3002.6098043,-0.4728222,211492.4982611,-6456213.1782946,-6456000.0,-6831133.3333333,-6456000.0,0,-4.6380327,0.0,-14.792537,1.0,-6.4758566,0.03946,0.35554,0,-1.009,136.4,-0.0073974,10000.0,7972390,-7244000,-0.9086359,10,3052741,321675718,-724400.0,0.1672451,-0.687,0.1672451,0.5483419,0.1672451,0.5483419,0.1672451,4.3395615,-0.3781645,0.2121835,53860.0401817,53860.0401817,-7925466.6666667,0.5,-196000.0,0.5,259617.9876542,1557521.2945427,1557521.2945427,-0.1693273,1.0,-2.0561431,1.0,-2.0561431,206.6143142,USD,ILS,1.0,0.3054407,0,0,0,0,0.9184247,71.1,380,158.32695,-13.8491583,91.8424754,-64.1052632,0.4227905,0.4237905,0.7713891,1.0,0.5088612,1.0,1.6886459,2.0,0.8032523,1.0,22.567841,3.0,1.6041667,1.0,0.7135936,1.0,0.4850303,1.0,0.5188612,0.8132523,1.6141667,0.4950303,0.5069458,16669933.3333333,1.0,13427600.0,1.0,13427600.0,-5193533.3333333,1.0,-13113600.0,1.0,-13113600.0,1e-06,1e-06,-6303200.0,-13673200.0,-13673200.0,21863466.6666667,1.0,26541200.0,1.0,26541200.0,1e-05,effective_profit_margin          <= 0   |
TLV:ABRA,ABRA,Technology,Israel,1e+50,18581400.0,0.0,-12050466.6666667,-314319466.6666667,0.125,309567000.0,0.0,1708750.0,0.0,-669040000.0,0.25,1708750.0,-669040000.0,309567000.0,18581400.0,1.0,-12050466.6666667,309567000.0,3.0,1708750.0,0.25,1708750.0,309567000.0,0.5855298,0.5855298,35.414414,35.414414,35.414414,0.8759832,11.8048047,-47.9966462,6296.5361984,3722498.8831544,8704000.0,-4912466.6666667,8704000.0,0.06624,-0.6507963,0.0,0.2960977,4.0,-0.0951529,0.39439,0.0938,0,0.111,394.1,0.0002817,1.3466942,75283400,6835000,0.0907903,650,60427884,9039183105,10515.3846154,-0.863,11.99,-0.5048293,7.2139752,-0.5048293,7.2139752,-0.7734573,0.1726543,10.7959938,33.1072576,-45.7871593,2184.0184345,5831066.6666667,1.0,2093500.0,0.5,10.3630928,28.8645258,28.8645258,0.2857437,1.0,0.3388767,0.5,0.3388767,0.5831311,USD,ILS,1.0,0.3054407,0,0,0,0,0.0891404,281.8292,457,396.48465,-0.6014483,39.8364683,-13.7636761,1.2818438,4.4361947,19.1070825,1.0,2.8399083,1.0,0.0257269,0.0833333,0.0095012,1.0,0.114232,1.0,0.1139259,1.0,10.604971,1.0,4.938342,2.0,2.8499083,0.0195012,0.1239259,4.948342,3.8991252,153838800.0,1.0,411183700.0,1.5,411183700.0,119105200.0,1.0,157543066.6666667,1.0,157543066.6666667,0.1041557,0.1108462,65249333.3333333,61113333.3333333,61113333.3333333,34964600.0,1.0,168826400.0,1.5,168826400.0,5.5504883,effective_profit_margin          <= 0   |
TLV:ACCL,ACCEL,Technology,Israel,1e+50,54300466.6666667,0.0,-2694666.6666667,-557029066.6666666,0.25,73053000.0,0.0,262000.0,0.0,-34368000.0,0.375,262000.0,-34368000.0,73053000.0,54300466.6666667,1.0,-2694666.6666667,73053000.0,1.0,262000.0,0.25,262000.0,73053000.0,0.5323831,0.5323831,141.41666,141.41666,141.41666,0.8416373,47.1388867,9.4885153,9.2709889,4296025.1891196,4493000.0,3633800.0,4493000.0,0.01434,-0.4524074,0.0,0.012615,1.0,-0.1408175,0.40294,0.1333,0,0.012,166.6,7.2e-05,2.1673051,118619000,1048000,0.008835,25,38893902,6148412720,41920.0,-0.5409642,0.463,-0.5409642,27.754089,-0.5409642,27.754089,-0.5409642,0.1959036,7.2857723,27.2421697,-261.4159253,382.5321654,-1260000.0,0.5,-13938000.0,0.5,3239.5823554,279049.3787911,279049.3787911,1.3590111,1.0,0.8127669,1.0,0.8127669,0.9025358,USD,ILS,1.0,0.3054407,0,0,0,0,-0.1014024,138.7,299,188.71205,-11.7173493,20.1153569,-44.2809365,0.3480973,0.3490973,3.9683596,1.0,4.7922512,2.0,0.6177155,1.0,0.2421331,1.0,0.0037273,1.0,0.0288258,1.0,4.909371,2.0,2.0880627,1.0,4.8022512,0.2521331,0.0388258,2.0980627,3.450157,48098400.0,1.0,148150800.0,1.5,148150800.0,25943866.6666667,1.0,78689000.0,1.5,78689000.0,0.1017685,0.1033296,14586866.6666667,34133266.6666667,34133266.6666667,19959600.0,1.0,60570900.0,1.5,60570900.0,7.8386934,effective_profit_margin          <= 0   |
TLV:ACE,ACE RETAIL,Consumer Cyclical,Israel,52.0908393,624690800.0,0.0,24388000.0,134013866.6666667,2.0,740705000.0,0.0,19248500.0,0.0,300433000.0,1.0,19248500.0,300433000.0,740705000.0,624690800.0,1.0,24388000.0,740705000.0,1.0,19248500.0,0.5,19248500.0,740705000.0,0.3149094,0.3149094,10.532341,10.532341,10.532341,0.1774355,10.532341,3.1090809,2.7204657,100061824.3442381,125076000.0,90677866.6666667,125076000.0,0.05197,0.0417681,0.0,0.0108899,0.25,0.035876,0.81862,0.013,0,1.747,1836,0.0009515,3.1345828,23385200,38497000,1.6462121,990,233329210,13142736627,38885.8585859,-0.562,0.054,1.8116008,0.1130006,1.8116008,0.1130006,0.0314002,2.02201,0.0687502,2.872025,335.4228118,335.4228118,101393266.6666667,1.0,86158666.6666667,0.6666667,2.3012298,2.7081339,2.7081339,12.9737094,2.0,2.5155385,0.5,2.5155385,1.5870449,USD,ILS,1.0,0.3054407,0,0,0,0,-0.1240458,1600,2198,1940.5391,-5.3871164,14.75,-16.4695177,0.7892977,0.7902977,1.1623782,1.0,2.4052611,2.0,0.145016,1.0,0.1644158,1.0,0.0,1.0,0.0,1.0,0.7511749,1.0,0.7949756,1.0,2.4152611,0.1744158,0.01,0.8049756,1.6101184,657340000.0,1.0,787400800.0,1.0,787400800.0,175211866.6666667,2.0,132533533.3333333,1.0,132533533.3333333,0.1244456,0.2452349,-65869733.3333333,-61441400.0,-61441400.0,569734066.6666666,1.0,654867266.6666666,1.0,654867266.6666666,3.7205077,None
TLV:ACKR,ACKERSTEIN GRP.,Basic Materials,Israel,81.3965661,169475750.0,0.0,66501428.5714286,1199185333.3333333,2.0,628905000.0,0.0,32549000.0,0.0,749608000.0,0.6666667,32549000.0,749608000.0,628905000.0,169475750.0,0.25,66501428.5714286,628905000.0,1.0,32549000.0,1.0,32549000.0,628905000.0,0.4825963,0.4825963,14.042472,14.042472,14.042472,0.4933372,14.042472,3.3751197,3.3933162,91578463.9819005,90591000.0,100188857.1428571,90591000.0,0.10364,0.0943793,0.0,0.0543111,1.0,0.0851101,0.08695,0.73914,0,0.259,362.3,0.0007149,1.1850766,287510016,67101000,0.2333867,561,312421090,31939139364,119609.6256684,-0.379,-0.075,-0.1476352,-0.041651,-0.1476352,-0.041651,-0.3211588,0.2178841,-0.0666627,0.2433337,-43.7243865,2287.0532465,91234428.5714286,1.0,30526000.0,0.5,3.4243771,10.2345899,10.2345899,0.4317661,0.5,1.631918,2.0,1.631918,1.2784655,USD,ILS,1.0,0.3054407,0,0,0,0,-0.1473288,336,499,407.20892,-11.0284716,7.827381,-27.3947896,0.3226994,0.3236994,6.5021399,3.0,1.1137897,0.5,0.0412356,0.0833333,0.0006818,0.25,0.7444487,0.3333333,4.3266988,2.0,0.4981812,0.3333333,3.013383,2.0,1.1237897,0.0106818,4.3366988,3.023383,2.0735864,2618470666.6666665,2.0,2168435000.0,1.5,2168435000.0,1413838000.0,2.0,1144082357.142857,1.5,1144082357.142857,0.1150104,0.1284499,151716333.3333333,177123000.0,177123000.0,1204632666.6666667,2.0,974353500.0,1.5,974353500.0,4.5474473,None
TLV:ADGR,ADGAR INV.,Real Estate,Israel,738.8861632,73339142.4871533,1.0,13745890.3610933,257225399.0269267,1.0,232294066.6047,3.0,1877009.461675,0.25,1032821459.1498001,1.0,1877009.461675,1032821459.1498001,232294066.6047,73339142.4871533,1.0,13745890.3610933,232294066.6047,3.0,1877009.461675,0.25,1877009.461675,232294066.6047,4.9768508,4.9768508,47.704404,47.704404,47.704404,1.4947811,47.704404,6.2578691,6.2578868,201617140.1796173,201616000.0,184934000.0,201616000.0,0.09696,0.0048846,0.1,0.1846762,0.999,0.0965069,0.26943,0.51394,0,0.159,757.5,0.0002099,0.9482435,163563008,24581000,0.1502846,116,1261700798,37893748992,211905.1724138,-0.2025248,0.165,-0.2025248,0.0078743,-0.2025248,0.0078743,-0.2025248,0.2297475,0.1257186,3.7956816,-235.548482,424.5410506,49680866.5398133,2.0,26163134.0399,1.0,25.396111,48.2243755,48.2243755,2.8738649,1.0,5.809537,2.0,5.809537,2.4112981,ILS,ILS,0.3054407,0.3054407,0,0,0,0,0.49822,496.3,774.8,658.2007,15.0864774,52.629458,-2.2328343,1.875763,43.5579882,2.7102003,2.0,2.6901934,2.0,0.7054921,1.0,0.1268403,0.5,38.5392873,2.0,37.8595041,2.0,0.9694012,1.0,1.0264692,1.0,2.7001934,0.1368403,37.8695041,1.0364692,1.8683313,2866737799.302587,2.0,2274877891.9781504,1.5,2274877891.9781504,370338316.7731133,1.0,582342945.26841,1.5,582342945.26841,0.1008251,0.1032232,-16947200.0,14387933.3333333,14387933.3333333,1057982034.9987334,1.0,1127823779.65732,1.0,1127823779.65732,4.6040405,None
TLV:ADKA,ADKA,Consumer Cyclical,Israel,1e+50,704054666.6666666,0.0,4285066.6666667,1339666.6666667,0.25,226621000.0,0.0,-83128000.0,0.0,-12932000.0,0.25,-83128000.0,-12932000.0,226621000.0,704054666.6666666,4.0,4285066.6666667,226621000.0,1.0,-83128000.0,0.25,-83128000.0,226621000.0,0.2449634,0.2449634,2646.9279367,2646.9279367,2646.9279367,0.1385814,2646.9279367,-56.0138537,2236.5555531,-1661499.1575193,-2332000.0,19746800.0,-2332000.0,-0.0917,0.0219298,0.0,-0.1659888,1.0,-0.0775863,0.12767,0.55053,0,-0.989,376,-0.0026303,2.7344427,27208300,-20782000,-0.763811,451,55509634,3140546399,-46079.8226164,2.6341604,-0.005,2.6341604,0.4470953,2.6341604,0.4470953,2.6341604,16.4800968,0.1080238,3.5366978,1004.8468986,1004.8468986,16190466.6666667,1.0,106500.0,0.5,3.4285383,521.2172262,521.2172262,5.9390693,2.0,8.4202804,2.0,8.4202804,2.9027719,USD,ILS,1.0,0.3054407,0,0,0,0,-0.6342412,369,1780,669.69293,-43.8548649,1.897019,-78.8764045,0.009922,0.010922,2.9367586,2.0,0.6300892,0.5,0.5282903,0.5,0.4705659,1.0,3.6743319,2.0,5.3328265,2.0,0.6848756,0.5,0.5693781,0.5,0.6400892,0.4805659,5.3428265,0.5793781,0.6097336,317923066.6666667,2.0,180263666.6666667,1.0,180263666.6666667,91056533.3333333,2.0,36450200.0,1.0,36450200.0,1e-06,1e-06,18893533.3333333,7919666.6666667,7919666.6666667,113433266.6666667,1.0,143813466.6666667,1.0,143813466.6666667,3.7791025,effective_profit_margin          <= 0   |
TLV:AFHL,AFCON HOLD,Technology,Israel,22.9821769,2056242023.7095733,4.0,2999896.0164067,102341144.20642,1.0,576508630.8255,1.0,8165804.39415,0.25,660595844.6541,1.5,8165804.39415,660595844.6541,576508630.8255,2056242023.7095733,4.0,2999896.0164067,576508630.8255,1.0,8165804.39415,0.25,8165804.39415,576508630.8255,0.1875406,0.1875406,9.6820807,9.6820807,9.6820807,0.1645021,3.2273602,2.08616,2.0090911,183234551.5373353,196773000.0,59031933.3333333,196773000.0,0.05666,0.0037684,0.777,0.0058741,0.1,0.0231008,0.23166,0.63119,0,20.76,19680,0.0010549,1.8677867,5057400,106938000,21.144857,1209,354013219,31049189982,88451.6129032,0.207,0.19,0.2770422,0.0441587,0.2770422,0.0441587,0.2245105,4.9882543,0.1535397,4.1684138,43.1252838,43.1252838,19281575.4316133,1.0,60207554.4619,1.0,18.3601812,5.8798804,5.8798804,2.6974903,1.0,2.608644,1.0,2.608644,1.6161297,ILS,ILS,0.3054407,0.3054407,0,0,0,0,0.825603,9801,21920,19876.809,-0.9901438,100.7958372,-10.2189781,1.6303325,18.7783389,1.3749333,1.0,1.3866969,1.0,0.1446732,0.5,0.0778398,0.5,3.3487037,1.0,2.8601903,1.0,1.5770729,1.0,0.4075503,0.25,1.3966969,0.0878398,2.8701903,0.4175503,0.9071236,1069418712.2169734,2.0,881127817.51878,1.5,881127817.51878,288284666.0369733,2.0,243905914.06439,1.5,243905914.06439,0.1092674,0.1334793,451985733.3333333,520320200.0,520320200.0,778334458.1746534,2.0,635367847.86132,1.5,635367847.86132,5.6938203,None
TLV:AFID,None,None,Unknown,1e+50,0,0.0,0,0,1.0,0,0.0,0,0.0,0,1.0,0,0,0,0,1.0,0,0,1.0,0,1.0,0,0,0,0.0,100000.0,100000.0,100000.0,10000000000000.0,100000.0,0.0,100000,0.0,0,0,0,0.0,0.0,0.0,0,1.0,0.001,0.01,1.23e-05,0,0,0,0.0,10000.0,100000000,0,0.0,10000000,0,0,0.0,-0.9,-0.9,-0.9,-0.9,0,0,-0.9,0.16,-0.9,0.16,-111111.1111111,0.9,0,1.0,0,1.0,10000000000000.0,10000000000000.0,10000000000000.0,10000000000000.0,1.0,10000000000000.0,1.0,0.0,0.0,USD,USD,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01,0.01,0.01,0.01,0.01,0,1.0,0,1.0,0,0,1.0,0,1.0,0,1e-06,1e-06,0.0,0.0,0.0,0,1.0,0,1.0,0.0,1e-05,None
TLV:AFPR,AFI PROPERTIES,Real Estate,Israel,43.4743406,280093479.5206534,1.0,53663548.55254,1493870308.4293067,2.0,325598258.9965,1.0,117411099.6393,1.0,4753051157.78265,1.5,117411099.6393,4753051157.78265,325598258.9965,280093479.5206534,1.0,53663548.55254,325598258.9965,1.0,117411099.6393,1.0,117411099.6393,325598258.9965,3.7810504,3.7810504,15.306217,15.306217,15.306217,1.7092929,15.306217,8.6238127,8.3601144,497826970.0361266,528272000.0,384084733.3333333,528272000.0,0.3606,0.5637888,4.75,0.8780077,2.75,0.6017988,0.03147,0.72614,0,10.793,16580,0.000651,1.3638577,36110600,384399008,10.6450463,296,4030614321,182209776523,1298645.2972973,2.111,0.185,-0.4547347,0.0704583,-0.4547347,0.0704583,1.4695663,12.3725671,0.1563646,4.2042962,10.4154652,10.4154652,95864416.7019133,1.0,145965834.3602,1.0,42.044947,27.6134093,27.6134093,1.9195086,1.0,2.0759504,1.0,2.0759504,1.4418159,ILS,ILS,0.3054407,0.3054407,0,0,0,0,0.726364,9503,17200,15401.135,7.6544034,74.4712196,-3.6046512,1.8388983,38.6675119,1.5316894,1.0,1.4845932,1.0,0.1947461,0.5,0.6720041,1.0,29.9410131,2.0,31.9695841,2.0,0.6443368,1.0,0.6819763,1.0,1.4945932,0.6820041,31.9795841,0.6919763,1.0932847,7179640142.237147,2.0,4067361740.7878404,1.0,4067361740.7878404,2443886793.809107,2.0,1320395262.8643067,1.0,1320395262.8643067,0.1288666,0.1889212,-740301533.3333334,-606289133.3333334,-606289133.3333334,4697904684.4502535,2.0,2740878291.3521404,1.0,2740878291.3521404,6.4674774,None
