Symbol,Name,Sector,Value,Close,Grade
TLV:PIU,POALIM I.B.I,Financial Services,0.01667/0.0098,1448.0,0.1193
TLV:CPTP,CAPITAL POINT LTD,Financial Services,0.00325/0.01409,74.5,0.1192
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,0.01483/0.01345,44690.0,0.1184
TLV:ALBA,ALBAAD MASSUOT YIT,Consumer Defensive,0.32186/0.00289,3403.0,0.1169
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,0.32154/0.00522,693.7,0.1166
TLV:ASPF,ALTSHULER SHAHM,Financial Services,0.37072/-9e-05,1787.0,0.1166
TLV:TLRD,TELRAD NETWORKS,Technology,0.05042/0.01431,352.9,0.1166
TLV:DIPL,DIPLOMAT HOLDINGS,Consumer Defensive,0.06307/0.01501,6161.0,0.1164
TLV:SRAC,S.R ACCORD LTD,Financial Services,0.45381/-0.0535,5853.0,0.1163
TLV:RADA,RADA ELECTRONIC,Technology,0.47097/-0.25218,3240.0,0.1163
TLV:VCTR,VICTORY SUPERMARKE,Consumer Defensive,0.4391/0.00418,6238.0,0.1159
TLV:STRS,STRAUSS GROUP LTD,Consumer Defensive,0.01746/0.03213,9560.0,0.1151
TLV:MTDS,MEITAV DASH INV,Financial Services,0.2175/0.01658,1712.0,0.1145
TLV:SAE,SHUFERSAL LTD,Consumer Defensive,0.44669/0.01295,2595.0,0.1138
TLV:YAAC,YAACOBI BROTHERS,Real Estate,0.30657/0.01605,83.0,0.1138
TLV:RMN,RAM-ON INVESTMENTS,Basic Materials,0.98823/-0.1663,1686.0,0.1134
TLV:EMCO,E & M COMPUTING,Technology,0.34733/0.01815,2108.0,0.1126
TLV:SHOM,SHOHAM BUSINESS,Industrials,0.11467/0.04335,813.1,0.1123
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,1.06304/0.00714,6756.0,0.1118
TLV:ESLT,ELBIT SYSTEMS LTD,Technology,0.00665/0.10959,47400.0,0.1116
TLV:EMDV,EMILIA DEV (O.F.G),Financial Services,0.04576/0.06345,2277.0,0.1115
TLV:NXTM,NEXTCOM,Communication Services,0.08154/0.06047,1270.0,0.1114
TLV:INCR,INTERCURE LTD,Healthcare,0.17372/0.05335,2437.0,0.1112
TLV:KLIL,KLIL INDUSTRIES,Basic Materials,0.26052/0.04835,30760.0,0.1112
TLV:GOSS,G 1 SECURE SOL,Industrials,1.60116/0.00329,478.1,0.1112
TLV:ENRG,ENERGIXS-RENEWABLE,Technology,2.12701/-0.3377,1356.0,0.1108
TLV:ONE,ONE SOFTWARE TECHN,Technology,1.85652/0.00539,5275.0,0.1105
TLV:BRAN,BARAN GROUP LTD,Industrials,1.65396/0.00891,804.5,0.1101
TLV:SCOP,SCOPE METALS GROUP,Industrials,0.00687/0.14742,13830.0,0.1094
TLV:BKRY,BIKUREY HASADE HOL,Consumer Defensive,2.45547/0.00571,550.0,0.1089
TLV:ARAN,ARAN RESEARCH&DEVE,Industrials,0.30016/0.0657,2108.0,0.1088
TLV:ORON,ORON GROUP INVESTM,Industrials,0.49559/0.05797,1333.0,0.1083
TLV:GNRS,GENERATION CAPITAL,Energy,0.93494/0.03036,106.8,0.1081
TLV:KRUR,KERUR HOLDINGS LTD,Consumer Defensive,0.03993/0.14491,10010.0,0.1077
TLV:FRSM,FRESHMARKET LTD,Consumer Defensive,0.51281/0.0656,1388.0,0.1071
