pb,pi,ev,pe,evr / pm,0.39079,4.62515,9.04967,17.69494,33.39498,85.28079,225.51545
10000.000000,0.000012,8.000000,176165.804811,107.681859,272.000000,234.000000,194.000000,157.000000,118.000000,79.000000,40.000000
10000.000000,0.000012,8.000000,176165.804811,6.119810,228.000000,190.000000,153.000000,122.000000,85.000000,54.000000,23.000000
10000.000000,0.000012,8.000000,176165.804811,2.389157,183.000000,146.000000,113.000000,83.000000,51.000000,29.000000,15.000000
10000.000000,0.000012,8.000000,176165.804811,0.953586,137.000000,104.000000,80.000000,58.000000,34.000000,20.000000,10.000000
10000.000000,0.000012,8.000000,176165.804811,0.514668,92.000000,65.000000,49.000000,34.000000,17.000000,8.000000,0.000000
10000.000000,0.000012,8.000000,176165.804811,0.287114,46.000000,27.000000,19.000000,13.000000,7.000000,0.000000,0.000000
10000.000000,0.000012,8.000000,31.779998,107.681859,219.000000,195.000000,165.000000,134.000000,99.000000,69.000000,33.000000
10000.000000,0.000012,8.000000,31.779998,6.119810,187.000000,163.000000,135.000000,109.000000,76.000000,49.000000,20.000000
10000.000000,0.000012,8.000000,31.779998,2.389157,151.000000,127.000000,100.000000,74.000000,45.000000,25.000000,13.000000
10000.000000,0.000012,8.000000,31.779998,0.953586,113.000000,91.000000,71.000000,51.000000,30.000000,18.000000,9.000000
10000.000000,0.000012,8.000000,31.779998,0.514668,80.000000,60.000000,44.000000,30.000000,16.000000,8.000000,0.000000
10000.000000,0.000012,8.000000,31.779998,0.287114,41.000000,27.000000,19.000000,13.000000,7.000000,0.000000,0.000000
10000.000000,0.000012,8.000000,18.552941,107.681859,164.000000,148.000000,128.000000,104.000000,76.000000,52.000000,26.000000
10000.000000,0.000012,8.000000,18.552941,6.119810,141.000000,125.000000,107.000000,88.000000,62.000000,40.000000,18.000000
10000.000000,0.000012,8.000000,18.552941,2.389157,110.000000,94.000000,76.000000,57.000000,34.000000,19.000000,11.000000
10000.000000,0.000012,8.000000,18.552941,0.953586,85.000000,70.000000,56.000000,41.000000,23.000000,12.000000,7.000000
10000.000000,0.000012,8.000000,18.552941,0.514668,66.000000,51.000000,39.000000,28.000000,16.000000,8.000000,0.000000
10000.000000,0.000012,8.000000,18.552941,0.287114,36.000000,24.000000,17.000000,12.000000,7.000000,0.000000,0.000000
10000.000000,0.000012,8.000000,14.195967,107.681859,110.000000,101.000000,89.000000,69.000000,49.000000,31.000000,17.000000
10000.000000,0.000012,8.000000,14.195967,6.119810,93.000000,84.000000,74.000000,58.000000,40.000000,24.000000,13.000000
10000.000000,0.000012,8.000000,14.195967,2.389157,76.000000,67.000000,57.000000,41.000000,24.000000,13.000000,7.000000
10000.000000,0.000012,8.000000,14.195967,0.953586,63.000000,55.000000,46.000000,33.000000,20.000000,11.000000,0.000000
10000.000000,0.000012,8.000000,14.195967,0.514668,49.000000,41.000000,33.000000,22.000000,14.000000,8.000000,0.000000
10000.000000,0.000012,8.000000,14.195967,0.287114,25.000000,20.000000,15.000000,10.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,8.000000,9.460890,107.681859,56.000000,51.000000,45.000000,35.000000,22.000000,11.000000,0.000000
10000.000000,0.000012,8.000000,9.460890,6.119810,48.000000,43.000000,39.000000,32.000000,20.000000,10.000000,0.000000
10000.000000,0.000012,8.000000,9.460890,2.389157,41.000000,36.000000,32.000000,25.000000,14.000000,0.000000,0.000000
10000.000000,0.000012,8.000000,9.460890,0.953586,35.000000,31.000000,27.000000,21.000000,12.000000,0.000000,0.000000
10000.000000,0.000012,8.000000,9.460890,0.514668,29.000000,25.000000,22.000000,16.000000,9.000000,0.000000,0.000000
10000.000000,0.000012,8.000000,9.460890,0.287114,17.000000,14.000000,11.000000,9.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,198.000000,176165.804811,107.681859,181.000000,162.000000,136.000000,112.000000,89.000000,65.000000,33.000000
10000.000000,0.000012,198.000000,176165.804811,6.119810,144.000000,125.000000,102.000000,82.000000,61.000000,45.000000,20.000000
10000.000000,0.000012,198.000000,176165.804811,2.389157,112.000000,94.000000,74.000000,54.000000,36.000000,23.000000,13.000000
10000.000000,0.000012,198.000000,176165.804811,0.953586,80.000000,65.000000,49.000000,36.000000,24.000000,15.000000,8.000000
10000.000000,0.000012,198.000000,176165.804811,0.514668,45.000000,35.000000,26.000000,18.000000,10.000000,0.000000,0.000000
10000.000000,0.000012,198.000000,176165.804811,0.287114,19.000000,12.000000,9.000000,7.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,198.000000,31.779998,107.681859,144.000000,133.000000,115.000000,95.000000,75.000000,58.000000,27.000000
10000.000000,0.000012,198.000000,31.779998,6.119810,116.000000,105.000000,89.000000,73.000000,55.000000,41.000000,17.000000
10000.000000,0.000012,198.000000,31.779998,2.389157,91.000000,80.000000,64.000000,48.000000,32.000000,20.000000,11.000000
10000.000000,0.000012,198.000000,31.779998,0.953586,64.000000,55.000000,42.000000,31.000000,21.000000,13.000000,7.000000
10000.000000,0.000012,198.000000,31.779998,0.514668,39.000000,31.000000,22.000000,15.000000,9.000000,0.000000,0.000000
10000.000000,0.000012,198.000000,31.779998,0.287114,18.000000,12.000000,9.000000,7.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,198.000000,18.552941,107.681859,109.000000,100.000000,88.000000,72.000000,56.000000,42.000000,20.000000
10000.000000,0.000012,198.000000,18.552941,6.119810,90.000000,81.000000,71.000000,59.000000,45.000000,33.000000,15.000000
10000.000000,0.000012,198.000000,18.552941,2.389157,68.000000,59.000000,49.000000,37.000000,25.000000,15.000000,9.000000
10000.000000,0.000012,198.000000,18.552941,0.953586,48.000000,40.000000,32.000000,23.000000,15.000000,8.000000,0.000000
10000.000000,0.000012,198.000000,18.552941,0.514668,34.000000,26.000000,20.000000,14.000000,9.000000,0.000000,0.000000
10000.000000,0.000012,198.000000,18.552941,0.287114,17.000000,11.000000,8.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,198.000000,14.195967,107.681859,74.000000,68.000000,61.000000,48.000000,36.000000,24.000000,12.000000
10000.000000,0.000012,198.000000,14.195967,6.119810,60.000000,54.000000,49.000000,39.000000,29.000000,19.000000,10.000000
10000.000000,0.000012,198.000000,14.195967,2.389157,47.000000,41.000000,36.000000,26.000000,17.000000,9.000000,0.000000
10000.000000,0.000012,198.000000,14.195967,0.953586,36.000000,31.000000,26.000000,19.000000,13.000000,7.000000,0.000000
10000.000000,0.000012,198.000000,14.195967,0.514668,26.000000,21.000000,17.000000,11.000000,8.000000,0.000000,0.000000
10000.000000,0.000012,198.000000,14.195967,0.287114,12.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,198.000000,9.460890,107.681859,39.000000,36.000000,31.000000,24.000000,16.000000,7.000000,0.000000
10000.000000,0.000012,198.000000,9.460890,6.119810,32.000000,29.000000,26.000000,22.000000,15.000000,7.000000,0.000000
10000.000000,0.000012,198.000000,9.460890,2.389157,27.000000,24.000000,21.000000,17.000000,11.000000,0.000000,0.000000
10000.000000,0.000012,198.000000,9.460890,0.953586,21.000000,19.000000,16.000000,13.000000,9.000000,0.000000,0.000000
10000.000000,0.000012,198.000000,9.460890,0.514668,16.000000,14.000000,12.000000,9.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,198.000000,9.460890,0.287114,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,176165.804811,107.681859,89.000000,85.000000,74.000000,63.000000,55.000000,43.000000,21.000000
10000.000000,0.000012,780.000000,176165.804811,6.119810,62.000000,58.000000,50.000000,43.000000,36.000000,29.000000,12.000000
10000.000000,0.000012,780.000000,176165.804811,2.389157,43.000000,40.000000,33.000000,26.000000,20.000000,15.000000,9.000000
10000.000000,0.000012,780.000000,176165.804811,0.953586,28.000000,25.000000,20.000000,17.000000,13.000000,10.000000,0.000000
10000.000000,0.000012,780.000000,176165.804811,0.514668,11.000000,10.000000,8.000000,0.000000,0.000000,0.000000,0.000000
10000.000000,0.000012,780.000000,176165.804811,0.287114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
