Symbol,Name,Sector,Value,Close,Grade
TLV:CRSO,CARASSO MOTORS LTD,Consumer Cyclical,64.67947,2106.0,107.4165
TLV:CPTP,CAPITAL POINT LTD,Financial Services,0.462,74.5,89.5507
TLV:PLCR,PLASTO CARGAL,Consumer Cyclical,20932.83539,503.5,88.7817
TLV:BRMG,BRIMAG DIGITAL AGE,Consumer Cyclical,0.00119,4057.0,86.5629
TLV:HRON,HIRON TRADE INVS,Real Estate,669.14559,177990.0,80.3839
TLV:SPNTC,SPUNTECH INDUSTRIE,Consumer Cyclical,11.59019,693.7,78.8277
TLV:PLRM,PALRAM INDUSTRIES,Industrials,8.39581,5199.0,68.46
TLV:RLCO,RALCO AGENCIES,Consumer Cyclical,0.49447,5067.0,59.9595
TLV:ISRS,ISRAS INVESTMNT CO,Real Estate,145655.90471,78180.0,53.7394
TLV:SANO1,SANO-BRUNO'S ENTER,Consumer Defensive,238.17672,35970.0,53.0674
TLV:MLTM,MALAM TEAM LTD,Technology,139924.93872,10280.0,50.691
TLV:SNEL,SYNEL PAYWAY M.L.L,Real Estate,344880.59402,4820.0,45.3982
TLV:WILC,G. WILLI-FOOD,Consumer Defensive,2.19491,6756.0,39.8634
TLV:PLSN,PLASSON INDUSTRIES,Consumer Cyclical,8163.45447,23840.0,39.6964
TLV:MTDS,MEITAV DASH INV,Financial Services,17151662.87788,1712.0,39.5097
TLV:DUNI,DUNIEC BROS,Real Estate,0.00352,18960.0,36.2023
TLV:HAMAT,HAMAT GROUP LTD,Industrials,2809.02581,2319.0,34.1614
TLV:WLFD,WILLY FOOD INVSTM.,Consumer Defensive,15.41512,4252.0,34.0883
TLV:NTO,NETO M.E HOLDINGS,Consumer Defensive,2281948.00105,18190.0,32.7985
TLV:VILR,VILLAR INTL LTD,Real Estate,2330298.54629,16970.0,30.9631
TLV:AFPR,AFI PROPERTIES,Real Estate,29944433.03232,18170.0,29.805
TLV:ALBA,ALBAAD MASSUOT YIT,Consumer Defensive,180563.3839,3315.0,27.367
TLV:SMT,SUMMIT R/EST HLDGS,Real Estate,16573.51526,6100.0,26.4831
TLV:ARAD,ARAD INVESTMENT &,Industrials,272482937.71061,42000.0,26.3353
TLV:BLSR,BLUE SQUARE REAL,Real Estate,8664932.63604,28070.0,25.3452
TLV:LAHAV,LAHAV L.R. REAL ES,Real Estate,2004392.16508,557.8,24.521
TLV:NFTA,NAPHTHA ISRAEL PET,Energy,9641243.11601,2134.0,23.2662
TLV:SALG,SHALAG INDUSTRIES,Consumer Cyclical,244.12898,1350.0,22.3837
TLV:DLEA,DELEK AUTOMOTIVE S,Consumer Cyclical,42.17026,4205.0,21.8855
TLV:AZRM,AZORIM INV DEV,Real Estate,29795.69508,1579.0,21.5478
TLV:IBI,IBI INV HOUSE,Financial Services,216.38276,8066.0,20.297
TLV:VCTR,VICTORY SUPERMARKE,Consumer Defensive,1255.45988,6238.0,18.4251
TLV:KLIL,KLIL INDUSTRIES,Basic Materials,10.12988,30760.0,18.1516
TLV:ASGR,ASPEN GROUP LTD,Real Estate,336206082450.3896,909.6,17.5373
TLV:GOLF,GOLF & CO,Consumer Cyclical,20345.88886,987.6,17.2636
TLV:ASHG,ASHTROM GROUP LTD,Real Estate,180684.55329,7590.0,17.197
TLV:PRSK,PRASHKOVSKY INVS,Real Estate,10477570654.51141,10540.0,17.19
TLV:YAAC,YAACOBI BROTHERS,Real Estate,17559687.97641,83.0,16.8488
TLV:ELDAV,ELDAV INVESTMENTS,Financial Services,43295371.96509,265.3,16.4766
TLV:RIMO,RIMONI INDUSTRIES,Basic Materials,66862.86332,7741.0,15.3843
TLV:ASPF,ALTSHULER SHAHM,Financial Services,275.2466,1773.0,15.304
TLV:ILX,ILEX MEDICAL,Healthcare,5.6447,11820.0,14.7819
TLV:KRUR,KERUR HOLDINGS LTD,Consumer Defensive,106.16566,10010.0,14.4712
TLV:FORTY,FORMULA SYST(1985),Technology,109829.08141,37900.0,14.4365
TLV:DRAL,DOR ALON ENERGY IN,Energy,490778692.6731,9356.0,14.269
TLV:KAFR,KAFRIT INDUSTRIES,Basic Materials,83372.53073,2780.0,13.6655
TLV:KEN,KENON HLDGS LTD,Utilities,1997714605.50092,13490.0,12.9153
TLV:GLRS,GLOBRANDS GROUP,Consumer Defensive,22.57516,44690.0,12.3471
TLV:STRS,STRAUSS GROUP LTD,Consumer Defensive,36747.26896,9560.0,12.2328
TLV:GLPL,GOLAN PLASTIC PROD,Industrials,4400.78227,1236.0,11.775
TLV:EMDV,EMILIA DEV (O.F.G),Financial Services,481783.17779,2277.0,11.7477
TLV:PPIL,PLASTOPIL HAZOREA,Consumer Cyclical,4174121.46989,583.1,11.1357
TLV:MISH,MIVTACH SHAMIR HDS,Financial Services,6213033.24982,11380.0,10.8989
TLV:EMCO,E & M COMPUTING,Technology,25659689.69878,2108.0,10.4323
